Info,Course Title,Course Description,Credits,Course Number
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     All students not taking ET-211  
Electable by:     All  
Prerequisites:     ET-112  
Department Code:     EAR  
Location:     Boston Campus  
",Solfege 1,"This course develops students' sight-singing skills using the traditional movable ""do"" method through drills in rhythm, interval, and pitch, as well as singing exercises in major keys through four sharps and four flats in G and F clefs. This course includes some studies in minor keys, harmonic studies, part singing, and contrapuntal and harmonic dictation.",2 credit(s),ET-231
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-112  
Department Code:     EAR  
Location:     Boston Campus  
",World Music Ear Training," This course focuses on a variety of rhythmic patterns, percussive ostinatos, and melodic repertoire from around the world, with an emphasis on African, Caribbean, and South American traditional and popular music, as well as South Indian classical, Balkan, and Middle Eastern genres. In-class activity includes vocalization and rhythmic externalization exercises based on particular musical examples, general listening and aural analysis, and transcription of selected elements of a musical texture. Students examine music from the perspective of musical cognition, including the potential impact of cultural background on the formation of one's mental representation and the analysis of ambiguous musical structures. Homework assignments entail full or partial transcriptions of rhythmic and melodic elements, as well as exercises involving melodic solfege and rhythmic recitation designed to enhance a student's internal sense of time, pitch, and physical independence through singing or speaking of melody and rhythm in the context of its underlying essential metrical structure. ",2 credit(s),ET-321
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-331  
Department Code:     EAR  
Location:     Boston Campus  
",Harmonic Ear Training 2," This course is a continuation of ET-331. Chord progressions will be more intermediate to complex in nature. The concepts of modal interchange harmony, substitute dominants, and modulation will be introduced. Voicings containing multiple tensions and upper structure triads will also be covered. More extensive transcription work of real music will be incorporated. ",2 credit(s),ET-332
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-211 or ET-231  
Department Code:     EAR  
Location:     Boston Campus  
",Fundamentals of Transcription,"A course designed to teach the student how to transcribe instrumental and vocal recorded material as found in jazz, pop, and rock. Techniques for transcribing melody, harmony, and bass lines. This course is especially recommended for those students wishing to extend their skills in identifying chord progressions and rhythms.",2 credit(s),ET-351
"Course Chair:     Allan Chase  
Semesters Offered:     Spring Only  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-421  
Department Code:     EAR  
Location:     Boston Campus  
",Atonal Solfege 2," Continuation of ET-421, including the choral works of Webern. ",2 credit(s),ET-422
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-212, ET-232, or ET-351  
Department Code:     EAR  
Location:     Boston Campus  
",Jazz Solo Transcription, Transcription of recorded jazz solos from various periods. Classroom analysis and discussion. ,2 credit(s),ET-451
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-212 and HR-211  
Department Code:     EAR  
Location:     Boston Campus  
",Advanced Modal Ear Training," Traditional modes will briefly be reviewed and the basic techniques of practice and performance will be learned. Students will then learn and perform nontraditional/hybrid modes. Examples of modes (please note that each example has alternate names) to be studied include Hungarian Major, Spanish Phrygian, Octatonic, Arabic, Whole Tone, Hindu, Super Locrian, Lydian b7, Japanese, and Hungarian Minor. ",2 credit(s),ET-P461
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None; Approved specified elective for piano principal PERF majors  
Electable by:     Piano principals  
Prerequisites:     Ensemble rating 3444 and ET-112  
Department Code:     EAR  
Location:     Boston Campus  
",Performance Ear Training for Keyboards 1,"Ear training with an emphasis on practical performance experience. Recognizing pitch, rhythm, harmony, and timbre by ear and responding on the student's instrument in class. Some dictation. Some nonsyllabic sight-singing.",1 credit(s),PFET-364
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None; Approved specified elective for drum set, hand percussion, and total percussion principal PERF majors  
Electable by:     Drum set, hand percussion, and total percussion principals  
Prerequisites:     Ensemble rating 3444 and ET-112  
Department Code:     EAR  
Location:     Boston Campus  
",Performance Ear Training for Percussion 1,"Ear training with an emphasis on practical performance experience. Recognizing pitch, rhythm, harmony, and timbre by ear and responding on the student's instrument in class. Some dictation. Some nonsyllabic sight-singing.",1 credit(s),PFET-370
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None; Approved specified elective for bass principal PERF majors  
Electable by:     Bass principals   
Prerequisites:     Ensemble rating 3444 and ET-112  
Department Code:     EAR  
Location:     Boston Campus  
",Performance Ear Training for Bass 1,"Ear training with an emphasis on practical performance experience. Recognizing pitch, rhythm, harmony, and timbre by ear and responding on the student's instrument. Some nonsyllabic sight-singing.",1 credit(s),PFET-376
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-212 or ET-232  
Department Code:     EAR  
Location:     Boston Campus  
",Atonal Solfege 1, A continuation of solfege that concentrates on atonal music. Sol-fa syllables are not used. Please note that this course is recommended for students who have a high potential in nontonal intervallic solfege. ,2 credit(s),ET-421
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-212, ET-232, or ET-351  
Department Code:     EAR  
Location:     Boston Campus  
",Popular Song Transcription,Designed to teach the student how to transcribe songs and arrangements in current popular music. Most projects are chosen by the student in his/her area of musical interest. Project presentation in class.,2 credit(s),ET-441
"Course Chair:     Allan Chase  
Semesters Offered:     Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-212 or ET-232  
Department Code:     EAR  
Location:     Boston Campus  
",Microtonal Ear Training and Composition,"Microtones---pitches from outside the Western twelve-note system---are a powerful feature of music from many different parts of the world; they can be heard in traditional music from the Middle East, Asia, and Africa, in jazz and blues, and also in contemporary composed and improvised art music of the U.S. and Europe from the early 20th century to the present. How can you access these new sounds and make them part of your own language? In this course, ear training drills and compositional exercises work hand in hand. Students practice identifying and singing/playing quarter-tones, sixth-tones, and even twelfth-tones (time permitting), exploring new modes of expression as they begin to hear in a different way. Along the way, we listen to a variety of examples of microtonal music from different styles an traditions, examining and transcribing small excerpts, and we conclude the semester with a final composition/performance project involving group collaboration amongst classmates.",2 credit(s),ET-P399
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None; Approved specified elective for brass, woodwind, string, and vibraphone principal PERF majors  
Electable by:     Brass, woodwind, string, and mallet principals  
Prerequisites:     Ensemble rating 3444 and ET-112  
Department Code:     EAR  
Location:     Boston Campus  
","Performance Ear Training for Woodwinds, Brass, Strings, and Vibes 1","Ear training with an emphasis on practical performance experience. Recognizing pitch, rhythm, harmony, and timbre by ear and responding on the student's instrument in class. Some dictation. Some nonsyllabic sight-singing.",1 credit(s),PFET-361
"Course Chair:     Allan Chase  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None; Approved specified elective for guitar principal PERF majors  
Electable by:     Guitar principals  
Prerequisites:     Overall ensemble rating of 2 and ET-112  
Department Code:     EAR  
Location:     Boston Campus  
",Performance Ear Training for Guitar 1,"Ear training with an emphasis on practical performance experience. Recognizing pitch, rhythm, harmony, and timbre by ear and responding on the student's instrument in class. Some dictation. Some nonsyllabic sight-singing.",1 credit(s),PFET-367
"Course Chair:     Allan Chase  
Semesters Offered:     Fall Only  
Required of:     None; Approved specified elective for voice principal PERF majors  
Electable by:     Voice principals   
Prerequisites:     Ensemble rating 4434 and ET-112  
Department Code:     EAR  
Location:     Boston Campus  
",Performance Ear Training for Voice 1,"Ear training with an emphasis on practical performance experience. Recognizing pitch, rhythm, harmony, and timbre by ear. Emphasis on sight-reading. Some dictation. Some nonsyllabic sight-reading.",1 credit(s),PFET-373
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     ELPD majors  
Electable by:     ELPD majors  
Prerequisites:     MTEC-111 and either LMSC-208 or LMSC-209, and written approval of course chair  
Department Code:     ELPD  
",Studio Technologies,"This course provides a comprehensive introduction to the electronic music studio. Emphasis is placed on understanding analog and digital audio concepts, analog and digital signal flow, audio connections and gain-staging, console vs. control surface paradigms, DAW set-up and usage, studio signal flow, the recording process, microphone usage, and signal processors used in recording and mixing.",2 credit(s),EP-220
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     ELPD majors  
Electable by:     All  
Prerequisites:     MTEC-111 (all majors); and either LMSC-208 or LMSC-209 (ELPD majors)  
Department Code:     ELPD  
",Control Systems in Electronic Production,,2 credit(s),EP-225
"Course Chair:     Michael Bierylo  
Semesters Offered:     Spring Only  
Required of:     None  
Electable by:     All  
Prerequisites:     EP-225 or MP-225  
Department Code:     ELPD  
",Musical Devices for Media Composers," A study of composition devices such as hemiola, stretto, polymeter, canon, augmentation/diminution, antiphony, pointillism, streaming, hocketing, ostinato, spatialization, etc. used by professional electronic media (e.g., video game, film score, telecommunications, internet) composers and sound designers. Harmony and its devices are not considered. Students are challenged to show how the classic devices of music composition can be extended using electronic technology. Participants compose original sound sketches, and a longer digital audio/MIDI production that illustrate fluency with the musical devices presented in class. Class members also excerpt commercially available music of their choice that features discernible musical devices, and group analyses are developed in class. ",2 credit(s),EP-261
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     ELPD majors  
Electable by:     ELPD majors  
Prerequisites:     EP-220, EP-223, and EP-225  
Department Code:     ELPD  
",Control Systems in Advanced Production,"Building on concepts and skills developed in EP-225, this advanced, project-oriented course focuses on mastering an electronic music production environment using a wide variety of hardware and software. Emphasis is placed on integrating advanced MIDIsequencing techniqueswith audio production. These techniques are applied in a series of projects that include, music and sound design for animation, remixing and developing original electronic music. Topics include advanced real-time control of synthesis parameters, spotting to picture, manipulation of musical time and tempo, and effectively working with various rhythmic feels. Special attention will be paid to integrating hardware instruments and controllers in a software-based DAW production environment.",2 credit(s),EP-321
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-320, EP-321, and EP-322  
Department Code:     ELPD  
",Web Technologies for Electronic Musicians,"This course is a portfolio development workshop focusing on interactive web technologies. Weekly assignments will build fluency in file formats, encoding tools, and authoring platforms, as well as basic coding for the Web. Through successful completion of these projects, students will become adept at the basics of website design and development, preparing audio and video examples of their work for web delivery.",2 credit(s),EP-326
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall Only  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-322  
Department Code:     ELPD  
",Mapping and Curves in Sonic Arts,"A global study of curves, graphic displays, and mapping techniques that undergird practical use of electronic sound production systems. Focuses on aural and visual aids to understanding rather than taking a purely mathematical approach. Topics include principles of linearity and nonlinearity in: relationships and functions; input responses and attenuator calibrations; pitch vs. frequency shifting; AM and FM sideband production; and envelope generator segment curves. Creative mapping using logic gates (AND, OR, NOR, etc.) is introduced. Graphic displays in selected software applications are examined to reveal the curves implicit when waveform and spectrum are represented. This course presents the pervasive graphical-mathematical elements common to digital audio applications and their displays, and facilitates advanced studies in sonic arts.",2 credit(s),EP-335
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     None  
Department Code:     ELPD  
",Survey of Electroacoustic Music," An audio/video tour of compositions, performances, and technical developments that inform the diversity of electroacoustic music. Composition genres facilitated by electronic means such as process music, microtonality, ambient, aleatory; and electronic transformations of keyboards, guitars, drums, winds, and voice are explored. Landmark compositions, songs, soundscapes, and performances are placed in a broader context that runs the gamut from early avant-garde through current popular genres. The classroom listening experience is extended via the 50+ page annotated discography designed for long-term study. This course provides a focused introduction to the culture and repertoire of music technology, a requisite for those who intend to work in the field. A selected film that features electronic sound design and/or electroacoustic music is screened during midterm and final exam weeks. ",2 credit(s),EP-210
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     ELPD majors  
Electable by:     ELPD majors  
Prerequisites:     MTEC-111 and either LMSC-208 or LMSC-209  
Department Code:     ELPD  
",Modular Functions and Signal Flow,"Study of principles and use of modules (oscillators, filters, amplifiers, envelope generators) found in software and hardware modular sound production systems. Focus is on observing signal characteristics at outputs, and defining signal functions (audio, control, timing) solely via connections to inputs. Sonic deconstruction and other electronic ear training techniques are presented, and correlative original sound designs are produced by students. In addition to class participation, students are supervised in weekly hands-on practice in EP/D labs, where an array of software and hardware systems are available.",2 credit(s),EP-223
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     None  
Department Code:     ELPD  
",Electronics in the Soundtrack," Focuses on electroacoustic music in the film score. Highlights electronic musical instruments, computer software, and electronic techniques used to create and synchronize music, Foley, SFX (sound effects), and dialogue to picture. Illustrated voluminously with film clips and DVD supplements, from the coming of sound in film (circa 1927) through the modern era. Real time or mediated demonstrations of techniques such as click track, punches and streamers, Pro Tools mix down, pitch shifting, audio reversal, ADR (automated dialogue replacement), etc., are shown in class. This course familiarizes class members with archetypal electroacoustic underscores, industry terminology, and standard practices used to produce sound for picture. It is a useful initiation for those who intend to produce sound/music to picture for feature films, industrials, animation, advertising, and video games. A selected film that features electronic sound design and/or electroacoustic music is screened during midterm and final exam weeks. ",2 credit(s),EP-250
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     ELPD majors  
Electable by:     ELPD majors  
Prerequisites:     EP-220, EP-223, and EP-225  
Department Code:     ELPD  
",Digital Mix Techniques,"Based on the concepts and skills learned in EP-220 Studio Technologies, this course places a primary emphasis on the improvement of student productions through effective mixing techniques. Mix balance, equalization, dynamics, and other signal processing techniques will be explored and applied to a series of projects. Genre-specific techniques will be discussed, in addition to electronic music styles and sound design scenarios.",2 credit(s),EP-320
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     ELPD majors  
Electable by:     ELPD majors  
Prerequisites:     EP-220, EP-223, and EP-225  
Department Code:     ELPD  
",Advanced Sound Design Techniques,"Building on the concepts learned in EP-223, this course further develops a students understanding and application of core synthesis skills to include additive, FM, sampling, and other advanced synthesis techniques. Additional work with sonic ear training and patch dictation helps students identify and create unusual and dynamic instrumental sounds and sound effects. Classroom activities and assignments provide the opportunity to use advanced hardware and software synthesis systems to develop unique electronic sounds that can be used in live performance, electronic music production, media post-production, and video game audio applications.",2 credit(s),EP-322
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-320, EP-321, and EP-223  
Department Code:     ELPD  
",Indian Music Concepts in Electronic Production,"A creative study of the musical aesthetics involved with composing and arranging in a wide range of popular Indian musical genres, including pop songs, remix hits, and classical forms. Utilizing a variety of electronic programming and production techniques, students will complete a series of guided projects that effectively demonstrate the contemporary application of Indian ragas, musical instrumentation, and popular stylistic repertoire.",2 credit(s),EP-330
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-223  
Department Code:     ELPD  
",Electronic Composition and Sound Design for Commercial Production,"This course explores working in situations which typify the demands of commercial music production. This includes composing in a wide variety of idioms, to specific stylistic direction, and under common constraints that effect commercial music composition. These projects require the student to draw upon their skills in composition, electronic music production, and sound design. This course will confront the student with issues and problems common to the working composer, music producer, and sound designer.",2 credit(s),EP-339
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     ELPD Majors  
Electable by:     ELPD majors  
Prerequisites:     EP-320, EP-321, and EP-322  
Department Code:     ELPD  
",Programming in Max,"This course serves as both an introduction to basic programming concepts and Max software. Max is a powerful and intuitive multimedia programming language that can be used to designMIDI, audio, and videoapplications.Students gain an introduction to problem solving and musical representation using basic math through exercises in practical applications as well as algorithmic composition techniques.Projects can include drum machines, groove boxes,softsynths, samplers,audio processors, remixers and their use with common controllers. Students will also learn how devices programmed with Max can be used in Ableton Live.The class culminates in student presentations using software designed for the class.",2 credit(s),EP-341
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-322  
Department Code:     ELPD  
",Advanced Studies in Digital Sampling Techniques,"This course focuses on the study of the generation of original, exotic sound textures and unusual synthetic instrumental timbres derived from acoustic sounds recorded from studio and field sources. Digital signal processing and studio production techniques as used by the industry's top game and film sound designers are discussed and practiced.",2 credit(s),EP-351
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-223  
Department Code:     ELPD  
",Composition Workshop,"This class provides the student with an opportunity to create portfolio pieces of original compositions using software and hardware tools. We will study a variety of approaches to composing and realizing works with an emphasis on developing the use of line, rhythm, harmony, orchestration and form. Weekly assignments include electronic realization of musical excerpts, readings by composers, listening, and analysis. Technical topics will be explored by the group as needed.",2 credit(s),EP-371
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     ELPD majors  
Electable by:     ELPD majors  
Prerequisites:     EP-320, EP-321, and EP-322  
Department Code:     ELPD  
",Digital Audio Production and Design,"Building on skills developed in the EPD core curriculum, students design and produce audio content for the kinds of real-world production projects they might expect in their career. Working in the EPD studios, students will produce content that ranges from spoken word to sound and music mixed in surround. Students are introduced to techniques and applications that are essential for pursuit of a variety of professional opportunities in the areas of sound design and audio production for film, video games, broadcast media, as well as all types of music production.",2 credit(s),EP-381
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     ELPD majors  
Electable by:     ELPD majors  
Prerequisites:     EP-341 and EP-381  
Department Code:     ELPD  
",Advanced Seminar,"A precursor to EP-491, Advanced Seminar combines master class and private lesson settings for the electronic production and design major. Master class topics include group assessment of each student's portfolio work, group critiques, and technical instruction as needed. Assessment and analysis tools are provided to discuss music composition/production as well as the integration of music and sound design for picture and games. Business and career preparations will also be discussed. The private lesson component allows each student to develop skills and musicianship with direct mentoring from the instructor.",2 credit(s),EP-401
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-223  
Department Code:     ELPD  
",Csound: Sound Design and Composition,"In this class students will learn how to use Csound, a powerful and versatile sound synthesis and processing software environment, for electronic composition, production, and innovative sound design. Students will design sounds and compose pieces using classic synthesis techniques such as additive, subtractive, waveshaping, wavetable, granular, and physical modeling. Students will learn how to use Csound as a plug-in for Ableton Live and the iPad to produce innovative sound design for TV, film, multimedia installations, and games. Students will also use Csound as the basis for graduate-level research in computer music and music perception.",2 credit(s),EP-337
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-223  
Department Code:     ELPD  
",Speech and Vocal Synthesis,"An overview of the electronically produced/processed voice, with exploration of: human voice mechanics; formants in speech and singing; time-stretching granular techniques; channel and phase vocoders; parametric EQ; and formant (fixed) filters. Theoretical underpinnings and practical examples of the transformative power of convolution are presented. Synergistic dymaxion music composition approaches that exercise elements learned in class are suggested, as alternatives to familiar software sequencer production. Students are provided weekly hands-on access to EP/D labs, where a variety of software and hardware systems are available. This course culminates in a public concert, and is suitable for those who recognize the central role that electronically produced and processed voices play in: video games; animation; advertising; contemporary songwriting; and telecommunications.",2 credit(s),EP-340
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-321  
Department Code:     ELPD  
",Live Performance Techniques for Electronic Musicians,"In this course, students will examine the technical and creative processes involved with adapting electronic composition and production for live performance. Topics to be covered include the development of repertoire in various electronic genres, hardware and software integration, set organization and improvisational strategies, expressive real-time control, and considerations for solo and group presentation.",2 credit(s),EP-350
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-322  
Department Code:     ELPD  
",Audio Programming in C,"In this class students will learn to program musical examples and projects in the C programming language. Working initially from the Terminal application, using the GNU Compiler Collection on Mac OS X, and later with Apple's XCODE Integrated Developer Environment (IDE), the student will write musical programs that do algorithmic composition, software synthesis, and signal processing and in the process more deeply understand the underlying algorithms that power all electronic music programs. This software engineering class is the first step toward the design of synthesis and signal processing tools. It will provide a marketable technical skill which is often a prerequisite for industry jobs in sound design and game audio, as well as for graduate programs in computer music and music technology.",2 credit(s),EP-353
"Course Chair:     Michael Bierylo  
Semesters Offered:     Spring Only  
Required of:     None  
Electable by:     ELPD, CWPR, and FILM majors  
Prerequisites:     EP-321 and EP-322; or CW-361 (CWPR majors) or FS-203 (FILM majors)  
Department Code:     ELPD  
",Sound Design for Animation,"A project-based course covering basic design principles and production techniques used in producing sound for animation. Students will work in collaboration with senior animation students at the Massachusetts College of Art to produce three short animation projects. Animation is a part of practically every form of entertainment that uses visual elements, from feature films and television programs to video games and websites. Most, if not all, musicians will work with this medium at some point in their career. Class meetings will explore the historical roots of sound and music for animation through screenings, case studies, and assigned readings. From this, students will develop the skills necessary to analyze an animation and create a variety sound elements: music, sound effects, and vocal elements. At various times throughout the semester, the class will meet at MassArt in joint meetings with student animators for directed review of their work.",2 credit(s),EP-373
"Course Chair:     Michael Bierylo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     ELPD majors  
Prerequisites:     EP-321  
Department Code:     ELPD  
",Circuit Bending and Physical Computing,"In this class, students develop the basic electronics skills necessary to do creative circuit-bending, to modify and rewire sound-making toys, and to build custom performance interfaces using game controllers and a wide variety of sensors. Students breadboard and build a custom analog synth. They develop sensor-based controllers using the Arduino and program them using the Processing language. They design and program their own interactive games and audio/video remixers. Using these skills, students will develop strategies to control a range of hardware and software synthesis systems. By the end of the course, a student will have developed their own expressive MIDI and audio control system.",2 credit(s),EP-391
"Course Chair:     Sean Jones  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     Brass principals  
Prerequisites:     None  
Department Code:     BRASS  
",Brass Playing Singing," This course is designed to focus on vocal performance for brass principals. Students may or may not have experience as vocalists. All classes will be geared towards the styles the individuals are interested in, emphasizing both singing and playing. Students will be asked to learn and perform new songs each week with the main emphasis being on the selection of correct keys, tempos, and styles. There will be a comparative analysis between vocal and instrumental phrasing, improvisation, and physiology. Students will also be exposed to performers who have been recognized and respected as both singers and horn players. ",1 credit(s),ENBR-336
"Course Chair:     Sean Jones  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     Trombone principals  
Prerequisites:     None  
Department Code:     BRASS  
",Trombone Ensemble 2, In this advanced ensemble trombonists will develop a viable practice routine as it pertains to ensemble playing in all the relevant styles for the instrument. They will learn to better perform together in all relevant idioms and styles. They will learn to transition between idioms and styles with improved control and skill. ,1 credit(s),ENBR-P272
"Course Chair:     Anne Peckham  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     Written approval of course instructor  
Department Code:     VOICE  
",Women's Concert Choir," The Women's Concert Choir is a choral group consisting of 12-40 women. Students will learn part-singing, blending, intonation, reading, and memorization through the repertoire, which will range from the standard classical choral repertoire to arrangements of musical theater works. A performance will be scheduled at the end of the semester. Voice principals and non-voice principals are eligible to audition. ",1 credit(s),ENCL-201
"Course Chair:     Ron Savage  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     Written approval of course instructor  
Department Code:     ENS  
",Improvisation for Classical Musicians," The Improvisation for Classical Musicians ensemble is a small group of instrumentalists that will play traditional chamber music with a twist by adding improvisational techniques. The students will partake in weekly rehearsals, as well as end of the semester performances. Emphasis will be given to hearing, expressing your musical ideas with stylistic integrity, as well as melodic, harmonic, and rhythmic accuracy. ",1 credit(s),ENCL-234
"Course Chair:     Ron Savage  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     Written approval of course instructor  
Department Code:     ENS  
",Contemporary Chamber Music Ensemble," Mixed instrumental and vocal ensembles are formed to study and perform chamber music by 20th-century composers including Luciano Berio, John Corgliano, Aaron Copland, Maurice Ravel, Arnold Schoenberg, Igor Stravinsky, and others. Using their own parts from the preselected repertoire, students will individually practice and master performance skills and musicianship, then rehearse in the larger group in preparation for an end-of-semester recital. ",1 credit(s),ENCL-402
"Course Chair:     Ron Savage  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     Written approval of course instructor  
Department Code:     ENS  
",Musical Theater Orchestra," The Musical Theater Orchestra will perform the music of Broadway shows. In this course, students will participate in weekly supervised rehearsals. Students will gain experience in performing in a variety of styles inherent in each show. Emphasis will be given to stylistic integrity, as well as melodic, harmonic, and rhythmic accuracy. Please contact the instructor for more information on the shows to performed in current semester. ",1 credit(s),ENCL-404
"Course Chair:     Sean Jones  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     Written approval of course chair  
Department Code:     BRASS  
",Brass Quintet," A brass quintet that performs a mixture of traditional and 20th-century music. Instrumentation: two trumpets, horn, trombone, tuba. ",1 credit(s),ENBR-321
"Course Chair:     Sean Jones  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     Trombone principals  
Prerequisites:     None  
Department Code:     BRASS  
",Trombone Ensemble 1, In this course trombonists will develop a viable practice routine as it pertains to ensemble playing in all the relevant styles for that instrument. They will learn to better perform together in all relevant idioms and styles. They will learn to transition between idioms and styles with improved control and skill. ,1 credit(s),ENBR-P172
"Course Chair:     Anne Peckham  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     Written approval of course instructor  
Department Code:     VOICE  
",Concert Choir,"Large vocal ensemble with emphasis on traditional and contemporary music stretching through a wide range of music genres. In this course, students will participate in weekly rehearsals. Emphasis will be given to stylistic integrity, as well as melodic, harmonic, and rhythmic accuracy. Concert performances during the fall and spring semesters.",1 credit(s),ENCL-200
"Course Chair:     Ron Savage  
Semesters Offered:     Fall Only  
Required of:     None  
Electable by:     All  
Prerequisites:     Overall ensemble rating 4  
Department Code:     ENS  
",Film Scoring Studio Orchestra,"A recording orchestra of 37 musicians, the Film Scoring Studio Orchestra will integrate and improve orchestral performance skills in an actual Hollywood-style scoring stage setting. A collaboration between the Ensemble, Music Production and Engineering, and Film Scoring departments, the orchestra will meetin Studio 1 of the 160 Massachusetts Avenue building.Each week the ensemble will play music composed by professional film composers or Berklee Film Scoring students, and be recorded by Berklee students in related MP&E classes.Through participation in film scoring sessions in a state-of-the-art scoring stage venue, students will improve their overall efficiency of sight-reading, technique, rhythm (including click track competency), intonation, articulation, style orientation, and ensemble-centered production (listening/response sensitivity). ",1 credit(s),ENCL-220
"Course Chair:     Ron Savage  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     Written approval of course instructor  
Department Code:     ENS  
",Contemporary Orchestra," The Contemporary Orchestra features Berklee's student performers, composers, and conductors through the use of standard repertoire, film, multimedia, and sound. Works of major 20th-century composers, as well as Berklee students and faculty, will be programmed. Student performers will gain experience in orchestral auditions and have the opportunity to be featured as soloists. This ensemble meets two times per week; the second weekly meeting will be used for workshops. ",1 credit(s),ENCL-400
"Course Chair:     Ron Savage  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     Written approval of course instructor  
Department Code:     ENS  
",Art Music of Black Composers, The Art Music of Black Composers ensemble will study and perform the richness of America's roots music traditions. The students will study all types of black composers stretching from roots music all the way to modern-day pop. ,1 credit(s),ENCL-403
