category,title,credits,prerequisites,description
CORE HUMAN HERITAGE,CCHH 101 Utopian Visions Fact and Fiction ,3 cr,Prerequisite: None,"Involves a study of Utopian visions of the past and present, both real and imaginary, and connects these visions to four major American protest movements. Incorporates sources ranging from the Declaration of Independence to the songs of Bob Dylan. Course attributes: CHH."
CORE HUMAN HERITAGE,CCHH 210 American Women Regionalist Writers ,3 cr,Prerequisite: None,"Studies the texts of mid-to-late 19th century women regional writers in their historical, political and social contexts. Students will read extensively in both primary and secondary texts of the period to heighten their understanding of how it is that literary history is both shaped and understood, as well as how these particular women writers resisted the then mainstream prescription for an American literary project. Course attributes: CHH, WMST."
CORE HUMAN HERITAGE,CCHH 220 Popular History and Biography ,3 cr,Prerequisite: None,"Examines history in non-fiction prose works intended for a broad audience of intelligent but not expert readers. It looks at the kind and value of information in primary sources, and how secondary sources document them. Primary sources may include letters, diaries, memoirs, speeches, still and moving photographs, drawings, certificates, posters, maps to help distrinquish the different kinds of information revealed in secondary sources. Course attributes: CHH."
CORE HUMAN HERITAGE,CCHH 221 Divine Witness ,3 cr,Prerequisite: None,Explores the history of revelations as a fundamental way of knowing. Reviews important moments in history when divine witness played a part in shaping civilizations or altering the prevailing sense of reality. Features readings from a variety of texts drawn from many spiritual and esoteric traditions. Course attributes: CHH.
CORE HUMAN HERITAGE,CCHH 223 The Great Depression ,3 cr,Prerequisite: None,"Examines the historical, sociological, philosophical, literary and other aspects of the great American depression of the 1930s. Examines the cause and effect of change and persistence during a time of national crisis. Readings are first-hand accounts, documentaries, narratives and explanatory fiction. Course attributes: CHH."
CORE SELF AND SOCIETY,CCSS 101 Contemporary Issues in Society ,3 cr,Prerequisite: None,"Identifies and analyzes significant social issues from one's own cultural context to gain a broader perspective of contemporary society. Explores four themes of understanding ourselves and our social context - people's origins, the socialization process, difference and inequality, and global connectedness. Examines these themes through multiple social science perspectives. Course attributes: CSS."
CORE SELF AND SOCIETY,CCSS 102 Snapshots of Society ,3 cr,Prerequisite: None,"Compares theories about human origins and their place in the world. Explores the relationship between ourselves as individuals and the broader society. Examines how social forces shape our existence as selves of a particular race, gender and class. Identifies key institutions and investigates the dynamics of power. Course attributes: CSS."
CORE SELF AND SOCIETY,CCSS 202 World Regions and the New Global Order ,3 cr,Prerequisite: None,"Studies the economic, political, cutural and physical characteristics of the major regions of the world and the countries within them; discusses how these regions and countries relate and interact at the international level. Course attributes: CSS."
CORE SELF AND SOCIETY,CCSS 210 Landscapes of Human Activities ,3 cr,Prerequisite: None,"Provides an understanding of the fundamental identifying traits of a culture; the economic, social, and political systems and institutions societies erect; the cultural landscapes they create; and the impacts societies have on natural systems. Course attributes: CSS, ENVI."
CORE SELF AND SOCIETY,"CCSS 260 Schools, the Law and Society ",3 cr,Prerequisite: 100-level Self & Society course,"Enables students to explore legislation and judicial decisions affecting school policies. Covers separation of church and state, controversial curricula and rights and responsibilites of students and teachers. Compares America with other cultures regarding equal access to education. Course attributes: CSS."
CORE SELF AND SOCIETY,CCSS 264 Mathematics of Fairness and Equity ,3 cr,Prerequisite: None,"Stresses the connections between contemporary mathematics and modern society by identifying important social problems and conflicts and applying quantitative methods to solve these problems or resolve conflicts. Utilizes the notion of ""enlightened citizenry,"" when students acquire broad knowledge of social problems and are able to apply quantitative methods to make personal judgements and decisions, as well as challenge our basic assumptions regarding a social setting. Course attributes: CSS."
CORE SELF AND SOCIETY,CCSS 264H Honors: Mathematics of Fairness and Equity ,3 cr,Prerequisite: None,"Stresses the connections between contemporary mathematics and modern society by identifying important social problems and conflicts and applying quantitative methods to solve these problems or resolve conflicts. Utilizes the notion of ""enlightened"" citizenry,"" when students acquire broad knowledge of social problems and are able to apply quanititative methods to make personal judgements and decisions, as well as challenge our basic assumptions regarding a social setting. Course attributes: CSS, HONR."
CORE SELF AND SOCIETY,CCSS 268 Culture and the Body ,3 cr,Prerequisite: None,"Examines the body as a universal experience, a historical and cultural creation, and an ethical issue with policy implications. Explores our understanding of the foundations of our treatment of the body, the relationship between socialization and body image, how bodily difference has been used as a basis for inequality, and the impact of globalization on the circulation of body images and the exploitation of bodies. Considers ways in which harmful practices have been challenged and modified. Course attributes: CRCU, CSS, SOCJ, WMST."
CORE SELF AND SOCIETY,CCSS 269 Education and Society ,3 cr,Prerequisite: 100-level Self & Society course,"Studies the role of education as an institution in our society, the world and their lives. Through the use of a wide variety of sources, students will become aware of the people and the historical events that played a role in the development of educational practices and issues, and will be able to compare the myths to the realities of this major institution. Course attributes: CSS."
CORE SELF AND SOCIETY,CCSS 275 Aging and Society ,3 cr,Prerequisite: None,"Examines societal aging from historical, psychological, and sociological perspectives. Analyzes changes in norms, roles, values and attitudes concerning old people due to compositional changes in the population. Economic and ideological factors that influence the development of social policies will be discussed. Course attributes: CSS."
CORE SCIENCE AND TECHNOLOGY,CCST 101 Basic Concepts in Physics and Chemistry ,3 cr,Prerequisite: None,"Examines the major developments in physics and chemistry from a historical context as a foundation for understanding future development in the sciences. Evaluates current scientific results in an informed manner. Intended for non-science majors, course concepts will be applied to contemporary issues. Course attributes: CST."
CORE SCIENCE AND TECHNOLOGY,CCST 102 A Case Study Approach to Science ,3 cr,Prerequisite: None,"Introduces students to the use of the scientific method in various scientific settings. Using the case study method, students will cover a diverse range of topics which may include such topics as: the effects of radiation on biological systems, cancer and waste water treatment. Course attributes: CST."
CORE SCIENCE AND TECHNOLOGY,CCST 103 Quarks to Quasars ,3 cr,Prerequisite: None,"Develops the student's understanding of the physical universe, from the smallest constituents of matter to the most distant, energetic structures known. The student will come to know how the scientific method guides us as we seek new knowledge. Conservation laws, the relationship between energy and matter, the need for mathematics and the inexorable links between the various branches of science will be considered. Course attributes: CST."
CORE SCIENCE AND TECHNOLOGY,CCST 105 The Chemistry of CSI ,3 cr,Prerequisite: None,"Illustrates the intricate role that chemistry plays in solving crimes through the introduction and understanding of basic chemical principles. Forensic techniques such as fingerprint analysis, fiber identification, drug identification and DNA profiling will be introduced. Case studies and ""CSI"" episodes will be used to explore the scientific foundation for the examination of physical, chemical and biological evidence. This course is intended for non-science majors. Course attributes: CST."
CORE SCIENCE AND TECHNOLOGY,CCST 105H Honors: The Chemistry of CSI ,3 cr,Prerequisite: None,"Illustrates the intricate role that chemistry plays in solving crimes through the introduction and understanding of basic chemical principles. Forensic techniques such as fingerprint analysis, fiber identification, drug identification and DNA profiling will be introduced. Case studies and ""CSI"" episodes will be used to explore the scientific foundations for the examination of physical, chemical, and biological evidence. This course is intended for non-science majors. Course attributes: CST, HONR."
CORE SCIENCE AND TECHNOLOGY,CCST 106 The Physics of Superheroes ,3 cr,Prerequisite: None,"Examines superheros through the lens of modern physics. The student will use basic physics principles such as mechanics, energy, and quantum mechanics to model and explain the powers and events in literature, which consists of comic books, sci-fi novels, and fantasy novels. This course will develop problem solving skills that are useful in a variety of real world applications. This course assumes no previous knowledge of physics and will be useful for science and non-science majors alike. Course attributes: CST."
CORE SCIENCE AND TECHNOLOGY,CCST 230 Energy and the Environment ,4 cr,Prerequisite: None,"Looks at the impact of current energy usage on our environment from technical, social and political viewpoints. Investigates the present and projected usage of nonrenewable fuel sources and how modifications due to alternate energy techniques will affect current energy policy. Discusses possible large-scale alternate energy methods. Investigates the scientific aspects of such topics as global warming and ozone depletion. Required laboratory. Course attributes: CSTL, ENVI."
CHEMISTRY,CHEM 150 Introduction to Chemistry I ,4 cr,Prerequisite: None,"Studies chemical principles, theories, laws and their applications. Topics include electronic and nuclear behavior, periodicity, stoichiometry, structure and bonding. Teaches laboratory techniques through the performance of experiments related to the above topics. Required laboratory. Course attributes: CSTL, ENVI."
CHEMISTRY,CHEM 152 Introduction to Chemistry II ,4 cr,Prerequisite: CHEM 150,"Studies chemical principles, theories, laws and their applications. Topics include oxidation and reduction, kinetics, thermodynamics, equilibrium and descriptive inorganic chemistry. Teaches laboratory techniques through the performance of experiments related to the above topics. Required laboratory. Course attributes: CSTL, ENVI."
CHEMISTRY,CHEM 201 Organic Chemistry I ,4 cr,Prerequisite: CHEM 152,"Studies the structure, properties and synthesis of organic compound and the mechanisms of their reactions. Topics include bonding, molecular orbitals, stereochemistry, resonance, acid-based chemistry, nomenclature, infrared spectroscopy, confirmational analysis and substitution and elimination reactions. Required laboratory."
CHEMISTRY,CHEM 202 Organic Chemistry II ,4 cr,Prerequisite: CHEM 201,"Builds on the concepts introduced in CHEM 201 by studying the reactivity of other classes of compounds including aromatic, unsaturated, alcohols, ethers, carbonyl derivatives and nitrogen-containing compounds. Nuclear magnetic resonance (NMR) will be studied. Basic total synthesis will be covered throughout the semester as new reactions are introduced. Required laboratory."
CHEMISTRY,CHEM 250 Inorganic Chemistry ,3 cr,Prerequisite: CHEM 152,"Explores the structures, properties and chemical reactivity of the elements and of many compounds. This course builds upon the principles that have been introduced in general chemistry and will enhance understanding of atomic structure and bonding models, periodic trends and molecular symmetry, including molecular orbitals. These concepts are directly applicable to organic and biochemistry and environmental science."
CHEMISTRY,CHEM 301 Physical Chemistry I ,3 cr,"Prerequisite: CHEM 152, MATH 320","Studies the concepts and methods of classical thermodynamics and their application to chemical systems including: chemical reactions, phase changes, solubility, equilibrium, kinetics and electrochemistry."
CHEMISTRY,CHEM 302 Physical Chemistry II ,3 cr,Prerequisite: CHEM 301 Coreq: CHEM 401,"Develops the mathematical and conceptual foundations of quantum mechanics. Includes applications of quantum theory to atomic and molecular spectroscopy. Group theory will be introduced and then applied to atomic and molecular structure and motion, rotational, vibrational and electronic spectra."
CHEMISTRY,CHEM 310 Analytical Chemistry ,4 cr,Prerequisite: CHEM 152,"Examines classical and modern methods of chemical analysis. Emphasis is placed on chemical equilibrium, titrimetry and selected analytical applications of instrumental methods, including visible, infrared, fluorescence spectroscopy, gas chromatography and electro-chemistry. Required laboratory focuses on analytical techniques."
CHEMISTRY,CHEM 380 Drug Chemistry ,3 cr,"Prerequisite: CHEM 202, CHEM 250","Explores the chemistry of drug design, synthesis and action. The methods used to design potential new drug molecules will be discussed as well as how they are either isolated from natural sources or created in the laboratory."
CHEMISTRY,CHEM 395 Special Topics in Chemistry,1 to 4 cr,Prerequisite: Junior/senior status or department approval,"Covers current topics in chemistry including: bioinorganic chemistry, bioorganic chemistry, forensic chemistry and physical chemistry. Depending on the topic, laboratory exercises could be conducted as part of the course content. This course does not require an independent project."
CHEMISTRY,CHEM 401 Advanced Laboratory ,3 cr,Prerequisite: CHEM 301 Coreq: CHEM 302,"Examines bulk macroscopic and microscopic properties of matter. Topics include computer applications to statistical methods and data analysis, glass blowing and techniques of experimental physical chemistry."
CHEMISTRY,CHEM 405 Advanced Synthetic Chemistry ,3 cr,"Prerequisite: CHEM 202, CHEM 310","Introduces the student to a variety of advanced methods in the synthesis and characterization of organic and inorganic compounds. A wide range of compounds will be synthesized, including organic compounds, bioinorganic compounds, transition-metal complexes, and coordination compounds."
CHEMISTRY,CHEM 410 Instrumental Methods in Chemistry ,3 cr,Prerequisite: CHEM 310,"Explores the role of instruments in chemical research. The theory and hands-on experience of a variety of analytical instruments will be covered. These include: ultraviolet, visible, fluorescence and infrared spectroscopic instrumentation as well as high pressure liquid chromatography (HPLC) and gas chromatrography (GC). This course is laboratory-based with minimal lecture."
CHEMISTRY,CHEM 420 Special Topics in Chemistry,1 to 4 cr,Prerequisite: Junior/senior status or department approval,"Covers current topics in chemistry including: bioinorganic chemistry, bioorganic chemistry, forensic chemistry and physical chemistry. Depending on the topic, laboratory exercises could be conducted as part of the course content. This course requires an independent project."
CHEMISTRY,CHEM 440 Advanced Organic Chemistry ,3 cr,Prerequisite: CHEM 202,"Provides the student with a deeper understanding of some of the concepts and reactions that are discussed in CHEM 201 and CHEM 202. The course also introduces new reactions such as the Aldol, Clasien Rearrangement and Ene reactions. The role of these reactions in the total synthesis of natural products is also explored. Current topics in organic chemistry will be discussed."
CHEMISTRY,CHEM 490 Chemistry Seminar ,1 cr,Prerequisite: Senior status,Presents current topics in chemistry. Primary literature articles will be assigned and discussed in class. Enrolled students will present topics of their choice. Attendance at academic lectures at other colleges/universities is possible.
CHEMISTRY,CHEM 500 Independent Study in Chemistry,1 to 3 cr,"Prerequisite: Junior/senior status, department approval",For chemistry majors who wish to conduct an independent project on a specific topic in chemistry. The project will be supervised by a faculty member. The course requires a final scholarly report detailing the finding of the project. This course may be taken more than once for lengthy projects.
CHEMISTRY,CHEM 540 Internship in Chemistry,1 to 15 cr,"Prerequisite: Junior/senior status, department approval",Offers the upper-level chemistry major an opportunity to practice chemistry in an appropriate professional situation. The student will work with a faculty sponsor and an off-campus supervisor in gaining experience significant to the major.
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 101 Introduction to Computer Science ,3 cr,Prerequisite: None,"Introduces entering computer science majors to various topics used throughout the curriculum. Topics include computer hardware, operating systems, file systems, file types, protocols and networking."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 121 Programming in Java I ,3 cr,Prerequisite: None,"Introduces the concepts of program development using the Java programming language. Topics include variables, control structures, arrays, string manipulation and an introduction to object oriented concepts."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 122 Programming in Java II ,3 cr,Prerequisite: CSCI 121,"Continues the study of object oriented programming and the Java language. Topics include file manipulation, method and class definitions, graphic applications, applets, multimedia, events and interfaces."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 208 Graphics I ,3 cr,Prerequisite: None,"Provides a broad overview of computer graphics. Students will use proprietary and open source software to integrate images and text. The course includes demonstrations, lectures, presentations and hands-on projects. It is expected that students will have access to a digital camera and that students will work with their own images."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 210 Networking Theory and Administration I,3 cr,Prerequisite: None,"Introduces students to topics in networking theory such as protocols, protocol stacks, encryption and security. Basic network troubleshooting and administration will also be covered."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 211 Networking Theory and Administration II,3 cr,Prerequisite: CSCI 210,"Introduces students to advanced topics in networking theory such as flow control and congestion control algorithms, routing algorithms, multiple access algorithms, and error detection and correction algorithms. Advanced troubleshooting and network administration will be covered."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 221 Programming in Java III ,3 cr,Prerequisite: CSCI 122,Continues the study of object oriented programming and the Java language. This course focuses on the development of graphical user interfaces and animated simulations and games using object oriented programming techniques.
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 222 Programming in Java IV ,3 cr,Prerequisite: CSCI 221,"Continues the study of object-oriented programming and the Java language. Topics include advanced data structures, input and output streams and serialization, multithreading, networking and object-oriented design methodology."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 235 Digital Circuit Design ,4 cr,Prerequisite: None,"Introduces the fundamental concepts involved in the analysis and design of digital logic circuits. Topics include number systems, Boolean algebra, logic minimization, and combinational and sequential circuits. Students design, implement, test and debug digital systems. Required laboratory."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 236 Web Development ,3 cr,Prerequisite: None,"Emphasizes the client side tools and techniques used to develop web applications. Topics include XHTML, cascading style sheets, file transfer protocol and browser compatibility. The course will also discuss effective web page design considerations, including usability, accessibility and information design."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 240 Introduction to Robotics ,3 cr,Prerequisite: None,"Introduces the student to the field of robotics. Students work in teams to build a small robot and program it to perform various tasks. Additionally, the course will discuss the essential elements of robotic systems, including motors, sensors, physical design and control."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 243 Database Development ,3 cr,Prerequisite: None,"Introduces the design, management and programming of database systems. This course focuses on the design of database systems using the SQL language, and will provide hands-on experience with one or more database management system products. It also examines the role of a database administrator."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 246 Programming in C# I ,3 cr,Prerequisite: None,"Introduces the concepts of program development using the C# programming language. Intended for business information majors, this course focuses on an introduction to the visual studio development environment, simple variables and control structures, and an introduction to object-oriented concepts."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 247 Introductory Topics in Computing ,3 cr,Prerequisite: None,"Provides an understanding of a topic in computing that may be of interest to majors or non-majors. This course introduces a topic that is not currently part of the department curriculum. Depending on the specific topic, students will demonstrate mastery of course content through programs, papers, and/or portfolio development."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 248 Programming in C# II ,3 cr,Prerequisite: CSCI 246,"Continues the study of program development using the C# programming language. Intended for business information majors, this course focuses on advanced C# concepts including structured variables, additional control structures, object creation, code reuse and dynamic storage allocation."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 252 Systems Development ,3 cr,Prerequisite: None,"Introduces the systems-development life cycle, information gathering techniques and techniques of systems analysis, design and implementation. Computer-Assisted Software Development (CASE) will be introduced. Teams will analyze and design portions of computer based systems."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 288 Web Page Design ,3 cr,Prerequisite: None,"Introduces the study of web page design using contemporary design tools and development environments. Intended for non-computer science majors, the course takes a creative approach to web design that is facilitated by a good working knowledge of technical skills. Course explores theoretical, aesthetic and technical perspectives of effective web page design. Upon completion, students will be able to employ design techniques to create beautiful and highly functional web pages."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 302 Computer Triage ,3 cr,Prerequisite: CSCI 101,"Intended for computer science majors. Topics include: troubleshooting, problem solving and maintaining network hardware and software."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 308 Graphics II ,3 cr,Prerequisite: CSCI 208,"Builds on CSCI 208 and provides a broad overview of 3-D computer graphics. Students will use proprietary and open souce software to create and render three-dimensional objects and scenes. The course includes demonstrations, lectures, presentations and many ""hands-on"" projects."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 318 Computer Organization and Assembly Language ,3 cr,Prerequisite: CSCI 235,"Introduces students to the major hardware components of a computer system and to the organization of computers as a hierarchy of hardware and software. Considers the basic functional units of a computer system and then examines the following levels:digital logic, microprogramming, conventional machine language, operating system and assembly languages."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 328 Object Oriented Design ,3 cr,Prerequisite: CSCI 221,"Investigates system design using the standard object oriented design methodology. The Unified Modeling Language (UML) is covered extensively, as are the tools and diagrams associated with it. The course incorporates the use of software design tools and applications used in industry."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 330 Programming in C++ ,3 cr,Prerequisite: CSCI 122,"Applies programming concepts to the C++ language. This course is intended for students who have studied another object-oriented programming language for at least two semesters. Topics include C++ syntax, data structures, libraries, graphics and GUI applications."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 336 Advanced Web Development ,3 cr,Prerequisite: CSCI 236,"Continues the study of World Wide Web application development. This course emphasizes both client-side and server-side tools and techniques used to develop web applications, and will include various scripting languages."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 340 Robotics Development ,3 cr,"Prerequisite: CSCI 122, or CSCI 235, or CSCI 240, or PHYS 251","Introduces the student to various development areas associated with robotics. Topics include motors, motor control, sensors, microcontrollers, physical design, basic analog and digital circuit theory, software design, interfacing and artificial intelligence. Students will construct a robot or robotic system and choose to focus on one or more of these areas."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 343 Server-Side Software Development ,3 cr,"Prerequisite: CSCI 122, CSCI 236, CSCI 243",Focuses on the development of server-side applications with database connectivity. This course merges the concepts learned in Web Development and Database Development to form traditional persistent multi-client systems.
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 346 Programming in Visual Studio ,3 cr,Prerequisite: CSCI 122 or CSCI 248,"Applies programming concepts to the language found in the Visual Studio programming environment. This course is intended for students who have studied another programming language for at least two semesters. Topics include syntax, data structures, graphics and GUI application in a Windows environment."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 347 Intermediate Topics in Computing ,3 cr,Prerequisite: Department approval,"Provides in-depth study of a topic introduced in an earlier course. Depending on the specific topic, students will demonstrate mastery of course content through programs, papers and/or portfolio development."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 350 Introduction to Parallel Computing ,3 cr,Prerequisite: CSCI 122,"Introduces parallel computing methods for both distributed memory and shared memory architectures. In this course, students will learn how to design and implement parallel algorithms for solving classic computer science problems, and analyze their performance. This course covers several parallel programming techniques such as Open MPI, POSIX Threads, Open MP, and Java Threads."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 352 Business Information Systems ,3 cr,Prerequisite: CSCI 252,"Provides an examination of business information systems that apply to all strata of organizations. The course will view organizations as information systems and demonstrate how computers are integrated in these organizations. Students will engage in service learning projects and gain practical experience off-campus, solving real problems for various companies."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 360 Network Security I ,3 cr,Prerequisite: CSCI 211,"Examines client based/end user security. This course is intended for computer science majors. Topics include: identification, prevention and recovery from security vulnerabilities and threats to PCs, tablets and mobile devices."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 361 Data Structures and Algorithms ,3 cr,Prerequisite: CSCI 122,"Introduces fundamental data structures such as stacks, queues, dictionaries, trees, and graphs. This course also covers the development and analysis of algorithms that sort, search, traverse, and divide and conquer. Algorithm analysis techniques covered include the RAM model of computation, best-case, worst-case, and average-case complexity. Students will implement data structures and algorithms using a contemporary programming language and serial and parallel programming techniques."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 362 Operating Systems ,3 cr,Prerequisite: CSCI 361,"Students learn about and implement the fundamental principles used by operating systems to manage processes, memory, storage, and security. In addition, case studies will be introduced to explore the implementation of at least two modern operating systems."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 363 Network Security II ,3 cr,Prerequisite: CSCI 360,"Continues CSCI 360, Network Security I and examines networked systems security. This course is intended for computer science majors. Topics include: identification, prevention and recovery for security vulnerabilities and threats to network data and networked resources."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 390 Junior Qualification Symposium ,1 cr,"Prerequisite: CSCI 222, 235, 236, 243","Ensures that students are prepared for their senior year of study in the Computer Sciences Software Development Program. Students attend class for one hour each week to review material from the lower level courses in the program, (100 and 200 level). Near the end of the semester, each student will take a multi-part exam, which must be passed to continue on."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 408 Graphics III ,3 cr,Prerequisite: CSCI 308,"Explores the history of CG animation and produces an animation short using a 3-D graphics program. Students will build on their skills developed in CSCI 208 and CSCI 308 and, working in teams, develop, refine and build a computer generated short animation."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 420 Bioinformatics ,3 cr,"Prerequisite: CSCI 243, BIOL 240","Introduces the fundamental algorithms used in bioinformatics and how these algorithms can be used to solve biological problems. In this class, students will learn how bioinformatics algorithms work, as well as how to obtain sequence data from scientific databases and analyze these data using tools available on the MCLA high-performance cluster."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 441 Teaching Assistant in Computer Science ,3 cr,Prerequisite: Department approval,"Assigns students to assist a member of the computer science faculty. Students will be involved in developing materials for class, giving workshops and help sessions, and evaluating computer science projects. A member of the computer science faculty will coordinate, counsel and evaluate students enrolled in the course."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 447 Advanced Topics in Computing ,3 cr,Prerequisite: Department approval,"Provides advanced study of a topic introduced in an earlier course. Depending on the specific topic, students will demonstrate mastery of course content through programs, papers and/or portfolio development."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 452 Software Engineering ,3 cr,"Prerequisite: CSCI 343, CSCI 390",Prepares students for work in industry. This course introduces students to modern tools and approaches that will allow them to design professional quality software.
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 461 Senior Project I ,1 cr,"Prerequisite: CSCI 328, CSCI 343","Prepares senior computer science majors for their final projects and life beyond graduation. In addition to writing and presenting proposals for senior projects, students prepare portfolios and resumes. Course topics include various writing styles, presentation techniques and networking and communication skills. Students choose a faculty advisor and begin work on the senior project during this semester."
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 462 Senior Project II ,1 cr,Prerequisite: CSCI 461,Provides students with a final and substantial project. Students work with a faculty advisor to complete the senior project started in senior seminar. Projects are presented during a public senior project day at the end of the semester.
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 500 Independent Study,1 to 3 cr,"Prerequisite: Junior/senior status, department approval",Designed for students who wish to undertake an in-depth examination of some topic of interest. The project will be carried out under the direction of a computer science faculty sponsor.
COMPUTER SCIENCE AND INFORMATION SYSTEMS,CSCI 540 Internship in Computer Science,3 to 12 cr,"Prerequisite: CSCI 222, or junior/senior status, or department approval",Open to juniors and seniors who would like to gain practical field experience in the computer industry. The intern will work under close supervision of both industry and department personnel.
ECONOMICS,ECON 141 Macroeconomics ,3 cr,Prerequisite: None,"Examines the organization of American economic systems, with comparisons to those of other countries. Emphasis is on the problems of unemployment, inflation, budget deficits and the possible fiscal and monetary policies used to correct them. The course studies such aggregate economic variables as consumption, investment, government expenditures, and taxes. Course attributes: CSS."
ECONOMICS,ECON 142 Microeconomics ,3 cr,Prerequisite: None,"Deals with individual economic units, consumers and firms. Topic areas which are covered extensively are demand, elasticity and cost theories. The theory of wages and its application to labor markets are also discussed. An analytical study of market structure - perfect competition, monopolistic competition, oligopoly and monopoly - is emphasized."
ECONOMICS,ECON 216 Statistics for Business and Economics ,3 cr,Prerequisite: Completion of Tier I Quantitative Reasoning requirement,"Introduces descriptive statistics, including graphical and numerical presentation of data. Uses probability distribution as an aid to analyze business and economic problems; application of regression models and hypothesis testing in the decision-making process. Use of computers in solving problems is emphasized."
ECONOMICS,ECON 290 Sophomore Special Topics ,3 cr,Prerequisite: Sophomore status,Introduces students to various topics of emerging importance in economics. Examines one or more current issues in depth.
ECONOMICS,ECON 315 Environmental Economics ,3 cr,Prerequisite: ENVI 150 or ENVI 152 or ECON 141 or ECON 142 and junior status,"Introduces students to the economic analysis of the conflict between our lifestyle of unlimited wants and the scarce resources of our biological environment. Examines economic theory and applications to explain the dynamics of conflict. Uses an economic aproach to solving environmental problems; students will research, analyze and report on environmental public policy issues."
ECONOMICS,"ECON 340 Money, Banking and Global Financial Markets ",3 cr,Prerequisite: Completion of Tier II Self & Society,"Investigates the financial systems of the U.S., European Union and emerging economies. Emphasizes how economic institutions reflect the diversity of world cultures, including major financial institutions, monetary theory, interest rates and the structure and role of the Federal Reserve. Issues include economic, social, political and cultural integration of industrialized vs. Third World countries."
ECONOMICS,ECON 343 Managerial Economics ,3 cr,Prerequisite: ECON 142,"Studies the application of economic theory to decisionmaking problems in the private and public sectors, including both explicit and implicit constraints imposed by the environment on the decision-maker. Systematic development of the theory of the interaction of consumers, firms and industries; a study of market structure, conduct and performance; and capital budgeting."
ECONOMICS,ECON 348 Contemporary Economic Issues ,3 cr,Prerequisite: ECON 141,"Studies contemporary economic problems: employment, inflation, economics of pollution, income distribution, international debt crisis, the value of the dollar, balance of payments and the federal budget."
ECONOMICS,ECON 377 Economics of Culture and Tourism ,3 cr,"Prerequisite: Junior status, completion of Tier II Self & Society","Considers the economic aspects of cultural and other events and activities on local communities and geographic regions, especially as they impact tourism and quality of life. Looks at how cultural goods are valued in both economic and cultural terms. Examines the role of culture and tourism in regional economic development. Analyzes current public policy toward cultural venues at federal, state and local levels in the United States and abroad."
ECONOMICS,ECON 490 Special Topics in Economics ,3 cr,"Prerequisite: Junior status, completion of Tier II Self & Society",Studies a specific topic in economics for the purpose of encouraging advanced work and research in a field of interest. Content will be identified by subtitle.
ECONOMICS,ECON 500 Independent Study in Economics,1 to 3 cr,Prerequisite: Junior status,Open to juniors and seniors who wish to study a topic in depth. Final reports and frequent conferences with advisor are required. Enrollment requires individual application and department approval.
