Course Title,Term,Course Description,Course Number,Credits,Course Id
 Microbial Genetics and Evolution,Fall,"See description under subject 7.493[J].
",12,12,12.493[J]
 Essentials of Global Geophysics,Fall,"Overview of basic topics in solid-earth geophysics, such as the Earth's rotation, gravity and magnetic field, seismology, and thermal structure. Formulation of physical principles presented in three one-hour lectures per week. Current applications discussed in an additional one-hour tutorial each week. Students taking graduate version complete different assignments.
",12,12,12.501
 Essentials of Applied Geophysics,Fall,"Introduces the application of geophysical methods to all aspects of near-surface environmental and engineering geophysics, including the exploration for petroleum, water, and minerals. Topics include seismic, electrical, electromagnetic, ground penetrating radar, magnetics, gravity, rock physics and chemistry, borehole geophysics and the global positioning system (GPS). Uses a quantitative approach to emphasize basic principles and a physical /chemical understanding of each method. Discusses specific illustrative field examples. Lab work is mainly devoted to local field work and equipment preparation for the IAP Field Geophysics class. Students taking graduate version complete additional assignments.
",12,12,12.507
 Introduction to Seismology,Spring,"A basic study in seismology and the utilization of seismic waves for the study of Earth's interior. Introduces techniques necessary for understanding of elastic wave propagation in stratified media and for calculation of synthetic seismograms (WKBJ and mode summation). Ray theory; interpretation of travel times. (e.g., tomography); surface wave dispersion in layered media; Earth's free oscillations; and seismicity, (earthquake locations, magnitude, moment, and source properties).
",12,12,12.510
 Field Geophysics,"Not Offered, ","Covers practical methods of modern geophysics, including the global positioning system (GPS), gravity, and magnetics. Field work is conducted in western US and includes intensive 10-day field exercise. Focuses on measurement techniques and their interpretation. Introduces the science of gravity, magnetics, and the GPS. Measures crustal structure, fault motions, tectonic deformations, and the local gravity and magnetic fields. Students perform high-precision measurements and participate in data analysis. Emphasizes principles of geophysical data collection and the relevance of these data for tectonic faulting, crustal structure, and the dynamics of the earthquake cycle. Students taking graduate version complete additional assignments.
",12,6,12.511
 Field Geophysics Analysis,Spring,"Focuses on in-depth data analysis and development of skills needed to report results both in writing and orally. Students use data collected in 12.511 to develop written and oral reports of the results, with each student focusing on a different area. For example, students can develop the geophysical modeling or synthesis of the results into other studies in the area. The final written and oral reports are combined into a comprehensive report and presentation of the field camp and its results. Students taking graduate version complete additional assignments.
",12,6,12.512
 Data and Models,Fall,"Surveys a number of methods of inverting data to obtain model parameter estimates. Topics include review of matrix theory and statistics, random and grid-search methods, linear and non-linear least squares, maximum-likelihood estimation, ridge regression, stochastic inversion, sequential estimation, singular value decomposition, solution of large systems, genetic and simulated annealing inversion, regularization, parameter error estimates, and solution uniqueness and resolution. Computer laboratory and algorithm development.
",12,12,12.515
 Geodynamics,Spring,"Mechanics of deformation of the crust and mantle, with emphasis on the importance of different rheological descriptions: brittle, elastic, linear and nonlinear fluids, and viscoelastic.
",12,12,12.520
 Computational Geophysical Modeling,Spring,"Introduces theory, design, and practical methods of computational modeling in geodynamics and geophysical fluid dynamics. Covers the most effective and widely used numerical modeling approaches (e.g., boundary element, finite difference, finite element) and emphasizes problem-solving skills through illustrative examples of heat and mass transfer in the mantle and the ocean. Students acquire experience with various numerical methods through regularly assigned computational exercises and a term-long modeling project of each student's choice.
",12,12,12.521
 Geological Fluid Mechanics,Fall,"Treats heat transfer and fluid mechanics in the Earth, low Reynolds number flows, convection instability, double diffusion, Non-Newtonian flows, flow in porous media, and the interaction of flows with accreting and deforming boundaries. Applications include: the flow under plates, postglacial rebound, diapirism, magma dynamics, and the mantle convection problem.
",12,12,12.522
 Mechanical Properties of Rocks,Fall,"A survey of the mechanical behavior of rocks in natural geologic situations. Topics: brief survey of field evidence of rock deformation, physics of plastic deformation in minerals, brittle fracture and sliding, and pressure-solution processes. Results of field petrologic and structural studies compared to data from experimental structural geology.
",12,12,12.524
 Mechanisms of Faulting and Earthquakes,Fall,"Explores the fundamental mechanics of faulting and earthquakes from four related perspectives: seismology, geodesy, geodynamics, and rheology. Topics to be covered include (1) the physical processes that control the rheology of faults, including friction and fracture, (2) how these rheological processes are manifest in faulting and earthquakes in the earth from a geodynamics perspective, and (3) how the mechanics of faulting and earthquakes are constrained by seismological and geodetic observations. Both continental and oceanic examples of faulting and earthquakes will be featured.
",12,12,12.525
 Rock Physics,Spring,"Fundamentals of experimental and theoretical rock physics taught at an advanced level. Rocks viewed as complex composite media with behavior dependent both on the physical and chemical properties of the constituent phases, and on their geometries. Electrical, fluid transport, and seismic properties covered in detail. Other topics such as magnetic, mechanical, and thermal responses briefly discussed. Weekly laboratory.
",12,12,12.533
 Principles of Global Positioning System,Spring,"The principles and applications of the Global Positioning System (GPS) and other space geodetic systems, including very-long-baseline interferometry (VLBI) and satellite laser ranging (SLR). The nature and uses of the course acquisition (CA), the precise positioning (P) codes, and the differential carrier phase observable. Techniques for estimating geodetic and geophysical quantities from these data. Other topics include: atmospheric refraction modeling, effects of Selective Availability (SA), estimation techniques (including Kalman filtering). Statistical and spectral analysis of data.
",12,12,12.540
 Advanced Seismology: Theory and Applications of Seismic Imaging,Spring,"Introduces fundamental principles of seismic imaging used in both exploration and solid earth applications. Topics include ray theoretical approaches, scattering theory, and seismic waveform modeling. Through lectures, projects and student-led discussions of journal articles, the class covers the whole process of seismic imaging, from data preprocessing to model generation and geological interpretation of the results.
",12,12,12.552
 Advanced Seminar in Exploration Geophysics,"Spring, Fall","Advanced seminar focusing on areas of current interest in exploration geophysics and seismology. 12.560 is letter-graded.
",12,6,12.560-12.561
 Topical Issues in Global Geophysics,Spring,"Series of formal lectures and seminars with the specific content varying by term to reflect current issues in research. Meets jointly with relevant Harvard course.
",12,Not Defined,12.570
 Seminar in Geophysics,Fall,"Problems of current interest in geophysics; subject matter varying from term to term.
",12,Not Defined,12.571
 Current Research in Geophysics,"Spring, Fall, IAP, Summer","Original investigations, laboratory work, or fieldwork in geophysics. 12.580 is letter-graded.
",12,Not Defined,12.580-12.581
 Modeling Environmental Complexity,Fall,"Introduction to mathematical and physical models of environmental processes. Emphasis on the development of macroscopic continuum or statistical descriptions of complex microscopic dynamics. Problems of interest include: random walks and statistical geometry of landscapes; percolation theory and transport in disordered media; fractals, scaling, and universality; ecological dynamics and the structure of ecosystems, food webs, and other natural networks; kinetics of biogeochemical cycles. Appropriate for advanced undergraduates. Beginning graduate students are encouraged to register for 12.586. Students taking the graduate version complete different assignments.
",12,12,12.586
 Essentials of Planetary Science,Fall,"Reviews fundamental physical concepts pertaining to the study of the solar system, and highlights recent spacecraft results. Topics include: meteorites, orbital dynamics, asteroids, impact craters, surfaces, atmospheres, atmospheric dynamics, interiors, magnetospheres, rings, comets, formation of the solar system.
",12,12,12.601
 Asteroids and Small Bodies,Fall,"Introduction to the study of asteroids and the ground-based and space-based techniques used to explore them. Topics include asteroid orbital properties, surface structure, physical properties, classifications, as well as their origin, thermal and collisional evolution, and interrelationships with meteorites and comets. Also covers the near-Earth asteroids, the probabilities and consequences of terrestrial collisions, and the possible utilization of asteroids as space resources.
",12,12,12.602
 Solar System Dynamics,Spring,"Studies the dynamics of the solar system and its major subsystems, and the dynamics of exoplanets, with a modern emphasis on the qualitative structure of phase space. Topics may include rotational dynamics, spin-orbit coupling, Cassini states, and orbital dynamics, resonances, and Kozai oscillations, tidal evolution and tidal heating.
",12,12,12.603
 Advanced Planetary Observations,"Not Offered, ","Individual research projects in planetary science and astrophysics involving supervised work at Lowell Observatory in Flagstaff, AZ. Projects may include observations made using Lowell's telescope facilities. Project topics and objectives vary from year to year. Written and oral reports required.
Enrollment limited.",12,9,12.611
 Classical Mechanics: A Computational Approach,Fall,"Classical mechanics in a computational framework, Lagrangian formulation, action, variational principles, and Hamilton's principle. Conserved quantities, Hamiltonian formulation, surfaces of section, chaos, and Liouville's theorem. Poincar integral invariants, Poincar-Birkhoff and KAM theorems. Invariant curves and cantori. Nonlinear resonances, resonance overlap and transition to chaos. Symplectic integration. Adiabatic invariants. Applications to simple physical systems and solar system dynamics. Extensive use of computation to capture methods, for simulation, and for symbolic analysis. Programming experience required. Students taking the graduate version complete additional assignments.
",12,12,12.620[J]
 Extrasolar Planets: Physics and Detection Techniques,Fall,"In-depth study of current topics in exoplanets, such as exoplanet transits, radial velocity curves, current survey missions, the mass-radius relation, and super Earths. Class activities consist of reading the current literature, problem sets, and a term project. Students taking graduate version complete additional assignments.
",12,12,12.625
 Current Topics in Planetary Science,Spring,"In-depth discussion of current and classic literature on selected topics in planetary science. Topics vary from year to year.
",12,12,12.650
 Current Topics in Planetary Science,"Spring, Fall","In-depth discussion of current and classic literature on selected topics in the specialty areas of asteroids and the Pluto-Charon system. Topics vary from year to year.
",12,12,12.652
 Current Research in Planetary Science,"Spring, Fall, IAP, Summer","Original investigations, laboratory work, or fieldwork in planetary science. 12.690 is letter-graded.
",12,Not Defined,12.690-12.691
 Classic Papers in Physical Oceanography,Spring,"Provides a historical perspective on fundamental topics in oceanography by considering individual works which, when pieced together, contribute to the more cohesive description of how the ocean works. In class discussions, students consider various aspects of the work in question, including motivation, approach, and implications for the broader context. They also synthesize information and make oral presentations. Develops basic analytical and critical skills in paper reading and writing.
",12,6,12.701
 Elements of Modern Oceanography,Fall,"Examines a series of crosscutting topics that exemplify current directions in interdisciplinary oceanography. Focuses on current themes in oceanography, their inter-disciplinary nature, and the role of ocean sciences in society. Introduces core concepts across the disciplines of biological, physical, and chemical oceanography as well as marine geology. Emphasis on the inter-disciplinary aspects of these core concepts, the kinds of approaches and modes of thinking common to all of the disciplines, and the technological developments underpinning current advances.
",12,12,12.702
 Presenting Scientific Research,Fall,"Presenting scientific research geared toward a scientific audience. Each student gives one 30-minute talk, one AGU-style 15-minute talk, and one poster presentation. Students present their ongoing research and use the class as a forum to practice for upcoming talks in more formal settings. Abstracts are prepared for each presentation and discussed in class. Students provide comments, questions, encouragement, critiques, etc. on their peers' presentations.
",12,6,12.703
 The History of Earth's Climate,Spring,"Climate history of the Earth from the formation of the early atmosphere and ocean to the present. Evaluation of geochemical, sedimentological, and paleontological evidence for changes in ocean circulation, global temperatures, and atmospheric carbon dioxide levels. Theories and models of Phanerozoic climate change. Long-term history of the global carbon cycle.
",12,12,12.707
 Seminar in Paleoclimatology,Fall,"Advanced seminar focusing on areas of current interest in paleoceanography and paleoclimatology. Includes discussion of current and classic literature. Topics vary from year to year.
",12,Not Defined,12.708
 Geological Oceanography,Fall,"Provides a high level survey of a broad range of active science topics in Geological Oceanography. Presents background material that graduate students are expected to know in the disciplines of solid-earth geophysics, geochemistry, sedimentology and stratigraphy, coastal processes, and climate, including a representative set of canonical science papers, and builds on this material to give a sense of the current state of the science in these fields. Broad topics include the formation of the earth, petrogenesis, volcanism, plate tectonics, geodynamics, sedimentation in the oceans, coastal morphodynamics, paleo-oceanography, and climate. The interconnectedness of and feedbacks between processes discussed under these various topics is emphasized.
",12,12,12.710
 Advanced Marine Seismology,Fall,"Focuses on synthetic seismograms, ocean bottom refraction seismology, and multi-channel reflection seismology as applied to studies of the ocean sediments, crust, and lithosphere. Topics include: the wave equations for elastic/anelastic, isotropic/anisotropic, homogeneous/heterogeneous and fluid/solid media; ray theory and WKBJ approximations; the Sommerfeld/Weyl integrals, asymptotic analysis, and Lamb's problem for a fluid/solid interface; reflectivity and related methods; finite difference and finite element methods; and special topics of interest to the class. Extensive readings of geophysical and seismological literature.
",12,9,12.712
 Computational Data Analysis,Spring,"An introduction to the theory and practice of analyzing discrete data such as are normally encountered in geophysics and geology. Emphasizes statistical aspects of data interpretation and the nonparametric discrete-time approach to spectral analysis. Topics include: elements of probability and statistics, statistical inference, robust and nonparametric statistics, the method of least squares, univariate and multivariate spectral analysis, digital filters, and aspects of multidimensional data analysis.
",12,12,12.714
 Essentials of Oceanic Petrology,Fall,"Qualitative interpretation and quantitative analysis of melting, melt transport, melt-rock reactions, igneous crustal accretion, metamorphism and hydrothermalism at oceanic spreading centers and subduction-related arcs applied to understanding the variations in the composition of the Earth's (oceanic) mantle and crust and accretionalry processes at mid-ocean ridges. Combines theoretical methods with field, petrographic, geochemical, and computational techniques. Topics vary from year to year.
",12,9,12.716
 Coastal Geomorphology,Spring,"Explores mechanisms behind the formation and reshaping of coastal environments. Focuses on a process-based understanding of both the fluid dynamic and sediment transport aspects of coastal landforms, and, especially, the importance of feedbacks between the two. Investigates coastal evolution at various scales - from ripples to coastline formation - with an emphasis on the behavior of coastal environments over integrated timescales of days and years to centuries and millennia. Students investigate the effect of storms, sea-level rise, and interactions with biological and anthropogenic influences. Covers a broad array of coastal environments, including beaches, barrier islands, spits, inlets, tidal flats, deltas, rocky coasts, arctic shores, and carbonate atolls.
",12,12,12.717
 Kinetics and Mass Transport,Fall,"Offers a broad overview of various kinetic and transport processes in geology, including volume and grain boundary solid-state diffusion, defects in minerals, rates of mineral reaction and transformation, crystal nucleation and growth, advective transport in porous media and partially molten aggregates, and percolation theory. Emphasis on processes in crystalline rocks. Covers theoretical, phenomenological, and experimental constraints, with a consistent application to ""real-world"" settings and actual case histories.
",12,9,12.718
 Current Research in Marine Geology and Geophysics at Woods Hole,"Spring, Fall, IAP, Summer","Original investigations, laboratory work, or fieldwork in marine geology and geophysics.
",12,Not Defined,12.721
 Current Research in Chemical Oceanography at Woods Hole,"Spring, Fall, IAP, Summer","Original investigations, laboratory work, or fieldwork in chemical oceanography.
",12,Not Defined,12.722
 Current Research in Marine Geology and Geophysics at MIT,"Spring, Fall, IAP, Summer","Original investigations, laboratory work, or fieldwork in marine geology and geophysics under the supervision of a faculty member in residence at MIT. For students in the MIT/WHOI Joint Program. 12.730 is letter-graded.
",12,Not Defined,12.730-12.731
 Current Research in Chemical Oceanography at MIT,"Spring, Fall, IAP, Summer","Original investigations, laboratory work, or fieldwork in chemical oceanography under the supervision of a faculty member in residence at MIT. For students in the MIT/WHOI Joint Program. 12.735 is letter-graded.
",12,Not Defined,12.735-12.736
 Marine Microbiology and Biogeochemistry,Fall,"Integrates the fields of microbiology and biogeochemistry, and is centered on elucidating the linkages between microorganisms and geochemical processes in the oceans. Divided into modules that first lay the theoretical framework to familiarize students of diverse backgrounds (biologists, chemists, physical oceanographers). Next, introduces specific and general linkages between the topics and the major tools and techniques that have advanced their integrated study. Concludes with a synthesis module examining the role of microorganisms in the biogeochemical cycles of diverse ocean biomes
",12,12,12.739
 Paleoceanography,Spring,"Studies the basic principles of techniques for reconstructing the history of ocean climate from marine sediment cores, corals, ice cores, and other paleoclimate archives. Examines this data in the light of proposed climate change mechanisms. Micropaleontological, isotopic, geochemical, and mineralogical changes are used to infer changes in seawater composition, atmospheric chemistry, and climate. Observations are interpreted as consequences of changes in ocean temperature, circulation, and chemistry, and are used to evaluate theories proposed to account for glacial/interglacial cycles. Focuses on the past two million years, but major processes and events from the past 100 million years are also included.
",12,12,12.740
 Marine Bioinorganic Chemistry,Spring,"Provides an overview of trace element biogeochemistry and marine bioinorganic chemistry. Topics include controls on oceanic trace metal distributions; co-evolution of biological metal requirements and metal availability during early Earth history; chemical speciation and its influence on microbial bioavailability; applications of metal isotopes; roles of metalloenzymes and metal proteins in biogeochemical cycles; and biogeochemical applications of metagenomics, metaproteomics, and bioinformatics.
",12,9,12.741
 Marine Chemistry,Fall,"An introduction to chemical oceanography. Reservoir models and residence time. Major ion composition of seawater. Inputs to and outputs from the ocean via rivers, the atmosphere, and the sea floor. Biogeochemical cycling within the oceanic water column and sediments, emphasizing the roles played by the formation, transport, and alteration of oceanic particles and the effects that these processes have on seawater composition. Cycles of carbon, nitrogen, phosphorus, oxygen, and sulfur. Uptake of anthropogenic carbon dioxide by the ocean. Material presented through lectures and student-led presentation and discussion of recent papers.
",12,12,12.742
 Geochemistry of Marine Sediments,Spring,"Focuses on processes that control the composition of sediments in coastal, shelf, and deep-sea environments and processes that define their roles in biogeochemical cycles. Topics include calculating chemical fluxes across the sediment-water interface; evaluating the sources and reactivity of carbonate, silicic, and detrital sediments; using pore water gradients to calculate diffusion, reaction, and flux rates; sediment dating; estimating accumulation rates; and using stable isotopes and natural-series radioisotopes. Covers evaluation of the links between sedimentary and water column processes; the effects of anthropogenic disturbances (e.g., eutrophication, acidification, warming) on sedimentary processes; and the role of sediments in global biogeochemical cycles. Introduces sampling techniques and mathematical modeling of sedimentary processes.
",12,12,12.743
 Marine Isotope Chemistry,Fall,"Fundamentals of using isotopes to study processes and timescales for marine chemistry and geochemistry. Starts with a basic introduction to the nature, origins, and reasons for the distributions of isotopes in nature, then develops theory and approaches for radioactive dating methods. These are used to constrain the timing and nature of the geochemical evolution of the elements, solar system, earth, ocean and atmosphere. Cosmogenic isotopes and their applications are covered. Basics of mass spectrometry are briefly discussed, and then the principles and applications of isotope fractionation are more thoroughly dealt with. Introduction to mass independent fractionation and clumped isotope methods. Explores applications of isotope methods to a number of water column processes, including particle scavenging, sedimentation, long term element budgets, redox processes, and air-sea exchange. Emphasis will be on quantitative methods and problem-solving, and there will be four problem sessions with development of problem solutions.
",12,12,12.744
 Marine Organic Geochemistry,Fall,"Provides an understanding of the distribution of organic carbon (OC) in marine sediments from a global and molecular-level perspective. Surveys the mineralization and preservation of OC in the water column and within anoxic and oxic marine sediments. Topics include: OC composition, reactivity and budgets within, and fluxes through, major reservoirs; microbial recycling pathways for OC; models for OC degradation and preservation; role of anoxia in OC burial; relationships between dissolved and particulate (sinking and suspended) OC; methods for characterization of sedimentary organic matter; application of biological markers as tools in oceanography. Both structural and isotopic aspects are covered.
",12,9,12.746
" Modeling, Data Analysis, and Numerical Techniques for Geochemistry",Fall,"Emphasizes the basic skills needed for handling and assimilating data as well as the basic tool-set for numerical modeling. Uses MATLAB as its computation engine; begins with an introduction to MATLAB to ensure familiarity with software. Topics include: probability distributions, error propagation, least squares and regression techniques, principle component and factor analysis, objective mapping, Fourier and spectral analysis, numerical solutions to ODEs and PDEs, finite difference techniques, inverse models, and scientific visualization.
",12,12,12.747
 Solid Earth Geochemistry,Spring,"Integrates methods in mineralogy, petrology (both igneous and metamorphic), and trace element and isotope geochemistry to address scientific issues of the solid earth. Covers processes in the solar nebula, accretion, and early differentiation of the earth. Discusses topics in three representative geodynamic environments - mid-ocean ridges, subduction zones, and mantle plumes - with respect to physical framework and petrological/geochemical aspects.
",12,12,12.749
 Seminar in Oceanography at Woods Hole,Spring,"Topics in marine geology and geophysics, physical, dynamical, and chemical oceanography. Content varies from term to term. 12.754,  12.755, and 12.756 are letter-graded.
",12,Not Defined,12.751-12.759
 Seminar in Marine Geology and Geophysics at MIT,"Spring, Fall","Topics in marine geology and geophysics taught at MIT. Content varies from term to term. 12.760 is letter-graded.
",12,Not Defined,12.760-12.761
 Seminar in Chemical Oceanography at MIT,"Spring, Fall","Topics in chemical oceanography taught at MIT. Content varies from term to term. 12.770 is letter-graded.
",12,Not Defined,12.770-12.771
 Fluid Dynamics of the Atmosphere and Ocean,Fall,"Introduction to fluid dynamics. Students acquire an understanding of some of the basic concepts of fluid dynamics that are needed as a foundation for advanced courses in atmospheric science, physical oceanography, ocean engineering, climate science, etc. Emphasizes fluid fundamentals, with an atmosphere/ocean twist.
",12,12,12.800
 Large-scale Ocean Dynamics,Spring,"Applies fundamental principles of geophysical fluid dynamics to understand the general patterns of the ocean circulation and stratification. Includes the mid-latitude wind-driven circulation, the Southern Ocean circulation, and the global overturning circulation. Uses a combination of theory, numerical simulations, and observations to illustrate the concepts.
",12,12,12.801
" Waves, Instability and Turbulence at Small Scales",Spring,"Covers basic concepts of wave motion, flow instability, and turbulence in rotating and stratified fluids with emphasis on small scales. Presents wave properties, including the dispersion relation, phase and group velocities, and wave kinematics, and uses these concepts to study the dynamics of surface and internal gravity waves, Poincare waves, Kelvin waves, and topographic waves. Includes flow instability. Explores general concepts of linear instability in small-scale stratified shear flows (Rayleigh and Kelvin-Helmholtz instabilities); examines non-rotating stratified turbulence resulting from these instabilities. Also discusses wave-mean flow interaction, hydraulic control, the entrainment assumption, and the interpretation of microstructure observations.
",12,12,12.802
 Advanced Geophysical Fluid Dynamics,Spring,"Further development of topics covered in 12.843, with a more mathematical treatment. Covers current topics of interest in rotating stratified flows of oceans and atmospheres.
",12,9,12.803
 Data Analysis in Physical Oceanography,Spring,"Directed at making scientifically-sensible inferences from physical oceanography data (both observations and models). Introduces linear inverse methods, including regression, singular value decomposition, objective mapping, and data assimilation. Connects these methods to time series analysis, including Fourier methods, spectra, coherence, and filtering. Focuses on working with data in a computer laboratory setting. Emphasizes how statistical information can be used to improve experimental design. Gives some attention to the instruments and algorithms used to acquire the data.
",12,9,12.805
 Atmospheric Physics and Chemistry,Spring,"Introduction to the physics and chemistry of the atmosphere including experience with computer codes. Aerosols and theories of their formation, evolution, and removal. Gas and aerosol transport from urban to continental scales. Coupled models of radiation, transport, and chemistry. Solution of inverse problems to deduce emissions and removal rates. Emissions control technology and costs. Applications to air pollution and climate.
",12,12,12.806[J]
 Atmospheric Chemistry,Fall,"See description under subject 1.84[J].
",12,12,12.807[J]
 Introduction to Observational Physical Oceanography,Fall,"Results and techniques of observations of the ocean in the context of its physical properties and dynamical constraints. Emphasis on large-scale steady circulation and the time-dependent processes that contribute to it. Includes the physical setting of the ocean, atmospheric forcing, application of conservation laws, description of wind-driven and thermohaline circulation, eddy processes, and interpretive techniques.
",12,12,12.808
 Hydraulic Phenomena in Geophysical Fluid Flows,Fall,"Examination of the hydraulics of nonrotating flows (Long's experiments, hydraulic control, upstream influence, nonlinear wave steepening, hydraulic jump and bores, application to severe downslope winds). Other topics may include: nonrotating stratified flows (two-layer hydraulics, virtual and approach controls, maximal and submaximal flow, application to the Strait of Gibraltar and the Bab al Mandab); and deep ocean straits and sills (steady theories for rotating channel flow, nonlinear Kelvin and frontal waves, rotating hydraulic jumps, geostrophic adjustment in a rotating channel, and applications to the Denmark Strait and other deep passages).
",12,9,12.809
 Dynamics of the Atmosphere,Spring,"Discusses the dynamics of the atmosphere, with emphasis on the large scale. Topics include internal gravity waves in the atmosphere; potential vorticity conservation and Rossby waves; baroclinic instability and extratropical storms; the tropical Hadley and Walker circulations and equatorial waves; and the general circulation, annular modes, and the response to climate change.
",12,12,12.810
 Tropical Meteorology,Spring,"A description of the large-scale circulation systems of the tropical atmosphere and analysis of the dynamics of such systems. Topics include: Radiative-convective equilibrium; the Hadley and walker circulation; monsoons; tropical boundary layers; theory of the response of the tropical atmosphere to localized sea-surface temperature anomalies; intraseasonal oscillations; equatorial waves; El Nio/Southern Oscillation; easterly waves; and tropical cyclones.
",12,12,12.811
 The General Circulation of the Atmosphere and Climate Change,Fall,"Explains the main features of the general circulation of the Earth's atmosphere. Final part of the course explores possible changes in the general circulation associated with climate change.
",12,12,12.812
 Aerosol and Cloud Microphysics and Chemistry,Spring,"Focuses on understanding how aerosol particles form droplets or ice crystals during several atmospheric processes: determining Earth's radiative balance; heterogeneous chemistry and acid rain; understanding where, when and how much precipitation occurs. Provides tools for understanding the physics of aerosol and cloud element motion; the interaction of particles with water vapor, including phase changes and droplet and ice nucleation; the chemical composition of particles and the effect on cloud formation processes; and the effect of cloud processing on aerosol chemistry. Discusses relevant topics of contemporary interest, e.g., geoengineering and weather modification and volcanic effects. Students taking the graduate version complete different assignments.
",12,12,12.814[J]
 Atmospheric Radiation and Convection,Fall,"Introduction to the physics of atmospheric radiation, remote sensing, and convection, including use of computer codes. Radiative transfer equation including emission and scattering, spectroscopy, Mie theory, and numerical solutions. Physics of dry and moist convection, including moist thermodynamics. Radiative-convective equilibrium. Solution of inverse problems in remote sensing of atmospheric temperature and composition.
",12,12,12.815
 Atmospheric Composition in the Changing Earth System,Spring,"See description under subject 1.841[J].
",12,12,12.817[J]
 Introduction to Atmospheric Data and Synoptic Meteorology,Fall,"Provides a general introduction to meteorological data and analysis techniques, and their use in the MIT Synoptic Laboratory to study the phenomenology and dynamics of large-scale atmospheric flow. Balance concepts as applied to the dynamics of frontal and synoptic scales are illustrated using real-time upper air and surface station data and gridded analyzed fields. Advanced meteorological software packages are used to access, manipulate, and graphically display the data.
",12,12,12.818
 Turbulence in the Ocean and Atmosphere,Spring,"Covers phenomena, theory and modeling of turbulence in the Earth's oceans and atmosphere. The scope will range from centimeter- to planetary-scale motions. Includes homogeneous isotropic three- and two-dimensional turbulence, convection, stratified turbulence, quasi-gesotrophic turbulence, baroclinic turbulence, and macroturbulence in the ocean and atmosphere.
",12,12,12.820
 Modeling the Biology and Physics of the Ocean,Spring,"Principles and examples of the construction of physical/ biological models for oceanic systems. Individual-based and continuum representations. Food webs and structured population models. Fluid transport, stirring, and mixing. Effects of rotation and stratification. Advection, diffusion, reaction dynamics. Oceanic examples of physical-biological dynamics: surface mixed layer, upwelling regimes, mesoscale eddies, and oceanic gyres.
",12,9,12.823
 Stability Theory for Oceanic & Atmospheric Flows,Fall,"Basic theory of hydrodynamic instability with special application to flows of interest in oceanography and meteorology. Topics covered include general formulation of stability theory; concept of normal modes and linearization; fundamental stability theorems; baroclinic instability: Charney model, Eady model and the Phillips two-layer model; energy transformations; initial value theory and non-modal instability; barotropic instability for jets and shear layers; radiating instabilities; initial value problems applied to the concepts of convective, absolute and spatial instabilities; finite amplitude theory; stability of non-parallel flows.
",12,12,12.824
 Topics in Waves and Instability,Fall,"A detailed presentation of selected advanced topics in waves and instability in the atmosphere. The precise selection varies from year to year. Topics have included wave-mean flow interaction, the quasi-biennial oscillation, sudden warmings, critical-level behavior, wave overreflection, nonlinear equilibration, wave breaking, tropical waves, and stationary waves.
",12,12,12.830
 Experimental Atmospheric Chemistry,Fall,"Introduces the atmospheric chemistry involved in climate change, air pollution, and ozone depletion using a combination of interactive laboratory and field studies and simple computer models. Uses instruments for trace gas and aerosol measurements and methods for inferring fundamental information from these measurements. Students taking the graduate version complete different assignments.
",12,12,12.835
 Climate Science,Fall,"Introduction to climate studies, including beginnings of the solar system, time scales, and climate in human history; methods for detecting climate change, including proxies, ice cores, instrumental records, and time series analysis; physical and chemical processes in climate, including primordial atmosphere, ozone chemistry, carbon and oxygen cycles, and heat and water budgets; internal feedback mechanisms, including ice, aerosols, water vapor, clouds, and ocean circulation; climate forcing, including orbital variations, volcanism, plate tectonics, and solar variability; climate models and mechanisms of variability, including energy balance, coupled models, and global ocean and atmosphere models; and outstanding problems. Students taking the graduate version complete different assignments.
",12,12,12.842
 Large-scale Atmosphere and Ocean Dynamics,Fall,"Project-based with lectures covering the relevant theory. Students work in groups on four projects. Each of these comprises a numerical part, to illuminate and illustrate the theory, and a data part (drawn from laboratory tank experiments, atmospheric, or ocean observations), to illustrate the phenomena. Topics include: barotropic vorticity dynamics including inversion and evolution, geostrophic and higher order balance, baroclinic dynamics and the evolution of balanced flows, and stability with emphasis on the mutual interaction of disturbances. Projects include a verbal presentation and writeup covering both the numerical and geophysical parts plus additional derivations as needed.
",12,15,12.843
 Modeling and Assessment for Policy,Spring,"See description under subject IDS.410[J].
",12,9,12.844[J]
 Sustainability Science and Engineering,Fall,"See description under subject IDS.526[J].
",12,9,12.845[J]
 Global Environmental Negotiations,Fall,"See description under subject IDS.525[J].
",12,6,12.846[J]
" Global Climate Change: Economics, Science, and Policy",Spring,"See description under subject 15.023[J].
",12,9,12.848[J]
 Mechanisms and Models of the Global Carbon Cycle,Spring,"Addresses changes in the ocean, terrestrial biosphere and rocks modulation of atmospheric carbon dioxide on timescales from months to millions of years. Includes feedbacks between carbon cycle and climate. Combines hands-on data analysis with the formulation of simple models rooted in basic physical, chemical and biological principles. Students create individual ""toy"" global carbon cycle models. Students taking graduate version complete different assignments.
",12,12,12.849
 Computational Ocean Modeling,Fall,"Numerical modeling in oceanography and environmental fluid mechanics. Focuses on the building of computational models that describe processes such as transport (advection, diffusion), reaction (ecosystems), and boundary forcing, of relevance in the ocean. Models are developed in a hierarchical manner, starting from the simple (zero-dimensional in space), and incrementally advancing toward more complex, time-evolving systems in one-, two- (shallow water) and three-dimensions (Primitive equations). Students build their own models using the finite volume approach with an appreciation and understanding of the working of general circulation models
",12,12,12.850
