category,credits,description,title
Education,2,Introduction to a wide range of multicultural picture books for children. Guides development and application of criteria for appropriate book selection. Focuses on effective strategies for reading aloud to young children. May be taken as a sequence with EDU 332 or separately.,EDU 331: Multicultural Picture Books 
Education,0,"Consolidates professional background in theory and practice of teaching reading in grades Pre-K - 8. Addresses core concepts and instructional practices for phonological and phonemic awareness, emergent literacy, phonics, vocabulary, comprehension, and reading assessment. Builds upon the professional knowledge developed in EDU 327 or EDU 337. Prerequisite: EDU 327 or EDU 337.",EDU 335/RDG 535: Reading Theory and Practice
Education,4,"Explores the practices and content of science and engineering. Develops understanding of Elementary science concepts and topics appearing in the Massachusetts Science and Technology/Engineering Curriculum Frameworks and the New Generation Science Standards. Explores teaching strategies that build childrens understanding of science concepts and proficiency in science practices of science inquiry. Prerequisites: EDU 306, EDU 330 & EDU 337. Corequisites: EDU 316, EDP 317.",EDU 336: Elementary Science/Technology
Education,4,"Analyzes stages of reading development during grades pre-K to 8. Focuses on balanced instruction and assessment of oral language, phonemic awareness, word identification, phonics, structural analysis, and fluency. Develops skills for guided reading instruction. Includes supervised off-campus sessions assessing and teaching developing readers. Prerequisites: completion of the WLCE, EDU 255, and HDP 120/122 or HDP 130/131.",EDU 337: Teaching Reading in Grades preK-8
Education,2,"Extends foundational knowledge gained in EDU 337. Focuses on strategies for developing vocabulary, improving comprehension, and teaching writing. Reading informational text and the instruction of English language learners are central themes of the course. Includes observation and analysis of a classroom literacy program. Prerequisite: EDU 337.",EDU 338: Teaching Non-fiction Literacy 
Education,4,"Explores how young children learn to read and write in the context of a multilingual society. The course examines how teaching strategies, classroom environments, writing and reading materials, and assessments support the childs literacy learning. Students will look at the ways in which current literacy research informs instructional practices. Offered in Singapore programs only.",EDU 340: Developing Literacy for Young Children in a Multilingual Society 
Education,2,"Examines formal and informal assessment of development in all children from birth to age eight. Emphasizes ecological approach, basing curriculum and teaching on comprehensive assessment. Topics include screening, referral, IEP and IFSP processes, disabilities, family involvement, culturally competent assessment. Identifies and addresses critical issues in assessment of young children. Prerequisite: HDP 120/121 or HDP 130. Taken concurrently with EDP 456 & 457.",EDU 341: Assessing Children with/without Special Needs- Birth-8
Education,2,Addresses current issues in the teaching of science to children ages 3-8 (grades PreK-2). Prepares students to address the Massachusetts Science and Technology/Engineering Curriculum Frame-works and other related documents as they apply to teaching children in grades PreK through 2. Introduces students to important elements in young childrens science including choosing appropriate topics; guiding childrens inquiry; and deepening childrens science understanding through encouraging representation and other forms of communication. Prerequisite: HDP 120/121 and 122/123 or HDP 130/131 and one science course.,EDU 351: Teaching and Learning Science in Early Childhood Classrooms
Education,4,"Learn fundamental skills and strategies to take full advantage of educational technology. Evaluate the use of a variety of electronic media for the classroom and early childhood education, design lessons and curricula, and create appropriate learning environments using technological means. Gather the information needed to use technology in the assessment process and data analysis. Offered in Singapore programs only.",EDU 352 : Information Technology in Early Childhood Education
Education,2,"Accompanies Northern Ireland Service Learning Program. Pre-trip sessions provide foundation for trip: history of The Troubles, how children are affected, efforts to promote healing with children and adults, broader implication for all children. In Belfast sessions, expert practitioners connect theory to student experiences. Post-trip sessions explore implication for students professional work. Pre-requisite: Admission into Northern Ireland Service Learning Pro-gram by application only.",EDU 355/555: Helping Children Heal-N. Ireland Lessons
Education,4,"Promotes ways to build trusting inter-professional relationships and achieve cultural consistency through effective communication in settings/institutions involving parents and professionals. Leader-ship and research activities include conducting environmental scans, examining alliance building strategies, and designing professional development and actions plans that are inclusive and ad-dress community assets and needs.",EDU 365: Supporting Families with Infants and Toddlers in Home and Community Settings
Education,2,"Examines programs and services for infants and toddlers who have special learning and developmental needs and their families within a family-centered framework. Recommended practices for pro-grams based on special education lens and policy including the process for developing and implementing the IFSP through a transdisciplinary model will be studied. Prerequisites: HDP 120/121 and 122/123 or HDP 130/131, HDP 227, HDP 257, EDU 365, EDU 390.",EDU 366: Supporting Infants and Toddlers w/Special Needs and their Families
Education,2,"Explores effective adult interactions. across roles and relationships. Cultural and critical theories provide the foundations for analysis and practical application of communication skills. Communication skill-building focuses on use of culturally competent approaches, reflective practices, self-assessment, providing and receiving feed-back and setting achievable goals. Emphasis is on cultivating expertise for successful collaboration. Prerequisites: HDP 120/121 and 122/123 or HDP 130/131.",EDU 367: Foundations in Communication and Collaboration 
Education,4,"Examines research, theory and quality indicator of the care and education of infants and toddlers in home and community settings and application to curriculum and program development. Through family-centered and relationship-based frameworks, focuses on early health and development and environmental design within the context of family and community. Prerequisites: HDP 120/122 and 121/123 or HDP 130/131, HDP 227, HDP 257.",EDU 390: Curriculum and Program Development for Infants and Toddlers
Education,4,"Exposure to a variety of theories, perspectives, and case examples of effective leadership. Addresses issues that include the deferences between leadership and management, the competencies demonstrated by effective leaders, and how leadership skills are developed. Learners are expected to draw on and examine their personal leadership experiences. Offered in Singapore programs only.",EDU 402: Interpersonal Skills of Leadership 
Education,2,"Promote ways to build trusting inter-professional relationships and achieve cultural consistency through effective communication in settings/institutions involving parents and professionals. Leader-ship and research activities include conducting environmental scans, examining alliance building strategies and designing professional development and action plans that are inclusive and address community assets and needs.",EDU 420: Advancing Communication and Collaboration
Education,4,"Focuses on developing, maintaining, and evaluating child care classrooms and programs. Assess staff, evaluate curriculum, communicate with parents, implement health care policies, and advocate for quality care. Discussions of research on children in group settings and the role of child care in society. Prerequisite: 300 hour practicum in Early Childhood concentration. Recommended elective for Birth-5 students. Taken concurrently with or following Integrated Practicum II.",EDU 427: Child Care Management and Administration
Education,4,"Focus on children as active learners in developmental domains and content areas. Design, adapt, implement and assess inclusive, integrated curriculum that is developmentally, culturally, linguistically and individually appropriate. Emphasizes curriculum development and assessment responsive to children with diverse cultural, cognitive, social, racial, ethnic, religious, class and linguistic back-grounds. Prerequisites: Pass WLCE, pass MTEL Literacy and Communication tests, EDU 250, 255, 305, 320 and 327. Corequisites: EDP 437 and MLE 301.",EDU 436: Teaching and Learning in the Primary Grades 
Education,2,"Examines theories of causation; historical and social contexts affecting learning; neurodevelopmental, behavioral, and motivation issues; and curriculum and instructional strategies for inclusive classrooms. Students use informal and standardized assessments to inform and evaluate instruction, including impact of teaching on student learning. Prerequisites: EDU 316, EDP 317, EDU 336, and EDU 338. Corequisite: EDU 446 and EDP 447.",EDU 445: Meeting Diverse Learning Needs
Education,4,"Focuses on classroom issues, events, and interactions among children, families, teachers, and communities. Provides a framework for developing classroom climates that are responsive to students from diverse backgrounds, and for helping children become responsible for their learning. Emphasizes effective communication and reflective practice. Prerequisites: EDU 316, EDP 317, EDU 336, and EDU 338. Corequisites: EDU 445, EDP 447 and MLE 303.",EDU 446: Elementary Teaching and Learning 
Education,4,"Extends knowledge of creating learning environments that foster childrens development through collaborative play. Emphasizes interactive teaching, formal and informal assessment, and individualized learning goals developed using IFSPs and IEPs. Concentrates on inter-professional collaboration with specialists from education, health, and social service perspectives and partnerships with families from diverse backgrounds. Prerequisites: EDP 437 and EDU 436. Corequisite: EDP 457.",EDU 456: Teaching and Curriculum in Diverse Early Childhood Settings (PreK-K)
Education,1,"For non-licensure inclusive classroom teachers. Reflect on teaching and learning experiences throughout the program; explore is-sues related to educational philosophies, public policy, leadership in the field, societal pressures affecting very young children and their families. Complete professional portfolio demonstrating evidence of meeting Wheelock College Education Standards. Open to seniors, usually in final semester.",EDU 462: Capstone: Pre-K-K
Education,1,"For inclusive classroom teachers and Birth-5 Specialists. Explore issues related to education philosophies, education reform, societal pressures affecting children and families, leadership in the field. Open to seniors, usually in the final semester.",EDU 464: Seminar in Policy Advocacy and Leadership in ECE
Education,1,"For inclusive classroom teachers. Reflect on teaching and learning experiences throughout program; explore issues related to educational philosophies, education reform, societal pressures affecting children and families, leadership in the field. Complete profession-al portfolio demonstrating evidence of having met Wheelock College Education Standards. Open to seniors, usually in final semester. Requires passage of Massachusetts Literacy and Communication, Early Childhood Subject, and Foundations of Reading Tests for Educator Licensure.",EDU 465: Capstone: Early Education Initial Licensure
Education,4,"Explores issues related to social justice and early education policy in a cultural context. Analyses the process of change, leadership theories and the meaning of advocacy. Emphasis is placed on understanding leadership skills and applying them across roles and domains in the field. A community action project focuses on the local early childhood sector and concludes the Capstone.","EDU 474: Policy, Advocacy and Leadership in ECE"
Education,4,"Assemble and present evidence of achieving Wheelock Education Standards. Develop a professional portfolio, integrating all aspects of teaching and learning, to support them as lifelong learners. An approach for documenting professional growth, encouraging re-flection and self-evaluation, and peer mentoring. Discussion of the integration of the portfolio and implications in relation to each course.",EDU 480: Portfolio Development and Presentation
Education,2,"Construct and defend web-based program exit portfolio addressing the Wheelock Education Standards, and reflecting on experiences in the program. Seminar provides a collaborative space to reflect on experiences in the program, share artifacts and drafts of analytic/reflective essays. Selected educational policies are discussed. Taken in last semester of the Education Studies program.",EDU 481: Capstone: Education Studies
Education,4,"Provides the foundation to plan, build, implement, manage and grow an organization that provides a service or product for children and families. Gain an understanding of the realities of entrepreneurship, including the pitfalls encountered and the lessons learned by other entrepreneurs. Topics to be reviewed include how to think analytically about organizational systems, how leaders play a critical role in shaping an organization, how to determine and marshal the financial resources necessary for a start-up business, and what to do to improve the likelihood of success. Offered in Singapore programs only.",EDU 483: Entrepreneurship in Early Childhood Education Context
Education,1,"Construct web-based program exit portfolios demonstrating their achievements of the Wheelock Education Standards, State and ACEI standards. Seminar provides a collaborative space to discuss artifacts and drafts of analytic/reflective essays. Selected educational policies are addressed. Prerequisites: Passage of Communication and Literacy Massachusetts Tests for Educator Licensure. Completion of EDU 446, EDP 447, and EDU 445 strongly recommended, but may be taken concurrently.",EDU 486: Elementary Ed: Portfolio Development
Education,1,"Present and defend web-based program exit portfolios demonstrating their achievement of the Wheelock Education Standards, State and the ACEI standards. Prerequisites: Passage of the Massachusetts Literacy and Communication (Reading and Writing subtests), General Curriculum (Multi- subject and Math sub-tests), and Foundations of Reading Tests for Educator Licensure. Completion of EDU 446, EDP 447, and EDU 445 strongly recommended, although they may be taken concurrently.",EDU 487: Elementary Ed Capstone
Education,2,"Design curriculum for early childhood social studies, arts, and multicultural teaching. Principles of curriculum development, assessment, and historical events that are part of early childhood curriculum. Using national and state standards and frameworks to in-form teaching and develop ability to find and adapt curriculum to provide appropriate learning experiences. Prerequisite: EDU 520 or permission of the instructor.",EDU 502: Curriculum for ECE Social Studies and Arts 
Education,3,"Introduces the critical study of race, culture, and identity. Explores theories to help students examine their own socialization and understanding of race, ethnicity, culture, and identity. Considers political, social, cultural, historical, economic, and power dynamics as a context for interpreting interpersonal and structural relationships.",EDU 505: Racial and Cultural Identities
Education,4,"Examines social theory and role of ideology to examine their orientation to race ethnicity, culture and identity in education. Considers political, social, cultural, historical, economic, and power dynamics as a context for exploring curriculum, educational pedagogy, and structures that influence educational opportunity and school achievement. Prerequisites: EDU 255, EDU 505 or permission of instructor.",EDU 506: Racial/Cultural Identities Advanced
Education,2,"Refines skills in designing and assessing curriculum for early childhood classrooms emphasizing science, technology, and health. Strengthen knowledge of science content that is part of early childhood curriculum. Integrate technology into ongoing curriculum and support beginning computer literacy skills. Practice using national and state standards and frameworks to inform teaching. Prerequisites: EDU 520: Intro to Inclusive Early Childhood Education and EDU 502 Curriculum for Social Studies and the Arts (For ECE DOE licensure students only).","EDU 515: Curriculum for ECE Science, Tech and Health "
Education,3,"Historical, legal, theoretical foundations of care and education for young children and their families. Application of principles to educational models. Curriculum design and assessment, strategies for developmentally appropriate learning opportunities for all young children, including those with special needs and those from diverse cultural, ethnic and linguistic backgrounds. Course requirements include 25 hours of pre-practicum field experience.",EDU 520: Introduction to Inclusive ECE
Education,3,"Design curriculum for early childhood social studies, arts, multi-cultural teaching. Principles of curriculum development and assessment and historical events that are part of early childhood curriculum. Using national and state standards and frameworks to in-form teaching and develop ability to find and adapt curriculum to provide appropriate learning experiences. Prerequisite: EDU 520 or permission of the instructor.",EDU 522: Curriculum for EC Social Studies and Arts 
Education,3,"Refine skills in designing and assessing curriculum for early child-hood classrooms emphasizing science, technology, and health. Strengthen knowledge of science content that is part of early child-hood curriculum. Integrate technology into ongoing curriculum and support beginning computer literacy skills. Practice using national and state standards and frameworks to inform teaching. Pre-requisites: EDU 520 and EDU 502 or permission from the instructor.","EDU 525: Curriculum for ECE Science, Tech and Health"
Education,2,"Explores effect of special needs on children birth to age eight. Introduces legislation, rights, services, stereotypes that affect children, families, and communities. Major areas of special needs are examined. Emphasis is on understanding children as individuals with varying performance and rates of development rather than members of a disability group.",EDU 528: Impact of Special Needs: ECE
Education,3,"Examines contemporary influences on pedagogy, curricular choices, and materials. Addresses the teachers role in creating an effective learning environment, and emphasizes strategies to maximize understanding mathematics for all children. Discusses a variety of assessment strategies.",EDU 535: Mathematical Learning for Diverse Learners
Education,3,"Examines fundamentals of elementary inquiry-based science pro-grams. Through direct experiences, focuses on the nature of scientific inquiry, selected concepts from across scientific domains, and basic instructional approaches. Includes design and implementation of a unit of study and assessment of student learning. Considers literacy and mathematics, and cultural influences in science.",EDU 545: Elementary Science 
Education,3,"Explore social studies subject matter including historical narrative and legacy. Develop, implement, and assess inclusive curricula; analyze pre-existing curricula; learn and compare city, state and national standards; and document implicit and explicit social studies learning.",EDU 546: ELE History and Social Sciences
Education,3,"Examines and applies current research and quality indicators for the care and education of infants and toddlers in a variety of settings. Through a family-centered and relationship-based frame-work, construct individualized, routine based activities and learning opportunities that are play-based and developmentally responsive to the unique needs of each infant, toddler and his/her family. Offered in the Singapore Program only.",EDU 560: Developing Infant and Toddler Programs
Education,3,"Deepens knowledge of curriculum development and assessment for young children and presents them as interconnected processes that necessitate knowledge of child development, DAP, theories of teaching and learning, and pedagogical content knowledge. Links assessment and standards to individualized instruction and introduces documentation to explore and capture teaching and learning. Offered in the Singapore program only.",EDU 561: EC Curriculum Planning and Assessment
Education,3,"Examines the elements of high-quality early childhood programs, including family communication and collaboration; designing the learning environment; utilizing technology; and addressing issues of national accreditation, accountability to identified standards, and evaluation. Techniques for staff supervision, mentoring, and evaluation are introduced. Prerequisite EDU 561. Offered in the Singapore program only.",EDU 562: EC Program Development and Evaluation
Education,2,"Provides individualized guided experience for Peace Corps Masters International (PCMI) students to learn the history, customs and values of the host community and the social, political and educational factors where they will complete their service in order to start a needs assessment project. Prerequisites: RES 723 or 725 or SWK 530 or other RES courses with approval of program coordinator and advisor.",EDU 601: Peace Corp Project Foundation I
Education,2,Provides individualized guided experience for PCMI students to continue to learn about their host community and the educational setting in order create and implement a needs assessment and initial design for a community-based project in collaboration with host-country community colleagues. Prerequisites: RES 723 or 725 or SWK 530 or other RES courses with approval of program coordinator and advisor.,EDU 602: Peace Corp Project Foundation II
Education,2,Provides individualized guided experience for PCMI students to implement the community-based project designed in EDU 602 in collaboration with host-country colleagues. Prerequisites: EDU 601 and 602.,EDU 603: Peace Corp Project Implementation I
Education,2,"Provides individualized guided experience for PCMI students to complete the implementation, evaluation and Sustainability of the community-based project started in EDU 602 in collaboration with host-country colleagues. Prerequisites: EDU 601 and 602.",EDU 604: Peace Corp Project Implementation II
Education,3,"Explores algebraic thinking for the elementary classroom. Uses tables, graphs, and rules to recognize, extend, analyze and describe linear and non-linear patterns. Concepts of integers, variable, function, inequality and equation are developed through investigations using current technology and trends consistent with NCTM, Common Core, and MCFM. Offered online only.","EDU 622 : Patterns, Functions and Algebra"
Education,3,"Offers participants an opportunity to build their own mathematical knowledge as well as pedagogical knowledge. Using a wide range of physical and virtual models, they will explore number theory and computational strategies that illuminate the NCTM Number and Operations content strand. Offered online only.",EDU 624 : Number and Operations
Education,3,"Focuses on data collection and organization; measures of central tendency and variance; subjective, theoretical, experimental, and conditional probability; simulation; counting principles; mathematical expectation. Includes techniques and technology in elementary teaching and learning of data analysis and probability developed by NCTM, Common Core and MCFM. Offered online only.",EDU 626 : Data Analysis and Probability
Education,3,Extends and enhances both content knowledge and pedagogical knowledge for all participating teachers. Participants will use both physical and virtual modes as they analyze the characteristics and properties of geometric shapes; use coordinate geometry; apply transformations and use both visualization and geometric modeling to solve problems. Offered online only.,EDU 628 : Geometry and Measurement
Education,3,"Uses scientific inquiry in life science through hands-on investigations. Begins with characteristics of living things followed by examination of the various structures (and their function) found in plants and animals, adaptations in response to the environment, and how life science concepts are taught in the elementary class-room. Offered online only.",EDU 630 : Inquiry into Life Science
Education,3,"Examines basic concepts of physical science including forces and motion of objects as well as the earth in space. Topics include ancient ideas of motion, Newtonian mechanics, gravity, and the teaching of these concepts in the elementary classroom. Implements hands on at home investigations. Offered online only.",EDU 632 : Teaching and Learning Physical Science
Education,3,"Examines the role of inquiry in science teaching and learning using some basic concepts of physical science, including properties of materials and motion of objects. Students will be engaged in at-home inquiry investigations with liquids, states of matter, and force and motion. Introduces issues related to teaching and learning in elementary classrooms. Offered online only.",EDU 634 : Teaching and Learning Elementary Science
Education,3,Addresses the teaching of inquiry-based science in elementary classrooms. Begins with review of inquiry in life and physical science and asks participants to apply knowledge of science concepts addressed in previous courses to the development of appropriate learning experiences in the elementary classroom. Prerequisites: EDU 634 Teaching and Learning Elementary Science and either EDU 630 Inquiry into Life Science or EDU 632 Teaching and Learning Physical Science. Offered online only,EDU 636: Science Inquiry in Action
Education,1,"Reflect on teaching and learning throughout program. Complete portfolio evidence of having met the Wheelock College Education Standards. Analyze issues related to educational philosophies, public policy, leadership in the field, and societal pressures affecting children and families. Present portfolios orally to faculty and practitioners. Taken in last semester of program.",EDU 655: Capstone: Care and Education
Education,1,"Develop performance assessment portfolio demonstrating competence in Association for Childhood Education International and Council for Exceptional Children standards. Prerequisites: Successful completion of the MTEL in Communication and Literacy, General Curriculum (multi-subject and mathematics subtests), and Foundations of Reading.",EDU 682: Portfolio Development: Integrated Elementary and Special Education
Education,1,"Construct and defend web-based program exit portfolios demonstrating achievement of the Wheelock Education Standards. Seminar provides a collaborative space to share artifacts and drafts of analytic/reflective essays. Selected educational policies are dis-cussed. Prerequisite: Passage of Massachusetts Literacy and Communication, General Curriculum, and Foundations of Reading Tests for Educator Licensure. Completion of EDP 536 strongly recommended.",EDU 685: Capstone: Elementary Education Initial Licensure 
Education,0,Continue to develop performance assessment portfolio demonstrating competence in Association for Childhood Education International and Council for Exceptional Children standards. Prerequisite: Prior registration and R grade in EDU 682.,EDU 699: Portfolio Development Continuation
Education,1,"Reflect on teaching and learning throughout Early Education Initial Licensure program. Complete portfolio evidence of having met the Wheelock Education Standards. Analyze issues related to educational philosophies, public policy, leadership in the field and societal pressures affecting children and families. Present portfolios orally to faculty and practitioners. Taken in last semester of pro-gram. Prerequisite: Passage of Massachusetts Literacy and Communication, Early Childhood Subject, and Foundations of Reading Tests for Educator Licensure.",EDU 702: Capstone: Early Education Initial Licensure 
Education,1,Construct and defend web-based program exit portfolios demonstrating achievement of the Wheelock Education Standards. Seminar provides a collaborative space to share artifacts and drafts of analytic/reflective essays. Selected educational policies are dis-cussed. Taken in last semester of program.,EDU 704: Capstone: Educational Studies
Education,1,"Reflect on accomplishments in the program, specifically as these relate to the International Literacy Associations Professional Standards for Reading Professionals. Seminar provides a collaborative space to explore professional development strategies and draft personal professional development plans. Prerequisites: Passing scores on the Massachusetts Tests for Educator Licensure Communication and Literacy Skills and the Reading Specialist tests.",EDU 706: Capstone: Teacher of Reading
English,0,"Develops English reading, writing, speaking, and listening skills necessary for successful participation in college-level courses. The course also prepares students for standardized tests of English language proficiency (e.g. IELTS). The course is intended for ELL students and may be repeated. Introductory.",ENG 097: English for Academic Purposes
English,2,"Introduction to college level reading, writing, and thinking through analysis of contemporary high school experience in America. Analyze films and essays that depict the high school experience, and reflect upon time in high school as measured against those depictions in an essay.",ENG 105: Topics in Popular Culture
English,4,"Develops critical thinking skills through writing. By engaging in argument through analysis, students develop strengths in organization and clarity. Assignments offer opportunities to generate in-sights into a variety of academic, civic and professional issues. Introduces college-level formatting, grammar, and mechanics conventions.",ENG 120: Critical Reading and Writing I
English,4,Continues development of critical thinking abilities by refining their approaches to complex writing tasks. Focuses on the mechanics of sentences and paragraphs to impart an understanding of the variety of ways that language creates and conveys meaning. In-creases exposure to academic and professional genre conventions. Prerequisite: completion or exemption from ENG 120. General Education: Foundations of Knowledge and Inquiry English Composition.,ENG 121: Critical Reading and Writing II
English,4,"Introduction to the basic genres of creative writing: poetry, short fiction, and creative nonfiction. Highlights the mechanics of creative writing by focusing on formal choices that create moving and meaningful work. Foregrounds models of critical thinking to help analyze and produce creative work. Introductory.",ENG 130: Introduction to Creative Writing
English,4,"Introduction to the basic literary mechanics of creative nonfiction. Introduces a variety of subgenres including memoir, reportage, lyric essays, cultural criticism, and critical reviews. Combines critical readings of professional writers along with workshops of students own creative nonfiction. General Education: Upper Level Writing and Languages and Literatures.",ENG 201: Creative Nonfiction
English,4,"Provides experiences and tools necessary to effect change through writing. Exposure to historical and contemporary examples of writing that have contributed to social change. Students will practice writing for different audiences, including peers and policy-makers. Culminates in a community action project designed by the class. General Education: Upper Level Writing and Ethics and Social Justice. Prerequisite: ENG 121. Intermediate.",ENG 220: Writing for Social Action
English,4,"Develops the ability to maintain the integrity of a personal voice while meeting the demands of professional and workplace writing. Write reports, proposals, memos, cover letters, and resumes for audiences within and outside the college. Prerequisites ENG 121 and completion of the WLCE.",ENG 225: Personal Voice in Professional Writing
English,4,"Develops and understanding of poetry and poetic practice by reading, analyzing and discussing critical essays, poetic theory, and poetic works. Introduces students to the evolving poetic tradition by examining classic, contemporary and experimental poetic forms. Allows students to use what they have learned to produce their own poetry. Prerequisite: ENG 121",ENG 230: Poetry in Practice
English,4,"Builds upon foundational understanding of the conventions of creative writing. Focuses on developing authorial voice and artistic sensibility, but it will also depend on critical readings of established authors. Prerequisite: Completion of the WLCE, ENG 121and at least two other Writing Minor courses. Advanced.",ENG 401: Writing Minor Capstone
English,0,"Reviews rules of grammar, punctuation, and spelling as they apply to effective copyediting. Provides students with practice writing essays that are persuasive, well-organized, and logically sound. Provides students with practice writing summaries that are concise, clear, and accurate.",RWS 099 : Reading and Writing Seminar 
General Education Capstone,4,"Engages the theory and practice of folklore and storytelling. Read and perform traditional and original takes while engaging in for-mal, structural and cultural analysis. Develop a vocal and gestural vocabulary and rehearsal discipline that will adapt to a variety of settings. General Education: Capstone. Open to juniors and seniors who have fulfilled General Education requirements in Languages and Literature and Creativity and the Arts.",GEC 245: Telling Tales through Performance and Writing
General Education Capstone,4,"Explores the natural and cultural history of Belize emphasizing archaeology, the Maya people and neotropical natural resources. Field experience at archaeological sites and modern Maya villages provides firsthand knowledge of methods used in cultural, archaeological and ecological sites. Students analyze intentional and unintentional environmental changes, relating this to climate change. General Education: Capstone. Open to juniors and seniors who have fulfilled General Education requirements in Historical Perspectives and Investigations in Science & Technology or by instructor permission.",GEC 248: Jungles and Jaguars
General Education Capstone,4,"Examines the theory and practice of Paulo Freires Pedagogy of the Oppressed and Augusto Boals Theatre of the Oppressed for educational, social and political change. Integrates education, human development, and theatre to critically analyze and apply approaches to social/political/educational activism for social change. Final project integrates research and theatre. General Education: Capstone. Prerequisite: Completion of General Education requirements in both Creativity and the Arts and Ethics and Social Justice.",GEC 250: Education and Theatre for Social Change
General Education Capstone,4,"Explores the causes and effects of genocide on survivors, perpetrators and their children through course work and international travel, service, and experiential learning. Looks at various attempts to heal and learn from genocide through therapy, education and public policy. Includes a two-week travel component to Germany. Generalizes what we can learn from genocide to other complex political traumas we encounter in our personal and professional lives. General Education: Capstone. Prerequisites: General Education requirements in Self and Society and Ethics and Social Justice, or by instructor permission. Enrollment by application.",GEC 251: Learning from the Holocaust
General Education Capstone,4,"Explores the life and times of Socrates in ancient Athens by studying philosophical, historical, and dramatic texts, taking on dramatic roles as Athenian citizens, re-enacting meetings of the Athenian assembly, and staging a trial of Socrates. General Education: Cap-stone. Prerequisites: Completion of General Education requirements in Self and Society and Creativity and the Arts.",GEC 252: Trying Socrates
General Education Capstone,4,"Focusing on the tools of documentation and visual arts, students will analyze learning and develop the basics of design needed to create informative and aesthetically pleasing displays. With to-days sophisticated visual communication, these are critical skills to develop as a professional in a multitude of settings and age groups. General Education: Capstone. Prerequisites: Completion of General Education requirements in Creativity and the Arts and Self and Society.",GEC 253: Making Learning Visible
General Education Capstone,4,Explores social movements in America and how leaders promoted change in public policy for social justice. Identify and analyze both the primary and secondary sources to learn the stories of the leaders of these movements. Considers the extent to which these stories created the context for the formation of the changes in social policy that resulted in a more just society. General Education: Cap-stone; Perspectives on Diversity. Prerequisites: Completion of General Education requirements in Self and Society and Ethics and Social Justice.,"GEC 254: Agents of Change: Public Policy, Leadership and Social Movements in America"
General Education Capstone,4,"Focuses on an assessment of the expressivity of this spirituality in cultural creations (art, writing, artifact, ritual) by African American and Afro-Caribbean people through critical examinations of African residual spirituality as reflected in literature and studies in ethnography and anthropology. This course initiates a new field of inquiry in American Studies. General Education: Capstone. Pre-requisite: Completion of General Education requirements in Self and Society and Languages and Literatures.","GEC 255: African Spirituality, Literature and Culture in America"
General Education Capstone,4,"Explore the power of the alternative press; discovers the role alter-native press played in driving social change, including the womens and civil rights movements; understand how literature and media give expression to those traditionally misrepresented by mainstream outlets; learn effective strategies for speaking truth to power in our own modern media environment. General Education: Capstone, Perspectives on Diversity. Prerequisites: Completion of General Education requirements in Historical Perspectives and Ethics and Social Justice.",GEC 256: In Our Voices: Social Change and the Alternative Press
General Education Capstone,4,"Uses educational theory, arts-based pedagogy, and field application to explore the arts and learning, especially for individuals with disabilities. Looks critically at ways society defines both the arts and people with diverse capabilities, explores the limitations of these ideas, and applies appropriate tools and approaches for professionals in schools and community settings. General Education: Capstone. Open to juniors and seniors who have fulfilled General Education requirements in Self & Society and Creativity and the Arts or by instructor permission.",GEC 257: The Arts and Inclusion
General Education Capstone,4,"Explores resiliencythe capacity to overcome adversity as understood by the methodologies of human development the social sciences, and literature. Students read fiction, poetry and scholarly essays for insights on how diverse contexts shape individuals and their capacities for resiliency, and create and present independent projects. General Education: Capstone. Prerequisites: Completion of General Education requirements in Self and Society and Languages and Literatures.",GEC 258: The Resilient Spirit
General Education Capstone,4,"Situates contemporary understandings of inclusive education and child welfare and human rights in a global setting. Analyzes re-search in inclusive education, social work and leadership domains. Explores the emergence of leadership skills in international settings. General Education: Capstone. Completion of General Education requirements in Self and Society and Ethics and Social Justice or by instructor permission. Prerequisite: HDP 290",GEC 262: Global Inclusion and Social Development
General Education Capstone,4,"Examines critical periods in history and literature such as the 1850s or 1960s in which the tensions and contradictions at the heart of the American democratic experiment led to fundamental conflict and change. Focuses on key events and movements, and on literary masterpieces that engage with them. General Education: Capstone. Open to juniors and seniors who have fulfilled General Education requirements in Languages and Literature and Historical Perspectives or by instructor permission.",GEC 264: Critical Periods in American History and Literature
History,4,"Explores how women from 1789 to the present have sought to construct their identity as equals in family, work, and nation amidst the forces of revolution, industrialization, scientific, and cultural change. Examines the way in which European women, along with their Asian and African sisters, have individually and collectively dismantled the legacy that biology determines destiny. General Education: Upper Level Writing (after ENG 121) and Historical Perspectives. Introductory.","HIS 151 : Women, Work, and Family in Modern Europe"
History,4,Examines how the family has been defined and functioned. Topics include relationship of the family to public and private spheres; economic roles of family members; families and the state; the family in psychology and popular culture; effects of slavery; immigration and family life; impact of war; and the family in recent history. General Education: Historical Perspectives. Introductory.,HIS 160: History of the Family in the Western World
History,4,"Surveys American history from colonial period to end of Reconstruction (1607-1877). Topics include European presence in America, settlement patterns, Revolution, westward expansion, Industrial Revolution, and Civil War. Studies political events in relation to social history. Work with documents to examine how history is constructed, not simply consumed. General Education: Historical Perspectives and Upper Level Writing (after ENG 121). Introductory.",HIS 165: America Through the Civil War
