description,title,prerequisites,schedule_type,levels,link,department
"Practical phlebotomy experience will be gained under the supervision of a qualified phlebotomist, medical technologist, or medical laboratory technician. Routine venipuncture and capillary procedures will be performed. A minimum of 100 venipuncture sticks is required.",CLS 106 - Clinical Practicum I,,Practicum Placement,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CLS&crse_numb_in=106,Health
Clinical experience in a laboratory under the supervision of a qualified medical technologist or pathologist.The rotation will include experience in routine hematology and coagulation testing utilizing manual and automated methods. Laboratory information systems will also be used.,CLS 201 - Clinical Practicum II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CLS&crse_numb_in=201,Health
Clinical experience in a laboratory under the supervision of a qualified medical technologist or pathologist. The rotation will include experience in the blood banking department.,CLS 202 - Clinical Practicum III,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CLS&crse_numb_in=202,Health
"This course will introduce the student to the clinical microbiology laboratory and include procedures to identify normal flora and medically significant bacteria.Additionally, specialized techniques for collection, biochemical and serological identification will be studied.Pathogens will include anaerobic bacteria, specialized gram negative organisms, parasites, viruses and fungi.New technology for identification will be discussed as well as correlation of test results to the patients clinical diagnoses.",CLS 203 - Clinical Microbiology,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CLS&crse_numb_in=203,Health
"This course will provide the student with the principles and practice of the clinical chemistry lab including automation, acquisition an application of laboratory data.Topics to be studied include laboratory techniques and safety, electrolytes, acid-base balance, proteins, carbohydrates, lipids and non-protein nitrogens.",CLS 204 - Clinical Chemistry I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CLS&crse_numb_in=204,Health
"Clinical experience in a laboratory under the supervision of a qualified medical technologist or pathologist.The rotation will include principles and procedures for routine blood chemistries, quality control, instrument maintenance, and laboratory statistics. In addition urinalysis and serology will also be performed.",CLS 205 - Clinical Practicum IV,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CLS&crse_numb_in=205,Health
"Clinical experience in a microbiology laboratory under the supervision of a qualified medical technologist or pathologist. The rotation will include, collection, set up, identification, susceptibility testing, reporting procedures and quality control.",CLS 206 - Clinical Practicum V,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CLS&crse_numb_in=206,Health
"This course is a continuation of Clinical Chemistry I and will focus upon enzymes, cardiac, pancreatic, liver function and endocrinology.The basis for the tests, procedures and significance of results will be reviewed.",CLS 207 - Clinical Chemistry II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CLS&crse_numb_in=207,Health
"This course will provide the student with the opportunity to synthesize the knowledge obtained in lecture, student laboratories and clinical experiences. Research and discussion of current topics in clinical laboratory science, preparation for the national certification exam and the completion of a capstone project will occur during this course.",CLS 210 - Medical Laboratory Technology Seminar,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CLS&crse_numb_in=210,Health
"This course teaches students how to write for, edit, produce and direct complete television programs in a non-dramatic format; how to operate the equipment in the TV studio and control centers; and how to evaluate television content. Students will learn how to work as an assignment editor and anchor person for a TV news program, and will also learn the basic techniques of the extended interview, the panel show and the documentary. Limited to 18 students.",COM 101 - Television Production I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COM&crse_numb_in=101,English & Literature
"In this course students will practice video production, primarily in the field, using cameras, sound gear and lighting equipment.Students will learn the concepts of camera composition, angles, and continuity of motion picture image.Non-linear editing, storyboarding and basic scriptwriting will also be emphasized.This class is appropriate for students interested in video production for either film, journalism, or multimedia purposes.",COM 102 - Video Field Production,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COM&crse_numb_in=102,English & Literature
Students will learn through the study of current radio and television practices how to edit and write news items for the radio and TV news media; how to broadcast these items on radio and TV; how to use basic equipment associated with radio and TV newsgathering and production; and how to evaluate current broadcasting practices. Students are encouraged to have access to a portable tape recorder and stop watch.,COM 103 - Broadcast Reporting & Announcing,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COM&crse_numb_in=103,English & Literature
"The course teaches students rhetorical theory, critical thinking and the effective construction and delivery of various types of speeches. The course will concentrate on informative, persuasive and impromptu speeches, with other types included at the instructor's discretion.",COM 111 - Public Speaking,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COM&crse_numb_in=111,English & Literature
"Designed to help students understand the theory and develop the skills necessary for effective communication, the course explores communication axioms, verbal and nonverbal messages, message reception and sending, interpersonal listening and feedback, nondirective responding, paraphrasing, describing feelings, behaving assertively, managing conflict and facilitating consensus in small groups.",COM 112 - Interpersonal Communication,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COM&crse_numb_in=112,English & Literature
"Principles of Public Relations will introduce students to the role, processes, and practices of the field of public relations. This course will examine the historical development and contemporary impact of the academic and professional field in all its forms. The course will also explore the processes and techniques behind public relations, the identifiable ""publics"" that practitioners face, how the profession is practiced today in governmental, non-profit, and corporate sectors, and the impact public relations has in the mass media.",COM 113 - Principles of Public Relations,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COM&crse_numb_in=113,English & Literature
"This course provides an introduction to the historical and contemporary role of mass communication in society.Communication theory will be applied in analyzing mass media, and media literacy skills will be developed for accessing, understanding, analyzing and evaluating messages in mass media culture. The course also will examine the history and structure of mass media industries.",COM 115 - Introduction to Mass Communication,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COM&crse_numb_in=115,English & Literature
"Co-op Education is an experiential course designed to provide training for students seeking to enter or reenter a career field. Students gain practical experiences that are related to their academic program and/or career goals, subject to guidelines established by the appropriate academic department and the Career Planning and Advising Center. Each student is expected to complete a career package, interview for a workplace position, establish five training objectives, participate in at least three workshops and one reflection seminar, write a reflection paper, and produce a career portfolio. The student's progress will be evaluated by the Job Developer, Faculty Coordinator, and Work-Site Supervisor. Students applying for Co-op must have completed a minimum of 12 credit hours at NECC with a minimum GPA of 2.5. A CORI/SORI/CHRI check may be required by the worksite.",COP 101 - Cooperative Education I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COP&crse_numb_in=101,Cooperative Education
"Co-op Education is an experiential course designed to provide training for students seeking to enter or reenter a career field. Students gain practical experiences that are related to their academic program and/or career goals, subject to guidelines established by the appropriate academic department and the Career Planning and Advising Center. Each student is expected to complete a career package, interview for a workplace position, establish five training objectives, participate in at least three workshops and one reflection seminar, write a reflection paper, and produce a career portfolio. The student's progress will be evaluated by the Job Developer, Faculty Coordinator, and Work-Site Supervisor.Students applying for Co-op must have completed a minimum of 12 credit hours at NECC with a minimum GPA of 2.5. A CORI/SORI/CHRI check may be required by the worksite.",COP 102 - Cooperative Education II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COP&crse_numb_in=102,Cooperative Education
Co-op Education.This course provides information on advance computer forensics and how to prepare for and conduct a computer investigation and the use of computer forensics software.The internship will simulate actual forensic investigations using industry stand tools and techniques.The latest tools will be used on currently available devices including iOS devices such as the iPad and smartphones.An integral part of the investigations will be to prepare Forensic reports and presentations.Hands-on exercises are an integral part of the course.,COP 104 - Cooperative Education Computer and Digital Internship,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COP&crse_numb_in=104,Cooperative Education
"Internship Education is an experiential course designed to provide training for students seeking to enter or reenter a career field.Students gain practical experiences that are related to their academic program and/or career goals, subject to guidelines established by the appropriate academic department.Each student is expected to complete a career package, interview for a workplace position, establish five training objectives, participate in at least three workshops and one reflection seminar, write a reflection paper, and produce a career portfolio.The students progress will be evaluated by the Internship Coordinator, Faculty Coordinator, and Work-Site Supervisor. Students applying for Internship must have completed a minimum of 12 credit hours at NECC with a minimum GPA of 2.5.A CORI/SORI/CHRI check may be required by the worksite.Students will complete 12 hours in class and 168 hours on site.",COP 110 - Internship Education,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COP&crse_numb_in=110,Cooperative Education
,COP 111 - Disney Coop I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COP&crse_numb_in=111,Cooperative Education
"Internship Education II COP120 is an experiential course designed to expand a students opportunities to achieve training as they continue to seek to enter or reenter a career field.Students gain additional practical experiences that are related to their academic program and/or career goals, subject to guidelines established by the appropriate academic department.Each student is expected to upgrade their career package (developed in COP110), interview for a workplace position, establish five training objectives, design a workshop to be presented, present as part of a panel during Internship Orientation, complete writing assignments, and upgrade the previously produced career portfolio.The students progress will be evaluated by the Internship Coordinator, Faculty Coordinator, and Work-Site Supervisor. Students applying for Internship Education COP120 must have successfully completed COP110 and a minimum of 24 credit hours at NECC with a minimum GPA of 2.5.A CORI/SORI/CHRI check may be required by the worksite.3.000 Credit hours, 12 hours in class, 168 hours on site.",COP 120 - Internship Education II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=COP&crse_numb_in=120,Cooperative Education
"A comprehensive introduction to the clinical research process and practice.This course includes the history and evolution of clinical research, phases of clinical trials, protection of human subjects, clinical research team personnel and their roles, and the responsibilities of clinical research organizations.Also includes medical, clinical research, and standard pharmaceutical/pharmacological terms commonly used in clinical research; and issues of sensitivity, diversity, and ethics as applied to clinical research.",CRC 101 - Introduction to Clinical Research,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRC&crse_numb_in=101,Health
"Introduction to the Food and Drug Administration (FDA) regulatory process and regulatory requirements for clinical research.Includes an overview of the role and function of the FDA, the drug development process, preparation and maintenance of an Investigational New Drug (IND), regulatory documentation, safety reporting, and Good Clinical Practices (GCPs).",CRC 102 - Clinical Research Regulatory Compliance,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRC&crse_numb_in=102,Health
Essential drug knowledge and facts and their application in clinical research are examined.Includes common medical diagnoses and their related drug treatments (brand name and generic); what constitutes a drug; the effects and modes of action of drugs upon the body (pharmacodynamics); method and rate of excretion and duration of the effect of drugs (pharmacokinetics); drug side effects; drug-drug interactions; and how to find and interpret drug-related information from primary literature.Also includes an overview of the drug development process from bench through post-approval marketing.,CRC 103 - Pharmacology for Clinical Research,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRC&crse_numb_in=103,Health
"This course is an introduction to the scientific development of research protocols and related regulatory requirements. Includes differentiations among research design types, rules for writing protocols, and discussion of the fundamental ethical principles which guide the design and implementation of research involving human participants that are universal and transcend geographic, cultural, economic, legal, and political boundaries.",CRC 104 - Clinical Research Protocol Design and Research Ethics,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRC&crse_numb_in=104,Health
"This course introduces the student to the collection, organization and management of study data and the effective presentation of data in reports. Topics include database structures, data management systems, quality assurance, data confidentiality and security, and preparation of case report forms. Upon completion, students will be able to organize, enter, and review clinical research data.",CRC 105 - Clinical Database Management,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRC&crse_numb_in=105,Health
"Proposed Course Description:800 Character LimitThis course introduces students to the clinical research workplace environment and provides an opportunity to apply their clinical research knowledge in areas of device development, pharmacology, diagnostics, and biologics. A minimum of 12 hours per week (for a total of 180 hours) of supervised work experience in a clinical research setting includes emphasis on the observation and enhancement of professional and management skills, team communication and interaction, and the application of research principles, procedures, protocols, and regulations in the workplace.Please Note: A CORI (Criminal Offender Record Information), CHRI (Criminal Records Central Repository), and SORI (Sex Offender Record Information) checks are required prior to participation in this course.Drug screening: Students enrolled in this academic course may be required to pass a drug screening analysis.",CRC 106 - Clinical Research Practicum,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRC&crse_numb_in=106,Health
"This course provides an introduction to the Criminal Justice system in the United States. Specific attention is paid to essential terminology, the definitions of index crimes, the structure of the federal and state court systems, appellate procedures, principles of federalism, criminal charges and defenses to crimes, juvenile and adult justice systems, the criminal trial, analysis of constitutional issues and the rules of criminal procedure at the federal and state levels.",CRJ 101 - Introduction to Criminal Justice,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=101,Criminal Justice
"This course provides an introduction to the fundamental processes, trends and practices in the field of corrections. Consideration is given to issues raised by federal and state sentencing guidelines, mandatory sentencing requirements and the limits on judicial discretion, disparities in sentencing and in the treatment of offenders, institutional treatment in prisons, jails and correctional institutions, prisoners' rights, community corrections, probation, parole, pre-release centers and the death penalty.",CRJ 102 - Incarceration & Alternatives,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=102,Criminal Justice
"This course provides an in-depth analysis of the functions of police in contemporary societies by placing modern policing in historical, sociological, cultural, international and political contexts. Particular emphasis is placed on conflicting role expectations of law enforcement in democracies and other forms of government. This courseincludesanalysis of community policing, police discretion,police ethics and corruption, issues of police leadership and management, patrol requirements, professionalism, and other related topics.",CRJ 103 - Modern Policing,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=103,Criminal Justice
"This course deals with the application of crisis theory, management of interpersonal conflict and use of effective techniques of crisis intervention in Criminal Justice. Specific crisis situations frequently encountered are considered including family disputes, rape, child abuse, domestic abuse, suicide, hostage situations and terrorism.",CRJ 201 - Critical Incident Response,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=201,Criminal Justice
"This course provides an in-depth review of substantive criminal law in the federal and state systems including analysis of the essential elements of all major crimes, the concepts of constitutional review and judicial scrutiny and the principles governing legal challenges to the constitutionality of laws. Includes legal research and writing and analysis of case and statutory law.",CRJ 202 - Criminal Law,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=202,Criminal Justice
Emphasis is placed on developing a systems approach to security analysis and implementation. The functions and resources of protective services are identified and analyzed. Consideration is given to all aspects of security planning and threat analysis.,CRJ 203 - Security Concepts,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=203,Criminal Justice
This course introduces students to fundamental principles and procedures used in the investigation of crime. Emphasis is placed on the identification of sources of information and the procedures necessary for the proper handling of evidence. This course is designed to develop a working knowledge of the steps in criminal investigations beginning with the initial security of the crime scene and concluding with the presentation of evidence and proper testimony in court.,CRJ 204 - Criminal Investigation,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=204,Criminal Justice
"This course is an introduction to the fundamentals of preparing an organization and community for terrorism in the 21st century.The focus is to provide an understanding about the tools and methods used to plan for, respond to, and deal with the consequences of a domestic terrorist incident involving nuclear, biological, or chemical weapons of mass destruction.",CRJ 205 - Response to Terrorism,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=205,Criminal Justice
"This course will examine the causative factors in the development of youthful offenders, the civil and new criminal procedures used in juvenile court and the history of the development of the juvenile courts and juvenile justice. An overview of the institutional response to the problems of juvenile delinquency will be presented, with a focus on status offenders; gender specific offenders, special needs offenders and dependent, neglected and abused children.",CRJ 208 - Juvenile Justice,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=208,Criminal Justice
This course provides the opportunity for students to explore significant and controversial topics in Criminal Justice and the Law and to engage in in-depth analysis of current events and important legal trends.,CRJ 210 - Current Issues in Criminal Justice,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=210,Criminal Justice
"This course is designed to familiarize students with the ways in which criminal cases are adjudicated through the court process.Case processing is guided by both case law and the established practices of the courts.Students will cover topics including due process, evidentiary rules, burden of proof, hearsay, and offender, victim and witness recall.The course will also stress the importance of constitutional law to the adjudication process.",CRJ 212 - Evidence and Court Procedure,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=212,Criminal Justice
"This course provides an in depth review of fire investigation and includes material on scene examination, tools andresources that investigators utilize during an investigation and follow up. Interviewing, report writing, case preparation, legal issues and special considerations during fire investigations will also be presented.",CRJ 213 - Basic Fire Investigation,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=213,Criminal Justice
This course presents an opportunity for select students to focus upon special issues in Criminal Justice with a primary emphasis on completion of a major independent research project and topic paper analyzing an agency or significant concept/issue in Criminal Justice. Students MUST see their Program Coordinator to register for this class.,CRJ 250 - Senior Seminar/Project,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=250,Criminal Justice
"This course is a planned program of observation and participation in a selected Criminal Justice agency and the completion of an independent research project analyzing an agency or significant concept/issue in Criminal Justice. Student interns will conduct field work activities with the internship agency deemed appropriate by the agency. Students will also be required to attend weekly on-campus internship class sessions and submit or complete other course assessments including the development of resumes, cover letters and a research project.120 hours of field experience are required. Students already employed in the criminal justice field may request permission from the Criminal Justice Program Coordinator to write a 15-20 page major research paper in lieu of an internship placement.",CRJ 291 - Criminal Justice Internship,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CRJ&crse_numb_in=291,Criminal Justice
"This course explores the ways to take the initiative for personal, professional, and academic success in college.The focus of this course is on techniques and resources to improve self-understanding, computer literacy, information literacy and critical thinking skills, and to foster teamwork and community building in college.The course requires approximately one hour of instructor-supervised computer lab time each week.",CSS 101 - College Success Seminar,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CSS&crse_numb_in=101,Developmental Education
"A one semester course, 3 credit hours.Introduce the student to cross-sectional anatomy and Computed Tomography (CT) procedures, protocols and pathology of the head, neck and chest.Students will be provided with an overview of the patient care and monitoring required in a CT department , including contrast administration requirements specific to the procedures investigated.Students taking this course must have graduated from an accredited imaging program and hold a current certification in Radiography, Radiation Therapy or Nuclear Medicine Technology with the ARRT or certification with the NMTCB in Nuclear Medicine.",CTA 201 - CT Imaging Procedures & Pathology I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTA&crse_numb_in=201,Health
"A one semester course, 3 credit hours.Introduce the student to cross-sectional anatomy and Computed Tomography (CT) procedures, protocols and pathology of the abdomen, pelvis and extremities.Students will be provided with an overview of the patient care and monitoring required in a CT department , including contrast administration requirements specific to the procedures investigated.Students taking this course must have graduated from an accredited imaging program and hold a current certification in Radiography, Radiation Therapy or Nuclear Medicine Technology with the ARRT or certification with the NMTCB in Nuclear Medicine.",CTA 202 - CT Imaging Procedures & Pathology II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTA&crse_numb_in=202,Health
"A one semester course, 3 credit hours.Introduce the student to the physical principles of Computed Tomography and CT equipment.The historical evolution of CT will be reviewed along with the characteristics of X-radiation and X-ray production.The operations and functions of a CT system will be examined.The importance of radiation safety and the principles of radiation protection in the CT department will be discussed.Students taking this course must have graduated from an accredited imaging program and hold a current certification in Radiography, Radiation Therapy or Nuclear Medicine Technology with the ARRT or certification with the NMTCB in Nuclear Medicine.",CTA 204 - CT Imaging Physics and Radiation Safety,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTA&crse_numb_in=204,Health
"A one semester course, 2 credit hours.This CT clinical practicum course is designed to allow qualified technologists to complete the number of clinical procedures mandated by the American Registry of Radiologic Technologists (ARRT) to be considered eligible to apply to sit for certification in CT, while emphasizing the importance of patient care, radiation safety and the principles of radiation protection in the CT department.Requires completion of a minimum of 16 clinical hours per week in assigned NECC CT clinical site.PLEASE NOTE: CORI (Criminal Offender Record Information), CHRI (Criminal Records Central Repository) and/or SORI (Sex Offender Record Information) checks are required prior to participation in this course. In addition, Technologists must provide proof of current CPR certification at the Health Care Provider/Professional Rescuer level and a current Massachusetts Radiologic Technologists license in Radiography, Radiation Therapy or Nuclear Medicine prior to participation in this course.Drug Screening: Students enrolled in this academic course may be required to pass a drug screening analysis.",CTA 290 - CT Clinical Practicum I,,Practicum Placement,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTA&crse_numb_in=290,Health
"A one semester course, 2 credit hours.This CT clinical practicum course is designed to allow qualified technologists to complete the number of clinical procedures mandated by the American Registry of Radiologic Technologists (ARRT) to be considered eligible to apply to sit for certification in CT, while emphasizing the importance of patient care, radiation safety and the principles of radiation protection in the CT department.Requires completion of a minimum of 16 clinical hours per week in assigned NECC CT clinical site, until the required ARRT competencies are complete. PLEASE NOTE: CORI (Criminal Offender Record Information), CHRI (Criminal Records Central Repository) and/or SORI (Sex Offender Record Information) checks are required prior to participation in this course. In addition, Technologists must provide proof of current CPR certification at the Health Care Provider/Professional Rescuer level and a current Massachusetts Radiologic Technologists license in Radiography, Radiation Therapy or Nuclear Medicine prior to participation in this course. Drug Screening: Students enrolled in this academic course may be required to pass a drug screening analysis.",CTA 291 - CT Clinical Practicum II,,Practicum Placement,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTA&crse_numb_in=291,Health
"The mechanics of automatic computation including number systems, digital codes, logic gates, Boolean algebra, Karnaugh map simplification, combinational logic, sequential logic, adders, counters, shift registers, etc. will be covered.",CTE 101 - Fundamentals of Digital Logic,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTE&crse_numb_in=101,Computer & Engineering Tech
"Students will perform experiments emphasizing the design, construction and troubleshooting of digital logic circuits in electrical and computer engineering.",CTE 103 - Digital Design Laboratory,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTE&crse_numb_in=103,Computer & Engineering Tech
"Students explore lifestyle changes that empower them to reduce both their personal and community Carbon Footprint, resulting in a greener society through technology.The course also introduces the theoretical and practical concepts of energy sources with an emphasis on solving problems related to sustainable renewable energy use and conservation. Topics include carbon footprint calculations, the expanded use of wind, solar and hydroelectric power. With hands-on lab experiments, elementary engineering projects and computer internet research, students discover several aspects contributing to carbon emissions and developing a Low Carbon Diet.",CTE 105 - Green Technology,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTE&crse_numb_in=105,Computer & Engineering Tech
"Introduction to the analysis of electric circuits using DC sources. Applications of Kirchhoff's Voltage and Current Laws, Superposition, loop analysis, nodal analysis and Thevenin's Theorem will be covered.",CTE 111 - Circuit Analysis I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTE&crse_numb_in=111,Computer & Engineering Tech
"Extension of the theorems developed in CTE111 Circuit Analysis I as they apply to circuits excited by sinusoidal sources. Energy considerations, storage of energy, RMS calculations, series resonance, parallel resonance and transformers will be covered.",CTE 112 - Circuit Analysis II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTE&crse_numb_in=112,Computer & Engineering Tech
An introductory course in semiconductor physics and semiconductor devices. Biasing and stability of devices and small signal models of same. Applications of semiconductors in rectifiers and amplifiers will be covered.,CTE 201 - Electronics I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTE&crse_numb_in=201,Computer & Engineering Tech
"Analysis of the behavior of multistage amplifiers, power amplifiers, tuned circuit amplifiers, feedback amplifiers and oscillators. Integrated circuits, including differential and operational amplifiers and voltage regulators will be covered.",CTE 202 - Electronics II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=CTE&crse_numb_in=202,Computer & Engineering Tech
