Category,Description,Title,Section,Openings,Id
BUS,"The role, growth, structure, and functional organization of modern business in the U.S. ec onomy is explored.  Comparative economic syst ems, sole proprietorships, partnerships, corp orations, and the management, marketing, and financing of business organizations are cover ed.  Opportunities in the business field are examined throughout the course.  Students wil l be expected to complete outside research as  a course requirement.",Introduction To Business,"['PF7', '1']",6 open seats,101
BUS, No Course Description is available for this course.,Business Law I Independent Study,['61'],0 open seats,197
BUS, No Course Description is available for this course.,Principles Of Customer Service,['01'],13 open seats,202
BUS, No Course Description is available for this course.,Principles Of Customer Service,['91'],1 open seats,202
BUS,"The course introduces students to the historical development, structure, operation, and current and future directions of the major components of the American health care delivery system.  It examines the ways in which health care services are organized and delivered, the influences that impact health care public policy decisions, factors that determine the allocation of health care resources and the establishment of priorities, and the relationship of health care costs to measurable benefits.  The course enables students to assess the role of organized efforts to influence health policy formulaion, and the contriubtions of medical technology, delivery system.  Additionally, this course provides an orientation to key health care statistical information.
Formerly ALH203",Heath Care Delivery Systems,['01'],9 open seats,203
BUS,An introductory course in international busin ess.  This course provides a historical backg round and discussion of theoretical foundatio ns on international business.  Analysis of in ternational institutions and internl and exte rnal factors that influence commercial activi ties among nations and the operation of firms  is included as well.  Students will focus on  strategic management of international firms o in the latter part of the course which will  take into account major trends of today's in ternational business.,Intro To International Business,['01'],18 open seats,211
BUS,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
An introductory course in business ethics focusing on what business
relationships are and ought to be with the various constituencies
in which business operates. Through the use of case analysis, the
student will develop a means of arriving at decisions that he or she
can feel are right, proper, and just. Placement at ENG 101 level
strongly advised.",Business Ethics,['01'],2 open seats,220
BUS,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
An introductory course in business ethics focusing on what business
relationships are and ought to be with the various constituencies
in which business operates. Through the use of case analysis, the
student will develop a means of arriving at decisions that he or she
can feel are right, proper, and just. Placement at ENG 101 level
strongly advised.",Business Ethics,['02'],0 open seats,220
BUS,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
An introductory course in business ethics focusing on what business
relationships are and ought to be with the various constituencies
in which business operates. Through the use of case analysis, the
student will develop a means of arriving at decisions that he or she
can feel are right, proper, and just. Placement at ENG 101 level
strongly advised.",Business Ethics,"['F7', '2']",1 open seats,220
BUS,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
An introductory course in business ethics focusing on what business
relationships are and ought to be with the various constituencies
in which business operates. Through the use of case analysis, the
student will develop a means of arriving at decisions that he or she
can feel are right, proper, and just. Placement at ENG 101 level
strongly advised.",Business Ethics,['HY'],18 open seats,220
BUS,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
An introductory course in business ethics focusing on what business
relationships are and ought to be with the various constituencies
in which business operates. Through the use of case analysis, the
student will develop a means of arriving at decisions that he or she
can feel are right, proper, and just. Placement at ENG 101 level
strongly advised.",Business Ethics,['ON'],1 open seats,220
BUS,"This course covers the skills necessary for effective written and oral communication in the work environment.  This course reviews basic communication theories an explores the fundamentals of interpersonal, written and oral communication skills.  Students will explore various types of business documents such as RFP's, Proposals, reports and social media.  The course will also cover the fundamentals of group and team communication and how successful professionals embody the skills learned to develop successful working relationships.",Organizational Communication,['01'],13 open seats,230
CHE,"An introductory course focusing on use of sci ence in solving crimnal cases. Basics of chem ical, physical, medical and behavioral scienc es will be used to preserve a crime scene and  identify, collect, examine, and interpret cr ime evidences to help the process of law.  To pics include but not limted to analysis of fi ber, hair, body fluids, fingerprints, footpri nts, bullet residue, toxic substances, illega l drugs, explosives, DNA traces, tool marks a nd documents",Introduction Forensic Science w/Lab,['65'],0 open seats,103
CHE,"An introductory course focusing on use of sci ence in solving crimnal cases. Basics of chem ical, physical, medical and behavioral scienc es will be used to preserve a crime scene and  identify, collect, examine, and interpret cr ime evidences to help the process of law.  To pics include but not limted to analysis of fi ber, hair, body fluids, fingerprints, footpri nts, bullet residue, toxic substances, illega l drugs, explosives, DNA traces, tool marks a nd documents",Introduction Forensic Science w/Lab,['91'],19 open seats,103
CHE, No Course Description is available for this course.,General Chemistry I and Lab,['01'],13 open seats,121
CHE, No Course Description is available for this course.,General Chemistry I and Lab,['02'],15 open seats,121
CHE, No Course Description is available for this course.,General Chemistry I and Lab,['03'],19 open seats,121
CHE, No Course Description is available for this course.,General Chemistry I and Lab,['61'],9 open seats,121
CHE, No Course Description is available for this course.,General Chemistry I and Lab,['91'],14 open seats,121
CHE, No Course Description is available for this course.,General Chemistry I and Lab,['95'],17 open seats,121
CHE, No Course Description is available for this course.,General Chemistry I and Lab,['HY'],20 open seats,121
CHE, No Course Description is available for this course.,General Chemistry II and Lab,['01'],24 open seats,122
CHE, No Course Description is available for this course.,General Chemistry II and Lab,['91'],13 open seats,122
CHE, No Course Description is available for this course.,Introduction To Chemistry and Lab,['02'],26 open seats,141
CHE, No Course Description is available for this course.,Introduction To Chemistry and Lab,['61'],15 open seats,141
CHE, No Course Description is available for this course.,Introduction To Chemistry and Lab,['91'],21 open seats,141
CHE, No Course Description is available for this course.,Introduction To Chemistry and Lab,"['PF7', '2']",13 open seats,141
CHE,"This course is the first semester of a two se mester course.  Fundamental concepts of the c arbon-containing compounds will be introduced .  Topics include nomenclature, electron delo calization, resonance, stereochemistry, confo rmational analysis, systhesis, structure and reactivity relationships and spectroscopy.",Organic Chemistry I,['01'],21 open seats,213
CHN,"This course teaches both spoken and written m odern standard Mandarin Chinese.  Discussions  of cultural topics will enable students to d evelop written and spoken skills in Mandarin. Materials will follow a standard texbook usin g simplified characters and pinyin, but the c urriculum, using learner-centered language te ams and a wide variety of resources, will als o challenge students who wish to improve thei r knowledge of the traditional writing system",Chinese Language,['91'],7 open seats,101
CJS,"This course introduces the criminal justice p rocess and services with discussion of the ro les of police, courts, and corrections.",Introduction To Criminal Justice,['01'],3 open seats,101
CJS,"This course introduces the criminal justice p rocess and services with discussion of the ro les of police, courts, and corrections.",Introduction To Criminal Justice,"['F7', '1']",14 open seats,101
CJS,"This course introduces the criminal justice p rocess and services with discussion of the ro les of police, courts, and corrections.",Introduction To Criminal Justice,['HY'],18 open seats,101
CJS,"This course introduces the criminal justice p rocess and services with discussion of the ro les of police, courts, and corrections.",Introduction To Criminal Justice,"['PF5', '1']",6 open seats,101
CJS,"This course introduces the criminal justice p rocess and services with discussion of the ro les of police, courts, and corrections.",Introduction To Criminal Justice,"['PF7', '1']",15 open seats,101
CJS,"The nature and cause of criminal behavior in comtemporary America, the social forces invol ved, the major etiological forces responsible  for lawbreaking, and analysis of social resp onses to criminals, including the workings of  the police, courts, laws and prisons are stu died.",Criminology,['01'],9 open seats,103
CJS,"The nature and cause of criminal behavior in comtemporary America, the social forces invol ved, the major etiological forces responsible  for lawbreaking, and analysis of social resp onses to criminals, including the workings of  the police, courts, laws and prisons are stu died.",Criminology,"['F7', '2']",11 open seats,103
CJS,The role of police in a democratic society if  examined as well as the historical developme nt of law enforcement emphasizing European an d American tradition and practice.,Law Enforcement & Society,"['PF7', '2']",15 open seats,104
CJS,"An examination of the kinds and degrees of ev idence and the rules governing admissibility of evidence in court.  The student will study  the fundamentals of investigation,  crime sc ene search and recording, collection and pres ervation of physical evidence, source of info rmation, interviews and interrogation, follow -up and case preparation.",Criminal Evidence & Investigation,['91'],19 open seats,105
CJS,"An examination of the kinds and degrees of ev idence and the rules governing admissibility of evidence in court.  The student will study  the fundamentals of investigation,  crime sc ene search and recording, collection and pres ervation of physical evidence, source of info rmation, interviews and interrogation, follow -up and case preparation.",Criminal Evidence & Investigation,['HY'],16 open seats,105
CJS,"This course covers selected theories of delin quency, programs of prevention and control, t reatment, confinement, utilization of communi ty resources, and the history and current rol e of the juvenile court.",Juvenile Delinquency,['01'],9 open seats,107
CJS,"This course covers selected theories of delin quency, programs of prevention and control, t reatment, confinement, utilization of communi ty resources, and the history and current rol e of the juvenile court.",Juvenile Delinquency,"['F5', '2']",12 open seats,107
CJS,"This course covers selected theories of delin quency, programs of prevention and control, t reatment, confinement, utilization of communi ty resources, and the history and current rol e of the juvenile court.",Juvenile Delinquency,"['ON', 'P']",4 open seats,107
CJS,"This course introduces the student to the pri nciples of criminal liability, elements of cr ime, defenses to crime and parties to crime i n the areas of property crimes, crimes agains t the person, crimes against habitation and d rug traficking.",Criminal Law,['01'],9 open seats,109
CJS,"This course introduces the student to the pri nciples of criminal liability, elements of cr ime, defenses to crime and parties to crime i n the areas of property crimes, crimes agains t the person, crimes against habitation and d rug traficking.",Criminal Law,['91'],11 open seats,109
CJS,"This course introduces the student to the pri nciples of criminal liability, elements of cr ime, defenses to crime and parties to crime i n the areas of property crimes, crimes agains t the person, crimes against habitation and d rug traficking.",Criminal Law,"['ON', 'P']",2 open seats,109
CJS,"This course introduces the student to the pri nciples of criminal liability, elements of cr ime, defenses to crime and parties to crime i n the areas of property crimes, crimes agains t the person, crimes against habitation and d rug traficking.",Criminal Law,"['PF5', '2']",1 open seats,109
CJS,"Surveys the criminal justice system as a whol e, the interdependence and independence of ac tors, and discusses system concerns and alloc ation of resources.",Criminal Justice Administration,['91'],14 open seats,111
CJS,"This course discusses the major social health  issues involving drugs.  Topics covered incl ude the psychosocial aspects of drug involvem ent, the pharmacology of drugs, alcoholism, c urrent rehabilitation practices, review of st ate and federal drug laws, and drug education  programs at the national, state and local le vels.",Drugs & Society,['01'],2 open seats,113
CJS,"This course discusses the major social health  issues involving drugs.  Topics covered incl ude the psychosocial aspects of drug involvem ent, the pharmacology of drugs, alcoholism, c urrent rehabilitation practices, review of st ate and federal drug laws, and drug education  programs at the national, state and local le vels.",Drugs & Society,['HY'],22 open seats,113
CJS,"This course discusses the major social health  issues involving drugs.  Topics covered incl ude the psychosocial aspects of drug involvem ent, the pharmacology of drugs, alcoholism, c urrent rehabilitation practices, review of st ate and federal drug laws, and drug education  programs at the national, state and local le vels.",Drugs & Society,"['ON', 'P']",4 open seats,113
CJS,"This course discusses the major social health  issues involving drugs.  Topics covered incl ude the psychosocial aspects of drug involvem ent, the pharmacology of drugs, alcoholism, c urrent rehabilitation practices, review of st ate and federal drug laws, and drug education  programs at the national, state and local le vels.",Drugs & Society,"['ONP', '2']",2 open seats,113
CJS,"This course introduces the student to the bas ics of criminal procedure, including the law of search and seizure, arrest, interrogation and identificatin, the pretrial process, the criminal trial, sentencing and punishment, ap peal and post conviction relief and constitut ional safeguards in state and federal crimina l proceedings.",Criminal Procedure,['91'],10 open seats,121
CJS,"This course introduces the student to the bas ics of criminal procedure, including the law of search and seizure, arrest, interrogation and identificatin, the pretrial process, the criminal trial, sentencing and punishment, ap peal and post conviction relief and constitut ional safeguards in state and federal crimina l proceedings.",Criminal Procedure,"['F5', '1']",11 open seats,121
CJS,"This course introduces the student to the bas ics of criminal procedure, including the law of search and seizure, arrest, interrogation and identificatin, the pretrial process, the criminal trial, sentencing and punishment, ap peal and post conviction relief and constitut ional safeguards in state and federal crimina l proceedings.",Criminal Procedure,"['PF5', '3']",7 open seats,121
CJS,"An introduction to Homlelend Security as an e volving policy issue, matter of national conc ern, and a profession, the course prepares st udents to explore this area of policy, law en forcement/emergency response,and government. This course addresses terrorism, natural disa sterk policy development, legal and criminal justice issues, and concepts regarding agenci es.  Case studies are examined focusing on th reat assessment, disaasters, past acts of ter roism, and potential risks facing the nation.   Also explored are prevention, mitigation, a nd response to threats both natural and man-m ade.",Introduction To Homeland Security,['01'],16 open seats,131
CJS, No Course Description is available for this course.,Criminology Independent Study,['61'],0 open seats,197
CJS, No Course Description is available for this course.,Introduction To Corrections,['01'],17 open seats,202
CJS,"This course will teach student's about work of a Correctional Administrator by examining the rewards and challenges of working in corrections.  Through the evaluation of correctional history, theory, policy and current practice, students will develop a pragmatic understanding around managing an offender population in a dynamic and difficult environment.  This course  includes a review of correctional history and background, contemporary critical issues, correctional operations, and projecting future needs.  Additional topics will include environmental impacts, leadershio theory and application, staff roles and supervision, managing risk, community corrections, managing special populations and future considerations.",Correctional Administration,['91'],19 open seats,206
CJS,"This course includes the historical and philo sophical bases of security and a survey of ad miministrative, personnel and physical aspect s of the field.",Introduction To Security Procedures,"['F5', '3']",20 open seats,211
CJS,"This course deals with the rise in white-coll ar crime amd programs for the prevention and control of dishonest employees and shiplifter s, management and public relations, recovery,  shipping and inventory control and special l aws and procedures.",White-Collar Crime,['61'],0 open seats,215
CJS,"A survey of ""domestic violence"" including spo usal battering, child abuse and child neglect ; including causes, effects and consequences of domestic violence; judicial, law enforceme nt and other interventions to protect victims ; practical applications of the law; assistin g victims/clients with resource and referral assessment; and study of public policy, crimi nal justice and legal issues and problems.",Domestic Violence,['01'],16 open seats,221
CJS,"A survey of ""domestic violence"" including spo usal battering, child abuse and child neglect ; including causes, effects and consequences of domestic violence; judicial, law enforceme nt and other interventions to protect victims ; practical applications of the law; assistin g victims/clients with resource and referral assessment; and study of public policy, crimi nal justice and legal issues and problems.",Domestic Violence,['HY'],15 open seats,221
CJS, No Course Description is available for this course.,Unequal Justice,['01'],16 open seats,224
CJS, No Course Description is available for this course.,Unequal Justice,"['F7', '2']",8 open seats,224
CSA,"This course is designed to introduce the fund amental process of developing, implementing a nd maintaining a database system in order to produce management information. DBase111+ is the program of choice.  Database programming is also included.  Lab fee.",Database Management/Access,['01'],2 open seats,213
CSA,"This course is designed to introduce the fund amental process of developing, implementing a nd maintaining a database system in order to produce management information. DBase111+ is the program of choice.  Database programming is also included.  Lab fee.",Database Management/Access,['65'],13 open seats,213
CSA,"This course is designed to introduce the fund amental process of developing, implementing a nd maintaining a database system in order to produce management information. DBase111+ is the program of choice.  Database programming is also included.  Lab fee.",Database Management/Access,['91'],3 open seats,213
CSA,Students gain a working knowledge of spreadsheet skills and apply those skills to business-based problem-solving cases.  Computer based assessment is presented.   Software may be used as both a learning and skills measurement tool.,Spreadsheet Design Bus Solutions,['01'],7 open seats,217
CSA,"This course is designed to give students with  an accounting background familiarity with co mputers and their use in the accounting proce ss.  Accounting theory will be integrated fro m a manual accounting system to a computerize d accounting system using a computerized acco unting software package.  Includes ""hands on""  applications of accounting problems.  Lab fe e.",Computerized Accounting Quick Books,['01'],23 open seats,220
CSA, No Course Description is available for this course.,Website Design,['01'],21 open seats,227
CSA, No Course Description is available for this course.,Website Design,['61'],16 open seats,227
CSA, No Course Description is available for this course.,Website Design,['91'],3 open seats,227
CSA,"This course will familiarize the student with the capabilities and potential of web design for applications in business, government, communication, and the arts. Hands-on experience will teach students to create web pages using HTML, CSS, and various web development tools.",Website Design,"['PF7', '2']",15 open seats,227
CSA,"This course will familiarize the student with the capabilities and potential of computer graphics for applications in business, government, communication, and the arts. You will learn the most important topics and tools of Adobe Illustrator CS5 and Photoshop CS5, including many new and exciting features. You will start by learning the interface, working with various tools and panels. Next, you will learn techniques for designing stunning text effects and how to incorporate gradients into your work. This course offers and effective tutorial for using the Pen tool to draw a complex illustration. Finally, you will learn how to prepare graphics for the web.",Graphics Application,['01'],25 open seats,228
CSA, No Course Description is available for this course.,Media Arts Internship,['61'],0 open seats,297
CSI, No Course Description is available for this course.,Introduction To Computers,['01'],0 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['02'],1 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['03'],1 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['04'],2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['05'],2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['06'],1 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['07'],2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['08'],1 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['09'],2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['10'],0 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['11'],2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['12'],1 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['13'],0 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['14'],5 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['60'],7 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['61'],2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['62'],5 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['63'],7 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['64'],6 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['65'],2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['91'],7 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['92'],7 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['93'],7 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['94'],21 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,['F1'],2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['HY', '1']",9 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['HY', '2']",26 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['ON', '1']",3 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['ON', '2']",3 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['ON', '3']",2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['ON', '4']",2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['ON', '5']",2 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['ON', '6']",21 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['ON', 'P']",4 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['ON', 'PF']",0 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['ONP', 'F2']",24 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['PF5', '2']",10 open seats,101
CSI, No Course Description is available for this course.,Introduction To Computers,"['PF7', '2']",28 open seats,101
CSI,This course is designed as an introduction to C++ programming.Problem solving methods and algorithmic development stressing good programming style and documentation including top down and modular design is emphasized. Prerequisite: CSI 116 (formerly CSI 216 Computer Concepts).,C++ Programming,['01'],10 open seats,107
CSI,This course is designed as an introduction to C++ programming.Problem solving methods and algorithmic development stressing good programming style and documentation including top down and modular design is emphasized. Prerequisite: CSI 116 (formerly CSI 216 Computer Concepts).,C++ Programming,['02'],20 open seats,107
CSI,This course is designed as an introduction to C++ programming.Problem solving methods and algorithmic development stressing good programming style and documentation including top down and modular design is emphasized. Prerequisite: CSI 116 (formerly CSI 216 Computer Concepts).,C++ Programming,['91'],16 open seats,107
CSI,This course is designed to provide the student with the advanced object oriented features of C++. It builds upon the knowledge learned in C++ Programming. Prerequisites: CSI 107 and CSI 116 (formerly CSI 216 Computer Concepts).,Advanced C ++,['01'],22 open seats,108
CSI,"This course focuses on the understanding of computer organization, design and programming of a simple digital computer.  The sudy includes the basic building blocks of the computer system including digital logic circuits, data representation, register transfer language and microoperations.",Digital Computer Hardware,['01'],15 open seats,111
CSI,"This course is designed to porvide the background necessary for an understanding of computers and computer languages.  Programming assignments introduce the sutdnet to methods of problem solving, programming logic, development of algorithms, coding in C, debugging and documenting programs. Topics include an overview of computer organization, simple data structures, organization, and file management.",Introduction to Programming,['01'],1 open seats,116
CSI,"This course is designed to porvide the background necessary for an understanding of computers and computer languages.  Programming assignments introduce the sutdnet to methods of problem solving, programming logic, development of algorithms, coding in C, debugging and documenting programs. Topics include an overview of computer organization, simple data structures, organization, and file management.",Introduction to Programming,['02'],1 open seats,116
CSI,"This course is designed to porvide the background necessary for an understanding of computers and computer languages.  Programming assignments introduce the sutdnet to methods of problem solving, programming logic, development of algorithms, coding in C, debugging and documenting programs. Topics include an overview of computer organization, simple data structures, organization, and file management.",Introduction to Programming,['03'],17 open seats,116
CSI,"This course is designed to porvide the background necessary for an understanding of computers and computer languages.  Programming assignments introduce the sutdnet to methods of problem solving, programming logic, development of algorithms, coding in C, debugging and documenting programs. Topics include an overview of computer organization, simple data structures, organization, and file management.",Introduction to Programming,['61'],13 open seats,116
CSI,"This course is designed to porvide the background necessary for an understanding of computers and computer languages.  Programming assignments introduce the sutdnet to methods of problem solving, programming logic, development of algorithms, coding in C, debugging and documenting programs. Topics include an overview of computer organization, simple data structures, organization, and file management.",Introduction to Programming,['91'],0 open seats,116
CSI, This course is a beginning course for the creation of video games. Students will write programs in C++ and use Dark Game Development Kit  to create sprites and animations as well as  play music and sound effects. Students will combine the skills which they learn in this course to create their own interactive video games.,Introduction to Gaming,['01'],22 open seats,149
CSI, No Course Description is available for this course.,System Design And Analysis,['90'],21 open seats,207
CSI, No Course Description is available for this course.,Operating Systems,['01'],15 open seats,217
CSI, No Course Description is available for this course.,Data Structures And Algorithms,['01'],27 open seats,218
CSI, No Course Description is available for this course.,Data Structures And Algorithms,['91'],22 open seats,218
CSI, No Course Description is available for this course.,Unix With Linux,['01'],0 open seats,226
CSI, No Course Description is available for this course.,Unix With Linux,['91'],16 open seats,226
CSI, No Course Description is available for this course.,Visual Basic,['91'],18 open seats,229
CSI, No Course Description is available for this course.,Java Programming,['01'],14 open seats,233
CSI, No Course Description is available for this course.,Computer Architecture,['01'],17 open seats,235
CSI,"This course introduces students to the advanced object-oriented features of Java. It builds on the knowledge of basic applications and applets learned in Java Programming (CSI 233). Topics include inheritance and polymorphism, abstract types (interfaces), exceptions, event-driven graphical user interfaces, use of online documentation for class libraries, and object-oriented design. Prerequisite: CSI 233 and CSI 116",Advanced Java,['01'],25 open seats,237
CSI, No Course Description is available for this course.,Computer System Security,['01'],17 open seats,242
CSI, No Course Description is available for this course.,Networking I,['01'],0 open seats,244
CSI, No Course Description is available for this course.,Networking I,['61'],16 open seats,244
CSI, No Course Description is available for this course.,Networking I,['91'],3 open seats,244
CSI, No Course Description is available for this course.,Networking I,"['F7', '1']",16 open seats,244
CSI,"Knowing how to install, configure, and troubleshoot a computer network is a highly marketable and exciting skill.  This course first introduces the fundamental building blocks that form a modern network, such as protocols, topologies, hardware, and network operating systems.  It then provides in-depth coverage of the most important concepts in contemporary networking, such as TCP/IP, Ethernet, wireless transmission, and security.  The course will prepare a student to select the best network design, hardware, and software for his or her environment.  Students will also acquire the skills to build a network from scratch and maintain, upgrade, and troubleshoot an existing network.",Networking II,['01'],22 open seats,245
CSI,"Knowing how to install, configure, and troubleshoot a computer network is a highly marketable and exciting skill.  This course first introduces the fundamental building blocks that form a modern network, such as protocols, topologies, hardware, and network operating systems.  It then provides in-depth coverage of the most important concepts in contemporary networking, such as TCP/IP, Ethernet, wireless transmission, and security.  The course will prepare a student to select the best network design, hardware, and software for his or her environment.  Students will also acquire the skills to build a network from scratch and maintain, upgrade, and troubleshoot an existing network.",Networking II,"['F7', '2']",23 open seats,245
CSI,"This course is a comprehensive guide for anyone wishing to obtain a solid backgroud in basic Cisco networking concepts.  Students are first introduced to theory-based concepts, which are followed-up with practical hands-on labs, and use of Cisco IOS.  Implement the Cisco interior routing and BGP protocols with a rigorous treatment of TCP/IP.  Examines bridging, switching, and routing alternatives.  Demonstrates interconnection of networks and the limitations imposed by the different routing protocols, and discusses alternatives and a survey of current trends in internetworking.  Discusses LAN design and intergration techniques and upgrade alternatives that are available when current networking does not support existing or future applicaitons.",Networking III,['01'],20 open seats,246
CSI,"This course teaches students how to develop software for Windows operating systems using Microsoft's premier object-oriented programming language, C#.  The unique features of the C# language will be covered as well as several components of the NET Framework under which modern Windows applications run.  Students will create software using a combination of visual programming tools and traditional coding.  Topics include Windows Forms,  ASP.NET, LINQ, XAML, AND Windows Presentation Foundation.",C# Programming,['01'],22 open seats,255
CSI,"This course utilizes the Python programming language as well as Chorgraphe software to develop behaviors for the NAO humanoid robot.  The robor will be programmed to walk, talk, dance,listen and respond to its surroundings through facial and objec recognition.",Robotics Programming,['01'],22 open seats,261
ECO,"A study of the basic principles of economics including economic theory related to the oper ation of business firms such as supply, deman d, price determination, production costs, com petition, resource markets and international trade.",Microeconomics,['01'],0 open seats,201
ECO,"A study of the basic principles of economics including economic theory related to the oper ation of business firms such as supply, deman d, price determination, production costs, com petition, resource markets and international trade.",Microeconomics,['02'],2 open seats,201
ECO,"A study of the basic principles of economics including economic theory related to the oper ation of business firms such as supply, deman d, price determination, production costs, com petition, resource markets and international trade.",Microeconomics,['61'],2 open seats,201
ECO,"A study of the basic principles of economics including economic theory related to the oper ation of business firms such as supply, deman d, price determination, production costs, com petition, resource markets and international trade.",Microeconomics,['91'],12 open seats,201
ECO,"A study of the basic principles of economics including economic theory related to the oper ation of business firms such as supply, deman d, price determination, production costs, com petition, resource markets and international trade.",Microeconomics,"['F7', '1']",18 open seats,201
ECO,"A study of the basic principles of economics including economic theory related to the oper ation of business firms such as supply, deman d, price determination, production costs, com petition, resource markets and international trade.",Microeconomics,['HY'],19 open seats,201
ECO,"A study of the basic principles of economics including economic theory related to the oper ation of business firms such as supply, deman d, price determination, production costs, com petition, resource markets and international trade.",Microeconomics,"['PF7', '1']",15 open seats,201
ECO,"A study of the basic principles of economics including different economic organizations, i ncome and employment theory, government fisca l and monetary policies, problems of price st ability and economic growth",Macroeconomics,['01'],2 open seats,202
ECO,"A study of the basic principles of economics including different economic organizations, i ncome and employment theory, government fisca l and monetary policies, problems of price st ability and economic growth",Macroeconomics,['61'],14 open seats,202
ECO,"A study of the basic principles of economics including different economic organizations, i ncome and employment theory, government fisca l and monetary policies, problems of price st ability and economic growth",Macroeconomics,['F1'],15 open seats,202
ECO,"A study of the basic principles of economics including different economic organizations, i ncome and employment theory, government fisca l and monetary policies, problems of price st ability and economic growth",Macroeconomics,"['F7', '2']",18 open seats,202
ECO,"A study of the basic principles of economics including different economic organizations, i ncome and employment theory, government fisca l and monetary policies, problems of price st ability and economic growth",Macroeconomics,['HY'],19 open seats,202
ECO,"A study of the basic principles of economics including different economic organizations, i ncome and employment theory, government fisca l and monetary policies, problems of price st ability and economic growth",Macroeconomics,"['PF7', '2']",16 open seats,202
EDU,"This is an introductory course in the princip les of early childhood education focusing on facilities, staff, goals and methodology of v arious programs such as day care, Head Start,  and nursery school.  Traditional and contemp orary issued in early childhood educaion will  be considered, and emphasis will be placed o n meeting the needs of the developing child.",Intro To Early Childhood Education,['01'],11 open seats,101
EDU,"This is an introductory course in the princip les of early childhood education focusing on facilities, staff, goals and methodology of v arious programs such as day care, Head Start,  and nursery school.  Traditional and contemp orary issued in early childhood educaion will  be considered, and emphasis will be placed o n meeting the needs of the developing child.",Intro To Early Childhood Education,['61'],10 open seats,101
EDU,"This is an introductory course in the princip les of early childhood education focusing on facilities, staff, goals and methodology of v arious programs such as day care, Head Start,  and nursery school.  Traditional and contemp orary issued in early childhood educaion will  be considered, and emphasis will be placed o n meeting the needs of the developing child.",Intro To Early Childhood Education,['91'],13 open seats,101
EDU,"By focusing on methods and materials in early  childhood education, this course will explor e ways to maximize the learning experience fo r young children.  The meaning and value of p lay and the child's individual  and developin g use of materials will be considered.  The p urpose, design, and function of learning and expressive activities in the early childhood program will be studied.  The student will al so practice techniques for guiding and stimul ating children's development through the pres entation of materials.  Includes active exper ience with standard early childhood activitie s and stresses how to use resources for activ ities , how to develop projects based on cues  from children's interest, and how to adapt a ctivities for children in differing cultural settings",Curriculum For Preschool Children,['91'],1 open seats,105
