category,credits,link,description,title
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4592,"An introduction to the methods of Illustration for the fashion designer. Basic anatomy and analysis of the idealized fashion female and male figures will be emphasized through demonstrations and in-class exercises. Students will illustrate color fashion plates with apparel details, fashion silhouettes, and textile rendering using magic marker and watercolor. Basic layout skills, critique and editing processes are critical foundation teachings. Flat sketch, technical drawing skills are taught.",EDFD220 Fashion Illustration I .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5257,"An advanced course in hand rendering fashion illustrations for the fashion designer. The fashion figures will be manipulated in multi-figure fashion spreads for collection and portfolio building. Demonstrations by instructor will cover layout and composition variables incorporating interactive movement of both the figure and the clothing. Anatomy studies, drawing from the live model, exaggeration of the garment silhouette, volume and creative style will be emphasized along with advanced textile rendering and detailed flat sketching. Directional information will be presented for use of computer-aided multi-media layouts using both hand and computer-aided fashion rendering.",EDFD221 Fashion Illustration II
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4593,Communication of original ideas using geometric principles in design as well as master block pattern structure. Students learn fundamental draping and development. Basic garment construction and the experience in translating creative designs into 3D form. Work in fabric and non-textiles.,EDFD255 Creative Fashion Design I .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4594,An introduction to the principles and procedures in the development and use of the flat pattern. The course introduces basic master block patterns with design changes.,EDFD256 Pattern Drafting and Construction I .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4595,Development of master block patterns to include dress and pant with additional design options. Introduction to machine stitching for basic garment construction.,EDFD257 Pattern Drafting and Construction II .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4596,Designing for mass-production using CAD - Gerber garment technology. Production methods of design and pattern/marker making utilizing the Accumark Silhouette System.,EDFD260 Fashion Industry Production/Gerber .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4598,"This course will examine both the historical heritage of couture design as found through the textiles, techniques and craftsmanship of the designers, as well as a contemporary view of the globalization of fashion and where designers are heading in the future. We will examine how old world techniques continue to shape and work within the technological advancements of the present day. Students will examine how Antwerp has surfaced as a leading innovative force in fashion and what this means in the larger global context. All of this will be accomplished through lectures and coursework throughout the semester and will culminate with a two week travel program to Antwerp and Paris. Students will complete a final project based on their research, exploration and travel experiences.",EDFD303 Paris to Antwerp: Crossing the Fashion Spectrum .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5258,"Students study the fashion industry and breakdown the product development process into practical steps to learn to produce a clothing line. Students are introduced to research, creating and presenting a product line along with a brand strategy for target consumer.",EDFD306 Product Development
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5557,"The goal of this course is for you to learn the language and tools of digital photography and theprinciples of Fashion Photography. We will be studying the fundamental principles oftaking, processing and manipulating photographs. We study the differences between photographicprints and the use of photographs on screen (size, resolution and printing). A major emphasis will be to explore subjects in depth, make the familiar strange and treatsubjects in a series that allows you to develop your ideas in depth.Basic knowledge of photoshop and camera function required.Spring Only",EDFD309 Digital Photography for Designers .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5535,"This course explores the intersection of industrial design and fashion design to enhancethe overall product-consumer experience. This will spark the creation of products that feelnatural, function intuitively, and resonate with the targeted consumer. The course will exploretechnology by surveying smart textiles, data collecting sensors and product communicationtechniques based on current and future trends like wearables.The course will start with a Design Brief and directed research to understand the user inthe context of the topic, develop user empathy and identify problems/opportunities as well asmarket challenges for a specific industry sector. Low-fidelity prototyping and sketching will beused to communicate final solutions. The goal of this course is to collaborate between the two disciplines through the understanding ofthe design process and the utilization of team strategies. Specific expertise will be brought inbased on the semesters Design Brief. Prerequisites: EDFD257Spring Only",EDFD313 Soft Goods Design .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4600,A course in advanced pattern drafting and grading techniques that emphasize tailored silhouettes. Students create original patterns as a means to experiment with advanced tailoring.,EDFD353 Pattern Drafting and Construction III .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4601,"Intermediate level fashion design. Students develop more intricate designs into finished projects. Emphasis is on personal interpretation of projects in ready-to-wear categories that include swimwear, sportswear and outerwear.",EDFD354 Creative Fashion Design II .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4602,"Students develop more intricate designs into finished projects. Emphasis is on personal interpretation of projects in couture design that include lingerie, bridal, eveningwear and theatrical costume.",EDFD355 Creative Fashion Design III .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4604,"Advanced construction techniques are used to develop knowledge of structure, shape, and tailoring to fit and style. Traditional methods of tailoring are utilized to create permanent shaping. Advanced principles of cut, seaming, hand-detailed construction and steam pressing help to develop a foundation to experiment with silhouettes.",EDFD359 Tailoring .
Fashion Design,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4605,,EDFD392 FD Course Assistantship 
Fashion Design,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4606,,EDFD398 FD Internship 
Fashion Design,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4607,,EDFD399 FD Independent Study 
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4608,"Students research and design a collection presenting a theme-oriented portfolio of finished work. Individual guidance in executing boards for original design ideas based on sources of inspiration that may include important artists, ancient cultures, historical eras, scientific resources or a specialized related technical design area. (two semesters)",EDFD450 Degree Project I .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4609,"Student research project - part II. Students present a theme-oriented formal collection of finished work based on their research. Sources of inspiration may include important artists, ancient cultures, historical eras, scientific resources, or a specialized related technical design area.",EDFD451 Degree Project II .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4610,Students are encouraged to seek their personal direction in fashion design in order to develop their full potential while reaching professional standards in portfolio presentation. Students work on a collection of ensembles that represent advanced techniques in fashion design.,EDFD455 Creative Fashion Design IV .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4611,"An introduction to related fashion specialties of millinery, gloves, footwear, handbags, fur, leather, and cosmetics. Topics include origins, methods of production and finishing, construction, terminology and quality identification. Assignments include millinery and glove design.",EDFD457 Specialized Fashion Study .
Fashion Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4612,"Techniques and design details such as trapunto, couching, and quilting. Technical elements of the couture will include embroidery, pleating and advanced seam finishes.",EDFD458 Couture Techniques .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4613,"This course introduces students to working with film and video. The emphasis of the course will be each students personal film and video work. Classes include technical demonstrations and lectures along with screenings and discussions of film and video work, both by other artists and projects made for the class. Students will learn the basics of digital video production (including HD), how to shoot 16mm using a Bolex non-sync camera and the fundamentals of digital editing. No previous experience required.",MPFV101 Intro to Film and Video .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4614,"The first semester of the sophomore film major will introduce the student to non-synchronous 16mm filmmaking, with an emphasis on experimental, exploratory film techniques. Through a series of class exercises and individual student assignments, students explore 16mm non-synchronous production, basic lighting, and analog film editing techniques. The emphasis of this class is on the student finding a personal means of expression using the film medium. Offered Fall.",MPFV210 Film I .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4615,"In this second semester required sophomore film course students develop their personal skills and ideas in 16mm film production. In this class students will explore an in depth use of the Arri-S and the Arri-BL Sync cameras, lenses and filters. In addition, students will study the principles of lighting and exposures for color film stocks and practice how to work with the Lab for color digital transfers. The equipment and demonstrations are explored within a context defined by the history, aesthetics, and theory of film practice. Offered Spring.",MPFV211 Film II .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4617,"This introductory course focuses on video production for personal time-based art making. Through a series of in-class workshops and assignments students will develop basic skills in digital video production, while becoming familiar with videos unique technical and aesthetic qualities. Using an array of digital and analog tools, including video cameras, computers, microphones and digital and analog image processors, the students explore multiple strategies for making art with video. Production topics covered include lighting, shooting and audio recording for video. Video post-production topics covered include non-linear editing and current methods for output and distribution. Additionally, screenings, readings and discussions expose and challenge students to discover the diversity that video as a medium has to offer artists. Offered Fall.",MPFV220 Video I .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4618,"Video II is an intermediate level video production course for personal time-based art making that advances the techniques and concepts learned in Video I. Through a series of workshops and assignments students are challenged to further develop their independent video work while experimenting with the various modes of presentation and distribution of video art. Students will learn an array of digital and analog tools to make expanded video projects which may include: multi-channel installation, live video mixing, webcasting, performance, and installations using found objects and live video feeds. Field trips to local galleries and museums will expose and challenge students to discover the diversity video, as a medium has to offer artists. This class aims to challenge notions of what video art is, and can be. Students are expected to think outside the box and try new approaches to time-based media. Through both group projects students learn to seek out new audiences and create unique methods of presenting video in the public arena. Individual projects centered on contemporary media issues provide students the opportunity to gain skills in intermediate production techniques. Offered Spring. Prerequisite: MPFV220 or by permission of the instructor.",MPFV221 Video II .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4621,"Students will focus on how to shape the space, time and light of the motion picture image on one of the most versatile of film devices, the optical printer. The optical printer consists of a camera, a projector head and a light source on which a student may rephotograph already developed film to extract and explore the hidden potentialities of the image. Students will quickly gain hands-on experience with the printer through numerous demonstrations and exercises. Screenings of key works will illustrate myriad techniques. Students of all artistic disciplines are welcome and encouraged to attend.","MPFV234 Optical Printing: Conscious Manipulation of Space, Time and Light ."
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4622,"A successful short-film is not simply an abbreviated version of a feature film but entails a different kind of storytelling. Edgar Allen Poes description of a good short story is as relevant to film as it is to literary fiction. A good short story, he said, is not just an incident or an episode extracted from a longer tale, but a work of narrative-art that impresses the reader with the belief that it would be spoiled if it were made longer. Designed as a writing workshop, this course will address the many facets of writing screenplays for short films. Students will develop at least three scripts (2-8 pages long), from idea to end product, through individual and collaborative exercises, rewriting, and discussion of their works-in-progress. Students are encouraged to write scripts that can be produced with resources available to most students.",MPFV235 Scriptwriting I .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4625,"This is a required course for the F/V major. Students are introduced to studio and field recording and post production for audio through a series of workshops. Subjects covered include the basic physics of sound, digital and analog audio formats, microphones, and understanding how to use audio recorders, amplifiers and speakers. The basic structural properties of sound and their relationship to the listener are explored through sound editing, effects processing and audio mixing using digital audio editing software. Emphasis is placed on the consideration of sound as a medium in its own right with a study of acoustic principles and effects. Whether working on soundtracks, musical compositions or sound art, this class provides the student with a solid foundation in audio production. No previous experience required. It is advisable to take this course in the sophomore year.",MPFV245 Sound I .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5543,"Video installation is an ever-expanding contemporary art genre. This introductory courseis open to undergraduate and graduate students who are interested in learning how to createvideos and integrate them into 3D and interdisciplinary art practices. Readings,screenings and discussions address a range of video installation art practices past andpresent. Students are challenged to address various approaches to video/audio creation,presentation styles, and the meanings created from pairing video with forms, performance orenvironments. Through the semester, projects progress from assignment-based prompts to afinal, self-designed project. Technical demonstrations cover strategies and techniquesfor filming, video editing in Adobe Premiere Pro, and the use and positioning of video projectorsand other devices in relationship to surfaces and forms. The goal of this class is for students tobecome technically proficient in creating and combining video, audio and physical elements inconceptually cohesive ways. [Formerly titled Intro to Video Installation]","MPFV256 Video Installation:Site, Performance, Sculpture ."
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4627,This course is designed to introduce the student to the physicality of film by directly painting onto film and hand-processing film. No previous experience required.,MPFV261 Handmade Film .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5566,"This class is an introduction to working with performers, both in a traditional narrativecontext and in a more experimental mode, with an emphasis on building performance for camera. Theclass will take a experiential approach - the students work with each other, allowing theirexperience as actor/performers to inform their choices as director/filmmakers. Trained actorsmay be brought in at some point for additional experience. Topics covered include an overview oftraditional acting techniques, classical scene analysis, working with non-actors (includingoneself), and post-modern performance techniques. Selected viewings supplement each lesson, andoccasional guest speakers from the theater, film and art world bring further depth and context tothe subject matter.",MPFV264 Performance for Camera .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4628,"This course will offer an in depth look at the use of recorded sound within the context of moving image production. Live sound and expanded cinema experiments will also be encouraged. Students will be expected to produce 2-3 sound film/video pieces during the course of the semester and are expected to come prepared to develop their own work under guidance of the course instructor. Time each week will be allocated to technical demonstrations of studio equipment (including various workshops exploring Pro-Tools audio software), recording and mixing experiments, and discussions on the many aesthetic and conceptual frameworks of cinematic sound. Examples from the history of cinematic sound will be screened on a weekly basis throughout the semester. In addition to weekly course meetings, students will be expected to meet certain scheduled benchmarks in the production of their projects.",MPFV300 Sound Design for Film .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4630,"This course deepens the students understanding of cinematography and introduces the student to studio lighting. In this course, students explore how cinematography serves directorial and creative intent, while being liberated to explore its own visual language. Technical and aesthetic concerns are given equal weight.",MPFV308 Cinematography and Lighting .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4631,"This class is a spring semester requirement for junior Film/Video majors. In this course, students develop and refine their creative voices, with freedom to work in any time-based format to produce three completed pieces. Students creatively demonstrate both technical focus and conceptual rigor in their completed works.",MPFV312 Junior Major Production .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4632,"This course assumes that students come to it withtechnical skill at Avid and other non-linearediting systems and moves instead into conceptualand aesthetic aspects of motion-picture editing,examining how an editor creates a sense of time,space, tone, and rhythm. We look at bothshort-form and long-form work in the documentary,fiction, and experimental traditions. Sound/imagerelationships, including continuity anddiscontinuity, and non-traditional approaches areall examined through short editing assignments.In addition, there is time for critique of yourown works-in-progress, as well as a term-longgroup assignment to edit a documentary featureout of materials provided by the instructor.",MPFV314 Advanced Editing .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5545,"This course assumes that students come to it with technical skill at Avid and other non-linearediting systems and moves instead into conceptual and aesthetic aspects of motion-picture editing,examining how an editor creates a sense of time, space, tone, and rhythm. We look at bothshort-form and long-form work in the documentary, fiction, and experimental traditions. Sound/imagerelationships, including continuity and discontinuity, and non-traditional approaches areall examined through short editing assignments. In addition, there is time for critique of yourown works-in-progress, as well as a term-long group assignment to edit a documentary featureout of materials provided by the instructor.",MPFV314 Advanced Editing .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4634,"This course is one of two options to fulfill the fall Film/Video junior production requirement. It concentrates on the production of short, finished work each week for substantial in-class critique. The content of the work produced for the class divides evenly between individual student preference and predetermined topics formulated to complement class screenings, readings and discussions. Methods for rapidly generating completed works are examined and a wide variety of critique strategies are employed.",MPFV321 Short and Fast: From Idea to Critique .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4635,"This class is the first installment of a two-semester required course introducing film/video theory and criticism. The class explores film and video informed by changing media practice and by art. Screenings encompass installation and performance as well as single channel work. Both historical and contemporary work is presented. All work shown is considered in relation to semiotics, psychoanalysis, feminism, race, documentary practice, identity issues, and representation.",MPFV322 Junior Major Viewing 1 .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4636,"This course is an intensive film and video production class for the junior film students to find and realize their own personal voices through moving image. Students explore traditional narrative frameworks such as character, conflict, script structure, and narrative voice. Students expand upon these frameworks and push the boundaries of conventional film narrative. The class touches upon all stages of preproduction, including production design, storyboards, shot design, script breakdown, preparing the shot list, casting, location scouting, and production scheduling. Classes include technical workshops, in depth analysis, viewing and critique. Students direct their own scripts and work in crews to produce each others films.",MPFV323 Experiments in Film Narrative .
Film/Video,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5209,"This course will explore the process of writing a screenplay adaptation. Designed as a writing workshop, students can work with a range ofsource material: short fiction, fairy tales, folk tales, news items, etc. Students write one or more short scripts (up to 20 pages long), throughcreative and analytical writing exercises, rewriting, hearing their scripts read aloud, and workshopping in class. Readings and screeningsalso required.",MPFV324 Screenwriting 2:Adaptation 3
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4637,"This class is the second installment of a two-semester required course introducing film/video theory and criticism. In the second semester, the class continues to explore film and video informed by media and by art. In addition to this content, the second semester explores contemporary issues in new media. The class examines how new media employs cinematic conventions while breaking the traditional role of the spectator in the viewing experience.",MPFV325 Junior Major Viewing II .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4638,Scriptwriting II builds upon the skills learned in Narrative Scriptwriting. Students will continue their study of narrative scriptwriting through examining a wide variety of genres. Students have the option of producing a feature length script or a series of shorter scripts based upon original ideas.,MPFV336 Scriptwriting II .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4639,"A course assistantship allows qualifiedsophomores, juniors, and seniors to assist afaculty member with whom they have studiedpreviously. Duties may include set up, assistingwith demonstrations and critiques during classmeetings. Course assistants may not gradestudents. Students may register for only one3-credit course assistantship each semester, andno more than two such assistantships may counttoward degree requirements.Students selected by faculty to be courseassistants submit a Course Assistantship formwith the faculty and chairs signatures to theRegistrar during registration and no later thanthe end of the Add/Drop period. Students who areperforming a Teaching Assistantship should followIndependent Study procedures",MPFV392 Film/Video Course Assistantship .
Film/Video,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4640,"An internship is a supervised professionalexperience that allows you to use classroomtraining in a real work environment, develop yourskills, focus your career goals, and makeprofessional contacts.MassArt offers students enrolled in a degreeprogram the opportunity to register an internshipfor credit. An internship counts as 3 studioelective credits. To receive credit, theinternship must meet our basic internshiprequirements, be approved by a faculty advisor,and registered before you start the internship.",MPFV398 Film/Video Internship 
Film/Video,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4641,"Juniors and seniors who have a specific studioproject which cannot be accomplished within thestructure of a course may arrange to work with afaculty member on an independent basis. TheIndependent Study form (available in theRegistrars Office) includes a description of theproject. Students may take only one 3-creditindependent study each semester, and no more thanfour independent studies will count toward thedegree.Independent Study forms, with faculty and thechairs signatures, should be submitted to theRegistrar during registration and not later thanthe Add/Drop deadline.",MPFV399 Film/Video Independent Study 
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4642,"This survey class views film and video works by contemporary artists and media makers, in the context of historical works. Students meet with the film and video artists presenting work at MassArt Film Society as well as the instructor for discussions of the work shown. Attendance is mandatory.",MPFV402 Contemporary Issues in Film/Video 1 .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4643,"This survey class views film and video works by contemporary artists and media makers, in the context of historical works. Students meet with the film and video artists presenting work at MassArt Film Society as well as the instructor for discussions of the work shown. Attendance is mandatory.",MPFV403 Contemporary Issues in Film/Video II .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4644,"This fall course is designed to facilitate the production of each students thesis project. Projects consist of at least one fifteen-minute film/video or five three-minute films/videos to be done by the end of the semester. Students may propose equivalent work in sound, installation or live performance and media work. Individual meetings are held every other week for critique. Group meetings take place twice a semester for class critique. There is a variety of tech workshops and visiting artists who look at students work. In addition to this 3-credit class seniors are required to take Issues in Contemporary Film/Video in order to familiarize them with aspects of film and video history. In this course see and hear filmmakers and artists talk about their own work.",MPFV410 Senior Thesis Studio I .
Film/Video,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4645,"This spring course is designed to facilitate the production of each students thesis project. Projects will consist of at least one fifteen-minute film/video or five three-minute films/videos to be completed by the end of the semester. Students may propose equivalent work in sound, installation or live performance and media work. Individual meetings will be held every other week for critique. Group meetings will take place at least twice a semester for class critique. Senior review boards will be held in March for feedback on their thesis work-in-progress and to allow enough time for each student to tweak their projects by the end of the semester. Seniors are also required to take Issues in Contemporary Film and Video in order to familiarize them with aspects of film and video history. In this course they will see and hear filmmakers and artists talk about their own work.",MPFV411 Senior Thesis Studio II .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4647,"Form, space and light are explored through the fundamental techniques of oil and acrylic painting. The core of this course is the practice and study of color and composition.",2DPA100 Intro. to Painting .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4648,"The human figure is studied from an observational perspective. Pictorial space, light and form are studied and expressed in relation to the bodys anatomy, movement and context.",2DPA102 Life Drawing .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4649,"Fundamental techniques of transparent watercolor media, such as wet on wet, drybrush, glazing, and knowledge of painting tools. Emphasis on color, vocabulary development, exploring composition, and the history of watercolor painting.",2DPA103 Watercolor .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5544,"This sophomore drawing class is aimed to develop the perceptual, observational, and experimentalaspect of pictorial investigations. Through basic drawing language and material, students areencouraged to examine the formal aspects of space, light, and materiality within a pictoralstructure. While focusing on the fundamental and formal language of drawing, students are alsodeveloping the way of seeing and questioning the notion of what they see. Visiting artists andevents are shared with junior and senior majors.",2DPA201 Sophomore Drawing .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4650,"This course allows for more advanced study of the human figure from an observational perspective. Study takes place within the context of Life Drawing 102 and its emphasis on expression, pictorial space, form and light.",2DPA202 Intermediate Life Drawing .
Fine Arts 2D: Painting,6,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4652,"An exploration of fundamental painting issues and painting techniques in oils, acrylics, and mixed media. Students are encouraged to initiate individual projects to develop personal imagery. 6 credits.",2DPA205 Sophomore Painting .
Fine Arts 2D: Painting,6,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4653,"An exploration of fundamental painting issues and painting techniques in oils, acrylics, and mixed media. Students are encouraged to initiate individual projects to develop personal imagery. 6 credits",2DPA206 Sophomore Painting .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4654,"This class examines a variety of approaches to abstract painting through the study of historical precedent and the critique of students own work and responses to approaches studied in class. Three examples of the approaches examined through slide lectures and class discussion are abstract expressionism, color field painting and minimalism.",2DPA211 Abstract Painting Critique .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5538,"Digital Drawing is a course that examines the fundamental importance of drawing as it relatesto an artists practice, and how digital tools can supplement and enhance the artistic visionand process. This class explores the digital tools that are already at our disposal (computers, socialnetworking, smart phones, cameras, digital printing, etc.) to work between concept andprocess while developing new work. Drawing directly on digital devices such as tablets &phones, and using apps & software to manipulate, enhance, and troubleshoot aesthetic concerns willbe utilized in class.Undergraduate ElectiveSpring Only",2DPA216 Digital Drawing .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4655,"Painting from direct perception. Study of form, light, and space utilizing the live model as a subject along with varying subject matter and painting materials.",2DPA219 Cornelia: Representational Painting .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4656,"Studies in water-based media of color harmonies and hue relationships, along with neutral or achromatic colors to develop an understanding of he subjective process of color perception and color relationships through practice with color theory and color mixing methods.",2DPA228 Color for Painting .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4657,"100 Drawings is a rigorous concentration on the process of drawing. Students are encouraged to experiment with techniques and materials that they may not have used before. Each student is expected to complete a minimum of 100 drawings during the semester. Students explore a wide range of subject matter as well as collage, color, scale, and mixed media. All students present a 100 drawing portfolio to the class at the end of the course.",2DPA250 100 Drawings .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4658,"Drawing from direct perception. Study of form, light, and space utilizing varying subject matter and drawing materials.",2DPA257 Painting from Observation .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4659,"Drawing, painting, and sculpting using found objects, appropriated images, letterforms, texts, and personal memorabilia. Slide lectures and class discussions concern the history of collage and assemblage.",2DPA264 Collage/Assemblage .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4660,"Non-traditional approaches to drawing, including working from dream imagery, inventing realities, exploring abstraction, creating new tools to draw with, and experimenting with mixed media.",2DPA270 Imaginative Drawing .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4661,"Each week this class will visit painting exhibitions in Boston and vicinity. We will meet with the artist or curator to view the work in galleries or museums. This experience provides an in-depth discussion of the work that informs the student of current concepts, materials, techniques, and the strategies of a professional career in art.",2DPA281 Seeing Painting in Boston .
Fine Arts 2D: Painting,6,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4663,"Combined sections of juniors and seniors for the study and practice of painting in oils, acrylics, and mixed media. Juniors are expected to pursue the development of a personal direction in painting or mixed media. Seniors work on self-defined degree projects in painting and are expected to develop a command of both technical and conceptual means in painting. 6 credits.",2DPA305 Junior Painting .
Fine Arts 2D: Painting,6,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4664,"Combined sections of juniors and seniors for the study and practice of painting in oils, acrylics, and mixed media. Juniors are expected to pursue the development of a personal direction in painting or mixed media. Seniors work on self-defined degree projects in painting and are expected to develop a command of both technical and conceptual means in painting. 6 credits.",2DPA306 Junior Painting .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4665,A drawing exploration of the relationships between methods of drawing and painting that is designed to develop a flexible dialogue between concept and process. Drawing both from observation and imagination.,2DPA335 Drawing for Painting Majors .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4666,A critique class for advanced drawing students who are working on self-directed drawing projects or who are experimenting with concepts or techniques outside of conventional drawing traditions.,2DPA356 Drawing Seminar .
Fine Arts 2D: Painting,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4667,"Non-traditional approaches to drawing, including working from dream imagery, inventing realities, exploring abstraction, creating new tools to draw with, and experimenting with mixed media.",2DPA370 Imaginative Drawing .
Fine Arts 2D: Painting,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4668,,2DPA392 FA Course Assistantship 
Fine Arts 2D: Painting,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4669,,2DPA398 FA Internship 
Fine Arts 2D: Painting,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4670,,2DPA399 FA Independent Study 
Fine Arts 2D: Painting,6,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4671,"Combined sections of juniors and seniors for the study and practice of painting in oils, acrylics, and mixed media. Juniors are expected to pursue the development of a personal direction in painting or mixed media. Seniors work on self-defined degree projects in painting and are expected to develop a command of both technical and conceptual means in painting. 6 credits.",2DPA405 Senior Painting .
