department,description,title
Criminal Justice,"This course analyzes crime and criminal justice systems in selected countries and cultures. The course also focuses on the ways these different societies define and respond to criminal behavior and specifically addresses how different societies structure their justice systems to meet their goals and reflect their values. The course engages students in comparative issues and research to reveal political, historical, and cultural factors that have influenced criminal justice and law in both the United States and other countries.",CJ750 - Global Criminal Justice Systems
Criminal Justice,"This course involves a scientific study of crime victims and public policy responses to them. The course will focus on the nature and extent of criminal victimization, the dynamics of victim-offender relationships, theories of victimization, a historical analysis of the victims role in the criminal justice process, the restorative justice model, and the contemporary victim rights and victim services movements.",CJ751 - Victimology
Criminal Justice,"This course is an examination of how class, race, gender and ethnicity impact the criminal justice system. It will explore these topics in depth, focusing on criminal victimization and patterns of offending and how these concepts affect equal treatment by the police, courts and corrections.","CJ752 - Cls, Race, Ethic & Gender Issues in CJ"
Criminal Justice,"This culminating experience helps students integrate their knowledge of criminological theory and justice policy with research and analytical skills, synthesizing this knowledge with practical skills. Under the supervision of a faculty mentor, students engage in a comprehensive research project enabling the student to demonstrate the mastery of the concepts, ideas, knowledge and insights implicit in the Criminal Justice curriculum.",CJ798 - Research Project Capstone
Criminal Justice,"This culminating experience helps students integrate their knowledge of criminological theory and justice policy with research and analytical skills, synthesizing this knowledge with practical skills. Students engage in an internship and complete 150 hours in organizations that are committed to providing interns a high quality educational experience.As a part of their internship, students engage in meaningful projects, including written reflection and analysis.",CJ799 - Internship
Communication,"This course surveys the theories, history, economics, audience, and regulations of the major forms of mass media, including newspapers, magazines, motion pictures, radio, television, and new electronic communication. Students develop a basic understanding of the roles of mass media and their effects on society and the individual. The course focuses on the relationship between mass media and society, so students can identify current trends that are changing the nature and function of traditional mass communication. Students examine and debate many current controversial issues concerning the mass media and their effects on our society and culture. Students discuss significant aspects of mass communication, including ethics and policy formulation that are playing key roles in the materialization of a new global communication era.",COM101 - Understanding Mass Media
Communication,"This course is a basic survey of human communication, especially interpersonal and group. Attention is given to perception, language and meaning, listening, theories of persuasion, verbal and nonverbal communication, small group discussion, interpersonal conflict, and interviewing. The course focuses on understanding how human communication is fundamentally related to issues of interpersonal relationships; the history of human communication and language development; perception and intrapersonal communication; leadership; group/team work; multicultural diversity in organizations; decision-making; power; public speaking; and ethical challenges. This course helps students to develop and practice skills that will guide effective action in their professional careers and interpersonal relationships. This course includes a Service Learning component.",COM103 - Human Communication (KP)
Communication,"This course provides students with a basic introduction to and overview of communication writing that focuses on channels of communication (clients, audiences, formats); creating writing samples; conducting writing exercises; developing strategies for soliciting feedback; and engaging in peer editing exercises. Students learn about various media writing formats, such as news releases, features, profiles, columns, editorials, reviews, speeches, public service announcements, backgrounders, etc. This is a writing intensive course. Prerequisite: COM 101.",COM105 - Writing for The Media
Communication,"This course provides instruction and practice in preparing and delivering the various kinds of oral presentations encountered by professionals. Students learn how to analyze audiences, organize different types of presentations, prepare and use visual aids, deliver presentations to different audiences and respond to questions. Students are taught to express themselves in a clear, confident, responsible, and appropriate manner. The classroom environment is conducive to confidence building and overcoming the fear of speaking.",COM203 - Effective Speaking
Communication,"This course explores such significant questions as: What constitutes sound, ethical communication practice in the mass media professions (TV, radio and internet), advertising, journalism and public relations? What are the moral and practical rules anyone involved in mass media professions must follow to maintain that all-important bond of trust between the client and the consumer of information? What constitutes ethical behavior in the news business, PR and advertising, and why is it vital to the functioning of a democratic society? This course uses two avenues of inquiry; one exploring the philosophical basis of media ethics and another outlining case histories from the media. Current trends in the news and popular cultures view of the ethical lapses in the mass media, journalism, advertising, and public relations are also explored. The examination of media ethics is done from a constructively critical point of view, with a particular focus on the intersection of media and society. Prerequisite: COM 101.",COM205 - Media Ethics & Society
Communication,"This course is designed to provide an understanding of the most important communication and career-related formats of professional writing, including power point presentations, memos, business letters, reports, brief speeches, instructions, newsletters and brochures.Special emphasis is given to various writing processes one must complete on a tight deadline for a business audience of peers, customers or employers.Prerequisite:ENG 102.",COM206 - Professional Communication
Communication,"In this course, students explore the evolution, theoretical basis for, and practice of professional Public Relations. Students review the history and current practices of Public Relations and examine the differences between: PR and advertising; press relations and public affairs; promotions and news events; marketing and media placements. Students gain insights into the Public Relations function for corporations, high tech companies, government agencies, politics, education, the entertainment industry, sports, and non-profit institutions. Lectures, case studies, readings, group work, guest speakers, and class discussions focus on techniques useful in such areas as local and national publicity, special events, and community and government relations for organizations. Prerequisite: COM 101.",COM208 - Public Relations
Communication,"In this course, students learn reporting and writing techniques necessary to produce a variety of types of articles. Assignments may include politics, sports, entertainment, and interviews. There is discussion of roles of reporters, columnists, editorial writers, editors, photographers, and graphic designers in the daily process of journalism as decisions are made in the newsroom as to what stories to cover; what stories, photographs and video clips to publish or broadcast; and on what page to display them or in which order to broadcast them. The various reporting specialties covered in journalism  Health, Education, Business, Arts, Sports, Lifestyle, Entertainment, Travel - are explored. Students have the opportunity to publish their work in the campus newspaper, The 1851 Chronicle. Prerequisite: ENG 102.",COM209 - Journalism
Communication,"This course examines communication issues that arise from contact between people from different cultural backgrounds in everyday life, social encounters, and business transactions. Interdisciplinary approaches are applied to the study of how verbal and nonverbal presentation, ethnic, gender, and cultural differences affect communication. The course provides exercises in participation, analysis, and criticism of interethnic and interracial communications in small group settings. Students examine factors of international communication; such as the cultural, economic, political, and social influences and the role of communication in affecting social change in a wide variety of cultures and countries. Prerequisite: COM 101 or SOC 101 or PSYC 101.",COM212 - Intercultural Communication
Communication,"This course serves as a workshop in which students apply the fundamental skills of journalism to the different formats commonly used in writing copy for public relations and advertising, including press releases, public service announcements, profiles, brochures, and advertisements. In addition, students continue to sharpen their editing skills by revising their own work and by copyediting and critiquing the work of other students. Central to the objectives of this course is that students improve their ability to write clearly and concisely, avoiding common errors in grammar, punctuation, spelling, and usage. Prerequisite: ENG 102.",COM213 - Writing for Public Relations
Communication,"This course introduces students to the basics of radio production.Students learn announcing techniques, the fundamentals of microphones and sound mixing, as well as the skills to produce quality radio.The course also provides a general overview of the behind-the-scenes radio business and industry.Projects include a news announcement, radio interview, public service announcement, and a short music format radio show.Much of this class takes place outside of the classroom at the Lasell College Radio station.",COM215 - Radio Production
Communication,"A focus on the entertainment media industry requires making sense of the material that captures the audience's attention, influences culture, and provides enjoyment to mass media consumers.Course topics include the business of entertainment media, the production and distribution of media content, and multimedia convergence. Students in this course examine the multiple genres for the content of entertainment media, such as drama, comedy, reality TV, and gaming.Students learn how the entertainment industry works, captures the interests of contemporary audiences, and influences our culture and values. Prerequisite: COM 101. Formerly - COM302",COM216 - Entertainment Media
Communication,"This course introduces students to the basics of video production.Students learn basic videography techniques using professional video cameras such as the SONY HVR-HD1000U.In addition to videography, students learn the basics of digital video editing using industry-standard Avid nonlinear editing programs.Video projects include a video camera roll test, Avid editing assignment, news package, and a short movie where students shoot, direct,and edit their own creative narrative.",COM217 - Video Production
Communication,"This course teaches students the basics of editing digital media using the popular software program Adobe Premiere Pro.The aesthetics of editing are also discussed and analyzed through screening various types of edited media.Projects for the course include editing TV commercials, news packages, movie scenes, and music videos.It is recommended that students have acquired basic computer skills prior to taking this class.",COM218 - Digital Video Editing
Communication,"This course is designed to introduce students to the key concepts and practices of writing for weblogs and the use of social media tools such as Facebook and Twitter for reputation management in PR, journaling, and networking. Students learn about social media uses by studying successful blogs, reading assigned articles on the subject, contributing to regular discussions held on an online forum, and completing a personal blog entry each week.Students form small groups around topics of interest and work together in order to publish and promote their work on the web. Each student contributes to a class-made blog by writing, creating/finding art, copyediting, and assisting with podcast and video blog production. Students have a great deal of real-world experience with a live, constantly updated blog, and a solid understanding of the fundamentals of writing for the web and using social media for promotional purposes. Prerequisite: COM 101.",COM219 - Social Media
Communication,"This course introduces students to the field of advertising, including the role of promotional elements (advertising, direct mail, promotion, etc.) found in an advertising agency or in the communication program of an organization. In this course, students learn that advertising is more than just ads on television, on a web page or in print. Advertising is a process that starts with research and moves through analysis, planning, action, and evaluation. The development of an effective advertising strategy requires an understanding of overall communication processes and theoretical principles, how organizations organize and brand themselves for advertising and other promotional functions, consumer behavior, and how to set goals and objectives. A cooperative learning project requires students to engage in the kind of strategic thinking, planning and execution that is done by advertisers, researchers, media planners, and copywriters. The course also addresses how the advertising industry is regulated and how key social issues and various consumer constituencies can present problems for advertising professionals. Prerequisite: COM 101.",COM221 - Advertising
Communication,"This course approaches the design and content of advertising from a variety of creative perspectives from art to copy to production. The aim is to create eye catching, stand-out advertising the kind that requires concentration, creativity, and focus. Students dont have to be skilled graphic artists, but they do need to be able to explain in detail how a storyboard works and what message is intended for the consumer through an emphasis on: visual effects of the design; use of color and placement; and the significance of slogans, copy, and dialogue. This class duplicates as closely as possible the experience of working in a creative group within a real ad agency. Prerequisite: COM 221.",COM223 - Advertising: Copy & Design
Communication,"In this introductory level course, students begin to appreciate film as a medium of communication and expression by watching a variety of classic and contemporary works which function as modes of entertainment, art, education, politics and social change. Using a media literacy approach, this course will focus on content analysis of motion pictures by examining elements of cinematic expression including form, narrative structure, editing, sound, acting/performance, and cinematography.Students will be responsible for learning proper terminology to discuss, analyze, and write about films for relevant assignments.Students will identify major trends and ideas important to the history of film as one of the most important forms of mass media; explore messages and themes highlighted by style and content, as well as the various effects of those messages in specific cultural or industry contexts including classical and contemporary Hollywood, European art cinema, Japan, Russia, and West Africa.Prerequisite: COM 101",COM224 - Elements of Film
Communication,"Part I of this two-part course introduces students to the basics of TV producing.Students learn the process of writing a pitch, proposal, treatment, and budget.Theyalso learn the fundamentals of basic screenwriting and production scheduling, as well as managing cast, crew and vendor relationships.The course also explores the roles of the casting director, location manager, production coordinator, and script supervisor.The course concludes with a preview of the production team and the role of the line producer, unit production manager, production manager and assistant directors involved in managing the physical production process of producing a television show.",COM225 - TV I: Producing
Communication,"Students will produce, write and broadcast a Fashion TV show using the studios of NewTV, in Newton.This laboratory course will guide students through the process of creating and producing a Fashion TV show, to be broadcast over the Lasell College cable channel. All aspects of television producing will come into play, as will the art and practice of working a series of studio shoots.The goal will not only be for students to find their own artistic voice, but to produce a show that will go on their demo reels for future employment possibilities.This course is distinct from the Television Production course offered the same term.Prerequisite: COM225X",COM226X - Fashion TV
Communication,"This course focuses on the theme of innovative classic and contemporary films which challenge society and film industry standards. Beginning with the threats to society posed by early cinema and star scandals, leading to a universal censorship code, students will be introduced to how early films affected society and the future of Hollywood.Students will then watch, analyze, and think critically about popular, artistic, and influential American movies including the subversive film noirs of the post-WWII era such as The Maltese Falcon and Double Indemnity, and films from the 1960s and 1970s such as The Graduate, Easy Rider, and One Flew Over the Cuckoos Nest, as well as representations of African-American characters during segregation and the LA Rebellion and New Black Cinema movements which challenged those representations. We will also explore explosions of themes of violence and sex in contemporary Hollywood which further stretch and shape societal conventions in the US, including discussions of films like Bonnie and Clyde, Pulp Fiction, and Natural Born Killers.",COM227 - Challenging Hollywood
Communication,"Satisfy either your Historical (AI(H)) or Psychological and Societal (AI(PS)) Areas of Inquiry through this interdisciplinary team-taught course. As Ebola has popped up in the U.S., Americans have expressed concern and governmental agencies have reacted accordingly. Once again, as has happened in the past, people are increasingly demanding that more be done. Is this reaction a logical one to a potentially fatal illness or is this a manifestation of Western privilege objecting not to the illness, but to its presence at home? Using case studies of, for instance, the international reactions to epidemics in the past and present, students will explore the ways in which privilege has historically been constructed and the ways in which it impacts societal relations related to health issues.Students will take an inquiry-based approach to these case studies as they come to better understand the societal and psychological factors as well as the historical ones underlying power and privilege.",COM228X - How Privileged are You?
Communication,"This is an introductory course in photojournalism that will touch on basic photography skills (composition, focus, subject, and angle), but is not strictly a photography class. This course will use two methods of learning: one is a hands-on, connected learning where students will tell stories through cameras and video; and another is a survey approach, through reading, discussion, lectures, journals, and multimedia presentations which illustrate photojournalism history and current trends. The class supports the colleges minor in photography as well as the communications department concentration in journalism and media writing. In an effort to make the course accessible to students from all departments across campus, the first few weeks of the class will provide readings, lecture, and discussion on the background and history of the journalism field.",COM229 - Photojournalism
Communication,"This course invites students to explore ""nonprofit public relations"" as it is seen today and as experts suggest it will be seen in the future. Students have the opportunity to work with a ""real world"" nonprofit client by creating, preparing, and producing a complete public relations plan for that organization. Prerequisite: COM 213.",COM303 - Nonprofit Public Relations
Communication,"This course introduces the fundamentals of television production in a TV studio environment at NewTV - Newton's own public access television studios.Students learn pre-production planning, live-to-tape directing, and participate in full television crew rotations to produce high quality PSAs and their very own TV show to be aired on local access television.Throughout the semester, students develop a variety of production skills from hands-on television studio operation.",COM304 - TV Studio Production
Communication,This course includes writing techniques for series and stand alone productions in television and film. Students work both independently and collaboratively in order to understand industry procedures. Students experiment with several different genres and then develop a major project. Prerequisite: COM 105.,COM305 - Screenwriting
Communication,"This class introduces students to the basic skills in writing for radio and TV news, including beat reporting, writing, interviewing, and editing. Students critically evaluate newscasts and are introduced to the components of producing them. They also examine ethical challenges that arise when manipulation of images and sound can distort reality and compromise journalistic integrity. Prerequisite: COM 209",COM306 - Broadcast Journalism
Communication,"This course introduces students to the foundation, process, and impact of the video game industry.Students evolve from merely riding the gaming highway to analyzing and deconstructing it.The course pays particular attention to the history and breakthroughs in the technology, social and political impacts such as the ESRB, sex and violence in games, as well as past, present and future trends of the gaming market.",COM307 - Understanding Video Games
Communication,"This course helps students to understand the theoretical assumptions, elements, and processes of interpersonal conflict and negotiation, to increase their ability to objectively analyze conflict situations, and to creatively and productively manage conflict. Alternative Dispute Resolution approaches to litigation for resolving conflicts such as mediation, arbitration, and negotiation are examined. Prerequisites: COM 101, LS 101 or BUSS 101; Junior or Senior standing.",COM308 - Conflict Resolution & Negotiations
Communication,"This course explores the dynamic organizations and diverse professions reflective of the sports communication field while emphasizing the fundamentals of good public relations and solid journalism. Types of organizational inquiry will include major television, radio and digital networks, leading magazines and newspapers, college athletics and professional sports as well as marketing and advertising firms. Topics covered will span journalism and publishing, community, media and public relations, marketing and advertising as well as digital and social media. In this course, students will learn how to research and write for broadcast, digital and print media; how to define, develop, and deliver effective sports communication campaigns; how to use mass and social media platforms for brands, personalities and teams; and how to manage and mitigate crisis communication.",COM309 - Sports Communication
Communication,"This course focuses on the complex ideas associated with the role of the press in a democracy. The nature and climate of our political processes, particularly elections, have changed dramatically in the past two generations, due in part to the extensive use and influence of the media. Also, media techniques and strategies used by government and political figures continue to change with the emergence of new technologies and the dominance of global media companies. Students learn how to think critically and analytically about the political press and how journalists and politicians frame public policy issues. This course looks critically at whether or not the American press is truly representative of the civic values of democracy, truth, and responsible citizenship. Prerequisites: COM 101 or POLS 101 or SOC 101.",COM310 - Political Communication
Communication,"This course brings students with basic radio production skills to a higher level of proficiency.There is strong emphasis on radio as a digital medium and digital (nonlinear) audio editing with Adobe Audition.Projects include editing music for radio play, writing and mixing radio commercials, creating a radio interview podcast, and the development of an Air Check radio demo for student portfolios.Students also develop a deeper understanding of the radio business.Prerequisite: COM 215.",COM312 - Radio Production II
Communication,"This course takes students with basic video production skills to a higher level of expertise.There is strong emphasis on pre-production planning, teamwork, lighting, sound and special effects.The aesthetics of video production are also discussed by analyzing various film and video productions.Projects include a special effects reel, television commercial, short documentary, and a short screenplay adaptation.Throughout the semester, students develop a deeper understanding of the business of video production. Prerequisite: COM 217.",COM313 - Video Production II
Communication,"This course is focused on the longer pieces of magazine writing, such as feature articles and interview profiles, and other forms of narrative, nonfiction journalistic writing. The course includes reading, analyzing, and modeling well-written newspaper and magazine articles that entertain as well as inform readers. Students have the opportunity to provide editorial support for and submit feature articles for publication to Polished, a Lasell College produced magazine. Prerequisites: COM 101, COM 209.",COM314 - Magazine & Feature Writing
Communication,"This course introduces students to methods of social research that are applied to communication theory and practice. This includes both academic research on human communication and the kinds of professional research conducted in media industries, such as journalism, advertising and public relations. Students conduct individual and group research projects during the term. Prerequisite: COM 101.",COM315 - Communication Research
Communication,"This course is designed as a workshop in which students learn the fundamentals of editing for print and online publications. Students study and participate in various editing roles, including editorial director, articles editor, copy editor, proofreader and fact-checker. Students examine case studies of existing publications. In keeping with Lasell's Connected Learning approach, students propose work for Lasell's two student publications, The 1851 Chronicle and Polished, or other publications. The course focuses on learning to prepare cohesive editorial products with clear, compelling, professional content while avoiding common mistakes in usage, grammar, and style. Prerequisites: COM 105.",COM316 - Publication Editing
Communication,"Managing media relations for public relations professionals is the focus of this course. The course is intended to increase students knowledge of the principles and methods of generating publicity and to introduce the basics of planning and writing media relations campaigns. The rapidly changing nature of global companies and the convergence of new information technologies are influencing the ways that communication professionals achieve their goals. Media relations can be a highly competitive and challenging field, where you must prove your productivity, accuracy, and creativity. Students discuss and experiment with successful strategies for gaining coverage in the press for clients, and they plan a comprehensive media relations program. Prerequisites: COM 101, COM 208.",COM317 - Media Relations
Communication,"This course provides an environment for students to become engaged in a professional style media planning and buying campaign, which is an essential strategic focus of the advertising industry. Students develop a full advertising plan based on the current planning structure of a contemporary advertising agency. Working in teams, students conduct a detailed advertising analysis that allows them to provide strategic and creative solutions to problems they have identified in their research. Student teams construct an advertising plan that positions and promotes a product, a message, a politician, or a brand to a consumer audience. Each student team produces a comprehensive media campaign that identifies and targets the appropriate media outlets for advertising placements. The class has a modicum of pressure and intensity that reflects some of the challenges necessary to succeed in the advertising industry. Prerequisite: COM 221.",COM319 - Advertising Planning: Media Campaigns
Communication,"This course focuses on both the theoretical understanding and practical knowledge of the context and application of organizational communication. Topics include: leadership, new technologies and their impact on organizations, organizational climate and culture, ethics, formal and informal channels of communication within organizations, management of diversity and conflict, relational communication (with interpersonal and group work), and issues of power and politics within the context of the organizational settings. Prerequisite: COM 103",COM320 - Organizational Communication
Communication,"This course examines the uses and effects of mass communication among children and adolescents.By taking a developmental perspective, the course explores how youth at different stages of cognitive development watch, understand, and respond to media content.The first part of the course focuses on childrens uses and processing of media.The second part of the course reviews the effects of various types of content (e.g., advertising, stereotypes, violence).The final part of the course considers the role of interventions (e.g., media literacy, ratings, parental mediation) in preventing media-related outcomes that are harmful and promoting those that are positive.Throughout the course, students are encouraged to critically evaluate the role of media in the lives of children.COM 101 or PSYC 101.",COM321 - Media & Children
Communication,"This course is designed to present students with an overview of corporate communication in contemporary society. The rapidly changing nature of global markets and the convergence of new information technologies are influencing the ways in which communication professionals achieve their goals. The course explores the trends and issues affecting corporations, crisis management, public affairs communication, consumer affairs, employee relations, environmental issues, investor relations, issues of multinationals, ethics, and governmental relations.Prerequisite: COM 213.",COM323 - Corporate Communications
Communication,"This is an advanced, connected-learning focused course in which student journalists do the work of the field. Students with basic reporting and editing experience are challenged to demonstrate their news and feature writing skills to a new level of competence. This course requires student to cover a campus or community beat as they report on a student organization, department, team, or local politics, sports, fashion or culture. Projects will focus on new media platforms such as photo galleries and video and audio news content and producing news media packages for print. Students will be encouraged to submit their work to the 1851 Chronicle and the1851chronicle.org. Prerequisite: COM209",COM324 - Journalism II
Communication,"This course introduces students to the global media landscape. Students are exposed to a number of topics including: the power of language in media, recent global media controversies, the economics of global media & ownership, the politics of global media, and the coverage of international events in U.S. media. Prerequisites: COM 101, COM 212",COM325 - Global Media
Communication,"This advanced public speaking course builds on the foundation of Effective Speaking I to further a students development as a public speaker in a variety of settings. This is achieved through a combination of speaking, writing, and reading assignments. Specifically, students outline, develop, and deliver extemporaneous speeches incorporating relevant sources. Students learn how to develop and deliver messages that are appropriate and effective for the audience, purpose, and context using logical arguments within an ethical framework. Prerequisite: COM 203",COM326 - Effective Speaking II
Communication,"Video Games & Culture brings students on a virtual tour around the globe for a look at the video game industry through the perspectives of numerous cultures.Students will investigate subjects such as video game piracy in Italy & China, professional gaming in Korea, video game censorship in Australia & the Middle East, and much more.The course also compares the North American market with other continents such as Asia, Europe, and South America.The interplay between video games and culture will be discussed, and students will be given hands-on opportunities to sample video games from other countries that were never released in the US.The course emphasizes the competency of knowledge of the media and reinforces the competencies of writing, research, visual communication, and speech.This course can be used in substitution for COM 307 Understanding Video Games for Multimedia & Web Design Majors if necessary.",COM328 - Video Games & Culture
Communication,"This course introduces students to the development of effective advertising strategies. Over the past twenty years, account planning has evolved into a critical element of advertising campaign strategy and execution. The course will explore: 1) The origin and fundamentals of account planning; 2) The role of the account planner in an agency structure; 3) The influence of account planning on the process and role of advertising research and strategic development; 4) Practical implications for account planning in advertising campaign development. Topics include; consumer behavior, attitude development, persuasion tactics, targeting, advertising segmentation, advertising analysis and designing advertising strategies to support a brand. Prerequisite: COM 221 Advertising",COM330 - Advertising Strategy
Communication,"This course will explore this significant question: Should we take TV seriously as a form of mass communication? The answer can be found in the ways that TV produces meanings for the audience and our culture as a dominant form of entertainment over that past 60 plus years in post WWII America. As such, TV demands our scrutiny. Throughout the course, we will look at such topics as how TV entertainment narrative is structured, how sets are designed, how sound interacts with image, how commercials persuade and how these structures can emphasize certain meanings (and de-emphasize others) and transmit values to viewers. Current trends in technological shifts have forced changes in the delivery of TV programming, for example to audio and video files streaming on computers, such as tablets, the decline of network TV and the rise of hundreds of cable channels. However, all of these new technologies demand more TV entertainment content, not less.This course uses two avenues of inquiry: one exploring the mass communication basis for studying the content delivered through medium of TV; and another outlining an analysis of TV content which illustrates the transmission of cultural values (primarily American) to the audience. Prerequisites: COM 101",COM332 - Television Studies
Communication,"By examining films from Iraq, Cuba, India, Native Americans, Mexico, Nigeria, China, South Africa, and Chad, students will gain exposure to various social, cultural, political, and economic systems, leading to discussion and exploration of other cultures as well as reflection about American culture.Students will engage in an interdisciplinary approach which adopts terminology and theories from film studies and criticism, sociology, and cultural anthropology, in order to study other cultures and cultural methods of visual storytelling.Ultimately, goals include increased intercultural competence and sensitivity accompanied by an empathy for the other and an increased awareness and raised consciousness of past and contemporary global issues. Prerequisite: COM 101",COM334 - Comparing Cultures Through Film
Communication,"This seminar helps students to develop professional objectives and identify potential sites for their internships. In this seminar students identify their personal work style and strengths, will identify a good career match, will create an effective cover letter & resume, will develop effective networking, interviewing, and negotiation skills. This course will help students apply search tools for finding internships. A goal of this course is to secure an internship for the following semester. Prerequisite: Sophomore standing.",COM399 - Internship Seminar
Communication,"This course is the professional component of the capstone experience in the Communication Department. The course provides students with a work/skill development opportunity to practice communication theory and skills in a real work setting. The internship course is comprised of a minimum of 150 hours in the field, the weekly seminar, and its assignments, including an oral presentation. Students also write weekly reflections on their experience, complete written assignments, and do an oral presentation to a group of their peers. The field supervisor contributes to the students learning through guidance, feedback and evaluation of the students work.",COM400 - Field Experience I
Communication,"COM 402 follows COM 400, in which students learned how to apply theory to practice in a work environment. This course will take those skills one step further and enhance the students understanding of the Communication discipline, the skills required to succeed in the job market, and how to conduct the necessary research to find a job and a career which is a good fit and will lead the student to professional success. Projects will include facilitating a workshop, conducting a focus group, developing a marketing strategy, creating a hard portfolio, a leave-behind piece, and an e-portfolio. Students should complete the internship in a different organization than the placement for COM 400. Contact Sarah Burrows with questions: sburrows@lasell.edu",COM402 - Field Experience II
Communication,"This course encourages students to take the mass media seriously through critical analysis of media content.Students study the power of the mass media in communicating cultural values and other messages.This capstone course reinforces the tools needed to think critically about the mass media in order for the students to then help others to do the same. Throughout their time in the communication program, students have been introduced to a variety of issues in the media (e.g., media content, media effects, ethics, and regulation).This course helps emphasize how all of these issues relate to one another.In the capstone paper and presentation, students have the opportunity to demonstrate the important research, writing, and oral communication skills they have developed.This course serves as the theoretical component of their capstone experience and is a writing-intensive course. Prerequisite: Senior standing.",COM418 - Media Literacy
Economics,"This course is an introduction to the principles of the economic behavior of individuals, firms, and industries in the mixed economic system. Topics include consumer demand; elasticity; supply and costs of production; the allocation of economic resources; international trade; and the role of government in promoting economic welfare.",ECON101 - Principles of Econ-Micro
Economics,This course explores basic functions of the United States economy viewed as a whole and policies designed to affect its performance. Topics include economic scarcity; causes of unemployment and inflation; money and monetary policy; the impact of government taxation and spending; and the federal debt. Some consideration is given to international economic problems and to contrasting economic systems. Prerequisite: ECON 101.,ECON102 - Principles of Econ-Macro
Economics,"This course examines a broad range of social issues from an economics perspective. Designed for non-business majors, the course provides an introduction to economic reasoning and to some basic economic concepts which are then used to analyze a variety of social problems.Possible topics include poverty, unemployment, agriculture, discrimination, crime, pollution, education, health care, social security, and third world development.",ECON103 - Economics of Social Issues
Economics,"The goal of this course is to introduce the main issues of global economic development. Students will explore the problems facing developing countries of the world as they attempt to industrialize, develop their economies and raise the standards of living of their people. The course will address the following broad questions: What is the meaning of Economic development? Why some countries are rich while others are poor? What would explain the success of such East Asian countries as China? What are the key constrains that prevent poor countries, especially those in the African continent, from achieving progress? What are the strategies that poor countries can adopt to foster development?",ECON206 - Global Economic Development
Economics,"This fall semester course is linked to two weeks of service-learning in Vietnam during the winter break.The course introduces students to the Vietnamese society today.It covers basic elements of Vietnamese politics, economic development, culture, history, language, literature, and arts.The experience in Vietnam includes working for non-profit organizations that deal with social problems. This course fulfills the Multicultural Area of Inquiry. Students must apply and may only register with the permission of the Vietnam program director.",ECON207 - Vietnam Immersion
Economics,"This course examines theory, tariffs, and import quotas; adjustment mechanisms, foreign exchange, and exchange controls are also covered. Additional topics include the theory of comparative advantage, the causes and consequences of imbalances in the balance of payments or exchange rates, and the evolution of the international monetary system. Prerequisites: ECON 101, ECON 102.",ECON301 - International Trade & Finance
Education,This course explores careers in teaching beginning with the unifying question: Why should I become a teacher? Students examine their motivations to become teachers while they learn about college and state requirements and expectations.,ED109 - Invitation to Teaching
Education,"This course provides students pursuing or considering initial teacher licensure with an overview of the teaching profession. Students study and discuss history and philosophies of education systems, as well as current trends and issues. Massachusetts professional standards and requirements for licensure are explored. This course is a prerequisite for all other ED courses. Twenty-five hours of observation and tutoring in varied school settings are required. This is a presentation-intensive course.",ED110 - Teaching & Learning in American Schools
Education,"This course explores literacy development in the preschool and early elementary years, including transitions to reading and writing, role of phonemic awareness and phonics in emergent and early literacy, varied assessments to measure developing literacy, instructional strategies and materials to support young learners. Minimum 25 pre-practicum hours.This is a writing intensive course.Co-requisite ED 206L",ED206 - Early Literacy Teaching & Learning
