category,course,credits,description,title
English For Speakers Of Other Languages (Esl),ESL 038,3 credits,"Students are advised to register with ESL 030. This reading course in the academic ESOL sequence is designed for students who have a low-advanced reading ability. Students will read a variety of advanced-level materials, with an emphasis on increasing vocabulary, summarizing information, and distinguishing between main ideas and supporting details. This course does not satisfy any degree requirements.Prerequisite: ESL Reading Level B (ESL 028) or Placement",Esl Reading C
English For Speakers Of Other Languages (Esl),ESL 040,3 credits,"Students are advised to register with ESL 048. This course is designed for students who have a high-advanced writing ability. Students will learn to write a variety of well-organized paragraphs using advanced vocabulary, correct grammar, correct punctuation and a variety of sentence structures. This is the last course in the ESL writing sequence. This course does not satisfy any degree requirements. Prerequisite: ESL Writing Level C (ESL 030) or Placement",Esl Writing D
English For Speakers Of Other Languages (Esl),ESL 046,3 credits,"This is the final Academic Note-Taking and Presentation course of the ESOL sequence. Students will take lecture notes and give increasingly complex oral presentations, with visual support, in academic environments. This advanced course is designed for students with a strong foundation in spoken English who will benefit from intensive practice and direction to integrate grammatical structures accurately into spoken English as preparation for college courses. Attention will be given to rhetoric and style with varying levels of formality. This course does not satisfy degree requirements. Prerequisites: Acad Note-Taking & Presentation C (ESL 036) or Placement",Academic Note-Taking & Presentation D
English For Speakers Of Other Languages (Esl),ESL 048,3 credits,"This reading course in the academic ESOL sequence is designed for students who have a high-advanced reading ability. Students will read a variety of advanced-level materials including newspapers, magazines, short stories, and samples from college textbooks. Emphasis will be placed differentiating between fact and opinion, drawing inferences, expanding vocabulary, and developing effective dictionary skills. This is the last course in the ESL reading sequence; it will prepare students for English Department courses. This course does not satisfy any degree requirements. Prerequisite: ESL_Reading Level C (ESL 038)",Esl Reading D
Health Sciences (Hlt),HLT 130,3 credits,This course will introduce students to basic concepts of mental health and mental illness. It is the initial course in the Mental Health Certificate Program. The student will concentrate on developing therapeutic patterns of communication across the life span and across cultures. Prerequisites: English Composition I (ENG 101) Eligible,Fundamentals Of Mental Health
Health Sciences (Hlt),HLT 131,3 credits,"This course will develop the practical skills needed by the mental health worker. The course will include both theory and ""hands-on"" techniques that are required in the care of the mentally ill or substance abuse client. Prerequisites: English Composition I (ENG 101) Eligible",Skills For The Mental Health Worker
Health Sciences (Hlt),HLT 135,3 credits,"This course will explore the most common mental illnesses and their treatments. The student will develop communication skills for helping persons with schizophrenia, affective and mood disorders, post-traumatic stress syndrome, substance abuse and forensic issues. Basic principles surrounding the actions of psycho-pharmaceuticals are discussed. Prerequisites: English Composition I (ENG 101) Eligible",Theory & Practice In Mental Health
Health Sciences (Hlt),HLT 150,3 credits,"This beginning level course provides an introduction to the organization and operation of agencies providing health care and radiology services. Medical terminology and radiologic topics including elementary radiation protection, professional ethics, darkroom techniques, common contrast media, photographic principals of radiologic exposure, film and intensifying screens are presented. The student will also perform core clinical competencies in patient care. Prerequisites: Acceptance In Rad Tech Required.",Introduction To Radiology Technology
Health Sciences (Hlt),HLT 152,3 credits,"In this laboratory course, the student is presented with all routine radiographic procedures and applicable anatomy of the appendicular skeleton. Laboratory positioning exercises prepare the student for practical application of the procedures in the assigned radiology department in healthcare agencies. Prerequisites: English Composition I (ENG 101); College-Level Math; Anatomy & Physiology I (SCI 201)",Basic Radiologic Procedures
Health Sciences (Hlt),HLT 154,4 credits,"In this first clinical course, students are oriented to the clinical practicum experience and health agency guidelines, and learn about medical ethics and patient interaction. Observation and supervised performance of required radiographic examinations for clinical competence includes positioning of the chest, abdomen, upper and lower extremities. Co-requisites: Introduction to Radiology Technology (HLT 150); Basic Radiographic Procedures (HLT 152); Anatomy and Physiology II (SCI 202).",Rad Tech Clinical Practicum I
Health Sciences (Hlt),HLT 170,3 credits,"This second semester course continues to build on the foundation knowledge presented in the introductory courses. Student learning emphasizes topics of patient care, contrast media, radiographic quality, utilization of devices for improving the radiographic image, and equipment sterilization. Prerequisites: Intro to Radiology Technology (HLT 150); Basic Radiologic Procedures (HLT 152); Clinical Practicum I (HLT 154)",Principles Of Radiological Quality
Health Sciences (Hlt),HLT 171,3 credits,"This second semester course of the radiologic technology program presents and expands upon principles of general physics and concepts in technical math. This course presents the foundations of electrical physics and principles related to the radiography field. Topics will include an understanding of physics principles, concepts, and components) required in the electrical production of radiation used in the clinical setting and of the principles used in image capturing techniques. The course also presents basic interactions of radiation with matter. Applied radiographic calculations are also covered. Prerequisites: Intro to Radiology Technology (HLT 150); Basic Radiologic Procedures (HLT 152); Clinical Practicum I (HLT 154)",Radiological Instrumentation
Health Sciences (Hlt),HLT 172,3 credits,"In this second laboratory course, the student continues to be presented with routine radiographic procedures and applicable anatomy of the axial skeleton. Phantom radiography and role-playing prepare the student for practical application of the procedures in the assigned radiology department in health care agencies. Prerequisites: Intro to Radiology Technology (HLT 150); Basic Radiologic Procedures (HLT 152); Clinical Practicum I (HLT 154)",Intermediate Rad Procedures
Health Sciences (Hlt),HLT 174,3 credits,"In this second clinical course, students continue to learn the fundamentals of radiographic positioning and principles of radiographic exposure, including examinations of the pelvis and hips, ribs and sternum, spine, digestive system, urinary tract and biliary system. This clinical practicum also provides students with additional film critique and the principles of pediatric radiography. Prerequisites: Intro to Radiology Technology (HLT 150); Basic Radiologic Procedures (HLT 152); Clinical Practicum I (HLT 154)",Health Clinical Practicum Ii
Health Sciences (Hlt),HLT 250,4 credits,"This course is designed to provide fundamental information in the area of applied radiobiology. Course topics will include basic interactions of radiation matter, biological effects, radiation dose, occupational and non-occupational dose equivalent limits, exposure monitoring and units of measurement. Radiographically significant pathology will be included. Prerequisites: Clinical Practicum III Rad Tech (HLT 175)",Fundamentals Of Radiobiology
Health Sciences (Hlt),HLT 252,3 credits,"Major topics include skull, facial and sinus anatomy and positioning. Myelography, arthrography, angiography and skeletal surveys will be introduced. Special radiographic procedures will also be covered including computed tomography, magnetic resonance imaging, nuclear medicine, and ultrasound. Phantom radiography and role-playing prepare the student for practical application of the procedures in the assigned radiology department in health care agencies. Prerequisites: Clinical Practicum III Rad Tech (HLT 175)",Advanced Radiographic Procedures
Health Sciences (Hlt),HLT 254,4 credits,The senior student begins this clinical practicum demonstrating competence in the basic skills and exams learned in the first year. The student has progressed both professionally and educationally through the summer practicum and now takes on the advanced positions and procedures of the program. The student must demonstrate growth and development in both clinical and professional behavior during the practicum.Prerequisites: Clinical Practicum III Rad Tech (HLT 175),Rad Tech Clinical Practicum Iv
Health Sciences (Hlt),HLT 270,3 credits,This course is designed to round out the student,Topics In Radiological Technology
Health Sciences (Hlt),HLT 274,4 credits,The senior student begins this last clinical practicum demonstrating competence in the basic skills and exams learned in the first year. The student has progressed both professionally and educationally through the Program and continues to grow and develop both professionally and technically. All mandatory and elective competencies must be demonstrated for completion and graduation.Prerequisites: Clinical Practicum IV (HLT 254),Health Clinical Practicum V
Health Sciences (Hlt),HLT 298,3 credits,"This course includes 150 hours of supervised practice in an acute or chronic care mental health setting. The student will incorporate principles learned in the other courses offered in the mental health certificate major. There will be a weekly seminar (2 hours) where students from several internship settings will share experiences. Prerequisites:English Composition I (ENG 101) Eligible, permission of instructor",Internship In Mental Health
Humanities (Hum),HUM 100,3 credits,"This course will foster an understanding and appreciation of music in the broadest sense. Students will learn to recognize and differentiate the various media employed to express music, such as the human voice and an array of musical instruments. They will have an opportunity to understand that music has expressed the emotions and ideals of humanity in all places at all times. Representative examples of musical forms, historical periods in music, and a broad spectrum of global cultures will be used to teach students that musical culture is universal.",Introduction To Music
Humanities (Hum),HUM 103,3 credits,"This course is designed to provide students with the basic knowledge and skills of music reading, writing, and analysis, including notation in all three clefs; reading notes by their letter names, as syllables in both fixed and relative ""do"", and as numbers; reading and writing key signatures and scales in sharp and flat keys (both major and minor keys); harmonic progressions; instrumentation; and other general knowledge leading to a better understanding of how music works. Students will analyze the melodic, rhythmic, and choral construction of selected simple pieces representing various musical traditions from around the world. Prerequisites: Dev Read & Write 2 (ENG 091); Placement",Music Theory I
Humanities (Hum),HUM 105,3 credits,"The Piano Keyboard I course will introduce basic piano keyboard skills, such as fingering patterns in both left and right hands, separately and together. The course will employ the notes played by the five fingers plus an extension of one note above and below. Emphasis will be placed on reading, as well as on the use of the I-IV-V7 harmonic progression. Piano text used will not only teach basic skills but also will add pleasure and build appreciation of piano repertoire.",Piano Keyboard I
Humanities (Hum),HUM 106,3 credits,"Piano Keyboard II builds on the skills developed in Piano Keyboard 1. The piano pieces will extend the range to four octaves and will add techniques such as grace notes, blues, and new choral progressions, as well as the rhythmic complexity found in classical popular tunes. Piano Keyboard II will complete the piano textbook. Prerequisites: Piano Keyboard I",Piano Keyboard Ii
Humanities (Hum),HUM 108,3 credits,"The World Music course will foster an understanding and appreciation of music from around the world, especially non-Western music. Students will explore the music of the Americas, Africa, the Middle East, East Asia, and the Indian subcontinent. The music of the many cultures represented by the students on campus will form the nucleus of the music studied. Students will learn how music expresses each group's sociological, historical, and geographical relationship to the music of other cultures. They will recognize and differentiate the ways in which the human voice and traditional instruments express the cultures of people around the world. Representative examples of musical forms and historical periods will be used to teach the students to appreciate that music has expressed the emotions and ideals of humanity in all places at all times.",World Music
Humanities (Hum),HUM 109,3 credits,"This course will offer instruction in the basic music skills which will be taught through a vocal warm-up. The beginning segment of each class, will start with a vocal warm-up, used to focus and open up the range of the students' voice into the head voice. These exercises will prepare students for their solo class performance. Specifically, each vocal warm-up session will include stretching exercises, leading to erect posture without tension, followed by both cleansing and controlled deep breathing exercises.",Vocal Performance Workshop I
Humanities (Hum),HUM 120,3 credits,"This course introduces students to many of the major themes and practices of world religions and examines the role of religion in the world today. Students will study what constitutes a religious experience, the nature of faith, the function of ritual, the impact of secularization, and the role religious traditions have in social and personal transformation. Prerequisites: English Composition I (ENG 101)",Religions In Contemporary World
Humanities (Hum),HUM 130,3 credits,"This course provides an introductory examination in global perspective of the problems and methods of philosophy. Topics may include: the meaning and purpose of life, the nature of knowledge, justice and politics, personal identity, the role of art in society, and ethics. While several major philosophers and historical movements will be introduced, the emphasis will be placed on exposing students to problems in philosophy, helping them analyze arguments, and discovering ways to apply philosophical skills in and beyond the classroom. Prerequisites: English Composition I (ENG 101) or Concurrent",Introduction To Philosophy
Humanities (Hum),HUM 131,3 credits,"In this course students will explore a variety of theories and practices relative to the question of conduct and moral judgment, including utilitarianism, hedonism, and Marxism. Students will consider their own system of ethics and morals as they discuss such current topics as racism, disciplining children, abortion, capital punishment, sex, and world hunger. Prerequisites: English Composition I (ENG 101)",Human Conduct & Values
Humanities (Hum),HUM 132,3 credits,"The focus of this course is an examination of the different ways in which various cultures have expressed their humanity through philosophy, art, and social mores. Students will explore the ideas of traditional Indian, Chinese, and African cultures and will use this information to gain a greater understanding and appreciation of their own culture and the cultural diversity of today's global village. Prerequisites: Developmental Reading and Writing 2 (ENG 091)",Introduction To Humanities
Humanities (Hum),HUM 134,3 credits,"This course will trace the historical development of stereotypic and negative images of Black Americans, particularly in the media, and will examine the psychological impact of those images on African Americans and other individuals in our society. In addition, the course will acknowledge renowned African-American individuals and social movements that have contributed to the development of our society. Prerequisites: Developmental Reading and Writing II (ENG 091) or Placement",Images Of Black Americans
Humanities (Hum),HUM 135,3 credits,"The ability to differentiate between valid and invalid reasoning is a valuable tool for all individuals. In this course, students will develop skills to strengthen their own thinking and communicating processes and to recognize and analyze the logic of information encountered in everyday life. Prerequisites: Developmental Reading and Writing 2 (ENG 091)",Logic For Everyday Use
Humanities (Hum),HUM 140,3 credits,"This course introduces students to the fundamental elements of musical and theatrical styles and provides an exploration of how the performing arts have been used to reflect the ideas, aspirations, and direction of various cultures. Students will examine the role and function of the performing arts in various cultures.",Elements Of Performance Arts
Humanities (Hum),HUM 141,3 credits,"This course introduces students to techniques that cover the scope of theatrical performance. Students will study and practice various modes of performance, such as mime, movement, dialogue, characterization and improvisation.",Acting I
Humanities (Hum),HUM 142,3 credits,"A course designed to take students further in their exploration of skills and challenges of the art of acting, with an emphasis on the variety of ways acting is practiced in different cultures. Students will read basic texts on acting, including the works of Stanislavski, Brecht, and Chekhov. The focus of the course is on developing characters and working with texts that include poetry, monologues from plays, and dramatic scene study. Students will be introduced to costumes and are required to participate in a variety of workshop activities in class. Prerequisites: Acting I (HUM 141)",Acting Ii
Humanities (Hum),HUM 161,3 credits,"This course is a survey of the visual arts, covering a variety of artistic and cultural styles. With an emphasis on the role of perception, students will explore the art of Africa, Egypt, India, China, Japan, and Greece, as well as Medieval and Renaissance art, and will discuss the impact of each of these styles or periods on Western civilization.Prerequisites: English Composition I (ENG 101)",Art History And Appreciation I
Humanities (Hum),HUM 162,3 credits,"As a continuation of HUM 161, students enrolled in this course will examine artistic styles and forms from the Renaissance to the present. Prerequisites: Art History and Appreciation I (HUM 161)",Art History And Appreciation Ii
Humanities (Hum),HUM 163,3 credits,"The study of all the methods and techniques of digital imaging, including Photoshop software basics, input and output options camera use, photo editing, printing, print mounting, and critical and esthetic evaluation of photographs. Use of cameras, media, and software is included as part of this course. Pre-requisite: Developmental Reading and Writing II (ENG 091)",Photography I
Humanities (Hum),HUM 165,3 credits,"Students enrolled in this hands-on course will explore the use of basic drawing techniques. Topics include the use of perspective and proportion, and achievement of realism in drawing.",Drawing I
Humanities (Hum),HUM 166,3 credits,"As a continuation of DRAWING I, students will refine their use of perspective, proportion, and realism to create unified pictorial compositions. Prerequisites: Drawing I (HUM 165)",Drawing Ii
Humanities (Hum),HUM 167,3 credits,"This course introduces students to a variety of sculpture techniques, including molding, casting, construction in plaster, was, and clay, and the basics of carving wood.",Sculpture I
Humanities (Hum),HUM 170,3 credits,"Students will explore color theory, the use of color throughout history, and application techniques for watercolor, acrylic, and oil paints.",Painting I
Humanities (Hum),HUM 174,3 credits,"This course provides an introduction to the elements of art and design. Students will develop an appreciation of the visual processes through which seemingly unrelated experiences, ideas, concepts, and materials are brought together to form connections through various design elements.",Elements Of Art And Design
Humanities (Hum),HUM 180,3 credits,"The techniques of dance as taught through discipline of muscular control and rhythm awareness are the focus of this course. Students will explore classical ballet concepts and techniques as the foundation for other dance styles, including modern jazz and ethnic dance.",Modern Dance I
Humanities (Hum),HUM 181,3 credits,"In this continuation of Modern Dance I, students will strengthen their muscular control and sense of rhythm through exercises and dance movements that call upon the techniques and styles of a number of dance forms. Prerequisite: Modern Dance I",Modern Dance Ii
Humanities (Hum),HUM 290,3 credits,"This course is designed to serve as the foundation course for the honors program at Roxbury Community College. This course will focus on an interdisciplinary theme, which can be explored from multiple perspectives and disciplines. The semester theme will be examined through works of literary merit - fiction and non-fiction, critical essays, historical and scientific documents. In addition to the course work, a research paper and a final presentation are required of all participants. Prerequisites: ENG 101 and permission of instructor",Honors Colloquium
Humanities (Hum),HUM 298,3 credits,"This course is designed for students to gain hands-on experience a resume builder and an opportunity to network. Students will develop a resume, cover letter and references prior to placement. Students will meet with the Internship Coordinator and an Assigned Internship Faculty Advisor from their program of study during the course of the semester to monitor the interns",Humanities Internship
Information Systems Technology (Ist),IST 110,3 credits,"This course is designed to present the fundamentals of problem solving by giving students an overview of modern IT. It examines the importance of key issues such as security, privacy, and ethics. IT concepts to be introduced will include programming, databases, networking, research, web servers and how they work together in a modern system. Students work in groups to implement examples of these systems leaving the course with soft skills and an understanding of the components of modern systems and the scope of knowledge needed to become an IT professional. Prerequisites: English Composition I (ENG 101) Eligible; Introductory Algebra (MAT 088) or Placement",It Problem Solving
Information Systems Technology (Ist),IST 115,3 credits,"This course is an introduction to the techniques essential to supporting PCs in widely diverse environments. It focuses on the information needed to install, configure, upgrade, diagnose, maintain, and troubleshoot the hardware components of a microcomputer (PC) quickly and effectively. Topics include how computers work, how software and hardware work together, the system board, understanding and managing memory, floppy drives, introduction to hard drives, hard drive installation and support, troubleshooting fundamentals, supporting Input/Output devices, multimedia technology, and networking fundamentals.",Pc Configuration & Management I
Information Systems Technology (Ist),IST 116,3 credits,"This course is a continuation of PC Configuration & Management I. Hardware related topics include electricity and power supplies, managing physical and virtual memory, and techniques for customizing a PC. Software related topics include configuring and troubleshooting the Windows operating systems, purchasing a PC or building your own, communicating over phone lines, networking fundamentals and the Internet, printers and Notebook computers, viruses, disaster recovery and maintenance plan, the professional PC Technician. Students learn methods and techniques used by professional PC technicians to diagnose and repair systems.",Pc Configuration & Management Ii
Information Systems Technology (Ist),IST 120,3 credits,"In this course, students will learn the most important topics of Microsoft Office. Topic includes overview of computer concepts, introduction to Windows, Microsoft Word, Microsoft Excel, Microsoft Access, and Microsoft PowerPoint. You will learn how to use Object Linking and Embedding (OLE) to create integrated Office documents. Courseware used is approved for the Microsoft Office User Specialist (MOUS) program. The course offers extensive hands-on components in the use of state-of-the-art technology. Prerequisites: English Composition I (ENG 101) Eligible",Microcomputer Applications
Information Systems Technology (Ist),IST 121,3 credits,"This course covers advanced microcomputer applications including Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft PowerPoint, and integration of the applications. Topics include form letters, merging, desktop publishing, financial functions, amortization schedules, macros, VBA, data tables, creating and querying a worksheet database, templates, creating customized reports and forms in Access, Switchboard Manager, embedded visuals, and importing clips into PowerPoint. Prerequisites: Microcomputer Applications (IST 120); English Composition I (ENG 101)",Advanced Microcomputer Applications
Information Systems Technology (Ist),IST 130,3 credits,"This course is designed to introduce students to Linux and UNIX. Students will install, setup, and operate standard tools and learn how they operate together. The course addresses management of the Linux file system and utilities; file editing; file permissions; pipes, redirection, and filters; text handling utilities; mail facility; BASH shell, variables, and basic scripts; process management; and shell programming basics. Students will be exposed to Linux/Unix principles through hands-on lab assignments utilizing a Linux server. By course end students will have installed a fully functional Internet server while understanding its structure. Security issues of operating systems will be covered in the course. Prerequisites: English Composition I (ENG 101) Eligible; Introductory Algebra (MAT 088); IT Problem Solving (IST 110)",Linux Operating Systems
Information Systems Technology (Ist),IST 140,3 credits,"The goal of this course is to provide an introduction to networking technology. This course covers a wide range of material about networking, from careers in networking to local area networks, wide area networks, protocols, topologies, transmission media, and security. It also discusses in-depth the most significant aspects of networking, such as the TCP/IP protocol suite. In addition to explaining concepts, the course uses a multitude of real world examples of networking issues from a professional",Introduction To Networking
Information Systems Technology (Ist),IST 141,3 credits,"This course introduces students to Wireless Networks, which will comprise of Wireless Personal Area Network (WPAN), Wireless Local Area Network (WLAN), and Wireless Wide Area Network (WWAN). The course contents include physical layer standards, medium access control, building and securing WLAN. Topic discussions will be on Wide Area Networks, including cellular networks involving cellular data networks, and Implementation of Wireless Access Protocols to WAP enabled devices. Also, there will a brief introduction to Wireless Internet. Theory classes will be supplemented with labs to enhance practical knowledge in integrating, testing, commissioning, network management of wireless networks. Prerequisites: IT Problem Solving (IST 110); English Composition I (ENG 101)",Wireless Networking
Information Systems Technology (Ist),IST 145,3 credits,"This course is designed to give the student knowledge of the features of the Visual BASIC programming language. Students will learn about Visual BASIC environment, error trapping, debugging and distributing applications, multiple document interface applications, building applications with graphics and drag and drop functionality, database applications, design of user-friendly screens compatible with a Windows environment, creating your own objects, and programming using OLE (Object Linking and Embedding). Prerequisites: IT Problem Solving (IST 110) or Concurrent; English Composition I (ENG 101) Eligible",Visual Basic
Information Systems Technology (Ist),IST 150,3 credits,"This course is designed to give students an in-depth understanding of how web sites and servers are created and how they work. Students will use an integrated development environment (IDE) to design, create and administer an extensive dynamic web applications project. Prerequisites: English Composition I (ENG 101) Eligible; IT Problem Solving (IST 110) or Concurrent",Web Design Fluency
Information Systems Technology (Ist),IST 151,3 credits,"Students will work closely with production level design and implementation of web sites. Web site design and the development process will be emphasized. Advanced tools in design, graphic layout and user interaction will be used. Electronic data interchange; web databases and user interactivity will be introduced. Web design tools such as Dreamweaver and CSS and advanced applications of HTML will be utilized. Introduction to Script programming will be included too. Students will produce a digital portfolio of advanced Web design elements and concepts. This is a required course for the Web Technologies degree. Prerequisites: Web Design Fluency (IST 150)",Web Development & Design Ii
Information Systems Technology (Ist),IST 160,3 credits,"This course provides an introduction to the electronic game industry; in addition, each student will develop a video game during the course using a development program provided in the classroom. It has three main objectives: (1) to survey the organization and procedures of professional development in games and interactive software; (2) to develop critical skills for observing and understanding game design through reflective play; and (3) to introduce a first game development tool, object-oriented game design platform. This course is a lot of fun and gives a great introduction to the game development. Demonstrating the game to classmates and the instructor will be the final exam. Prerequisites: English Composition I (ENG 101) Eligible, MAT 099",Introduction To Game Design
Information Systems Technology (Ist),IST 170,3 credits,"This course covers the elements of object-oriented programming and the Java Programming Language. Topics covered include object-oriented programming constructs, such as primitive data types, input/output, control structures, methods, classes, and arrays. Students will gain programming skills by writing short programs in order to demonstrate an understanding of the course. Prerequisites: English Composition I (ENG 101); College-Level Math; Microcomputer Applications (IST 120)",Java I
Information Systems Technology (Ist),IST 180,4 credits,This the first programming course in the Computer Science degree program. The course will be taught using JAVA programming language to introduce concepts involved in using object oriented approach with a high level language in the program development process. The course will be very demanding and will focus in the design and implementation of large complex programs.,Computer Science I
Information Systems Technology (Ist),IST 210,3 credits,"This course examines the ethical issues arising from advances in computer technology and the responsibility that computer professionals and users have in regards to computer use by focusing on the intrinsic link between ethics and the law. Both ethics and the law try to define the validity of human actions, and on the moral and ethical dilemmas created by computer technology that challenge the traditional ethical and moral concepts. Topics include issues of professional ethics, computer crime, privacy, freedom of expression, software development, intellectual property, and the balance between scientific advances and the acceptability of risk. Students will write an analytical paper on an appropriate topic and present their findings to the class. Prerequisites: English Composition I (ENG 101); The College Experience (ACS 102) or Permission of Instructor",Social Issues & Ethics In Computing
Information Systems Technology (Ist),IST 220,3 credits,"The purpose of this course is to develop an understanding of the planning, analysis and design processes involved in information system development life cycle (SDLC). Students will learn to critically analyze information behavior and requirements in context, to identify and articulate the information processing issues at hand, and to develop a high level design for an information system that successfully responds to those issues and use object-oriented methods to document, analyze, and model the information system. The course will cover general systems theory with emphasis on the methodologies and procedures used in organizational problem solving and systems development. Topics include methods for data collection; cost-benefit analysis; feasibility analysis, logical design leading to functional specifications; rapid prototyping and CASE tools. Prerequisites: English Composition I (ENG 101), College Mathematics (MAT 101), Visual Basic (IST 145)",Systems Analysis & Design
Information Systems Technology (Ist),IST 230,3 credits,"This course is designed to introduce students to relational databases from concept to design and how to apply these concepts to different scenarios. Students will demonstrate their understanding by utilizing the SQL programming language to access relational databases. Among the topics covered will be data modeling, data definition and manipulation capabilities and DBMS architecture levels. Prerequisites: IT Problem Solving (IST 110) or Permission of Instructor",Relational Databases
Information Systems Technology (Ist),IST 240,3 credits,"This course is designed to give students a fundamental understanding of computers and network security. Students will be introduced students to a wide variety of concepts related to computer security and will provide in depth instruction in the basics of network protections. Course content includes security objectives, security architecture, security models and security layers, risk management, network security policy and security training. This material will help protect the confidentiality, integrity, availability, accountability and audit ability needed in securing the networks. Common network attacks are introduced. Cryptography basics are incorporated, and operational/organizational security is discussed as it relates to physical security, disaster recovery, and business continuity. Computer forensics will also be introduced. Prerequisites: Introduction to Networking (IST 140) or Wireless Networking (IST 141)",Network Security
Information Systems Technology (Ist),IST 241,3 credits,"This course covers the principles of the design of LANs and WANs. Topics include network architecture, transmission systems, traffic management, bandwidth requirements, Internetworking devices, redundancy, and broad-band versus based-band systems. Upon completion, students should be able to design a network to meet specified business and technical requirements. Prerequisites: Introduction to Networking (IST 140) or Wireless Networking (IST 141)",Network Design
Information Systems Technology (Ist),IST 251,3 credits,"This course focuses on advancing student in the tools and techniques used to create dynamic web applications within the client and server sided scripting environment. Scripting language such as VBScript, JavaScript and Active Server Pages will be utilized to build interactive web pages. Some of the topics covered will include conversion of databases to SQL Server, shopping carts, dynamic table of contents, arrays, collections, control structures, cookies, ADO, OBDC, and OLE DB. Extensive hands-on projects revolving around actual business scenarios will created. Prerequisites: Web Development & Design (IST 151)",Internet Programming
Information Systems Technology (Ist),IST 270,3 credits,"This course will be presented using Java language. There will be emphasis on using object-oriented design and programming concepts. Topics such as: object, type, class, function overloading, implementation hiding, inheritance, parametric typing, polymorphism, source code reusability, object code reusability will be introduced. Prerequisites: Java I (IST 170)",Java Ii
Information Systems Technology (Ist),IST 280,3 credits,"This is the second programming course in the Computer Science degree program. The course will be a continuation of CIS 20-210 taught using JAVA programming language in the design and implementation of computer programs in a high-level language, with emphasis on proper design principles and advanced programming concepts, including dynamic data structures and recursion. Efficient design, implementation and debugging techniques are stressed. The assignments are designed to introduce the student to a variety of topics in computing: data structures and ADTs, Lists, Stacks, Queues, Ordered Lists, Binary Trees, and searching and sorting techniques. The course will be very demanding and will focus in the design and implementation of large complex programs. Prerequisites: Computer Science I (IST 180); Calculus I (W/Applc) (MAT 201)",Computer Science Ii
Information Systems Technology (Ist),IST 281,3 credits,"This course builds on the foundation provided by the Computer Science I (IST180) and Computer Science II (IST 280) courses which introduce the fundamental concepts of data structures and the algorithms that proceed from them. Topics will include data abstraction, encapsulation, information hiding, and the use of recursion, creation and manipulation of various data structures: lists, queues, tables, trees, heaps, and graphs, and searching and sorting algorithms. Prerequisites: Computer Science II (IST 280)",Data Structures & Algorithms
Information Systems Technology (Ist),IST 298,3 credits,"This course is designed for students to gain hands-on experience a resume builder and an opportunity to network. Students will develop a resume, cover letter and references prior to placement. Students will meet with the Internship Coordinator and an Assigned Internship Faculty Advisor from their program of study during the course of the semester to monitor the interns",Ist Internship
Languages (Lan),LAN 101,3 credits,This is an advanced English language course for non-native speaking students who have a strong foundation in spoken English. Students will participate in speaking activities which will enable them to practice using advanced grammatical structures and functions and apply them in a variety of contextual situations. Students will also work with a variety of listening materials in order to improve their listening comprehension. Prerequisites: ESL_Grammar B (ESL 025); Acad. Note-Taking & Pre. B (ESL 026) or Placement,Applied Grammar I (Lev-C)
Languages (Lan),LAN 102,3 credits,This is an advanced English language course for non-native speaking students who have a strong foundation in spoken English. Emphasis will be on academic use of grammatical structures which will be practiced in contextual conversation activities. Students will be exposed to lectures where they have to take notes for class discussion. Prerequisites: ESL Writing Level C (ESL 030) or Concurrent; Applied Grammar I (LAN 101) or Placement,Applied Grammar Ii (Lev-D)
Languages (Lan),LAN 111,3 credits,"In this introductory Spanish language course for non-Spanish speakers, students will focus on developing basic vocabulary, grammar, and pronunciation skills through reading, listening, and speaking exercises. Students will also be introduced to the cultures of Spanish-countries.",Spanish I
Languages (Lan),LAN 112,3 credits,Students enrolled in this course for non-Spanish speakers will focus on developing aural and oral communication skills through guided conversation and through classroom reading and writing assignments. Emphasis will be placed on contemporary issues in Spanish-speaking countries. Prerequisites: Spanish I (LAN 111) or Placement,Spanish Ii
Languages (Lan),LAN 141,3 credits,"Students enrolled in this beginning course in French language for non-French speakers will focus on developing basic vocabulary, grammar, pronunciation, and syntax skills. They will aso be introduced to the cultures of French-speaking countries. Programmed audiotapes are available for student use.Prerequisite: Placement",French I
Languages (Lan),LAN 142,3 credits,"Students enrolled in this course will further develop their listening comprehension and their reading and writing skills in the French language. Through the use of audiotapes, videotapes, and classroom discussion, students will explore contemporary issues in French-speaking countries. Students will use the Language Learning Laboratory to complete classroom exercises and record their progress in vocabulary and grammar development. Prerequisites: French I (LAN 141) or Placement",French Ii
Languages (Lan),LAN 161,3 credits,"This course is designed for students with no previous knowledge, or very limited knowledge of the Arabic language. Arabic I will be divided in two sections. The first section focuses on learning the script, sound and writing systems in Arabic based on the Alif Baa book. Building upon the skills gained in the first part of the course, we will focus on the four communication skills (listening, speaking, reading and writing) of the Modern Standard Arabic (MSA). We will also immerse ourselves in Arabic language and culture through various activities.",Arabic I
Languages (Lan),LAN 162,3 credits,"Arabic II picks up where Arabic I left off. Our central tasks will be building vocabularies and mastering basic grammatical structures. We'll also stress training in reading and writing Arabic sentences and in enhancing spoken skills necessary for a variety of daily activities. As the course progresses, more emphasis will fall on assimilating the language for more complex communicative purposes related to describing self, family members, career plans, and abstract matters like personal feelings and decisions. Prerequisites: Arabic I (LAN 161)",Arabic Ii
