Course Title,Course Description,Course Areas,Course Id
 Mathematical Statistics,"MA252 Mathematical Statistics Prerequisite(s): (MA 139 or MA 141) and (GB 210 or GB 213)Note: Students may not take both MA 252 and EC 361 for creditThe course focuses on the statistical concepts which form the basis for advanced topics in regression analysis, notably the construction of multiple regression models, time-series models and an analysis of the residuals.  Students apply these concepts to large, multi-dimensional data sets using advanced software such as SAS or SPSS and gain experience in becoming more informed decision-makers through the interpretation of the software results. Emphasis is also placed on being able to communicate the statistical results to a general audience. ",MA,MA252
 Numerical Methods,"MA261 Numerical Methods Prerequisite(s): MA 139 or MA 141Focuses on the numerical evaluation of functions, derivatives, integrals and the numerical approximation of solutions to algebraic and differential equations.  Computer solutions to problems are used where appropriate. ",MA,MA261
 Continuous Probability for Risk Management,"MA263 Continuous Probability for Risk Management Prerequisite(s): (GB 210 or GB 213) and (MA 139 or MA 141)This course focuses on concepts and techniques of continuous probability and their applications to risk management in insurance and finance. Among other topics, the most commonly used single- and multi-variable continuous probability distributions are addressed. Concepts are illustrated with a large number of applied risk management problems. Calculus tools such as single and double integration are used extensively. ",MA,MA263
 Discrete Mathematics,"MA267 Discrete Mathematics Prerequisite(s): MA 126 or MA 139 or MA 141In contrast to the continuous real number line from calculus, ""discrete"" mathematical structures are made up of distinct, separate parts. The instructor chooses a few topics to cover from the many available discrete mathematics topics, including mathematical language and syntax, proofs and logic, circuits, cryptography, graphs (i.e., relationships among people, agencies, machines, etc.), number theory, combinations and permutations, etc. The relationship of mathematics to computer science features prominently. ",MA,MA267
 Selected Topics in the Mathematical Sciences,"MA280 Selected Topics in the Mathematical Sciences Prerequisite(s): Prerequisites will be announced at registration depending on the particular topic being addressed.Note: With department approval,  MA 280 may be taken more than once.Examines a particular area of mathematics or its applications. May include such topics as the use of mathematical models in environmental science, the history of mathematics, elementary measure theory or financial mathematics. The topic will be announced prior to registration. ",MA,MA280
 Mathematical Logic,"MA305 Mathematical Logic Prerequisite(s): Completion of any freshman mathematics sequenceNote: This course is also listed as PH 305; it can be used as either a philosophy or mathematical sciences elective depending on which designator the student chooses at registration.Mathematics analyzes the world in a precise, quantitative way.  Mathematical logic applies that same precise analysis to mathematics itself.  Analysis of mathematical formulas, how they are constructed and how they relate, lead to the two most famous formal reasoning systems, classical propositional logic and classical predicate logic.  Arguments constructed through formal reasoning in these systems are compared to informal reasoning. Examples of logic in algebra and the foundations of calculus lead to consideration of historically important questions such as, ""Do we know that the generally accepted rules for reasoning are correct, or reliable?""  This leads to the study of historical roots of non-classical logics and their relationship to computer science. ",MA,MA305
 The Mathematics of Computer Graphics,"MA307 The Mathematics of Computer Graphics Prerequisite(s): MA 123 or MA 131 or MA 141This course introduces mathematics for analyzing and describing images and scenes. Manipulations of two-and three-dimensional figures and spaces are analyzed using geometry, vectors, matrices and polynomials. A significant aspect of the course involves using these mathematical methods to generate images and animations that are both attractive and informative. ",MA,MA307
 Game Theory,"MA309 Game Theory Prerequisite(s): 6 credits of mathGame theory is the study of strategic behavior of rational actors who are aware of the interdependence of their actions. Course topics include the extensive form tree representation and the key concepts of strategy space and strategy profile. The normal form game representation is developed and illustrated with classical games such as the Prisoner's dilemma and Hawk-Dove. The discrete probability model is developed and applied to the concepts of player beliefs and mixed strategies. Solution concepts for games such as dominance and iterated dominance, best response curves, Nash equilibrium and security strategies are developed and compared.  Additional topics may also be included, such as evolutionary games and fair division strategies. ",MA,MA309
 Actuarial Topics in Probability and Risk Management,MA310 Actuarial Topics in Probability and Risk Management Prerequisite(s): MA 233 and (MA 243 or MA 263)An advanced course focused on further developing fundamental tools in discrete and continuous probability necessary for the analysis and solution of risk management problems. Significant time is spent examining complex problems and determining which mathematical technique(s) to apply. Success in mastering the techniques presented requires a substantial commitment to independent study.  Students doing well in this course should be prepared to take the Society of Actuaries Exam P (Probability) or Casualty Actuarial Society Exam 1. ,MA,MA310
 Financial Calculus and Derivative Pricing,"MA335 Financial Calculus and Derivative Pricing Prerequisite(s): (MA 139 or MA 141) and (GB 210 or GB 213)This course provides an introduction to the basic mathematical concepts underlying the famous Black-Scholes-Merton option pricing formula and the associated financial market model, including model limitations and alternatives.  Selected topics from ordinary differential equations, probability theory and statistics are used to develop and analyze the economic concepts. Hedging strategies and portfolio sensitivity parameters associated with options are also developed and discussed. ",MA,MA335
 The Mathematics of Discrete Options Pricing,"MA343 The Mathematics of Discrete Options Pricing Prerequisite(s): 6 credits of mathThis course is devoted to basic principles and techniques of no-arbitrage discrete derivative pricing. Using elementary probability and linear algebra, the binomial option pricing model is developed. No-arbitrage option pricing and hedging are addressed using binomial trees. Real market data is used to explore the computational aspects of options pricing. This course should be of interest to strong math students who would like to see how fundamental mathematics is applied to a significant area of finance and to strong finance and economics students who would like to better understand the concepts behind the standard options pricing models. ",MA,MA343
 Data Mining,"MA347 Data Mining Prerequisite(s): GB 213This course will introduce participants to the most popular data mining techniques, withan emphasis on getting a general understanding of how the method works, how toperform the analysis using suitable available software and how to interpret the results in abusiness context. Topics will include linear regression models, logistic regressionmodels, association rules analysis (also known as market basket analysis), clusteranalysis, k-nearest neighbors, decision tree analysis, and Nave Bayes. Additionaltechniques may be introduced if time allows. ",MA,MA347
 Mathematical Theory of Interest,MA357 Mathematical Theory of Interest Prerequisite(s): MA 139 or MA 141Note: We recommend that students preparing for Exam FM/2 also take MA 335The theory of interest addresses the critical financial question of determining the value of a stream of cash flows. This is a problem-solving intensive course aimed at preparing the highly motivated student for the interest theory portion of the Society of Actuaries Exam FM and the Casualty Actuary Society Exam 2.  Emphasis is placed on learning efficient and effective techniques for solving interest theory problems. ,MA,MA357
 Models for Financial Economics,"MA370 Models for Financial Economics Prerequisite(s): MA 233 and MA 335This course will develop the students knowledge of the theoretical basis of certain actuarial models and the application of those models to insurance and other financial risks. The topics covered include rational valuation of derivative securities using the binomial as well as the Black-Scholes option pricing models; risk management techniques (such as delta-hedging); interest rate models as well as elements of Stochastic Calculus.This is an intensive problem-solving course aimed at helping highly motivated students prepare for Exam MFE, the financial economics portion of the third exam offered by the Society of Actuaries (SOA) and the Casualty Actuarial Society (CAS).  The ideal candidate will have passed Exam P/1 and/or Exam FM/2 prior to taking this course and be willing to invest the extensive time and effort required to pass Exam MFE. ",MA,MA370
 Models Life Contingencies I,"MA375 Models Life Contingencies I Prerequisite(s): MA 310 and MA 357Note: Formerly MA 402The goal of this course is to develop student knowledge of the theoretical basis of life contingent acturial models and the application of these models to insurance and other financial risks. Specific topics include the mathematics of survival distributions, life tables, life insurances, life annuities, benefit premiums and premium reserves. Emphasis will be placed on developing familiarity with the theory behind these acturial models. This is an intensive problem-solving course aimed at helping highly motivated students prepare for Exam MLC, the life contingent modeling exam offered by the Society of Actuaries (SOA). ",MA,MA375
 Models Life Contingencies II,"MA376 Models Life Contingencies II Prerequisite(s): MA 375Note: Formerly MA 402The goal of this course is to develop student knowledge of the theoretical basis of life contingent acturial methods and the application of those models to insurance and other financial risks. Specifics topics include discrete and continuous Markov models, multiple decrement models, multiple life models, universal life models and profit tests. Emphasis will be placed on developing familiarity with the theory behind these acturial models. This is an intensive problem-solving course aimed at helping highly motivated students prepare for Exam MLC, the life contingent modeling exam offered by the Scoiety of Actuaries (SOA). ",MA,MA376
 Directed Study in Mathematical Sciences,MA401 Directed Study in Mathematical Sciences Prerequisite(s): Junior- or senior-level standing and department chairperson's permissionPermits superior students to study special topics. (May be repeated for credit.) ,MA,MA401
 Seminar in Mathematical Sciences,MA402 Seminar in Mathematical Sciences Prerequisite(s): Junior- or senior-level standing and department chairperson's permissionNote: Not offered regularly.  Check with department chair for availability.Permits small-group study of selected topics by advanced students. (May be repeated for credit.) ,MA,MA402
 Internship in Mathematical Sciences,"MA421 Internship in Mathematical Sciences Prerequisite(s): Junior-level standing, 3.0 cumulative average, and permission of mathematical sciences internship coordinator.An internship provides the student with an opportunity to gain on-the-job experience and apply principles and issues raised in the academic discipline to a work environment. The student is required to attend pre-internship workshops sponsored by the Center for Career Services, meet regularly with a faculty adviser, and develop a final paper or special project. ",MA,MA421
 Applied Business Statistics,"ST242 Applied Business Statistics Prerequisite(s): (MA 126 or MA 139 or MA 141) and (GB 210 or GB 213)Presents a practical development of several advanced methods of statistical inference that are useful in a wide range of business contexts. Topics include multiple regression and correlation analysis, analysis of variance, contingency tables and the chi square test for independence and statistical decision theory. Considers additional topics such as time series analysis and forecasting, non-parametric statistics, index numbers and survey sampling. The computer is used throughout the course as a means to efficiently solve practical problems. ",ST,ST242
 Astronomy: Solar System,"NASC100 Astronomy: Solar System Note: Satisfies 4-credit Natural Sciences requirement.The astronomer's role has changed drastically during the past two millenia, from analyzing the motions of the planets, to theorizing about Earth's place in the universe, to directly observing and analyzing astronomical objects with telescopes and space probes. Using a variety of approaches, we will examine the tools and methods of the astronomer, and apply them in fully surveying solar system objects. Students will gain insight into the role of modern astronomy, through both telescopes and NASA, in both the scientific world and in areas of business. The Earth's atmosphere, interior, climactic, and 21st century environmental issues facing our planet will also be covered, as well as how studying other planets provides key insights to better understanding the Earth. ",NA,NASC100
 Astronomy: Stars & Universe,"NASC101 Astronomy: Stars & Universe Note: Satisfies 4-credit Natural Sciences requirement.While most students are somewhat familiar with the inhabitants of the solar system: planets, moons, and comets, very little attention is given to the subject of the stars in the pre-collegiate curriculum. This course introduces the student to a subject that makes up more than two thirds of  the effort of the observational and the theoretical astronomer.  It stresses not descriptive detail, but the ""detective"" aspect of the science: the how, why and what for, and the application of various discoveries to extract further understanding. In addition, astronomy beyond the solar system provides the scientist with a laboratory for energetic phenomena that cannot be reproduced on earth and can tell us about the ultimate nature of matter both at the subatomic and at the cosmic levels. ",NA,NASC101
 Human Biology,"NASC110 Human Biology Note: Satisfies 4-credit Natural Sciences requirement.Introduces students to the essential mechanisms of human biology and their applications. The course builds an understanding of how complex human systems represent consequences of the genes comprising the human genome and their expression, the functions of biological pathways, and the electrochemical properties of cells. An understanding of these mechanisms on a molecular level is applied to explore mechanisms of health and disease, recent scientific discoveries, the development of biopharmaceutical products, and controversies in biomedicine. The emphasis on this course is on the understanding the broad applicability of basic biological mechanisms to issues of personal, temporal, or business interest. ",NA,NASC110
 Green Biology: Ecological and Botanical Connections,"NASC111 Green Biology: Ecological and Botanical Connections Note: Satisfies 4-credit Natural Sciences requirement.Ecological and botanical examples and models will provide connections to basic concepts of biology. These concepts will be investigated through lectures, field trips, laboratory exercises, demonstrations, computer simulations, and internet resources. For example, cell structure and function and resulting tissues will be related to sources of economically important botanical products and primary productivity in ecosystems. Natural selection and genetic inheritance will be applied to plant breeding, conservation of genetic diversity, and management of natural and human-made ecosystems. Topics related to the study of human populations will include population growth rates, complete nutrition from botanical sources, spread of disease, and environmental impacts. Throughout the course an understanding of the evolutionary implications of past environments, species interactions, and human activities will be emphasized. ",NA,NASC111
" Evolution, Human Genetics and Behavior","NASC112 Evolution, Human Genetics and Behavior Note: This is an Honors-only courseIn this interactive honors seminar, students critically analyze in papers and student-led class discussions readings from a wide variety of sources not normally used in traditional science classes.  In readings about the Salem witch trials, satanic cults, recovered memories of abuse, UFOs, and the FDA drug approval process, students examine the scientific process. Students will critically debate the application of evolutionary thinking to modern problems in evolutionary psychology and behavioral genetics: Is there an evolutionary explanation for rape?  Is there a gay gene?  Each student will be responsible for collaboratively teaching one seminar focused on one gene or group of genes on one chromosome as a means to understand a basic concept of human genetics, including its potential application to a wide range of other topics. ",NA,NASC112
 Chemistry of Sustainable Products,"NASC121 Chemistry of Sustainable Products Note: Satisfies 4-credit Natural Sciences requirement.Provides a secure foundation of the principles of chemistry as they are applied to the study of consumer materials. To gain an understanding of the role of chemicals in consumer materials, students will investigate the composition and properties of selected consumer products. Of special interest and consideration are the potential toxicity of all chemicals, the basic nutritional value of food, the function of food additives, the role of pesticides in pest control, the positive and negative attributes of drugs, the composition of cosmetics, the carbon-based fuels, and the utility of household chemicals. Brand comparisons are conducted in the laboratory by exploring the ingredients and the properties of selected consumer products. ",NA,NASC121
 Environmental Chemistry,"NASC122 Environmental Chemistry Note: Satisfies 4-credit Natural Sciences requirement.Explores the nature of environmental problems through chemistry.   Students examine the movement and change of matter in order to understand the relationships among air pollution, water pollution, greenhouse gas emissions, climate change and energy production.  In the laboratory, students conduct analyses of air and water samples and produce alternative fuels like ethanol and biodiesel. ",NA,NASC122
 Principles of Geology,"NASC130 Principles of Geology Note: Satisfies 4-credit Natural Sciences requirement.Introduces the basic principles of geology and the societal relevance of the discipline through classroom discussions and laboratory activities. Exploration centers on the process of scientific inquiry, building around systems of plate tectonics and the rock cycle, followed by an examination of Earth's surficial processes, including the role of water, ice, wind, and gravity in breaking down, transporting, and depositing Earth materials. Specific topics include the origins and classification of rocks and minerals, earthquakes, volcanoes, geologic time, rivers, glaciers, and coastal processes. Throughout the course students relate Earth processes and materials to human concerns, such as natural hazards, environmental degradation, and economic resources. ",NA,NASC130
 Energy And The Environment,"NASC140 Energy And The Environment Note: Satisfies 4-credit Natural Sciences requirement. Formerly Environmental Physics.Earth is a dynamic planet. The changes that occur, regardless of duration,magnitude or location, are the direct result of energy transformations between systems, both natural andmanmade. As science and technology evolve, we develop a deeper understanding of how energy is adriving force to human life, our businesses, and the natural processes that shape the Earth. This coursewill examine how energy molds the built and natural environments and the behavior at the interfacebetween the two systems. We will study these systems using a triple bottom line approach to trackingenergy flows, assessing the impact of energy use, and making informed energy decisions throughinteractive classroom discussions, laboratory exercise, and an embedded research experience. Finally, wewill study how technology is enabling more innovative solutions to address the transdisciplinary problemsassociated with energy use and its connection to climate change. ",NA,NASC140
 Planetary Exploration in the Space Age,"NASE301 Planetary Exploration in the Space Age Prerequisite(s): NASC 100, 101, or 140Note: Satisfies the MA/NS or Arts and Sciences elective requirementThis course carefully examines our successful interplanetary space missions which image planets and their systems, measure their astronomical characteristics, and establish their histories and evolution.  A key theme in these investigations is a detailed study of the Earth, in order to perform ""comparative planetology"" with other planets.  Various themes in this comparison approach include planetary formation, temperature and environment, atmosphere and greenhouse effects, Terrestrial evolution and sustainability, magnetic fields, and planetary mass consequences.  The most recent NASA missions, including those to Mars, Jupiter, and Saturn, will be covered in great detail.  Topics include their technologies, flight paths, scientific goals and results, and key business aspects relating to their funding, construction, and operation. ",NA,NASE301
 Life in the Universe,"NASE303 Life in the Universe Prerequisite(s): Any NASCNote: Satisfies the MA/NS or Arts and Sciences elective requirement.To better understand where we should search for life beyond Earth, we must first establish the key astronomical characteristics which support Earths sustained habitability. This quest continues by studying Venus and Mars, the two planets near the Suns habitable zone, as well as several potentially habitable Jovian satellites, using information provided by NASA space probes.Beyond the solar system, stellar and planetary characteristics will be used to evaluate which types of stars might host Earth-like planets, and which of those planets could possibly support life. Incorporating other astronomical, biological, and philosophical concepts, we develop the Drake Equation to estimate the potential number of current, intelligent, communicative civilizations that may exist in the Galaxy right now. We will also examine newly discovered exoplanets, and discuss methods that have been used in attempting to detect signals from extraterrestrial civilizations. ",NA,NASE303
 U.S. Space Program: Going Beyond,"NASE305 U.S. Space Program: Going Beyond Prerequisite(s): Any NASC courseNote: Satisfies the MA/NS or Arts and Sciences elective requirement.The National Aeronautics and Space Administration, better known as NASA,has made substantial contributions to our world, many of which are not known,recognized, understood, or fully appreciated by the general public. This course isdesigned to introduce students to the full scope of the U.S. space program bypresenting NASA's organizational structure, strategic plan and exploration policy,by focusing on its current and future projects in various fields of astronomicalresearch, robotic and human exploration, and by carefully examining its manyachievements that impact society on a daily basis, at the intersection of science,technology, and business. ",NA,NASE305
 Health of Nations:  Anatomy and Function of Health Systems in the Us and Around the World,"NASE308 Health of Nations:  Anatomy and Function of Health Systems in the Us and Around the World Good health systems contribute to the prosperity of nations. The USA stands nearly alone among developed nations in not providing universal health care to its citizens. Although no system is perfect, more than 35 countries rated higher in quality, equity and efficiency than the USA according to a World Health Organization assessment conducted in 2001. Yet Americans pay far more per capita for healthcare than citizens of any other country. What factors account for this disparity? This course will examine how health care is currently delivered in the USA, how this differs from other countries, and what we might learn from other countries about improving our system. Thus, we will compare the strengths and weaknesses of the present US healthcare system to the healthcare experiences of selected countries around the world towards learning what works in other places and what might or might not be applicable here as we move closer to reform. ",NA,NASE308
 The Science and Business of Biotechnology,"NASE309 The Science and Business of Biotechnology Prerequisite(s): GB 112Note: Formerly NSID 305.  Maybe used as an FI, MG or MK  elective with department chairperson's approval or as an MA/NS or Arts and Sciences elective requirement.Integrates science and business in studying all aspects of the current ""biotechnology revolution."" Using the case study method, the formation, organization, production, financing and marketing of biotech companies as well as the selling of biotech products are examined. In addition to lectures, case discussions, guest speakers and a field trip to a local biomanufacturing facility, students will be responsible for one short presentation on a biotechnology company as well as for researching and writing their own due diligence analysis report analyzing one specific marketplace. The potential long-range medical, economic, legal and ethical implications of applying this science are also examined. ",NA,NASE309
 Ecology: Principles and Applications,"NASE311 Ecology: Principles and Applications Prerequisite(s): NASC 110, 111, 112, 121,122, 130Note: Satisfies the MA/NS or Arts and Sciences elective requirement.Introduces the principles of ecology that are relevant to environmental science, including variation in the environment, energy flow, biogeochemical cycling, productivity, population growth and regulation, and interactions between organisms and their environment. The evolutionary nature of species interactions and its implications for conservation biology will be explained. The course will include study and discussion of environmental problems confronting the world, field trips to local environments, exercises designed to teach ecological concepts, and writing assignments, particularly a paper on the application of ecological principles to a current environmental issue. The course will prepare the student to function as an ecologically aware citizen and to appreciate more the natural environment. ",NA,NASE311
 Human Nutrition: From Science to Life,"NASE313 Human Nutrition: From Science to Life Note: Satisfies the MA/NS or Arts and Sciences elective requirement.Every day we are bombarded with information about diet and health, often confusing and contradictory.  As consumers, it is difficult to separate fact from fad, truth from fiction.  This science course covers the fundamental principles of nutrition science and its application to personal fitness. We will provide a foundation in introductory nutrition, including basic anatomy and physiology of the digestive tract, macro and micronutrients, and the development of disease.  Emphasis is placed on acquiring both scientific and practical knowledge of the essentials of nutrition with the goal of learning to think critically about nutrition issues as lifelong consumers. ",NA,NASE313
 Coastal Biology of Cape Cod,"NASE314 Coastal Biology of Cape Cod Note: Satisfies the MA/NS or Arts and Sciences elective requirement. There is an additional $300.00 fee associated with this class.A field-oriented course investigating various ecosystems of Cape Cod, focusing on the variety and types of organisms found in each area and their interrelationships with their natural surroundings. The ecosystems to be studied in this one-week intensive course on Cape Cod include sandy beaches and dunes, salt marshes, estuaries, rocky intertidal habitats, saltwater and freshwater ponds, and a rare Atlantic White Cedar swamp. ",NA,NASE314
 Human Health and Disease in Today's World,"NASE315 Human Health and Disease in Today's World Note: Satisfies the MA/NS or Arts and Sciences elective requirement.Examines human health and disease from the structure and function of the human body to its interaction with the environment. The genetic, physiological and behavioral factors that influence the physical and mental well-being of individuals is explored on all levels, including molecules, cells, organs, individuals and communities. Risk factors such as diet, sexuality, occupation, tobacco, alcohol and drugs are similarly evaluated with an emphasis on behavioral changes that optimize personal health or help manage adverse conditions. Modern challenges such as emerging diseases, pandemic flu and bioterrorism and their potential impact on students' lives are discussed. The health care system, from research and development, health care markets, access to insurance and alternative and complementary medicines are presented with the goal of helping students become more discerning consumers. ",NA,NASE315
 Biology of Mind,"NASE316 Biology of Mind Prerequisite(s): Any NASCNote: Satisfies the MA/NS or Arts and Sciences elective requirement.This seminar explores the evolutionary origins and structures of mind, brain and consciousness.  Students will critically review recent studies from diverse disciplines, including evolutionary biology and psychology, physical anthropology, the brain and cognitive sciences, and neurology as well as examine the questions raised by philosophy of mind.  The biology underlying perception, emotions, language, memory, learning and consciousness will be studied though both readings and laboratory exercises. ",NA,NASE316
 Economic Botany,"NASE317 Economic Botany Note: Satisfies the MA/NS or Arts and Sciences elective requirement.Human survival is dependent upon plants because the vast majority of our basic resources for food, beverage, fuel, clothing, shelter, medicine, and decoration are derived from botanical sources. This course discusses basic plant structure and function as it relates to economically important products; agriculture from its earliest beginnings to promising plants of the future; and the importance of plant breeding, propagation, and conservation to modern economy. Examples of plants and plant products used around the world will be illustrated through the use of fresh material, purchased products, videos, slides, internet links, and visits to appropriate businesses. Each student will choose a botanical industry to visit and will prepare a ""fact book"" of relevant materials. ",NA,NASE317
 Global Health Challenges,"NASE318 Global Health Challenges Note: Satisfies the MA/NS or A&S elective requirementThe forces of environmental, social and political change are expected to intensify in the decades to come. The reverberations of these inevitable changes will impact not only the magnitude of domestic and global health threats, but also their specific nature.  Citizens and health systems must be prepared to deal with public health risks and consequences that they have never had to face before. Yet, as these challenges intensify, healthcare technologies are providing new tools for protecting human health. The balance between these evolving risks and our ability to deal with them will be critical in determining our future quality of life. This course will investigate public health from a community-based, global perspective, looking at health issues beyond our shores as well as the unwelcome risks and intrusions that global phenomena introduce into our lives at home. ",NA,NASE318
 Human Inheritance,"NASE319 Human Inheritance Note: Satisfies the MA/NS or Arts and Sciences elective requirement.This course introduces students to the basic principles of human inheritance and modern genetics and the practical applications of this science in understanding one's own characteristics, health, disease risk, and even behaviors. Recent advances in genetics have revolutionized our understanding of human biology as well as many aspects of everyday life including insurance, reproduction and medicine. This course challenges students to examine the personal, medical, social, legal, and ethical dilemmas arising from an understanding of human genetics and the human genome. ",NA,NASE319
 Food and Food Additives,"NASE321 Food and Food Additives Prerequisite(s): NASC 110, 111, 112, 121,122Note: Satisfies the MA/NS or Arts and Sciences elective requirement.This course introduces students to the food groups, food supplements, food additives, nutrition labeling, and portion sizes though lecture and laboratory activities. The chemical structures of fats, carbohydrates, and proteins will be compared.  In the laboratory, students will measure the sugar or salt content of different products such as fruit juices or sports drinks and the results will be compared to recommended USDA values. Students will also keep personal food and activity journals to analyze their eating habits and exercise patterns.  The course goal is to create more informed consumers who can make nutritional decisions through an understanding of the foods they eat. Terms such as ""natural,"" ""processed,"" ""low fat,"" or ""fat free"" will be defined and some taste testing will be done. Students will select a topic for in depth exploration and present the project to the class. ",NA,NASE321
 Water Quality,"NASE328 Water Quality Note: Satisfies the MA/NS or Arts and Sciences elective requirement.All of us should be concerned about the quality and cost of our drinking water.  Many wars political and physical have historically concerned the use and misuse of drinking water. Drinking water is the focus of this course and examines the sources, delivery, and treatment received as water is delivered to us as well as the treatment and disposal of wastewater.  This course has a lab oriented project where students select a topic and do specific chemical analysis on their samples and compare them with EPA guidelines.  Common water pollutants such as bacteria, heavy metals, pesticides, and fertilizers are described and many tested for in lab activities.  Samples from such places as Bentley Pond, the Charles River, and Walden Pond are collected and purified through accepted treatment method to see if it can be made ""drinkable."" Water softeners and other in home filtration methods are examined. Student projects include a lab component, a written paper and an oral presentation. ",NA,NASE328
 Coastal Geology of Cape Cod,"NASE334 Coastal Geology of Cape Cod Note: Satisfies the MA/NS or Arts and Sciences elective requirement. There is an additional $300.00 fee associated with this class.This is a one-week field-based course that studies the geologic origins, coastal processes, environmental systems, and human impacts on Cape Cod. Through field observations, measurements, data collection and analysis, students will learn about the dynamic coastal landscape and the geologic processes that formed and continually alter the coastline. Participants will study the beaches, sea-cliffs, coastal wetlands, and environmental geology at various locations on the Cape and compare the dynamic coastal environments along the Atlantic Seashore, Cape Cod Bay, and Nantucket Sound. Students will gain an understanding of the different geologic processes, development hazards, and environmental protection challenges that each location represents. May-term intensive one-week course. ",NA,NASE334
 Oceanography,"NASE335 Oceanography Prerequisite(s): Any NASCNote: Satisfies the MA/NS or Arts and Sciences elective requirement.Examines chemical and physical aspects of oceans and sea water, including geologic history of ocean basins, ocean currents, waves, tides, composition of sea water, types and movement of marine sediments, natural resources that oceans provide, and human impacts, such as pollution in the coastal and deep marine environment. ",NA,NASE335
 Water and the Environment,"NASE336 Water and the Environment Prerequisite(s): Any NASCNote: Satisfies the MA/NS or Arts and Sciences elective requirement.Examines origin, distribution, and supply of water on the Earth. Topics include field measurement of runoff processes (including stream velocity, discharge, and sediment load); bathymetry, temperature, oxygen, and conductivity profiles of a pond or reservoir; and snowpack volume, density, and water content (in season). Laboratory exercises include drainage basin analysis and estimation of flood frequency and magnitude from air photos and topographic maps; experimental groundwater modeling from flow tubes to test Darcy's law; and flow-net construction for prediction of groundwater pollution. Overlying case study concerns ""A Civil Action,"" a famous water contamination court proceeding. Offered in both one-week intensive and semester formats. ",NA,NASE336
 Global Climate Change,"NASE337 Global Climate Change Prerequisite(s): Any NASCNote: Satisfies the MA/NS or Arts and Sciences elective requirement.Examines basic concepts of weather and climate, such as structure of the atmosphere, ocean and atmospheric circulation, and latitudinal and seasonal changes in relationship to distribution of land and water bodies on Earth. Also considered are temporal changes in large-scale climatic phenomena, such as atmospheric carbon dioxide, glaciations, sea level change, monsoons, impact of volcanoes, El Nino/Southern Oscillation (ENSO), Greenhouse Effect, stratospheric ozone depletion, desertification, as well as human impacts on climate. ",NA,NASE337
 Weather and Climate,"NASE339 Weather and Climate Prerequisite(s): Any NASCNote: Satisfies the MA/NS or Arts and Sciences elective requirement.Examines the fundamentals of meteorology, including solar and terrestrial radiation; temperature; air pressure; atmospheric moisture, stability, and circulation; fronts and air masses; thunderstorms; tornadoes; hurricanes; floods and droughts; El Nino; and global warming. Goals of the course include the ability to read a weather map, to understand the basis for five-day forecasts, and to be a better weather forecaster than the media stars on TV by simply using a barometer and cloud observations. ",NA,NASE339
 Sports Physics,"NASE341 Sports Physics Note: Satisfies the MA/NS or Arts and Sciences elective requirement.Sports performance depends on both athlete and equipment; this course spends time examining both aspects.  From the perspective of the athlete, body mechanics as well as body type and physiology can influence performance potential.  With collisions being a major component of many sports, we will explore how energy transformation and momentum transfer produce injuries.  With advances in material science, the physical characteristics of sports equipment are also changing.  We will investigate these changes, how they affect their respective games, and also how regulations have evolved to keep competitions fair and even as well as safe.   The course presents relevant topics using labs, lecture, demonstrations, journal articles and analysis of video clips. ",NA,NASE341
 Light and Color,"NASE342 Light and Color Note: Satisfies the MA/NS or Arts and Sciences elective requirement.This course explores the wave and ray nature of light, specifically how light interacts with various media and the resulting phenomena that are produced.  The role of light and color in the media arts (shadows, photography, color printing, color temperature, lighting, etc.) is addressed by underlying principles and exploration.  The anatomy and physiology of the human eye will be discussed, as will the role of technology in creating corrective optics.  As specific topics are presented, connections to science, media arts and medicine will illustrate just how pervasive light is in all our lives. The course presents relevant topics using in-class activities, lecture, demonstrations, journal articles and video clips. ",NA,NASE342
 Energy Alternatives,"NASE344 Energy Alternatives Prerequisite(s): Any NASCNote: Satisfies the MA/NS or Arts and Sciences elective requirement.Surveys the fundamental laws governing energy and energy sources - a subject of major international significance in today's worldwide economy. Applications of the production and uses of power sources including fossil fuel, nuclear fission, nuclear fusion, solar energy, hydrodynamic resources, wind resources, biomass resources and geothermal reserves are discussed. The practicality, availability and environmental impact of these energy alternatives, as well as the associated short, medium and long term conservation strategies will be studied. ",NA,NASE344
 How Things Work: Consumer Product Science,NASE345 How Things Work: Consumer Product Science Note: Satisfies the MA/NS or A&S elective requirement.This course introduces students to how scientific principles and concepts spur advances in the fields of technology and products.  The course will be somewhat exploratory in nature and students will perform investigations via lab exercises and observations.  Topics will be reinforced via lecture and readings from the text in addition to in-class observations and analysis.  The course topics will evolve with student interest. ,NA,NASE345
 Industrial Ecology,"NASE350 Industrial Ecology Note: Satisfies the MA/NS or Arts and Sciences elective requirement.Industrial ecology examines the relationships between the production of material goods and the effect this process has on humans and the environment.  The course systematically examine the practices of extraction, processing, production, distribution, and consumption of goods by quantifying material and energy flows through every step of the cradle to grave process. Students will examine readings, case-studies, and models to assess and develop an understanding of the complex balance between the earths natural resources and satisfying human wants and needs. The course emphasizes that the solutions to global ecological sustainability are not found in the abandonment of technology, but through the embrace and proliferation of it. Specific topics covered in the course may include a survey of material flow analysis, life cycle assessment, energy policy, urban ecosystems, and the circular economy. ",NA,NASE350
