description,title,prerequisites,schedule_type,levels,department
"This course is an introduction to object oriented programming and design. Topics include: abstraction and encapsulation, classes and objects, overloading operators and friend functions, inheritance, templates, iostream, fstream, dynamic allocation, pointer arrays, polymorphism, stacks, linked lists, and recursion.",COMP 2070 - OBJECT ORIENT PROG JAVA,COMP1071 - Computer Science II,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course is an introduction to data structures using inheritance and template classes. Topics include: queues, sorted linked lists, binary search trees, B+ trees, balanced, trees, timing of sort and search algorithms, hash searching and indexed files, directed graphs and Dijkstra's weighted path algorithm, acyclic graphs, topological sorting, and critical path analysis.",COMP 2071 - DATA STRUCTURES,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
This course provides an overview of how modern systems communicate over the Internet. An emphasis is placed on application programming interfaces common to all forms of network programming. Students will gain practical experience with several operating systems and network protocols relevant to computing.,COMP 2100 - NETWORK PROGRAMMING,COMP1050 - Computer Science II.,"Laboratory, Lecture",Undergraduate,Computer Science Networking
Modern enterprise and business systems rely on a stable network and server infrastructure to function. This includes many network protocols and services that are required in any network operations environment. Students in this course will configure and manage these critical services in their own virtualized environment following best practices and standards from the operations community.,COMP 2150 - NETWORK ADMINISTRATION,COMP1150 - Routing and Switching.,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course will give introduction to the state of the art wireless and mobile networks. This course will cover the fundamental principles, architectures, and standards of modern wireless communication systems, including their applications and uses.",COMP 2160 - WIRELESS NETWORKS,COMP1100 - Introduction to Networks or COMP2100 - Network Programming.,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course covers binary number and codes, logic elements, combinational and sequential logic, and architectural design of a computer using these elements.",COMP 2270 - COMPUTER ARCHITECTURE,COMP1071 -  Computer Science II,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course introduces algorithmic design and analysis: students assess the complexity of algorithms in terms of time and space requirements for large input sizes. Topics include searching, sorting, pattern matching, hashing and encryption.",COMP 2350 - ALGORITHMS,COMP1050 - Computer Science II and COMP1200 - Computer Organization and MATH2300 - Discrete Math.,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"An introduction to the fundamental concepts in modern operating systems including process management, memory management, input and output.",COMP 2470 - OPERATING SYSTEM CONCEPTS,COMP1071 - Computer Science II,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Covers basic skills needed to administer a Unix system including file organization, backup, recovery, account maintenance, network design, administration, device control, security, and system monitoring.",COMP 2471 - UNIX SYSTEM ADMINISTRATION,COMP1170 - Intro to Networks and Systems,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course covers the principle analysis, design and implementation methodologies, and tools to develop business applications using the system development life cycle (SDLC). Students will gain experience in the analysis, design, and development of business applications via a series of case studies.",COMP 2499 - SYSTEMS ANALYSIS & BUS APPS,COMP1070 - Computer Science I; CorequisiteCOMP2670 - Datbase Management Systems,"Laboratory, Lecture",Undergraduate,Computer Science Networking
The course introduces computer and network security concepts and techniques. Theoretical concepts of security are examined as well as implementing system and network security.,COMP 2500 - SECURITY PRINCIPLES,COMP1100 - Introduction to Networks or COMP2100 - Network Programming.,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Concepts and methods for the design, creation, querying, and management of relational database management systems. Covers modeling the conceptual and logical organization of databases, including the entity-relationship model; the relational data model and SQL; as well as functional dependencies and normal forms. Students will further strengthen their database skills by developing a substantial project with a team.",COMP 2650 - DATABASES,COMP1050 - Computer Science II; MATH2300 - Discrete Mathematics or MATH2800 - Finite Mathematics.,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"An introduction to the use of database management systems. Covers hierarchical networks and relational systems, and techniques for designing, creating, accessing and maintaining data bases.",COMP 2670 - DATABASE MGMT SYSTEMS,COMP1070 - Computer Science I,"Laboratory, Lecture",Undergraduate,Computer Science Networking
This course investigates a topic of special interest to faculty and students that is outside regular course offerings.,COMP 2990 - INDEPENDENT STUDY BCOS BSCN,Consent of department head and instructor,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Computer Science Networking
"An introduction to assembly language, including data representation, data storage, arithmetic, control flow, stacks and procedures, integer and character I/O, and encryption.",COMP 3070 - ASSEMBLY LANGUAGE,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"An introduction to Programming Language Concepts including context-free grammars, parse trees, syntax diagrams, symbol tables, data types, control structure, and language translators.",COMP 3071 - INTRO TO PROGRAMMING LANGUAGES,COMP2070  Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"System administration is the practice of installing, configuring, and maintaining a computing system. This course provides students an overview of these and related concepts as well as the skills required to become an entry level system administrator. In particular, topics covered include file systems, process control, access control, account management, software management, and scripting.",COMP 3100 - SYSTEM ADMINISTRATION,COMP1000 - Computer Science I; COMP1100 - Introduction To Networks or COMP2100 - Network Programming.,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Prepares the student for managing a network and servers. It covers planning, installation and configuration, as well as monitoring, troubleshooting and optimizing.",COMP 3170 - NETWORK ADMINISTRATION,COMP1170 - Intro to Networks and Systems,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course covers the fundamental principles, architectures and standards of modern wireless communication systems, including their applications and uses. The topics of radio communications, spread spectrum, OFDM, CDMA, antenna, security, vulnerabilies, and network planning and deployment issues will be discussed.",COMP 3171 - 802.11 WIRELESS NETWORKS,COMP1170 - Intro to Networks and Systems,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course covers local, metropolitan, and wide area networks, topologies andtransmission media, network interface and management, performance and internet-working. Laboratory exercises emphasize the hardware and software aspects of local area networks.",COMP 3172 - LOCAL & WIDE AREA NETWORKS,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Students analyze the complexity of computer algorithms in terms of time and space requirements for large input sizes. Includes searching, sorting, pattern matching, hashing and encryption.",COMP 3370 - ALGORITHM DES & ANALYSIS,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"A course covering advanced systems and network administration including scripting, multi-OS environments, remote booting and installations, monitoring, and other related topics. Prerequisite: COMP1170 - Intro to Networks and Systems.",COMP 3470 - ADVANCED SYSTEM ADMINISTRATION,,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Covers the functions and organization of operating systems including: process management, input/output systems, memory management, resource allocation, data management, and information protection.",COMP 3475 - OPERATING SYSTEMS,COMP2071 - Data Structures and COMP2270 - Computer Architecture,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course covers the functions and organization of operating systems, including process management, input/output systems, memory management, resource allocation, data management, and information protection.",COMP 3499 - OPERATNG SYSTEMS FOR ENGINEERS,COMP1099 - Computer Science I Using C,"Laboratory, Lecture",Undergraduate,Computer Science Networking
,COMP 3500 - NETWORK SECURITY,,"Laboratory, Lecture",Undergraduate,Computer Science Networking
The course introduces computer and network security concepts and techniques. Theoretical concepts of security are examined as well as implementing system and network security.,COMP 3570 - INTO COMP NETWORK SECURITY,,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course covers the basic issues and principles of cryptography, system and network security. This course covers: (a) mathematical background - principles of number theory, prime numbers and modular arithmetic; (b) system and network security - protocols, techniques and architectures. The primary focus of the course is asymmetic encryption, key management, hash functions, digital signatures, and certificates.",COMP 3571 - CRYPTO & NETWORK SECURITY,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Examines how to run an IT organization. Includes study of organizational and staffing issues, satisfying user needs, planning and budgeting, system maintenance, system security, physical security, and upgrades.",COMP 3572 - SECURE IT MANAGEMENT,COMP2070 - Object Oriented Programming,"Laboratory, Lecture, Online",Undergraduate,
"In-depth project-oriented work in WWW development including page organization, frames, interactive databases, graphics, security, client and server side scripting to create robust, effective web sites.",COMP 3670 - WWW APP DEVELOPMENT,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
This course covers the design and implementation of databases for several data base applications using a database management system.,COMP 3671 - DATABASE APPLICATIONS,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course introduces software tools used in biology for gene sequencing, pattern matching, etc. Tools may include database, data mining, statistical analysis, algorithms and visualization.",COMP 3672 - INTRO TO BIOINFORMATICS,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
This course covers practical applications of descriptive and inferential statistics with emphasis on principles and methods of summarizing biological data using a statistical software package.,COMP 3673 - INTRO TO BIOSTATISTICS,COMP2070 - Object Oriented Programming in Java,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Covers introduction to the LISP programming language, symbolic computation, knowledge representation, search strategies, and expert systems.",COMP 3770 - INTRO ARTIFICIAL INTELLIGENCE,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,COMP 3800 - SPECIAL TOPICS BCOS BSCN,,"Hybrid, Individualized Study,",Undergraduate,Computer Science Networking
This course provides students with a detailed understanding in the implementation of the Systems Development Life Cycle (SDLC) and the methodologies to manage information systems projects.,COMP 3999 - INFO SYSTEMS PROJECT MGMT,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Introduction to the field of machine learning. This course focuses on algorithms to help identify patterns in data and predict or generalize rules from these patterns. Topics include supervised learning (parametric/non-parametric algorithms, kernels, support vector machines), model selection, and applications (such as speech and handwriting recognition, medical imaging, and drug discovery). Students who have basic programming skills and who have taken a course in probability are encouraged to take this course.",COMP 4050 - MACHINE LEARNING,MATH2100 - Probability and Statistics for Engineers and COMP1070 - Computer Science I,"Laboratory, Lecture",Undergraduate,Applied Mathematics
"This course covers the mathematics, hardware and software technologies of generating various images in digital computers. Special emphasis is given to three-dimensional imaging.",COMP 4070 - COMPUTER GRAPHICS,COMP2070 - Object Oriented Programming with Java,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course covers the principles and techniques used in the design of compilers. Topics include lexical and semantic analysis, parsing, translation, code generation, and optimization.",COMP 4470 - COMPILER DESIGN,COMP2070 - Object Oriented Programming,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course covers the concepts of multiprocessor systems. Different system architectures are discussed as well as software issues, i.e., programming, compiler and operating systems.",COMP 4471 - PARALLEL PROCESSING,COMP2270 - Computer Architecture and COMP3475 - Operating Systems,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"A course in UNIX/Linux systems programming covering system calls, file I/O, memory management, processes, threading, and other related topics. Prerequisite: COMP2470 - Operating System Concepts or COMP3475 - Operating Systems.",COMP 4472 - SYSTEMS PROGRAMMING,,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Covers the functions of operating systems, including process management, primary memory management, virtual memory management, and file systems.",COMP 4499 - INTRO TO OPERATING SYSTEMS,COMP2070 - Object Oriented Programming with Java,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"A Web-centric look at the latest techniques and practices in World Wide Web security, threats posed to internet-based systems, and responses to those threats.",COMP 4570 - WEB SECURITY,COMP2670 - Database Management Systems,"Laboratory, Lecture",Undergraduate,Computer Science Networking
Proven computer science approaches such as divide and conquer and dynamic programming are applied to algorithmic problems faced by biologists particularly in the area of genetics.,COMP 4672 - BIOINFORMATICS ALGORITHMS,COMP1070 - Computer Science I or COMP1099 - Computer Science I with C or COMP2070 - Object Oriented Programming in Java AND MATH1750 - Engineering Calculus I or MATH1775 - Integrated Engineering Calculus I or MATH2850 - Linear and Vector Algebra or MATH2860 - Linear Algebra and Matrix Theory,"Laboratory, Lecture",Undergraduate,Computer Science Networking
This course examines current topics (determined by the instructor) in computer science. Students will make presentations on assigned readings and write a term paper.,COMP 4870 - SEMINAR IN COMPUTER SCIENCE,Senior status,"Laboratory, Lecture",Undergraduate,Computer Science Networking
This course examines current topics (determined by the instructor) in computer and network information systems. Students will make presentations and write a term paper.,COMP 4871 - SEMINAR IN COMP NETWORKING,Senior status,Lecture,Undergraduate,Computer Science Networking
This course presents a formal approach to state-of-the-art techniques in software design and development. Students work in teams on a large software project.,COMP 4970 - SOFTWARE ENGINEERING,COMP2070 - Object Oriented Programming and COMP2670 -Database Management Systems,"Laboratory, Lecture",Undergraduate,Computer Science Networking
This course provides the opportunity for students to participate in design and implementation of solutions to large problems with small groups of people. Problems will be chosen in consultation with and after the approval of the curriculum department head.,COMP 5501 - SENIOR PROJECT COMP SCIENCE,Senior status,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"Students build individual projects in computer and network information systems. This is a capstone course. Students demonstrate the design, implementation and documen-tation of their projects.",COMP 5502 - SENIOR PROJECT COMP NETWORKING,Senior status,"Laboratory, Lecture",Undergraduate,Computer Science Networking
"This course recaps foundational material covered in typical undergraduate degrees. Topics covered may include computer science theory, computability and complexity, computer organization and architecture, operating systems, and data communications.",COMP 7000 - FOUNDATIONS OF COMPUTER SCNCE,,Online,Graduate,Computer Science Networking
"This course looks at the four main programming paradigms: imperative, functional, logic, and object-oriented. The paradigms are compared and students gain experience with each of them. The second half of the course looks at systems and the various techniques needed. These include parallel and distributed systems, real-time systems, and embedded systems.",COMP 7050 - PROGRAMMING PARADIGMS & SYSTMS,COMP7000 - Foundations of Computer Science.,Online,Graduate,Computer Science Networking
"This course addresses the breadth of managing software development and is designed to help technically trained software engineers to acquire the knowledge and skills necessary to lead a project team, understand the relationship of software development to overall project engineering, estimate time and costs, and understand the software process. The nature of software development is sufficiently unique to require specialized management techniques, especially in the areas of estimating and scheduling.",COMP 7100 - MANAGING SOFTWARE DEVELOPMENT,COMP7050 - Program Paradigms & Systems.,Online,Graduate,Computer Science Networking
"Data Science and Web Services are provided through a service-oriented architecture (SOA) applied to data sourced from the internet. Web data services enable maximal mashup, reuse, and sharing of structured data (such as relational tables), semi-structured information (such as XML documents), and unstructured information (such as RSS feeds, content from web applications). Applications that can serve as a consumer or provider of web data services include mobile computing, web portals, enterprise portals, online business software, social media, and social networks.",COMP 7150 - DATA SCIENCE & WEB SERVICES,COMP7050 - Program Paradigms & Systems.,Online,Graduate,Computer Science Networking
"Mobile application development focuses on the creation of software systems targeting low-power handheld devices such as cell phones. This course examines the client-server model, considers various hardware configurations (e.g., screen size, hardware specifications) and user interface design. Security of mobile applications will be examined as devices such as smartphones become increasingly ubiquitous and owners store ever increasing amounts of personal information on them.",COMP 7200 - MOBILE APPLICATION DEVELOPMENT,COMP7050 - Programming Paradigms & Systms ,Online,Graduate,Computer Science Networking
"Enterprise computing refers to business oriented information technology that is critical to an organization?s success. This course considers mainframe computing and compares it to distributed and cloud-based computing. It examines the architecture, operating system, application programming environment, networking, security and management of mainframe systems.",COMP 7250 - ENTERPRISE COMPUTING,COMP7050 - Programming Paradigms & Systms ,Online,Graduate,Computer Science Networking
"Computer Security, also known as cybersecurity, is information security as applied to computers and mobile computational devices such as smartphones, as well as computer networks. The course examines the processes and mechanisms by which computer-based equipment, information and services are protected from unauthorized or unintended access, changes, or distribution, how threats are assessed and attacks are handled, and how analysis is undertaken to determine what information was lost or compromise as an attack took place.",COMP 7300 - COMPUTER SECURITY,COMP7050 - Programming Paradigms & Systms ,Online,Graduate,Computer Science Networking
"Bid Data is an all-encompassing term for any collection of data that is so large and complex that it becomes difficult to process using traditional data processing applications. The challenges include analysis, capture, classification, search, sharing, storage, transfer, visualization and privacy violations. Big Data is of interest to science, government, and the private sector as more and more data is collected daily. This course examines techniques to capture, manage, and manipulate large data sets.",COMP 7400 - BIG DATA,COMP7050 - Programming Paradigms & Systms ,Online,Graduate,Computer Science Networking
"Data mining is the analysis step in knowledge discovery in databases. It is an interdisciplinary field involving the computational process of discovering patterns in large data sets, and involves methods at the intersection of artificial intelligence, machine learning, statistics, and database systems. The overall goal of data mining is to extract information from large data sets and transform it into an understandable structure for future use. Topics examined in this course include the raw analysis step, addresses database and data management aspects, data preprocessing, model and inference considerations, metrics to determine how ?interesting:? a result is, complexity considerations, post processing of discovered structures, visualization, and online updating.",COMP 7425 - DATA MINING,COMP7050 - Programming Paradigms & Systms .,Online,Graduate,Computer Science Networking
"Software Engineering is the study and application of engineering to the design, development and maintenance of software. Topics covered include requirements engineering, software design, software construction, software testing, software maintenance, software configuration management, software engineering management, software engineering process, software engineering tools and methods and software quality management.",COMP 7450 - SOFTWARE ENGINEERING,COMP7050 -Programming Paradigms & Systms.,Online,Graduate,Computer Science Networking
"The capstone experience brings together the material learned earlier in the Master?s programs. Students are guided by a faculty member to build a software system that integrates the knowledge they have learned and the skills developed throughout the program. Where possible, projects will be developed in collaboration with industry partners.",COMP 7500 - CAPSTONE,COMP7050 Programming Paradigms & Systms ,Online,Graduate,Computer Science Networking
Introduction to Construction Management will stress the centrality of construction management in the evolution and expansion of the built environment.,CONM 1000 - INTRO TO CONSTRUCTION MANAGEME,,"Laboratory, Lecture",Undergraduate,Construction Management
"Survey of current materials and methods used in building construction, including building foundations; timber, concrete and steel framing systems; masonry construction; interior and exterior finishes.",CONM 1200 - BUILDING CONSTRUCTION,,"Laboratory, Lecture",Undergraduate,Construction Management
"The development and interpretation of civil, architectural, structural, and electrical drawings; freehand sketching of construction details and sections; computer aided construction drafting.",CONM 1500 - CONSTRUCTION GRAPHICS,,Laboratory,Undergraduate,Construction Management
"Study of current methods and equipment used in heavy construction projects, including highways, tunnels, bridges, dams, storm drains, and sanitary sewers.",CONM 1600 - HEAVY CONSTRUCTION EQUIPMENT,MATH1000 - College Mathematics.,"Laboratory,",Undergraduate,Construction Management
Instruction is given in the theory and techniques of horizontal and vertical measurements. Laboratory exercises will focus on the application of these techniques as they relate to the building industry including construction layout and grades.,CONM 2000 - CONSTRUCTION SURVEYING,CONM1500 - Construction Graphics and MATH1500 - Precalculus,"Laboratory, Lecture",Undergraduate,Construction Management
"This course covers the fundamental concepts of structural static; forces, moments, equilibrium, support conditions, and free body diagrams; and the fundamentals of strength of materials: properties, stress, strain, shear, bending, and torsion.",CONM 2100 - STATICS/STRENGTH MATERIALS,MATH1500 - Precalculus and PHYS1000 - College Physics I,"Laboratory, Lecture",Undergraduate,Construction Management
Topics include the basic manual and computer-aided skills for estimating a variety of projects and developing takeoffs for all trades.,CONM 2200 - ESTIMATING,CONM1200 - Building Construction and COMN1500 - Construction Graphics,"Laboratory, Lecture",Undergraduate,Construction Management
"Building Systems is an introduction to the design, construction and start-up of building systems including mechanical, electrical and life safety systems. In particular, it covers the elements of these systems as they relate to the realm of the construction manager. The course provides basic design concepts and code requirements for a variety of systems, including: plumbing, heating, ventilation and air conditioning, fire protection, electrical distribution, lighting, low voltage, and building management control (BMS). It also provides information on systems testing and start-up.",CONM 2500 - BUILDING SYSTEMS,,"Laboratory, Lecture",Undergraduate,Construction Management
"This course covers the properties of wood and steel products used in construction. The basic design principles for timber and steel structures are covered including connections, beams, columns, trusses, and frames.",CONM 2600 - WOOD/STEEL ANALYSIS & DESIGN,CONM2100 - Statics and Strength of Materials,Lecture,Undergraduate,Construction Management
This course investigates a topic of special interest to faculty and students that is outside regular course offerings.,CONM 2990 - INDEPENDENT STUDY CONST MGMT,Consent of department head and instructor.,"Hybrid,",Undergraduate,Construction Management
"Aggregate, concrete, asphalt, wood, and masonry are tested using ASTM procedures to establish design criteria, inspection and quality control programs.",CONM 3000 - MATERIALS TEST & QUALITY CNTRL,CHEM1000 - Chemistry I or CHEM1050 - Chemistry for the Built Environment,"Laboratory, Lecture",Undergraduate,Construction Management
"Covers feasibility studies, site selection, planning, programming, risk allocation, client relationships, project reporting, design coordination, and contracting procedures.",CONM 3100 - CONSTRUCTION PROJECT MANAGEMEN,Junior status in BSCM program,"Laboratory, Lecture",Undergraduate,Construction Management
"Topics for this course include project network planning, scheduling and cost control models. Computer applications to Gantt Charts and CPM will be explored by the student.",CONM 3200 - CONSTRUCTION PROJECT SCHEDULIN,junior status,"Laboratory, Lecture",Undergraduate,Construction Management
,CONM 3201 - CONSTRUCTION PROJECT SCHEDULIN,,"Laboratory, Lecture",Undergraduate,Construction Management
"Detailed cost estimates including quantity takeoffs, labor/material pricing, overhead/profit. Also, included are the preparation of preliminary budgets; factors affecting construction cost, bid strategies and computer applications are explored.",CONM 3500 - ADV ESTIMATING & BID ANALYSIS,CONM2200 - Estimating,"Laboratory, Lecture",Undergraduate,Construction Management
"This course covers topics related to the analysis and design of reinforced concrete structures including beams, columns, slabs, footings and retaining walls.",CONM 3600 - CONCRETE ANALYSIS & DESIGN,CONM2100 - Statics and Strength of Materials,Lecture,Undergraduate,Construction Management
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,CONM 3800 - SPECIAL TOPICS CONSTRUCTION MG,,"Hybrid, Individualized Study, Laboratory,",Undergraduate,Construction Management
"Examines the activities involved in the effective management of single and multiple construction projects including basic control theory, the preparation of control models, the collection of actual production data, and the corresponding computation of project performance.",CONM 4000 - CONSTRUCTION PROJECT CONTROL,CONM3200 - Construction Project Scheduling and CONM3500 - Advanced Estimating & Bid Analysis,"Laboratory, Lecture",Undergraduate,Construction Management
"Topics include construction financing during all phases of project development involving permanent loans, construction loans, sources of mortgage funds and venture capital, and tax and interest considerations.",CONM 4100 - CONSTRUCTION BUS & FINANCE,MGMT2500 - Financial Accounting and CONM3100 - Construction Project Management; Senior standing,"Laboratory, Lecture",Undergraduate,Construction Management
Topics include the knowledge and skills required to effectively manage safety compliance and risks associated with construction. This course satisfies the OSHA 30-hour training requirement for graduation.,CONM 4200 - CONSTRUCTN SAFETY & RISK MGMT,CONM1200 - Building Construction; and CONM1600 - Heavy Construction Equipment,Lecture,Undergraduate,Construction Management
"A study of construction contracts and the contractual relationships commonly established between owner, designer, builder and construction manager.",CONM 4600 - CONSTR LAW AND GOV'T REGS,CONM3100 -  Construction Project Management,Lecture,Undergraduate,Construction Management
Students have the opportunity to explore a subject in construction management of their own choice and to present it. A final oral presentation is required.,CONM 5500 - SENIOR PROJECT CONST MGMT,Completion of preceding 7 semesters of BSCM program and Senior status,"Laboratory, Lecture",Undergraduate,Construction Management
"This course covers the management of a design and construction office and dealing with challenges of change, culture, diversity, portfolio management, project management, strategic management and other elements that influence the management process. This course also covers leadership, authority and decision making, and ethics concepts as systems-thinking ways of winning desired cooperation from associates, customers and the construction project participants. The use of case studies and analysis to develop a deeper understanding of executive management in a construction organization is emphasized.",CONM 7000 - EXECUTIVE MANAGEMENT FOR CM,TCRM7000 - MSCM SELF-PACED RESEARCH M1,"Hybrid, Lecture,",Graduate,Construction Management
,CONM 7050 - RESEARCH METHODOLOGY FOR CM,,Lecture,Graduate,Construction Management
"This course will expose students to current Architecture-Engineering-Construction (AEC) industry practices that are used to finance and manage the design and construction of capital facilities. It will investigate as well as differentiate recent trends in project contracting, organization, and production management.",CONM 7100 - MODERN CONST DELIVERY MTHDS,,"Lecture, Online",Graduate,Construction Management
"This course will provide a focused study of the key legal concepts and considerations encountered in the construction industry. The course shall include the student and analysis of: industry standard construction contract forms and documents, contractural relationships on a construction project, risk allocation among the parties to a construction project, the procurement and contract formation issues arising on construction projects (public v. private considerations), claims and changes (for time and compensation), and alternative dispute resolution.",CONM 7200 - CONSTRUCTION LAW,,"Hybrid, Lecture, Online",Graduate,Construction Management
"Conflict Resolution and Negotiation reviews the theoretical basis and practical application of traditional and evolving methods of dispute avoidance mitigation and resolution within the construction industry. Partnering, initial decision makers, project neutrals, early neutral evaluation, various forms of mediation, arbitration and litigation in addition to negotiation will be examined.",CONM 7250 - CONFLICT RESOLUTION & NEGOT,,"Hybrid, Online",Graduate,Construction Management
"Introduce elements, players and processes associated with real estate development. Emphasis placed on understanding the real estate development process from the perspective of each of the major players. Topics to be covered include the developer's role, the relationship between owner/developer, architect and contractor, legal issues, and the perspective of lenders and investor partners.",CONM 7300 - REAL ESTATE DEVELOPMENT,,"Hybrid, Lecture, Online",Graduate,Construction Management
"This course covers the construction project controls necessary to be an effective project manager. Several key aspects of construction projects, such as construction contracts, cost estimation, planning and scheduling, equipment costs and productivity, construction control and monitoring, and risk management are discussed.",CONM 7400 - ADVANCED PROJECT CONTROLS,,"Hybrid, Online",Graduate,Construction Management
"A detailed introduction to the key elements of the international construction markets is covered, with emphasis on strategic elements having the most effect on project scopes, schedules and budgets.",CONM 7500 - INTERNATIONAL CONSTRUCTION,,Lecture,Undergraduate,Construction Management
This course will guide each student in the development of an individual research topic. It integrates applied classroom and current industry practice and knowledge through observation and interpretation of realistic construction management issues.,CONM 8000 - CAPSTONE RESEARCH IN CM,,"Hybrid, Online",Graduate,Construction Management
The MS in Construction Management program offers an optional thesis for students who are considering doctoral-level study in the field.,CONM 8900 - MSCM THESIS,CONM7050 - Research Methodology in CM,Lecture,Graduate,Construction Management
,CONS 1000 - UMD CONSORTIUM AGREEMENT,,Individualized Study,Undergraduate,Registrar
Cooperative education (co-op) aims to provide practical experience while applying classroom learning at a work site; to enhance professional skills; to experience personal growth. This course may not be used in lieu of COOP3500 or COOP4500 as a graduation requirement. This course is only offered during the summer term.,COOP 3000 - PRE CO-OP WORK TERM,Successful completion of freshman and sophomore program requirements; 2.0 or higher cumulative GPA,Individualized Study,Undergraduate,Career and Coop Office
Cooperative education (co-op) aims to provide practical experience while applying classroom learning at a work site; to enhance professional skills; to experience personal growth. Co-op is a full-time work experience. Enrollment in this course maintains full-time student status.,COOP 3500 - COOP EDUCATION 1,Junior status; 2.0 or higher cumulative GPA,Individualized Study,Undergraduate,Career and Coop Office
Cooperative education (co-op) aims to provide practical experience while applying classroom learning at a work site; to enhance professional skills; to experience personal growth. Co-op is a full-time work experience. Enrollment in this course maintains full-time student status.,COOP 4500 - COOP EDUCATION 2,COOP400; Senior status; 2.0 or higher cumulative GPA,Individualized Study,Undergraduate,Career and Coop Office
,COOP 4699 - COOP PROFESSIONAL DEVELOPMENT,,Individualized Study,Undergraduate,Career and Coop Office
Cooperative education (co-op) aims to provide practical experience while applying classroom learning at a work site; to enhance professional skills; to experience personal growth. Co-op is a full-time work experience. Enrollment in this course maintains full-time student status.,COOP 5000 - ADDTIONAL COOP WORK SEMESTER,Satisfactory completion of COOP3500 and COOP4500; permission of the Director of Career Services; 2.0 or higher cumulative GPA,Individualized Study,Undergraduate,Career and Coop Office
"Visualization 1/Drawing 1 is an interdisciplnary course between the Industrial Design and Interior Design departments. Students create finished illustrations through observation, sketching and refining. Skills in hand-eye coordination, correct tool selection and use, and an application of linear perspective are developed to accurately and expressively record subjects from life, design and built environment. An emphasis on verbalizing work utilizing design nomenclature is stressed.",DSGN 1000 - VISUALIZATION I/DRAWING I,,Laboratory,Undergraduate,Design
"Primarily geared towards non-design majors, this course is focused on developing freehand drawing skills, the creative visual processing of ideas, and fundamental presentation techniques typical of the design practice and product development methodology. Course is open to all majors and levels of students.",DSGN 1010 - DRAW/THINK FOR PROD DEVELOPMEN,,"Laboratory, Lecture",Undergraduate,Design
"This course is a jam-packed experience that introduces the first-year design student to the magic world of design creativity, the infinite possibilities in design, who's doing it and what they're doing, and how one gets creative magic.",DSGN 1100 - DESIGN MAGIC,,Lecture,Undergraduate,Design
"This course investigates the properties and relationships of color, color systems and color interactions. Students relate theory to design through studio projects and explore its psychological and physiological effects on the environment.",DSGN 1200 - COLOR & COMPOSITION,,"Laboratory, Lecture",Undergraduate,Design
This course investigates a topic of special interest to faculty and students that is outside regular course offerings.,DSGN 2990 - INDEPENDENT STUDY DESIGN,Consent of department head and instructor.,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Design
