title,desc
CO 265: Multicultural Images in the Media,"This course examines how people of African, Latino, Asian, Native American and Arab descent are portrayed in the American entertainment and news media. Students will critically examine films, television shows and news broadcasts to identify ways that the media constructs race in society and how and why these portrayals have changed over time. Satisfies the Industry & Culture elective requirement.Offered selectively.Group: IV."
CO 280: Images of Women in the Media,"How are women portrayed in the media? Is there a connection between a womans self-image and the way females are portrayed in advertising, film, television, and the news? CO 280 attempts to answer these and other questions through analysis of past and current media. Satisfies the Industry & Culture elective requirement.Offered selectively.Group: IV."
CO 310: Public Relations,"CO 310 is an introduction to public relations that combines history and theory with practical, hands-on writing and media-related experience. We study public relations from four perspectives: campaign planning, media targeting and media relations, writing for public relations, and editing and designing public relations print materials. Satisfies the Industry & Culture elective requirement.Prerequisite: CO 100 or a writing course beyond CC 112. Group: IV."
CO 320: Advanced Media Writing,"This course builds on the writing skills and knowledge of the different forms of media writing developed in Media Writing I. Students will further strengthen their skills in writing news stories, TV and radio scripts and press releases. They will be required to write more complex news stories and scripts and do assignments on strict deadlines that are similar to the daily deadlines they would experience in a real TV or radio newsroom. The course will include lectures, discussions and in-class writing exercises. Throughout the semester, students will also participate in news-story meetings so they get a better understanding of how a real newsroom works. By semesters end, students will have produced several written assignments of professional quality that they could use when interviewing for a job in the Communications industry.Prerequisites: CC112 and CO 240. Group: IV."
CO 340: Digital Moviemaking,"Building on skills acquired in CO 120, students produce and direct electronic movies in the field with state-of-the-art, broadcast-quality equipment. Students learn to edit their work using both linear and digital editing technology. Music, sound effects and graphics are added to create a finished program. Satisfies the Production elective requirement.Prerequisite: CO 120 or permission. Group: IV."
CO 360: Electronic Media Industry,"This class looks at contemporary industry standards, organization, ownership, and regulation in the electronic media. Students examine programming philosophies and practices of radio, television, cable networks, and local stations, and emerging World Wide Web technologies. Field trips are taken to radio and TV stations. Satisfies the Industry & Culture elective requirement.Prerequisite: CO 100. Group: IV."
CO 420: Advanced Video Production,"This course gives students the opportunity to deepen their knowledge of electronic moviemaking and video documentary production. Students apply knowledge and skills gained in CO 120 and CO 340 to the critical analysis of advanced production techniques and hands-on experience in writing, producing, shooting, and editing electronic movies. Students use state-of-the-art digital video cameras and postproduction equipment to create professional-quality work. This course is highly recommended for students who want to produce a narrative-film-style senior project. Satisfies the Production elective requirement.Offered selectively.Prerequisite: CO 340 or permission. Group: IV."
CO 490: Legal and Ethical Issues,"Current issues and research in mass communication are studied through critical readings and class discussions. Emphasis is on critical analyses of case studies of legal and ethical issues in the mass media, as well as the media in social, political, and economic contexts. Students draw upon knowledge gained in this and previous Communication courses to conduct presentations of case studies.Prerequisite: Junior or senior status."
CO 495: Senior Internship Seminar (6 credits),"The Senior Internship provides the student with specialized, practical experience in a mass media working environment: radio or TV stations, cable TV companies, audio and/or production houses, newspapers, magazines, advertising agencies, or public relations firms. Students work in the field and meet once per week to discuss and analyze their experiences.Prerequisite: Senior status."
CO 497: Senior Project,"This is the capstone course for Communication majors. Working with instructor students develop a research project around a specific communication problems or issue. Students will identify a topic of interest and will conduct library research about the topic.Working with the instructor, students will explore the important literature in the area. The final project will be a substantial literature review which identifies the problem/issue, presents the pertinent literature and suggest appropriate methodologies for exploring the issue in future research. Projects produced in this seminar can be used as part of the senior portfolio presentation and also as a professional portfolio to be used after graduation"
CO/ED 285: Children and the Media (4 credits),"Research findings, industry practices, and content of childrens media are examined to determine their impact on children. Students examine how media designed for adults affects children. The focus is on videotapes, cable and broadcast television, and film as the largest producers of childrens media. Audio recordings and childrens magazinesfast-growing segments in the childrens media marketplaceare also considered. Students read, listen, view, and discuss childrens media; develop content analysis skills; and write about the issues. Satisfies the Industry & Culture elective requirement. Offered selectively.Group: II or IV."
CO/EN 350: Advertising Copywriting and Design Seminar,"This is an interdisciplinary course shared with the English Program and is the capstone course for the joint Advertising and Public Relations concentration. Students work as part of an advertising and public relations team to create ad campaigns and public relations projects for on-campus clients and selected clients in the community. This course is highly recommended for Communications majors who want to pursue a creative advertising, marketing, or public relations campaign for their senior project. The work produced in this seminar will be helpful for senior portfolios. Satisfies the Production elective requirement. Offered selectively.Prerequisites: Junior/Senior status and any of the following: CO 310, MK 324, VA 150, or VA 355.Group: IV."
CS 100: Introduction to Computers (2 credits),"This course provides an introduction to the computer, its operation, capabilities, and limitations. Students learn how to use Windows effectively and how to access information on the World Wide Web. Fall."
CS 204: Exploring Internet Applications (2 credits),"Exploring Internet Applications course will explore online tools and their uses. Students will become part of a participatory online 21stCentury culture. The course will provide tools that facilitate the creation of online communities that link people as well as information. Potential tools explored will be Google docs, Google Sites, blogs, social networking, wikis and social bookmarking. Fall."
CS 205: Introduction to Microsoft Word 2013 for Windows (2 credits),"Students use the tools of this word processing program to create effective written documents. Microsoft Word can be used to create documents from simple text to complex projects, including mailings and publications. See semester schedule. Fall.Prerequisite or Permission:CS 100."
CS 210: Introduction to Microsoft Excel 2013 for Windows (2 credits),"Students explore the versatility, power, and applications of spreadsheet software. Microsoft Excel is used to organize data, perform calculations, make decisions, graph data, and develop professional-looking reports. See semester schedule. Spring.Prerequisite or Permission:CS 100."
CS 211: Introduction to Microsoft PowerPoint 2013 for Windows (2 credits),"Students use Microsoft PowerPoint to create professional-looking presentations for use in academic or business environments, including the use of outlines, graphics, drawing, clip art, and presentation management. Fall.Prerequisite or Permission: CS 100."
CS 212: Introduction to Microsoft Access 2013 for Windows (2 credits),"A database is a collection of data organized so that it can be accessed, retrieved, and used effectively. Microsoft Access is database management software that allows the user to create, search, and maintain databases, and create useful reports and forms. See semester schedule. Spring.Prerequisite or Permission:CS 100."
CS 306: Advanced Microsoft Word (2 credits),Advanced Word instructs students with the expertise to take the Microsoft Word 2013 Certification Exam. This differentiates a student in the workplace by demonstrating higher level skills in a job. It will help to broaden employment opportunities with documentation on resumes.Prerequisite: CS 205 or Instructor permission.
CS 311: Microsoft Excel Advanced (2 credits),"Students majoring in Business, Management and Marketing, Accounting/Finance need these more advanced skills in their profession. CS 210 (Introduction to Excel) covers chapters 1 -5 in the text which are basic spreadsheet skills. Those students continuing on to this 2 credit course will have all skills necessary to sit for the Microsoft Excel 2013 Competency Exam to become certified. This course will cover chapters 611 in the text.Prerequisite: CS 210 or Instructor permission."
CSC 101: Introduction to Computer Science (4 credits),"This course is designed to be a basic introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students will design, write and debug computer programs. No knowledge of programming is required."
DA 100: Pine Manor Dance Ensemble (1 credit),"The Dance Ensemble gives the highly creative student body an avenue for presenting their dance skills in performance. Faculty, students, and guest artists choreograph for the Ensemble. The Ensemble presents a variety of dance styles, including jazz, modern, ballet, and hip-hop. Fall and Spring. Prerequisite: Audition or permission."
DA 101: Contemporary Dance I (2 credits),Introduces basic concepts of alignment and movement. Combines beginning technique and creative work with an emphasis on developing body discipline and enjoyment of movement. Fall.Group: IV.**
DA 102: Contemporary Dance II (2 credits),"Continuation of DA 101 to strengthen and refine technique. Further develops rhythmic and musical sensitivity, fosters freedom and fullness of movement, encourages creative work and appropriate risk taking. Spring. Group: IV.**"
DA 111: Ballet I (2 credits),"Introduction to classical ballet technique: basic ballet vocabulary, including barre work and center practice, as well as stretching and strengthening floor exercises.Offered Fall in alternate years.Group: IV.**"
DA 112: Ballet II (2 credits),"Continuation of Ballet I, barre and floor work geared to the more experienced dancer. Emphasis on musicality, technical growth, and increased facility in combinations. Offered Spring in alternate years. Group: IV.**"
DA 115: Yoga,"(2 credits)Yoga is intended to help both the dance student and non-dancer develop a calm and meditative focus while strengthening his/her body. Yoga builds core strength while encouraging gentle but effective stretching of the limbs. It increases circulation, reduces stress and has tremendous benefits for overall mind and body health.This course will be taught with a sequential building of the Yoga Asanas within the context of a Vinyasa (breath) flow so that the meditation aspect of our practice is built into the relaxation that results from the challenging of the body with a Core Power and Stretch Sequencing. Throughout the semester, students will keep a journal of their experience in the practice and the effect it has on their daily life, particularly their academic life. Group: IV**"
DA 123: Choreography (2 credits),"This class introduces you to the fundamental skills you need to begin making your own dances. Learn about how use of stage space, level changes and varying movement dynamics affect the look of a choreographed piece. While there will be opportunity to work in your favorite style of dance, we will begin by learning about principles of modern and contemporary dance choreography because they establish a strong foundation. You will develop a creative voice, musicality and freedom of expression. This class can be substituted for Ballet II in the Dance Minor Requirement. While some dance experience is preferred, you may be able to take this class with the instructor's permission. Group: IV.**"
DA 124: Self Defense and the Moving Art of Kung Fu,"(2 credits)Self Defense and the Moving Art of Kung Fu is designed to teach practical self-defense movements along with movement forms from the martial arts. Self-defense movements teach basic safety and easy escape-from holds, while martial arts movement forms emphasize and develop both strength and fluidity in movement. Course material develops memory and concentration. Group: IV.**"
DA 225: Jazz Dance I (2 credits),"Presents basic jazz dance vocabulary and technique, drawing from a variety of influences: hip-hop, classical, lyrical, theatrical styles, Giordano, Horton, and Luigi techniques. Combinations are high-energy and rhythmical, with emphasis on proper technique and alignment to achieve freedom of movement. Offered Fall in alternate years. Group: IV.**"
DA 226: Jazz Dance II (2 credits),"This course further develops technique and style introduced in Jazz Dance I, with more intricate combinations and complex rhythms. As in Jazz Dance I, focus is on a variety of jazz dance styles, including hip-hop, video, classical, and lyrical jazz. Offered Spring in alternate years. Group: IV.**"
DA 228: Multicultural Dance (2 credits),"Multicultural Dance focuses on the theory, practice and performance of American, Latin American and African-American dance styles. Styles we will cover in this course may include, but are not limited to Afro-Jazz, African, Haitian, Afro-Cuban, Jazz Swing, Salsa and Hip Hop. While there will be some discussion of the history of each dance style, the majority of tie will be spent practicing dance technique and choreography. You will become familiar with the basic movements, vocabulary, music and rhythms particular to each style, improve basic body conditioning and movement coordination and memory, musicality and rhythm. Group: IV.**"
DA 230: Hip Hop Dance (2 credits),"This class teaches various hip-hop techniques, primarily poppin and lockin, wavin, steppin, stompin, krumping, video-influenced style, top rocking, and basic breakin floor work. The warm-up includes stretching and body conditioning exercises. Routines are designed to incorporate the styles practiced in the warm-up. While this course is primarily a dance technique class, the course will include discussion of the history of hip-hop, including how the emergence of gangsta rap influenced the dance by promoting images of misogyny and violence. This class will promote positive images of women through this popular dance form. Fall.Group: IV.**"
DA 260: Dance in America,"Surveys the evolution of theatrical dance in America through readings, films, videos, and attendance at dance performances. Emphasizes the development of uniquely American stylesmodern, jazz, tap, hip-hop and dance in the musicalas well as the Americanization of ballet. Offered Fall in alternate years. Group: IV."
DA 280: Techniques in Dance I (2 credits),"This course gives students the opportunity to experience techniques in a range of dance styles: Jazz, Modern, Hip Hop, African and Ballet. Through a variety of exercises, combinations, and repertory, students will learn basics, improve body conditioning and develop an understanding of the principles of alignment and movement common to these styles. Offered Fall in alternate years. Group: IV.**"
DA 281: Techniques in Dance II (2 credits),"This course is a continuation of Techniques in Dance I and gives students the opportunity to further develop techniques in a range of styles: Jazz, Modern, Hip Hop, African and Ballet. Through a variety of exercises, combinations, and repertory, students refine their dance skills, improve body conditioning and further develop an understanding of the principles of alignment and movement common to these styles. Offered Spring in alternate years. Group: IV.**"
EC 111: Principles of Microeconomics,"Principles of Microeconomics deals with choices made by individuals, families and organizations as they use limited resources. Specifically, how buyers and sellers make their decisions in a marketplace. Students analyze various market conditions and public policy options. Topics covered include consumer behavior, small businesses, big corporations, monopolies, public policy concerns regarding efficiency, equity, and the environment. Fall. Group: II."
EC 112: Principles of Macroeconomics,"Principles of Macroeconomics explores possible solutions to national economic problems such as inflation, unemployment, economic cycles, budget planning, and trade deficits. Students consider Federal Reserve policy, interest rates, taxation, and exchange rates under various scenarios. Spring. Group: II."
EC 302: International Economics,"International Economic looks at the trade relations among nations. Students examine the institutions and practices that promote or hinder trade relations. Topics include: free trade vs. protectionism, international monetary systems, global economic integration, international competitiveness, and developing economies in a new world order. Offered selectively. Prerequisite: EC 111 or EC 112 or permission. Group: II."
"ECE /ED 311: Parent, Child, Teacher, Health and Community (4 credits)","This course provides skills designed to support a strong relationship among the childs home, school, community and health services. It will examine the many challenges presented while working with and teaching young children. The course includes content and experiences for current and future Early Childhood Educators to develop an understanding and competence in managing and working with children, parents and adults in schools, at home and in the community. Emphasis is placed on the current research about cultural, social, racial and spiritual differences in relationship to parenting, involvement in schools, managing behavior, health care services, and volunteering in community settings. Strategies for working, supporting and teaching children and parents who come from a variety of backgrounds such as English Language Learners, adoptive families, single parent families, and/or gay and lesbian families are addressed. Responding to alternate family structures as a sensitive caregiver and professional in todays society is stressed. A major assignment for the semester is the completion of a substantial research project that includes critically examining the theories, research methods and findings of studies in the field related to the care of young children. Emphasis will be placed on the important interaction among parents, children, community, and health providers. The standards of the NAEYC, as well as the Early Education and Care Learning Standards, and those of the Common Core will be discussed.Prerequisites: ED102, ECE121, ECE/ED215, ECE205 or permission.Group II"
"ECE 121: The Human Foundation: The Cognitive, Physical and Social Emotional Development of Children (4 credits)","Early Childhood is a critical time of growth and development in children. In this course students will be involved in a comprehensive study of childrens cognitive, psychosocial, and physical growth from conception to age nine. They will learn about the impact and importance of a knowledgeable caregiver, of the childs environment, and the importance of play for childrens development. Students will learn current theories appropriate to early human development, using as a context diversified environments in which they observe. Students will learn about new major research studies as well as the classic theories of development of individuals such as Piaget, Erikson, Gesell, Montessori, Bronfenbrenner, Kohlberg, and Vygotsky. Students will evaluate the underlying assumptions, implications of theories, and their application for all children in a diverse multicultural world. They will view films and hear from individuals who work in the field. This class will also have a 15-hour observational component, to provide students additional insight and an initial understanding of observational tools, and assessments to document and interpret childrens ever-changing development.Group II"
"ECE 214: Curriculum, Environments and Program Planning for Infants and Toddlers (4 credits)",This course focuses on providing developmentally-appropriate curricula and environments for infants and toddlers. Students are required to participate in an off-campus field experience working with infants and toddlers.SpringPrerequisite: ED 102 or permission of the instructor. Group: II.
"ECE 309: Health, Nutrition, and the Safety of Young Children (4 credits)","This course will provide a comprehensive overview of the basic and changing nutritional, health and safety needs of growing children. Conditions affecting childrens health, nutritional guidelines, health assessment tools and screening procedures are covered in the course. Topics such as childhood obesity, bullying, resilience, chronic and acute health conditions, the growing incidence of asthma, immunizations, child abuse and neglect, and the implementation of safety practices are discussed in relation to the latest research findings. Students will investigate current concerns related to regulations and policies as they apply to early childhood settings. A major assignment for the semester is the completion of a research paper related to childrens health, nutrition and safety.Prerequisite: ED102 or ECE 214 or ECE/ED215 or permission.Group II"
ECE/ ED 250: Policy and Program Issues in Child Care (4 credits),"Examines the policy issues and program requirements for childcare programs. Dept. of Early Education and Care regulations are reviewed. Course work will include observation and assessment assignments as well as a variety of classroom supervision techniques. Advanced Early Childhood Education topics will include conducting an intake interview, implementing a behavior management policy, creating a health care policy, and policies regarding hiring and terminating employees.Offered selectivelyPrerequisites-ED 102, and ED 214/ 215 or permission"
"ECE/ED 212: Picture Books, Literature for Young Children (4 credits)","This course stresses the importance of language and literature in all areas of childrens academic learning as well as literature being a source of entertainment. The course focuses on the study of genres of childrens picture books. Literature will be examined in terms of plot, setting, theme, characterization, style, point of view, illustrations, age range and design. Author-Illustrators and their backgrounds will be explored. The course will address criteria for selecting and interpreting quality books for children with different developmental needs and multicultural backgrounds. The course will examine the many dimensions of responses to literature. SpringPrerequisite: Completion of CC 110. Group: I or II depending on registration."
"ECE/ED 215: Curriculum Methods, Management, and Program Planning and Materials for Early Childhood (5 credits)","The course enables students to acquire the knowledge and skills necessary for planning inclusive and developmentally appropriate curriculum for young children. Class meetings will include lectures, discussions and hands-on workshops focusing on a wide range of curriculum areas such as early literacy, numeracy, social studies, art, etc. addressing the learning needs of young children PreK-3. The Massachusetts Curriculum Frameworks/Common Core, as well as theories of Child Development, learning styles, cognitive abilities and multiple intelligences appropriate for early childhood will be addressed. Students will participate in a placement in a preschool setting.Prerequisites: ED 102 or permission of the instructor.Group: II"
"ECE/ED 228: Recreation, Coaching, and After School Programs for Children (4 credits)","This course will explore historical, present, and controversial issues surrounding youth with regard to health, recreation, afterschool programs and sports. Students will examine the characteristics, behaviors and conditions necessary for the optimal health and wellness of children. Nutritional issues, recreation, sport participation, appropriate coaching practices, outdoor recreational activities and the influence of the social milieu will be explored.Offered selectivelyPrerequisite ED 102 and ECE/ED 215 or permission. Group II"
ECE/ED 350: Child Care Administration (4 credits),"Familiarizes students with issues in administering an early childhood education center, and the specific skills for doing so. Topics include: startup considerations; issues in staff selection, supervision, and development of personnel policies; the role of the administrator; budget planning; strategies for parental involvement; program evaluation; promoting positive community relations; and managed growth.Offered selectivelyPrerequisites: ED 102, ED 215, or permission of instructor.Group: II"
ECE/ED 395: Practicum in Child Care/Early Education and Care/Student Teaching (4 credits),"Students gain experience in infant/toddler, preschool, school-age child care or recreation programs. Students are provided work and teaching experiences that make them eligible for professional certification through the Department of Early Education and Care. Students work at an appropriate site with supervision for a minimum of 150 hours, meet regularly with their faculty supervisor, and attend a weekly seminar during the semester. Faculty sponsors will make at least three site visits during the course of the internship to meet EEC requirements.Fall and Spring.Prerequisite: ED102 or permission of instructor.Group II"
ED 110: Montessori Philosophy and Pedagogy (4 credits),"This course is designed to develop in the students a deep understanding and appreciation for the basic principles of Montessori philosophy. Through Dr. Maria Montessori's writings, the learner is introduced to the Montessori historical perspective and education. Philosophy specific to the method such as the absorbent mind, sensitive periods, logical-mathematical mind, spiritual and moral development of the child, freedom of movement and self-discipline are examined in terms of a total methodology. Relating the Montessori philosophy to children, materials, teacher, and environment is the basis of discussion. Students will also be exposed to a comparative analysis of other best practices in education.Group: II"
ED 117: The Teacher as Portrayed in Film and Literature (4 credits),"How do authors and filmmakers present the roles and the duties, challenges and commitments of teachers? Is a teacher only in the classroom, or can a teacher be a parent, a coach, a counselor, or a boss? In this course we will examine the teacher from different perspectives. Students will read selections from varied literature sources, discuss soulful and inspiring stories, read articles from journals and newspapers and review films and film clips.Offered selectivelyGroup: II"
ED 205: Teaching and Assessment of Reading and Language Arts (5 credits),"This course will explore the basic concepts of literacy development, the stages of reading and writing development and techniques of instruction. Students will learn many approaches to reading instruction. They will examine the role of phonics, basal readers, literature-based curriculum, word identification, whole language, vocabulary, and comprehension, in the development of literacy. A variety of Language Arts experiences, storytelling, and creative writing will be discussed. Students will also explore many different types of learning styles and design instruction that can be adapted for a diverse group of learners including English Language Learners. Diagnostic tools and classroom techniques for assessing decoding, encoding, and fluency are presented. Students are required to spend the equivalent of one hour per week in classrooms observing and assisting classroom teachers in the teaching of reading and language arts. Students will also explore the role of literature in the acquisition of literacy. Fall.Prerequisites: CC 110 and/or permission of the instructor. Group: II."
ED 206: Exploring Technology in the Classroom (4 credits),"This course equips pre-service teachers with the necessary skills to develop instructional practices that will allow them to incorporate technologies successfully into the classroom to enhance the teaching and learning process. Participants will examine software tools, curriculum software, internet resources and computer-based projects.Offered selectively.Group: II"
ED 224: The Teaching of Math and Science (5 credits),"This course addresses the teaching of math and science concepts for the early childhood and elementary classroom. Students examine math and science curriculums and teaching strategies. Students explore a variety of techniques to teach mathematical and science concepts. The use of manipulatives to expand childrens understanding of number, and the use of experimentation to encourage inquiry and understanding of science are some of the methods used. A variety of math and science curriculum materials will be presented as well as the curriculum requirements put forth in the Massachusetts Curriculum Frameworks/Common Core. The connections between childrens understanding of math and science and cognitive development are made. The use of inquiry, problem solving, and laboratory experiments in addition to childrens literature and technology are addressed as a means to support students as they learn to design educational experiences for children. Students will participate in laboratory experiences weekly investigating mathematical concepts, earth and space science, life science, physical science, and engineering. Students participate in a pre-practicum placement. Offered selectivelyPrerequisites: ED 205. Group: II (or Group: III nonlab for students enrolling prior to Fall 2014)"
ED 227: Introduction to English Language Learners (4 credits),"This course is designed as an introduction to working with English language learners and provides an understanding of instructional needs and challenges of English language learning students. The course will help you relate to students lives and cultural struggles as they adapt to a new language. It will engage students in exploring a variety of theories, issues, procedures, methods and approaches for use in bilingual, English as a second language, and other learning environments. The course provides an overview of the historic and current trends and social issues affecting the education of language minority students. Major units of the course include: language learning theories, sociocultural contexts of language development, principled selection of instructional strategies for teaching language, WIDA and ELP standards, a focus on the development of academic language, assessment of language and non-language competencies, and selected issues in teaching language. Suggested Prerequisite CC110/EN101. Group II"
ED 242: Multicultural Education (4 credits),"Students in this course will examine the philosophical and pedagogical foundations of multicultural education. Concepts such as culture, race, ethnicity, perception, assimilation, pluralism, and intercultural communication in educational settings will be addressed. Students will examine regional, national, and global multicultural values and goals and their influence on schools and communities. Students will learn strategies that will help them to address diversity in a variety of settings to bridge the gap between theory and practice.Offered selectivelyGroup II"
ED 327: Curriculum Design: The Massachusetts Curriculum Frameworks (4 credits),"The Massachusetts Curriculum Frameworks/The Common Core are statewide guidelines for learning, teaching and assessment. This course will be an in-depth examination of these frameworks as they relate to the classroom teacher. The guiding principles and the learning strands will be addressed and studied in each content area. Students will create learning experiences, examine assessment strategies and develop curriculum. Curriculum standards of other states will be examined. Students will learn how curriculum is created, developed and assessed. Students will spend a minimum of 10 hours observing and assisting in a pre-practicum placement.Offered selectivelyPrerequisites: ED 102, ED 205, or permission of the instructor.Group: II"
"ED 333: Special Education, Assessment, and the Inclusionary Classroom (4 credits)","The inclusive classroom creates an environment that supports the learning needs of all children. Teachers must develop pedagogy appropriate to all learners. This course addresses learning styles and teaching strategies for a diverse group of learners. Students are provided with skills to meet the needs of exceptional children and approaches to special education. The course covers identification of learning styles and the identification of physical, social, emotional, cognitive and sensory handicaps. Students will discuss the identification, assessment and accommodations for students with disabilities and those who are gifted. Legislation that governs the education of the exceptional child will be examined. Preparation, implementation, and evaluation of Individualized Education Programs will be addressed. SpringPrerequisites: ED 102.Group: II"
ED 355: Diagnostic and Remedial Reading (4 credits),"Students will examine ways to evaluate childrens literacy skills. Tests developed by teachers and instruments used in schools will be discussed. Students will discuss the impact of a linguistically diverse group of children on assessment. Students will learn about the diagnosis and assessment of reading skills using standardized, criterion-reference, and informal assessment instruments. Basic statistics will be taught, as well as ways to use test information to develop instruction and write up Individual Educational Programs.Offered selectivelyPrerequisite: ED 205, ED 333.Group: II"
ED 419: Sheltered English Immersion (4 credits),"This course addresses issues and topics involved in teaching English language learners. Students learn a variety of models of instructional practice and have the opportunity to develop their instructional skills by practicing these modeled strategies. Topics addressing the teaching of academic vocabulary, reading, and writing instruction for English language learners is addressed. Students are taught to use teaching techniques based on assessment data, and differentiation. Current research is discussed to help explain why particular strategies have proven effective with ELLs."
ED/ECE 495: Senior Internship in Early Childhood (6 credits),"For 6 course credits, each student works 16 hours per week at a site chosen with regard to career intentions and the content of the Early Childhood: Education, Health and Leadership Program. Students keep a journal to examine experiences and their relationship to the program. Interns meet weekly to discuss common problems, experiences, and individual perceptions. Additional written assignments complement the discussions.Fall and Spring.Prerequisite: Senior status or permission of the Director of the Education Programs.Group II"
"ED/ECE 496: Senior Internship in Early Childhood: Education, Health and Leadership II","(4-6 credits)Extends and expands ECE/ED 495 Senior Internship, taking newly learned experience and implementing it at another site or expanding their responsibilities at their current site. Students work 16 hours per week at their site, keep a journal, meet weekly with their faculty sponsor, do relevant scholarly reading, and write a final paper integrating their internship, their readings, and classroom experience.SpringPrerequisites: Senior status or permission of the Director of the Education Programs"
ED/HU 102: Foundations of Education (4 credits),"This course provides an overview of the historical foundations of American education from its philosophical roots to its role in the 21st Century. The course explores the role of education in pre-colonial America, during colonization, and its importance in the development of our democracy. The impact of the Depression and World War on education will be discussed. The course covers the battle for equality in education and the legislation that accompanied that struggle. We will study the impact of politics on American schools, and educations importance to democracy in the 21st century. The students will discuss licensing requirements, the moral and legal responsibilities of teachers, employment trends for teachers, teachers unions, and important professional organizations. During several of the sessions students will visit and observe in a variety of educational settings, and in a variety of grade levels. FallGroup: I, II & IDS"
ED/MU 210: Music and Movement for Children (4 credits),"Appropriate for education students as well as for other students with an interest in music, this course is designed to give students knowledge about music that will be useful to them in working with children. Basic skills of singing, playing the recorder, and sight-reading will be introduced. Also students will learn singing and movement games that develop childrens musical and rhythmic sensibilities.Fall. Group: II or IV"
EN 101: College Composition I (previously CC 110 A Topic-Based Writing Course),"Prepares students for the writing demands of other college courses. The course uses writing as a way to learn, as well as a means of communication. Readings, movies, and class discussion stimulate thinking and provide subject matter for student essays. Activities emphasize the writing process with a focus on revision through peer and teacher-student conferences. Students will have opportunities to present their work in larger forums outside the classroom."
EN 102: Persuasive Writing (previously CC 112 Controversial Issues),"Builds on the skills and processes introduced in EN 101/CC 110, but introduces more challenging academic writing. This class emphasizes the rhetoric of analytic and persuasive writing and information literacy in the context of the research paper. Lifelong Skills: Writing Thematic Area."
EN 111: Mythology and Literature,"Introduces students to important classical myths, legends, fairy tales, and Biblical works that have served as sources or background for subsequent literature. Students analyze ways in which writers from various cultures and eras use these myths and legends in their poetry, fiction, and drama. Required for English majors. Group: I."
EN 112: World Literature: Genres and Themes,"Introduces students to the basic elements of poetry, fiction, drama, and nonfiction while exploring important works of world literature. Through close reading, students will analyze how literary works are constructed in a variety of cultures, and explore how authors throughout the world reflect individual and social concerns. Group: I."
EN 200: Writing on the Job: Professional and Persuasive Writing,"Designed for students in all majors, this course teaches how to hone your writing skills for specific professional tasks. Learn how to analyze your audience, to develop persuasive techniques, and to write effective and concise office memos, proposals, and reports. Excellent preparation for writing at your internship site. Students compile a writing portfolio. Group: I."
EN 203: Love and Romance in British Writers,"Travel to England and back in time to King Arthurs court to see howwriters in England portrayed love and romance. Course includes suchwriters as Shakespeare, Jane Austen, Wordsworth, and Virginia Woolf.While improving your reading and writing skills, you can develop yourcreativity with interactive projects. Required for English majors. No prerequisite."
EN 204: Feature Writing,"This course teaches the basics of feature writing for newspapers and magazines. Students will explore a variety of styles by writing columns, human interest stories, and reviews. In addition to writing for, editing, and publishing the Pine Manor College Gator Gazette, students will compile a writing portfolio and create the concept for a magazine. Prerequisite: EN102 or permission. Group: I."
EN 205: Visiting Writers Seminar: Fiction,"This analytical and creative writing course in fiction gives students the opportunity to meet with published writers at campus readings, as well as in classes. Students meet in workshops to respond to one anothers writing. Furnishes an opportunity to improve both analytical and creative skills and compile a writing portfolio. Prerequisite: EN102 or permission. Group: I."
EN 206: Creative Writing,"Develops the ability to write creatively in a variety of genres including fiction, poetry, and the personal essay. Students analyze writing and samples from published authors in class and compile a writing portfolio. Prerequisite: EN102 or permission. Group: I."
EN 207: Visiting Writers Seminar: Poetry,"Gives students the opportunity to meet with published poets at campus readings, as well as in classes. Students meet in workshops to respond to one anothers writings. Furnishes the opportunity to improve both analytical and creative skills, and compile a writing portfolio. Prerequisite: EN102 or permission. Group: I."
EN 208: Creative Nonfiction,"This is a writing course for students interested in further developing their prose-writing skills. We read the nonfiction prose literature of journals, letters, memoirs, autobiography, and essays, examining the approaches and style of good writers as models for student writers. In a workshop setting, students create a portfolio of their prose writing and an individual project of their own design. Prerequisite: EN102. Group: I."
EN 210: Poetry I: Introductory Poetry Workshop,"This workshop based course will focus on the craft of poetry as well as prosody and poetic form. The workshop will focus on student work and established form, both from classic and emerging artists. Prerequisites: EN102 (or ENH102), or instructors permission. Group: I."
EN 215: Fiction I: Crafting the Short Story,"In the course, Crafting the Short Story, students will develop a deeper appreciation for writing as a creative process. To this end, students will learn the basic elements of plot and fiction (conflict, characterization, setting, dialogue, etc.) and the language for talking about how fiction works. They will advance their critical reading skills (reading as a writer) as they analyze short stories written by both published authors and each other. Weekly writing exercises will put theory into practice as students apply and integrate their understanding of literary technique into their own work. Class time will be divided between literary discussion, writing exercises, and workshop. The workshop instructor will meet individually with each student to discuss their final project plans, which includes the writing of an extended piece of prose (at least ten pages). Prerequisite: EN102/ENH102"
EN 216: Shakespeare I,"A survey of Shakespeares original plays including modern adaptations on stage and/or screen. Students will read 4-5 plays over the course of the semester, including at least one comedy and one tragedy. (These plays will not be repeated in EN217.) Prerequisites: EN102 or permission of the instructor. Group 1. Prerequisite(s): EN102 or permission of the instructor."
EN 221: The Poet in the World,"This course focuses on the work of Walt Whitman, LangstonHughes, Anne Sexton, and Audre Lourde in a social context in order togain a fuller appreciation of their work. No prerequisite."
