Course Title,Course Description,Course Area,Credit,Course Num
 Cellular Bioengineering  ,"This course aims to give students an appreciation of the power of using quantitative approaches to increasing our understanding of biological phenomena. Receptor-ligand binding will be considered and compared to experimental data to discuss mechanisms in cell signaling studies. Basic binding models will be expanded to consider the effect of forces in situations such as white blood cells rolling, detaching, and adhering during surveillance of blood vessels. We will consider the effects of forces from the molecular to the whole cell level. How do cells exert force? And how can we measure those forces? How do the properties of the substrates cells attach to affect their behaviors?  How can we translate observations made in the 2D environment to the 3D environment? And how are these similar and different? These concepts will be explored to study the effect of forces in cellular processes such as migration, traction generation, differentiation, signaling and gene expression.",ENGR,"
4 ENGR",3620
 Transport in Biological Systems  ,"Transport phenomena play a vital role in numerous biological processes. For example, the blood flow patterns arising from the particular geometry of branching blood vessels are thought to drive the formation of atherosclerotic plaques. Mass transport plays a role in events such as tissue differentiation during development, oxygenation of blood in the lungs, and glomerular filtration in the kidneys. The entire field of drug delivery has been driven and advanced by understanding transport of pharmacological agents within biomaterials and tissues. Further, combination of fluid and mass transport allow us to understand flow through porous media which is critical for understanding problems such as delivery of chemotherapeutics and tumor metastasis. The roles of transport in understanding and treating cancer will be a theme throughout this course. We will study and analyze mathematical models of these key biological problems using both analytical and computational tools. Through a series of readings and projects, this course will combine engineering fundamentals of mass, energy, and momentum conservation with modeling approaches to enhance exploration and understanding of fluid and mass transport within the body. This course will be of value to students interested in biology, mathematical modeling, and bioengineering.",ENGR,"
4 ENGR",3630
 Tissue Engineering  ,"Tissue engineering is often defined as growing or regenerating tissues. To grow engineered tissues requires an understanding of the cell and tissue biology as well as understanding of how culture conditions (transport of oxygen and biochemical factors, application of mechanical forces, etc.) affect the growing tissues. This course will begin with an overview of developmental biology and the types of biochemical and biophysical cues cells receive and respond to during development that direct them to form specific tissues, followed by an overview of the larger field of tissue engineering. We will discuss cell source, the use of natural or synthetic biomaterials, development of bioreactors, the use of biochemical supplements, as well as motivations and applications of engineered tissues from replacement of damaged tissues to models of tissue function. The bulk of this course will be dedicated to the design, implementation, and analysis of experiments to grow engineered tissues. This will be an intensive lab-based course in which groups of students will choose the particular aspect of tissue engineering (e.g. scaffold choice, biochemical culture conditions, mechanical stimulation, functional readouts) they would like to pursue and perform their own experiments and analysis (e.g. biochemical, mechanical, histological). Some lab experience required.",ENGR,"
4 ENGR",3640
 Biological Thermodynamics  ,This course is cross-listed as SCI 3250.,ENGR,"
4 ENGR",3650
 Identity from the Mind & the Brain: Who Am I and How Do I Know,"Perhaps the most fundamental question any developing individual asks himself/herself is: who am I? The ways we answer this question have evolved over the course of history as the dominant ways of knowing (epistemologies) have shifted. Indeed, the question of how we come to know ourselves has captivated Western scholars since the days of Descartes, but a look at the last fifty to sixty years has also seen enormous changes. Many people invoke psychological and philosophical perspectives in describing their identity, focusing on their personality, their developmental history, and their place in society. But the explosion of neurobiological research has introduced a new and viable outlook: explaining identity at the chemical and electrical level of the brain. There is good reason to think that these different perspectives on identity are mutually exclusive and this tension will underlie everything we discuss in this interdisciplinary course. Indeed, when it comes to a topic as fundamental to human existence as identity, it is absolutely essential to wonder not only ""who am I?"" but to also ask ""how do I know?"" In this course, we will approach the question of identity from multiple perspectives, including psychology, postmodern philosophy, and neuroscience. In the process, we will critically examine not only the conception of identity that each perspective supports, but also the assumptions and limitations of each epistemology. This course focuses more on the science of psychology and neuroscience, while AHSE 1150: What Is ""I""? is more focused on philosophy and artificial intelligence.",AHSE,"
4 AHSE",1155
 Special Topics in Bioengineering  ,Special Topics in Bioengineering classes (ENGR X699) typically cover a specific topic in Bioengineering and are intended to enhance and expand the selection of offerings from semester to semester.,ENGR,"
Variable Credits ENGR",3699
 Systems  ,"This course introduces students to the art and science of interdisciplinary design. Students analyze the process used to develop example products that required expertise in many areas and creativity and trade-off consideration amongst all. Students learn about overarching principles that enable creators of broad interdisciplinary systems to succeed. Students will also work in teams and take on roles as design specialists in a variety of fields. Each team is given the task to design in detail a hypothetical product that can succeed only if interdisciplinary creativity is fostered and tradeoffs are made by every team member, as well as the group as a whole.",ENGR,"
4 ENGR",3710
 Structural Biomaterials  ,"How is a blood vessel like a garden hose? Why are seashells strong (and beautiful) even though they are made of chalk? How can your opaque white tendons be made of the same material as your transparent corneas? This course focuses on the materials science of natural tissues, primarily ones that fill structural roles, including bone, teeth, tendon, nacre, and wood, with an emphasis on how they are similar and different to 'engineering' materials. Additional material may include scaffolds for tissue engineering, biomimetic materials and mechanical properties of individual cells.",ENGR,"
4 ENGR",3810
 Solid State Physics  ,"Why do metals conduct heat well while insulators do not? Why is silicon a better semiconductor than diamond, even though they have the same structure? Why is lead a good superconductor at low temperature, while copper is not? We will explore the current understanding of insulators, metals, semiconductors and superconductors through some of the basic tools of solid state physics, and will learn how to apply these tools to the novel materials being developed today.  This course is cross-listed as SCI 3120.",ENGR,"
4 ENGR",3812
 Failure Analysis and Prevention  ,"Students will complete projects and case studies to gain practical experience in the analysis of fractured and failed engineering materials and components. The course focus will be on material microstructure and the micromechanisms of fracture, and topics will include failure analysis methodology, mechanisms of failure, fracture classifications, corrosion and environmental factors, fractography, and design for failure prevention. Students will learn advanced materials characterization techniques including scanning electron microscopy (SEM), energy dispersive spectroscopy (EDS) and compositional dot mapping, x-ray diffraction (XRD), Fourier transform infrared spectroscopy (FTIR), optical microscopy, and fracture surface sample preparation.",ENGR,"
4 ENGR",3820
 Special Topics in Materials Science ,Special Topics in Engineering classes (ENGR X899) typically cover a specific topic in Materials Science Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,ENGR,"
Variable Credits ENGR",3899
 SCOPE: Senior Capstone Program in Engineering ,Note: Cross-registered and Exchange students must obtain permission from the SCOPE Director to enroll.,ENGR,"
4 ENGR",4190
 Alternative Capstone in Engineering ,Special Topics in Engineering classes (ENGR X199) typically cover a specific topic in Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,ENGR,"
4 ENGR",4199
 Affordable Design and Entrepreneurship ,"This course is part of the ADE Program that also includes placement assistance to help students find internship and job opportunities in social enterprise. ADE is offered jointly with Babson College where students enroll in EPS 4515. Olin students can elect ADE as an alternative to the SCOPE Program to fulfill the Capstone requirement by registering for ENGR 4290 for two consecutive semesters beginning in the second semester of their junior year or the first semester of their senior year. They cannot change programs once they have completed registration. Alternatively, students can take this course for one semester to fulfill the Design Depth requirement by registering for ENGR 3290. Students that take ENGR 3290 can switch to ENGR 4290 for Capstone credit.",ENGR,"
4 ENGR",4290
 Special Topics in Biological Sciences ,"More than thirty years have passed since the declaration of a War on Cancer, yet nearly 600,000 Americans are predicted to die from cancer this year. This course will examine the environmental and biological causes of cancer and recent advancements in cancer treatments. We will also explore the hype vs hope of cancer breakthroughs reported in the news. This class will include a laboratory component that will provide hands on experience with current cancer research techniques.",SCI2,"
Variable Credits SCI ",299 
" Arts, Humanities, Social Science Foundation Topic ","Since their inceptions, radio, film and television have been utilized for political purposes. Yet the advent of digital technology has profoundly altered the traditional relationships between media and activism. From hacktivism to the events of the Arab Spring, new media provide an influential contemporary forum for advocating for change. This course explores the way media are employed for political and social purposes, investigating the different approaches used today to transform our virtual and real worlds.",AHSE,"
4 AHSE",1199
 Organic Chemistry (with laboratory) ,"An introduction to the fundamentals of organic chemistry with an emphasis on applications in biology, biotechnology, synthetic polymers, and the environment. Topics include structure and bonding in organic compounds; chemical and physical properties of organic molecules and bulk organic materials; reaction mechanisms and kinetics; structure-reactivity relationships; chemical and physical transformations; synthesis of organic molecules; and characterization techniques. It is strongly suggested that students who intend to take SCI 2320 first take Introduction to Chemistry, or an equivalent college level course.",SCI2,"
4 SCI ",320 
 Special Topics in Chemistry  ,Special Topics in Chemistry classes (SCI X399) typically cover a specific topic in Chemistry and are intended to enhance and expand the selection of offerings from semester to semester.,SCI2,"
Variable Credits SCI ",399 
 Solid State Physics  ,This course is cross-listed as ENGR 3812.,SCI3,"
4 SCI ",120 
 Advanced Classical Mechanics  ,"Classical mechanics revisited with the use of mathematical formulation that makes the ""old and dusty"" Newton's laws shine in all their beauty. Using differential equations and linear algebra tools, we will venture to look at things only hinted at in introductory physics: variational principles, the two-body problem, motion in accelerated frames, rigid body dynamics, oscillations, Lagrangian and Hamiltonian mechanics, continuum mechanics, nonlinear dynamics, and chaos.",SCI3,"
4 SCI ",130 
 Special Topics in Physics  ,Special Topics in Physics classes (SCI X199) typically cover a specific topic in Physics and are intended to enhance and expand the selection of offerings from semester to semester.,SCI3,"
Variable Credits SCI ",199 
 Human Molecular Genetics in the Age of Genomics ,"It is now understood that many, if not the majority, of human disorders, including cancers, have an underlying genetic component. In this modern age of healthcare, we are expected to choose amongst an array of therapeutic options for ourselves and for our children rather than respond to specific directives from the medical establishment. In addition, we are called upon as voting citizens to make ethical decisions, e.g. the appropriateness of stem cell cloning. Therefore, it is in the interest of each person to learn more than the fundamentals of biology and genetics in order to make educated choices. In this course we will be concerned with the traditional concepts of human genetics including pedigree analysis, linkage mapping, Mendelian, multi-locus and complex traits, and genetic testing. However, for the most part, the course will view human genetics through a molecular lens. For example, the molecular basis of pathological conditions such as Huntington's disease, hypercholesterolemia, Fragile-X and others will be examined in detail, as will gene imprinting and imprinting-related abnormalities (e.g. Angelman and Prader-Willi syndromes). Comparative genomics will be applied to the study of heritable traits in humans. The structure, function, and evolution of the sex chromosomes will also receive special attention. Gene therapy, cloning (stem cell, germ line) and the associated ethical issues will be considered in some depth. Students who are interested in bioengineering or medical school should find this course useful as well as those who have a general interest in the human as an organism.",SCI3,"
4 SCI ",210 
 Bacteriophage Genomics Research Project Laboratory ,Weekly journal club discussions including visits by seminar speakers enhance understanding of phage biology and genomics.,SCI3,"
4 SCI ",220 
 Biological Thermodynamics  ,This course is cross-listed as ENGR 3650.,SCI3,"
4 SCI ",250 
 Organic Chemistry II (with laboratory) ,"Some of the topics this will include are sugars and carbohydrates, the chemistry of enolates and carbonyls, advanced NMR techniques, and pericyclic reactions. At the end of the course, there will be an introduction to biochemistry from an organic perspective. This course will culminate in a large organic laboratory synthesis that the students will develop and plan themselves for half of the semester.",SCI3,"
4 SCI ",320 
 Products and Markets  ,"In this course, students explore and begin to realize in themselves the entrepreneur in both forms: the practical and the profound. In this foundational course in business and entrepreneurship they will conceive, create and manage a real, profitable business. They will be exposed to traditional business tools such as accounting, marketing and finance as well as the personal and interpersonal tools requisite for high-performance teamwork, including project planning, giving feedback and persuasive pitching. This business experience and its associated challenges will serve as the context in which we hope to develop broader self-awareness, productive self-reflection and courage. Broadly, these skills will apply to the bold imagining and realization of their lives at Olin and beyond.",AHSE,"
4 AHSE",1515
 Entrepreneurship Foundation Topic ,Special Topics in Entrepreneurship classes (AHSE X599) typically cover a specific topic in Entrepreneurship and are intended to enhance and expand the selection of offerings from semester to semester.,AHSE,"
4 AHSE",1599
" The Stuff of History: Materials, Culture in Ancient, Revolut'nary and Contemporary Times","The lion's share of our history of technology course features a series of readings, lectures, and discussions on the relationship between materials, science, society, and the environment in three historical periods. We start with the material practices and paradigms of Copper and Bronze Age societies, shift to Paul Revere's ""Revolutionary"" work with various metals and fabrication processes, and conclude with a look at the technologies and challenges of tomorrow. We will emphasize the development of three skills that are vital to our studies: contextual thinking, communication (both written and oral), and historical research methods pertaining to source evaluation and narrative construction.",AHSE,"
4 AHSE",2110
 Six Books that Changed the World  ,"Why and how do certain books reshape the course of human history? In this course, we will explore six books, selected from different times, societies, and genres, that have had an unquestionably major impact upon the world in which we live. Class meetings will alternate between contextual studies of the historical context of each book (including the author's background, the political and social setting, and other factors) and careful analyses of the works themselves. Our discussions will investigate each book's contemporary and modern impact while also exploring the qualities that caused all of our selections to have such an enduring and global effect. Students will be expected to contribute to class discussions, make presentations, and write a report on an additional book of their choosing. NOTE: this course will be offered during the first half of the semester, will meet twice a week, and will require approximately 12 hours of student effort each week.",AHSE,"
2 AHSE",2112
 Science Fiction and Historical Context ,"Students will have the opportunity to analyze different works of science fiction through writings and class discussions, and can also choose to develop a science fiction idea of their own. NOTE: this course will be offered during the second half of the semester, will meet twice a week, and will require approximately 12 hours of student effort each week.",AHSE,"
2 AHSE",2114
" The Engineer's Orchestra II: Theory, Orchestration, Composition","The Engineer's Orchestra II provides just-in-time harmonic and contrapuntal theory for the study of orchestration, with special attention to voice leading, instrumental doubling, spacing, balance, and color. Each week students complete preliminary exercises that target the skills necessary for that week's focus of study. They then orchestrate piano reductions of symphonic excerpts, and vice versa, in order to apply these developing skills. The course progresses from scoring for string, woodwind, and brass ensembles to woodwind-string and woodwind-brass-string combinations, and finally the full orchestra. Class discussions involve students defending their technical and artistic decisions, followed by close examination of the choices made by the original composer. Weekly recorded examples bring to life the fundamental concepts underlying the work of past and contemporary orchestrators. Guest appearances/demonstrations by instrumentalists allow students to sharpen their listening skills as they distinguish among the possibilities for bowings and articulations that inform orchestral writing. The course culminates with each student pursuing a final project, such as an original composition or arrangement.",AHSE,"
2 AHSE",2125
 The Intersection of Art and Science ,"Science and Art are often considered entirely different worlds inhabited by practitioners who have nothing in common. In this course, we will debunk this myth by closely examining the discovery process in both disciplines and by comparing the culture of science to that of art, historically and in the present. We will consider the influence of scientific discoveries, from optics to ""new media"" on the production of art and discuss the corollary question ""Has art influenced the progress of science?"" We will also consider ways in which science allows us to understand artists and the work they create. In contemporary society, artists have begun to comment on science, sometimes with disastrous results, which leads us to ask, ""What is needed in order to establish a meaningful dialogue between scientists and artists, and does it matter?""",AHSE,"
4 AHSE",2130
 Responsive Drawing and Visual Thinking ,"The course assumes no prior experience in drawing. Students will learn to visualize objects in three-dimensional space and commit them to the two-dimensional space of a page, gaining critical experience with ""idea sketching,"" an ability that can be put to many uses in future courses (e.g. project design). Students will also draw subjects from life, i.e. stationary objects and life models using media including charcoal, graphite, conte, and ink. The emphasis will be realistic depiction as compared to non-objective abstraction. Students will begin with basic exercises in drawing and rapidly move to more complex intensive drawing experiences. Approximately one-third of the classroom time will be used for drawing from a life model. Class discussion and sketchbook homework assignments will be an essential element in the learning process. Homework assignments will include drawing and visual thinking exercises to be completed in personal sketchbooks. Reading selected text material is also part of the homework requirement. Several invited speakers will contribute to the course and provide informal critiques of student work. One field trip is planned to the Fogg Art Museum at Harvard University in Cambridge to view art. Other in-class activities will include participation in discussion of drawings (old master and contemporary) that are presented to illustrate various objectives of classroom work (e.g. use of line to indicate form) and group critique sessions. Assessment will be based on weekly homework assignments, classroom work, and three drawing projects to be completed outside of class.",AHSE,"
4 AHSE",2131
" Anthropology: Culture, Knowledge and Creativity ","After we learn how anthropologists deal with these questions at a range of research sites, we will end the course with our own anthropological studies that utilize what we have learned earlier in the course. Students will conduct short research projects that examine social issues pertaining to the use of the Internet in the United States. By ending with a study of ourselves, students will see how creative we really are; that we, too, have culture; and that what we consider legitimate knowledge is culturally situated. The professor will assume no prior knowledge of anthropology. Skills to be developed include critical reading, critical thinking, writing and analysis, presenting arguments in oral and visual form, and working on projects in small groups. The following texts will be used, among others: Jean Davison, Voices from Mutira: Change in the Lives of Gikuyu Women, Daniel Miller and Don Slater, The Internet: An Ethnographic Approach, Jeremy MacClancy, Exotic No More: Anthropology on the Front Lines.",AHSE,"
4 AHSE",2140
 Engineering for Humanity  ,"The projects will be specific service projects that students identify and design while working with senior citizens in surrounding communities. For example, students might design a device to help someone who has difficulty reaching up to change a light bulb, something to help hold a newspaper steady with shaky hands, or something to enable someone to get clothes out of a clothing dryer that is difficult to stoop down to reach. Some sessions of the course will be devoted to co-design with the client population or to team meetings. Other sessions involving guest speakers and fieldtrips, others with course discussion of topics relevant to aging. Students must simultaneously enroll in AHSE2141 and ENGR2141 for a total of 4 credit hours.",AHSE,"
2 AHSE",2141
 Six Microbes that Changed the World with Laboratory ,"For information contact: Martello, Robert; Huang, Jean",AHSE,"
4 AHSE",2150
 Teaching and Learning in Undergraduate Science and Engineering,"This course will examine select topics in teaching and learning in undergraduate science, technology, engineering, and mathematics (STEM) courses. The goal of the course is to help participants become effective tutors, teaching assistants, mentors, and future instructors in these fields through a deep examination of teaching and learning in STEM courses. In a seminar format, participants will discuss research on best practices in pedagogy and curriculum design, cognition and learning, student classroom experiences, diversity, and assessment. Students will gain experience in instructional design, pedagogy, and assessment, and will develop a teaching portfolio. (Note: While the course readings are largely on research in science and engineering education, the course will touch on issues in mathematics education, and many course concepts can be extended to mathematics and technology instruction. As well, the theoretical and practical portion of the class may be extended to the K-12 domain.)",AHSE,"
4 AHSE",2170
" Special Topics in Arts, Humanities and Social Science ","Six Microbes that Changed the World is an interdisciplinary course taught by Jean Huang and Rob Martello for the first time this fall.We will use six influential microbes as a window into a rich study of the interactions between science and societal context.This course will connect biological and historical knowledge through discussions, integrated assignments, presentations, and hands-on laboratory activities.We are looking for a motivated group of students to join us in this experimental course; lets explore the thrill of biology and history, together.",AHSE,"
Variable Credits AHSE",2199
 Issues in Leadership and Ethics  ,"This course examines the intersection of leadership and ethics in business, engineering, and more general contexts. Readings will include material on the definition and history of ethics and morality in the U.S., the definition and development of leadership skills in a professional context, the role of ethics in the professions, and case studies involving the intersection of leadership and ethics. The course will be structured as a seminar, involving guest speakers and interactive case studies. Enrollment will be limited to 8 students from each college in the final semester of their undergraduate program. The course is typically taught by the Presidents from the Three College Collaboration.",AHSE,"
2 AHSE",3100
 Advanced Digital Photography  ,"In this project-based course, students will develop a personal photographic point of view matched with consistently well-crafted imagery informed by the work of leading contemporary photographers. While communication with visual images is paramount, technical issues will be addressed in some depth. For example, there will be instruction and practice with image capture and editing including High Dynamic Range (HDR) exposure and processing, color management methods and printing, Adobe Lightroom/Photoshop tools and techniques, graphic design and book production methods. Initial projects will stimulate creative thinking and group critiques will help monitor progress and inspire new directions. The culminating project will be the design and production of a photography-based book by each member of the class. A critical awareness of the medium of fine art photography will be fostered through selected readings, discussions, and visits to galleries and museums.",AHSE,"
4 AHSE",3130
 Curriculum Innov Experiment: Quantitative Engineering Analysis I,"In this class, you will be introduced to various approaches to perform quantitative engineering analysis through real-world examples.  You will learn how to select between different tools and different approaches within the context of an engineering challenge, how to use many different tools for quantitative analysis, and how to acquire new tools on your own in the future.",CIE2,"
8 ENGR",016A
 Curriculum Innov Experiment: Quantitative Engineering Analysis II,"In this class, you will be introduced to various approaches to perform quantitative engineering analysis through real-world examples.  You will learn how to select between different tools and different approaches within the context of an engineering challenge, how to use many different tools for quantitative analysis, and how to acquire new tools on your own in the future.",CIE2,"
8 ENGR",016B
" Introduction to Sensors, Instrumentation and Measurement ","Conducting experiments and making measurements is an essential aspect of all branches of science and engineering. Nearly all of our current quantitative understanding of the natural and engineered world has come from the interplay between theory and measurements. Models and simulations of systems require experimental validation and performance of engineered systems must not only be predicted, but also measured and tested. In this course we will learn the basic tools of making physical measurements and conducting experiments. We will collect data, analyze data, conduct basic error analysis, and design experimental systems. Using inexpensive modern sensors, we will build the necessary supporting electronics and learn to collect data with computer based data acquisition systems. The first part of the course will focus on individual work and students will conduct labs on basic electrical, mechanical and environmental measurements. The later part of the course will involve a team project that involves designing and executing an experiment that involves measurement, data acquisition and data analysis.",ENGR,"
4 ENGR",1125
 Special Topics in Engineering  ,"This course will provide a hands-on experimental lab experience for students co-registered in Linearity I. The course will bring the mathematical concepts of Linearity to life through a number of physical experiments with mechanical, electrical, thermal, and chemical systems. The course will emphasize interpreting physical data through the lens of mathematical analysis.",ENGR,"
Variable Credits ENGR",1199
 Design Nature  ,"We take nature, an important source of inspiration and understanding, as a theme and develop bioinspired ideas into functional prototypes. Our focus is on the general principles and methods that shape the practice of engineering design. Students complete individual and team projects in a studio environment where we seek to develop a shared practice and understanding of engineering design. Students also gain experience in visualization, experimentation, estimation, fabrication, and presentation as they relate to designing.",ENGR,"
4 ENGR",1200
 Fundamentals of Machine Shop Operations ,"Assigned projects will involve significant machining time to fabricate mechanical components and a working mechanical system (e.g., tesla turbine).",ENGR,"
4 ENGR",1330
 Principles of Engineering  ,"Through a significant project experience, students will learn to integrate analysis, qualitative design, quantitative optimization, experiments, and simulations to improve their ability to engineer real systems. In each section of the course, students will work in small multidisciplinary teams to design and to build a mechatronic system of their own choosing. Each project must include both a nontrivial mechanical system design and a nontrivial electronic system design involving both hardware and software components. Projects will be subject to realistic materials, process, and budgetary constraints.",ENGR,"
4 ENGR",2110
" The Engineer's Orchestra I: Acoustics, Waves and Vibrations ","The Engineer's Orchestra provides an introduction to acoustics, waves, and vibrations via musical instruments. Students address the physics of orchestral instruments (winds, strings, and percussion) both qualitatively and quantitatively. Topics include one-dimensional transverse and longitudinal waves, traveling and standing wave solutions to the wave equation, and an introduction to spherical waves with relevant hands-on demonstrations. Modeling and analysis concepts will be introduced to support students in the design and construction of their own physical or virtual musical instruments.",ENGR,"
4 ENGR",2125
 Regional Analysis in Development  ,This course provides valuable preparation for students planning to enroll in ENGR 3290/4290 Affordable Design and Entrepreneurship (ADE) or perform research or work in international development. Wellesley and Babson students are encouraged to enroll.,ENGR,"
2 ENGR",2134
 Engineering for Humanity  ,"The projects will be specific service projects that students identify and design while working with senior citizens in surrounding communities. For example, students might design a device to help someone who has difficulty reaching up to change a light bulb, something to help hold a newspaper steady with shaky hands, or something to enable someone to get clothes out of a clothing dryer that is difficult to stoop down to reach. Some sessions of the course will be devoted to co-design with the client population or to team meetings. Other sessions involving guest speakers and fieldtrips, others with course discussion of topics relevant to aging. Students must simultaneously enroll in AHSE2141 and ENGR2141 for a total of 4 credit hours.",ENGR,"
2 ENGR",2141
 Special Topics in Engineering  ,This course provides valuable preparation for students planning to enroll in ENGR 3290/4290 Affordable Design and Entrepreneurship (ADE) or perform research or work in international development. Wellesley and Babson students are encouraged to enroll. This course is taken in conjunction with MTH2188: Designated Alternative in Mathematics: Regional Analysis for Development; 2 credits (Mur-Miranda).,ENGR,"
Variable Credits ENGR",2199
 User,"Students develop detailed concepts and models of authentic new products and services. Our focus is on user-oriented, collaborative approaches to design and seeking holistic solutions integrating user and functional perspectives. We emphasize the importance of process and the development of strategies. Students observe and engage people to develop a deep understanding of their values and the patterns of their lives. They work collaboratively in a studio environment to create a shared understanding of the people they design for (and with) and the product ideas they develop. Topics covered include design thinking, ethnographic methods, concept development and interaction design.",ENGR,"
4 ENGR",2250
 Special Topics in Design Engineering ,"What happens when design and engineering research results in activism, human rights work, politics, or matters of equity and justice? Engineers and designers are often thought of as ""problem-solvers"" in mostly technical, practical, and formal senses. But this class explores the equally compelling history of engineering and design projects that raise difficult questions, aid marginalized communities, address urgent social issues, or create new conditions. We'll talk to designers, artists, and engineers who work on issues of sustainability, power, health, education, and more. And we'll run our own experiments in creative design work for the public good. The class includes significant reading, field trips and lectures, short experiments, and a culminating project.",ENGR,"
Variable Credits ENGR",2299
 Mechanics of Solids & Structures  ,"This course covers the principles of statics of structures and mechanics of materials. The focus is on the concepts of stress and strain as related to applied loads (axial, shear, torsion, bending) and to resulting deformation. Students will learn how the principles of mechanics can be applied to mechanical design through modeling, quantitative analysis, strain gauge measurements, and computational simulation. The use of a commercial finite element package is introduced.",ENGR,"
4 ENGR",2320
 Introduction to Mechanical Prototyping ,"Through project experiences, students will learn the techniques needed to both master the technical communication of mechanical designs and the fabrication skills needed to rapidly build them. Students will practice professional drafting techniques to describe a full range of fabricated components, including milled, lathed, sheet metal, water jet, injection molded, 3D printed and welded components. This course will include a significant machine shop component, where each student will gain exposure to advanced fabrication techniques. The final project will be the design and fabrication of a fully operational, complex mechanical system.",ENGR,"
4 ENGR",2330
 Dynamics  ,"With an emphasis on understanding fundamental concepts, students will learn to create and analyze mathematical models for mechanical and electromechanical systems that are changing in time. Equations of motion for 3D rigid bodies and systems will be derived using conservation of momentum and energy methods. Concepts involving equilibrium, linearization, and stability will be applied to study dynamic response in both the time and frequency domains through time-integration, transfer function, and state-space analysis. The idea of feedback control is introduced. Coursework and projects will involve examples such as robots, mechanisms, vehicles, and aircraft/spacecraft.",ENGR,"
4 ENGR",2340
 Thermodynamics  ,"This course covers the fundamental principles of thermodynamics and physical chemistry as applied to engineering systems. This course provides a foundation in fundamental thermodynamic phenomena, including the first and second laws of thermodynamics, thermodynamic properties, equations of state in real and ideal gases, and chemical equilibrium. The basic laws are used to understand and analyze the performance and efficiency of systems, such as automobile engines, gas turbines, steam power plants, and refrigerators.",ENGR,"
4 ENGR",2350
 Signals and Systems  ,"Linear system theory is a powerful set of mathematical tools used broadly across science and engineering. Signals represent the transfer of information or power, while systems represent operations on these signals. This course presents fundamental concepts from linear systems such as convolution, impulse and step response, Fourier transforms, sampling and modulation. These concepts are presented within the framework of linear operators and/or transforms in discrete and/or continuous time. Applications include filters, system identification, deconvolution, feedback and control, and communications.",ENGR,"
4 ENGR",2410
 Intro Microelectronic Circuits with laboratory ,"This course will cover elements of linear circuits, such as the operation of basic circuit elements, fundamental circuit laws, and analytic techniques in both the time domain and the frequency domain.  It will also cover the transistor-level design of complementary metal-oxide-semiconductor (CMOS) electronic circuits in the context of modern integrated-circuit technology. The course will include an introduction to the fabrication and operation of metal-oxide-semiconductor (MOS) transistors and to the design and operation of the basic building blocks of analog integrated circuits including single-transistor amplifier stages, current mirrors, CAS codes, differential pairs, and single-stage operational amplifiers. Throughout the course, an emphasis will be placed on design-oriented circuit analysis techniques and developing circuit reasoning skills.",ENGR,"
4 ENGR",2420
 Software Design  ,"This course is an introduction to software design. It focuses on a model of computation as a set of simultaneous ongoing entities embedded in and interacting with a dynamic environment, for example: computation as it occurs in spreadsheets, video games, web applications, and robots. A major component of the class is a weekly three-hour, in class laboratory. Much of this laboratory is spent in collaborative work on program development, with an emphasis on student-student  interaction and student-student teaching, facilitated and enriched by the course staff. In addition, design and implementation work is supplemented with observational laboratory assignments, inviting students to consider not only how to build a program, but how to anticipate its behavior and how to modify that behavior. Both students with no prior background and students with background comparable to the CS AP should both find this course interesting and worthwhile.",ENGR,"
4 ENGR",2510
 Special Topics in Computing  ,Special Topics in Computing classes (ENGR X599) typically cover a specific topic in Computing and are intended to enhance and expand the selection of offerings from semester to semester.,ENGR,"
Variable Credits ENGR",2599
 Biomechanics  ,"Why is a giraffe's head so small in comparison to the rest of its body? Why do babies' heads flatten when they sleep in the same position? Why do knees bend only in one direction? Why are people taller in the morning? In this course, we will study the nature and function of human body and its movement with specific emphasis on movements produced in sport, dance, and every day physical activities. The principles of Newtonian mechanics, statics, and dynamics will be applied to discuss behavior of bones, tendons, ligaments, and muscles during human movement. This course is cross-listed as SCI 2220.",ENGR,"
4 ENGR",2620
 Special Topics in Bioengineering  ,Special Topics in Bioengineering classes (ENGR X699) typically cover a specific topic in Bioengineering and are intended to enhance and expand the selection of offerings from semester to semester.,ENGR,"
Variable Credits ENGR",2699
 Elecanisms  ,"Mechatronics involves the synergistic integration of mechanical engineering with electronics and intelligent computer control in the design of products. In this course, we will develop topics critical to the engineering of modern mechatronic systems including electromechanical actuators (e.g., DC motors, stepper motors, and solenoids), practical electronics design including interfacing sensors and actuators to embedded processors, and embedded software design in the C programming language. During the first part of the course, students will work in small groups on a series of miniprojects to gain experience with course concepts and develop core engineering competencies. During the second part of the course, students will work in teams to engineer a mechatronic system of their choosing subject to realistic constraints.",ENGR,"
4 ENGR",3110
 Error Control Codes  ,"Error-control codes are used to detect and correct errors that occur when data are transmitted across a noisy channel. This course provides an introduction to error-control codes, including linear, cyclic, binary, and non-binary codes. Mathematics such as modular arithmetic and introductory ring and field theory will be introduced and used extensively. Students must simultaneously enroll in MTH 3140 and ENGR 3140 for a total of 4 credit hours.",ENGR,"
2 ENGR",3140
