description,title,Notes,Cross Listed Courses,credits,college,Corequisite,department,Prerequisite
"This course is as much about the cultural politics surrounding African art as it is about the art itself. With particular emphasis on colonialism as a vital agent of change, students first learn how the early modernist view of African objects as works of art paradoxically fostered a new myth of primitivism. The lingering hold of this fantasy about the Other on Western imagination today is also examined. A variety of cultural representations from postcolonial Africa are explored in the context of ""tradition"" and ""modernity.""",IAHIS 4150 Africa: Between Tradition and Modernity,,,3,College of Art and Design,,IAHIS - Art History,
"This course begins from the premise that all images are mediated by pre-existing images. Through a wide variety of case studies, ranging from Velazquez' ""Las Meninas"" to MAD Magazine, it examines how artists have confronted the question of cross-references of visual images in different eras; how they have produced new fictions by exploiting illusions of mirrors, imaging themselves, making statements about the enterprise of art making, and quoting other images quite openly.",IAHIS 4200 Representing Representation,,,3,College of Art and Design,,IAHIS - Art History,
"This course concentrates on those major forms of fine and applied arts that have distinguished Japan in Asia, and the aesthetic, religious and political forces that have shaped the culture of modern Japan.",IAHIS 4400 The Art and Culture of Japan,,,3,College of Art and Design,,IAHIS - Art History,
Art and Popular Culture considers the interplay between popular culture and recent trends in contemporary art. The topical focus of this course is the complex relationship that has emerged between contemporary art and popular culture. Students will investigate this relationship by analyzing three tendencies: a) the conditions of complicity between art and popular culture; b) the question of cultural value and commercial value; c) the underlying sensibilities that have propelled contemporary art beyond modernism and postmodernism.,IAHIS 4500 Art and Popular Culture,,,3,College of Art and Design,,IAHIS - Art History,
"This course examines the term ""postmodern"" in light of the seminal changes in the production and consumption of visual cultures of the recent decades. Its primary aim is to trace the implications of this concept in the shaping of a contemporary artist's awareness. A series of critical readings and discussions provides insight into the historical background and the global character of the postmodern experience. In this context, the course also questions the reductive connotations of the buzzword ""postmodernism,"" treating it instead as an umbrella term that accommodates a range of overlapping as well as conflicting ideas and theories.",IAHIS 4600 Postmodernism,,,3,College of Art and Design,,IAHIS - Art History,
"This course focuses on the changes that have occurred in how we think about and respond to new technological transformations, such as digital computer technology and Internet communications. We consider the ways in which artists have appropriated these technologies to create new art forms, e.g. cyberpunk and science fiction, in visual and literary art forms. The goal of the course is to inform student understanding of these new art forms and to encourage creative experimentation.",IAHIS 4620 Hyperculture: Art & Technology,,,3,College of Art and Design,,IAHIS - Art History,
"This course focuses on art works that have triggered scandalous public reactions. Considering about a dozen such cases, the course examines the historical circumstances of the image in question, its role in exposing various power discourses, and its art-historical relevance. Examples include Diego Rivera's Rockefeller Center mural, Maya Lin's Vietnam Veteran's Memorial, Richard Serra's Tilted Arc, Andreas Serrano's Piss Christ, and Chris Ofili's Virgin Mary. Identifying the stylistic and conceptual properties of an image, the class meetings will closely examine the reason(s) for the adverse reception, the arguments offered by all parties, backgrounds and roles of the key participants, and the outcome of the debate. In addition to the literature on these cases, students will consult such sources as documentaries and television footage. The course will offer valuable insights into discursive formations of art in a capitalist society.",IAHIS 4630 Scandalous Art,,,3,College of Art and Design,,IAHIS - Art History,
"The Art History Department offers students a range of internships to provide experience and exposure to a range of careers relevant to the Art History major. Pending availability, museum and gallery internships are available for 1 to 3 credits in the spring, summer and fall semesters. All Art History internships must be approved and supervised by the Art History Program Coordinator. Interested students should meet with the coordinator prior to the semester of the internship.",IAHIS 4880 Internship,,,3,College of Art and Design,,IAHIS - Art History,
"This course introduces students to the main currents of contemporary critical theory, including phenomenology, post-structuralism, and deconstruction. Discussion focuses on artists working in mediums of painting, installation art, performance art, new media, cinema, and poetry. Readings offered in the course help students to become active as they locate themselves in analysis and critical response.",IAHIS 4910 Critical Theory,,,3,College of Art and Design,,IAHIS - Art History,"IAHIS 1200 and 1210, or permission of instructor."
"This course immerses students in a design studio environment, and introduces them to habits of thinking and making that result in thoughtfully conceived design projects. Work on these projects incorporates the language, skills, processes, and methods that serve as a foundation for all design work. Students participate in critical dialogue that explores design ideas and intentions in relation to specific problems and situations. The goal is to familiarize students with a broad spectrum of design thinking and work, while introducing and practicing the most basic design skills. Projects include explorations of objects and their meaning as they are drawn and represented in varying forms and in relationships with other words or images.",IDESN 1270 Language of Design,,,3,College of Art and Design,,IDESN - Design,
"Design Workshop 1 comprises of two seven-week workshops: Color and Drawing for Communication introducing students to foundational color and drawing processes related to the Design major. 7-weeks color (theory & tech): Students will learn color theory and various aspects of color production. Principles of subtractive and additive color will be explored through projects incorporating a variety of media including print (offset) and digital (screen-based). 7-weeks drawing for communication: Intensive exploring shorthand methods using the sketching process as a means of exploration and visual communication. Students engage in a series of short, accelerated projects for the purpose of visual ideation for communication.",IDESN1300 Design Workshop 1,,,3,College of Art and Design,,IDESN - Design,
,IDESN 1400 Introduction to Interactivity,,,3,College of Art and Design,,IDESN - Design,
"This course will provide students with an overview of User Experience (UX), design methods, and the role of research in designing for user experience. Through assignment, lecture and discourse, students will engage in an industry-modeled process, including research, team/collaboration, stakeholder interviews, sketching, diagramming, and presenting. Students will experience various methods associated with producing design deliverables within the context of real world practice.",IDESN 1500 User Experience 1,,,3,College of Art and Design,,IDESN - Design,
"The web has quickly become a common communication and business tool as well as a new opportunity for graphic designers to use their visual and conceptual skills. Students explore the use of basic design principles in the web environment, and are introduced to new concepts in interactivity and site navigation. The course also covers basic technical aspects of page and site construction.",IDESN 2115 Introduction to Web Design,,,3,College of Art and Design,,IDESN - Design,
"This course is for students with an interest in game and user interaction design and development. Students will use web-based tools to explore the relationships between objects and actions and compose scenarios and events that engage, inform and entertain users. Students will learn basic game elements, editors, open-source software, and utilization of object libraries. Students will discuss narrative forms, goals and strategies to create immersive end user experiences. Students who complete this course will understand game mechanics and will have designed, created, tested and packaged a finished interactive composition. Knowledge of Photoshop recommended.",IDESN 2185 Game Design Fundamentals,,,3,College of Art and Design,,IDESN - Design,
"This course is for selected students entering the design program with exceptional practical readiness and academic accomplishment. The seminar will introduce a wide range of topics and issues in the field of design through presentations, discussions and in-class exercises. The course will also provide a preview of the design program curriculum and introduce students to selected faculty of the department and visiting practitioners and experts in the field. Course readings will consist of excerpts from notable texts in the design literature and provide topics for the group discourse. The students will be required to produce reflective notes and create a design sketchbook. Field trips will enrich the experience with visits to significant venues. A final group presentation will provide the culminating experience for the course.",IDESN 2195 Design Honors Seminar,,,1.5,College of Art and Design,,IDESN - Design,
"This course presents a study of letterforms, typefaces, type identification, classification, nomenclature, and basic type use. Studio exercises begin with letterform drawing and spacing and follow with use of text in simple groups to study typographic arrangement, hierarchy, contrast, expression, and readability.",IDESN 2220 Typography I,,,3,College of Art and Design,,IDESN - Design,
"This is a studio class with the objective of getting the students in tune with the mind of a designer. Design is about the process of synthesizing a large amount of information into a single, clear concept. Most great ideas are the result of a sketching phase with an experimental, open and curious attitude. In this course, the creative process is explored extensively, using different approaches and diverse techniques: from hands-on to computer software. Special attention is given to the effective use of various visual vocabularies in abstract compositions and representational graphic translations.",IDESN 2520 Language of Form,,,3,College of Art and Design,,IDESN - Design,IFNDN 1640 or IPHOT 1200 
"This course familiarizes students with the complex language of color, enhancing their sensitivity to its physical characteristics, and increasing their ability to manipulate those characteristics to achieve expressive and symbolic aims. Projects emphasize and explore the terms that describe color and color relationships, such as hue, value, intensity, temperature, interaction, and edge strength.",IDESN 2540 Color Theory,,,3,College of Art and Design,,IDESN - Design,
"This process-based course explores shorthand methods to both stimulate the imagination and capture fleeting ideas. Emphasis is put on the sketching process as a means of exploration and visual communication. Students learn by doing through a series of short, simple projects plus several more complex, problem-solving exercises.",IDESN 2550 Drawing for Design,,,3,College of Art and Design,,IDESN - Design,
"Using traditional bookbinding techniques as well as more contemporary methods, the art and craft of building boxes, portfolios and other containers for holding, carrying, or presenting work are taught. Students build basic forms such as the clamshell box, the drop-spine box, portfolio forms, and albums. Once basic skills have been mastered, the goal is to create a final piece that is experimental, challenging, and personal.",IDESN 2590 Bindings & Boxes,,,3,College of Art and Design,,IDESN - Design,
"This is an introductory class in the art and design of film. Its objective is to strengthen students' visual acuity, build analytical skills, and increase awareness of design in another medium. The class also examines how composition, color, editing, sound, and photography are combined to create meaningful narratives. Students learn critical vocabulary, construct storyboards of film sequences, keep an analytical journal on films covered in class, and write papers.",IDESN 2800 Film Form,,,3,College of Art and Design,,IDESN - Design,
,IDESNXXXX Interactive Workshop,,,3,College of Art and Design,,IDESN - Design,
,IDESNXXXX Interactive Workshop 2,,,3,College of Art and Design,,IDESN - Design,
"This alternative Spring Break travel course in London will examine the role of graphic design in Britain's history, culture, education system and studio practices. Students will explore British design through its modern typography, books, information design, print design and digital media. The course will include a pre-travel class, course time in London, online assignments and critique a month after we return to review an integrative (history, research and making) design project.",IDESN 3015 Graphic Design London,,,3,College of Art and Design,,IDESN - Design,
"Students work on projects that utilize the complete interactive design process, including research, user scenarios, wire framing and prototyping, as well as exploration of navigation, feedback, and information design principles. Issues of human/computer interaction are discussed in the context of more sophisticated web sites, information kiosks, and the overall category of ""experience design.""",IDESN 3110 Interactive Projects,,,3,College of Art and Design,,IDESN - Design,IDESN 2115 or permission of the instructor.
"An introduction to design production and digital requirement for printed and electronically distributed work. Lectures, demonstration, projects and field trips cover digital printing processes and techniques, computer file preparation, color management, choice of medium, and writing specifications for projects.",IDESN 3150 Design Specification,,,3,College of Art and Design,,IDESN - Design,
"A process-oriented course aimed at developing a personal typographic ""voice."" Through a sequence of restricted typographic exercises, students learn to structure informational hierarchies while working with the formal composition of type as point, line, and textural element. The principles learned from exercises are applied to progressively more complex problems, with emphasis on the process of experimentation.",IDESN 3200 Typography II,,,3,College of Art and Design,,IDESN - Design,
"A continuation of the principles and methods introduced in Typography II, with further emphasis on typographic structures and grids and a focus on longer, more complex typographic documents.",IDESN 3210 Typography III,,,3,College of Art and Design,,IDESN - Design,
"This course reveals how typefaces are conceived, designed, made and used. Students study typefaces in various contexts and then use digital tools to create a typeface for use in everyday communications. Technical standards of typeface design, the visual nuances of form, consistency, and spacing in a particular typeface, the interaction of type software with other applications, as well as the broader issues of the cultural context and history of western type design are introduced and addressed in this course.",IDESN 3230 Typeface Design,,,3,College of Art and Design,,IDESN - Design,
"This is an advanced typographic elective. Students explore time, motion and sequence, in addition to the more traditional contrast, scale, and position relationships used in expressive typography. Concepts are developed in storyboard format prior to implementation in computer formats such as Director or Flash.",IDESN 3240 Type in Motion,,,3,College of Art and Design,,IDESN - Design,
"This course is a hands-on studio course in which students design and construct packages and other three-dimensional forms. Attention is paid to materials and construction techniques, application of type and images to three-dimensional surfaces, and the conceptual aspects of three-dimensional presentations.",IDESN 3310 Packaging and Presentation,,,3,College of Art and Design,,IDESN - Design,
"This course focuses on how an identity is established for an enterprise -- its 'brand'. Students will discuss and analyze the organization's mission, products or services and then create a public 'persona' for the company through graphic style, message content, image content, and marketing approaches.",IDESN 3400 Brand Realization,,,3,College of Art and Design,,IDESN - Design,
"Information architecture is the art and science of organizing and labeling web sites, intranets and online communities to support usability and findability. This course introduces the roles of different disciplines and professionals in web site development, while focusing on the skills and techniques needed to develop organizational and navigational structures. Students in this course will build information systems using a combination of skills from interaction design, project management and visual design. There will be an emphasis on the user experience and the use of visual diagramming to describe navigation in a virtual space.",IDESN 3440 Information Architecture,,,3,College of Art and Design,,IDESN - Design,
"This third course in the graphic design sequence focuses more specifically on the conceptual and practical problems of visual communication. Students learn to create or vary messages for various audiences, formats or media, and to consider the context of their communication. They also examine issues of maintaining identity or concept in sets of materials, or across multiple pages, and of preserving visual relationships over space and time.",IDESN 3510 Visual Communication 1,,,3,College of Art and Design,,IDESN - Design,
"This course examines the use of systems in design, exploring both how design reflects existing systems and structures in the world and how visual systems themselves can be used as organizing features in our environment. Students learn to apply these concepts to advanced multipart projects in graphic identity, interactive design, and related publication or exhibition work.",IDESN 3530 Design Systems,,,3,College of Art and Design,,IDESN - Design,
"For designers to obtain and maintain advanced web development skills they must be constantly familiarizing, learning, and experimenting with new advanced systems of web based design and development. These skills can help improve a student's repertoire as a designer and open up more possibilities for contracting new jobs and collaboration opportunities. This course covers topics such as content management systems, fast prototyping, PHP, JavaScript, database integration, and designer-client contract writing. This course is designed in the form of on-the job training where you are learning, critiquing and delivering a project, while receiving careful real-time guidance of the instructor. Students will complete regular assignments and a semester long project that demonstrates their capacity to build an entire content managed website from start to finish.",IDESN 3535 Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
"With the widespread adoption of the web and mobile phones, instant response and immediate market data are driving public communication strategies to be more precise, change more often and use a complex mix of integrated media to reach individuals with messages. In this class students will create and develop strategic, informative and persuasive marketing and advertising concepts and devise and develop innovative strategies to implement them in a variety of media. Students will explore traditional and dynamic digital media to create and deliver messages that bring people together in the global marketplace of products, services, ideas and causes. Students will create, produce and present prototypes of their ideas and concepts by visually implementing them for diverse populations in varying contexts.",IDESN 3540 From Concept to Campaign,,,3,College of Art and Design,,IDESN - Design,
,IDESN 3888 Design Special Topics,,,3,College of Art and Design,,IDESN - Design,
,IDESN 3888 Design Special Topics,,,3,College of Art and Design,,IDESN - Design,
,IDESNXXXX Advanced Design Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX User Experience 2,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Visual Communications 2,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX User Experience 1,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Junior Design Studio,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Professional Practice 1,,,1,College of Art and Design,,IDESN - Design,
,IDESN XXXX Professional Practice 2,,,2,College of Art and Design,,IDESN - Design,
"The student assists a faculty member with the weekly preparation and instruction of a class. Duties may include research, slide show preparation, demonstrations, instructing, and assisting in critiques. This position provides valuable experience and insight into the teaching profession, and strengthens the student's abilities to articulate and communicate visual concepts. Additionally, this position provides the opportunity for developing mentor relationships. Participation in this course is limited to students selected by the faculty of the specific course and/or the Department Chair.",IDESN 4089 Studio Assistantship,,,1.5,College of Art and Design,,IDESN - Design,
"Studio InFlux is a dynamic and progressive studio experience. It collaborates with non-profit organizations that promote social and cultural change. Design is used to deliver their messages through actual printed projects. Studio InFlux enables students to explore the application of design principles to practical problems through real design projects. The studio offers students the opportunity to further their practical design skills, enhance their portfolios, and gain experience with clients.",IDESN 4320 Studio InFlux,,,3,College of Art and Design,,IDESN - Design,
"This course is designed to help students prepare the presentation of themselves and their work to the working world, and integrate the results of their studies into a coherent production. Every project is based on the needs of the individual student with a focus on improving their design process and also refining the details in their work. Resume building, networking, interviewing and collaborating skills are explored and developed. This course is only to be taken in the student's last semester of school, unless specific permission is given.",IDESN 4450 Senior Design Studio 1,,,3,College of Art and Design,,IDESN - Design,
"Design Strategies from Past to Present is a rigorous exploration of historic design strategies and how these strategies can be successfully applied to contemporary communication problems. Throughout the semester, the formal and conceptual strategies of designers such as Piet Zwart, Pierre Mendell, Robert Brownjohn, Stefan Sagmeister, and Bruce Mau will be contrasted, analyzed, and applied to a wide range of projects. At the conclusion of the course, students will have designed everything from posters and book jackets to film titles and digital artifacts. Design Strategies from Past to Present is a demanding course. Each week for 12 weeks, students will be assigned a unique project that uses historic design strategies to address contemporary issues.",IDESN 4480 Design Strategies,,,3,College of Art and Design,,IDESN - Design,
"A field-based learning experience where students work under faculty supervision to solve a specific design problem presented by an outside organization. Problems are defined either as collaborations with non-profit organizations or as research-based projects that go beyond the design of individual components. Students research a general graphic communication problem and then create a ""design brief"" to define the work that follows.",IDESN 4490 Special Topics in Design,,,3,College of Art and Design,,IDESN - Design,
"Students work on a variety of more complex design projects, producing sets of materials and pieces with specific, practical communication goals. Emphasis is placed on working in a collaborative environment, similar to situations encountered in design studios. There is a choice of portfolio appropriate projects, but responsibility is placed on the students to organize their time and resources in a productive manner.",IDESN 4500 Advanced Projects in Design,,,3,College of Art and Design,,IDESN - Design,
"This intermediate course will explore how the design of environments shapes human experience. Design as a service is a behavioral art. Architecture and urban planning clearly influence attitudes, guide human behavior, and establish frameworks for living together on this planet. From art installations, performance, and public art to industrial design of objects and informational design of services, the need to balance information capacity, notification levels, representational fidelity, and aesthetic emphasis in ambient information systems produces issues of usability, flexibility, diversity, practicality, spirituality, and etiquette. Modes of learning, forms of identity, and implements of branding and way finding inform creation, awareness, and experience of the designed environment. This course explores these matters and uses studio exercises and field trips to develop skills and knowledge necessary for the designer to operate in the world of human events and experience.",IDESN 4510 Environmental Graphic Design,,,3,College of Art and Design,,IDESN - Design,
"This is an interdepartmental course focusing on the use of images to communicate specific messages clearly, creatively, and in a compelling manner for a particular audience. Students work on book and magazine covers, CDs, and posters to explore issues of subject and symbol, image and inspiration, audience and impact, as well as the interaction of words and images.",IDESN 4520 Poster and Cover Concepts,,,3,College of Art and Design,,IDESN - Design,
"This course introduces students to the business of design. Students use information on budgets, salaries, freelance rates, project planning, and project proposals to understand their role in a business environment. Research and writing exercises help students clarify their own professional goals. Visiting design professionals discuss various sizes and types of the design business they are involved in.",IDESN 4700 Design Senior Seminar,,,3,College of Art and Design,,IDESN - Design,
"A series of three visiting designers for each student present a project related to the student's area of specialization. Visitors are from the professional design community and work with a regular faculty member to coordinate their projects, which may include: poster design, book or publication design, type design, broadcast design, interactive or web design, environmental design, or other specialties.",IDESN 4750 Visiting Designers,,,3,College of Art and Design,,IDESN - Design,
"The internship program provides senior Design majors with experience in a professional environment, helping to prepare them for entry into the job market. As members of a design team, interns put their technical and creative knowledge to work and have the chance to make professional connections within the design community. To obtain credit, students must register for the course and meet with the internship advisor prior to getting their internship. Positions generally last 15 weeks.",IDESN 4882 Internship/Design,,,2,College of Art and Design,Taken concurrently with IDESN 4885 Design Internship Seminar,IDESN - Design,
"This course addresses professional development issues for the students in the design department, including identification of personal interests within the field, matching those interests with appropriate businesses and organizations, and presenting oneself as an appropriate candidate for any professional position. Course content includes identification and development of career research resources; introduction to networking skills; and development of portfolio, resume, and cover letters. The goal is to give students the ability to identify and pursue high-quality internship experiences, and eventually to pursue more meaningful and satisfying professional opportunities overall.",IDESN4885 Design Internship Seminar,,,1,College of Art and Design,Taken concurrently with Design Internship ( IDESN 4882 ),IDESN - Design,You must take IDESN 2220 before registering for this course
,IDESN XXXX Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Advanced Web Projects,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Senior Design Studio 2,,,3,College of Art and Design,,IDESN - Design,
,IDESNXXXX Interactive Senior Studio 2,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Interactive Senior Studio 1,,,3,College of Art and Design,,IDESN - Design,
,IDESN XXXX Professional Practicres 2 (co-register with Design Senior Studio 2),,,2,College of Art and Design,,IDESN - Design,
,IDESN XXXX Visual Communication,,,3,College of Art and Design,,IDESN - Design,
"This course introduces students to direct and indirect painting processes from observation and through source materials. Color theory will be explored as related to the mediums of oil and acrylic painting dealing with hue, value intensity, and temperature in response to a particular set of relationships. Volume, space,and light will be of emphasis from direct observational exercises. There will be a continual emphasis on how drawing issues such as gesture, plane analysis, diagrammatic and structural line are important to the painting process. We will also be looking at paintings,past and present, in order to understand historically how these issues were applied.",IFINE 1210 Introduction to Painting,,,3,College of Art and Design,,IFINE - Fine Arts,
"Color and Composition introduces students to the formal, historical and expressive properties and uses of color and composition by fine artists, past and present. After studying the theoretical observations on color by Johannes Itten and Joseph Albers the course will investigate historical art movements as well as individual artist's approaches and interpretations of color and its orchestration within a composition. While answering many questions about color, the elusive mysteries of color's affect on us will also be discussed. Through a series of 2-D assignments using water-based paints, students will put into practice this knowledge.",IFINE 1220 Color and Composition,,,3,College of Art and Design,,IFINE - Fine Arts,
"Sculpture as a practice and art form has greatly evolved over the last 50 years. This course serves to ground students in an introductory experience in 3D/sculpture art making and build a platform to sustain further interests and exploration in sculpture. Traditional additive and subtractive methods will establish a base of reference and understanding and applying principles of 3D design will inform them along the way. Processes of assemblage and installation as well as components dealing with light, time and movement will also be introduced and considered. Students will explore various mediums on an introductory level, such as clay, wax, plaster, wood, and soft stone. Students will also be introduced to found object integrated with assemblage processes. Skill and craft regarding fabrication are a priority to establish an appropriate level of quality, while content and context will balance the class from being technique heavy. How does form relate to content? Does the material and craft provide meaning behind the work? Can the content transcend its process of fabrication? These are a sampling of questions we will address in this introductory course.",IFINE 1320 Introduction to Sculpture,,,3,College of Art and Design,,IFINE - Fine Arts,
An investigation of the issues and interests artists have in drawing through an intense study of these three parts of the body. A variety of drawing mediums are used.,"IFINE 1610 Drawing Elective: Head, Hands and Feet",,,1.5,College of Art and Design,,IFINE - Fine Arts,IFNDN 1615
"Students make drawings in various media based on important perceptual concepts and challenges. Most drawings are made from the nude or clothed human figure, some from the student's imagination. Emphasis is placed on developing skills needed to create sensitively observed and envisioned images and their environments. Some discussion of anatomy is covered. Slides and lectures are included.",IFINE 1656 Figure Drawing,,,3,College of Art and Design,,IFINE - Fine Arts,
"The instructor of this class posts a course description at the time of registration. This allows the faculty to design unique drawing courses of concerns or media tailored to both their interests and those of the students. The class may be media, subject or concept based, as well as abstract or figurative.",IFINE 2115 Fine Arts Drawing Studio I,,,3,College of Art and Design,,IFINE - Fine Arts,
"This course offers students additional inquiry into perceptual drawing. Working from life, assignments will explore multiple means of interpreting, analyzing and depicting what they see. Various mediums will be introduced or expanded. Historical and contemporary ideas will be discussed and investigated.",IFINE 2116 Fine Arts Drawing Studio II,,,3,College of Art and Design,,IFINE - Fine Arts,
"Gesture, axis, grouping of forms and negative space are explored through drawing the human figure. The central concept is finding two-dimensional equivalents for the gestalt of the figure in space.",IFINE 2120 Figure Drawing Studio,,,1.5,College of Art and Design,,IFINE - Fine Arts,Foundation or permission of instructor.
"This course is an introduction to sculpting in metal. Without having to weld, students learn a variety of alternative techniques to fabricate, form and seam various types of metals. Wire, sheet metal and found objects are some of the materials used. The history of metal sculpture and contemporary trends are discussed.",IFINE 2150 Metalworking,,,1.5,College of Art and Design,,IFINE - Fine Arts,
"This course is an exploration of 2-D collage highlighting its significance as a 20th century medium, including the seminal works of the Cubists, Dadaists and Surrealists. Collage works that explores these innovative techniques are created in the course. Discussion of collage in the context of early Modernism takes place through slide lectures. Topics also include the work of the Russian Avant-garde and their use of text, Abstraction and Photomontage.",IFINE 2180 Collage,,,1.5,College of Art and Design,,IFINE - Fine Arts,
"This course is an introduction to the concerns and difficulties addressed in painting portraits. Planar structure, form and anatomy, issues of color, and light and paint handling are discussed. Quick, one-sitting and multiple-sitting poses bring up questions about the likeness and character of the sitter, as well as the artist's personal interpretation and design of the painting as a whole. Self-portraiture may also be investigated in this class.",IFINE 2190 Painting the Human Head,,,1.5,College of Art and Design,,IFINE - Fine Arts,
"This 3D course will offer the opportunity for in-depth study of the emotional and kinesthetic capabilities of the three most complex areas of the body: the hands, the feet and the head. The primary emphasis will be on how and why these parts move the way they do. Discussion will also focus on a selection of aesthetic, psychological and kinesthetic issues to do with these parts as fragments, as parts of a whole and our relationship to them. By the end of the semester, students will have made several life-sized studies of the feet, hands and head in several different media, including terracotta and plaster casts.","IFINE 2195 The Hands, Head & Feet in 3D",,,1.5,College of Art and Design,,IFINE - Fine Arts,
A beginning level course designed to introduce students to a direct or alla prima approach to painting in oils. Emphasis is on color mixing and the physical manipulation of paint as direct response to visual perception.,IFINE 2200 Painting I,,,3,College of Art and Design,,IFINE - Fine Arts,
"Painting II is a continuation of the techniques and ideas explored in Painting I. Working perceptually from still life, the figure, and interiors, students will further investigate the properties of color, space, and form and consider the relationships between abstract and representational painting.",IFINE 2205 Painting II,,,3,College of Art and Design,,IFINE - Fine Arts,
"This highly structured, advanced level course is intended to expand and refine the technical repertoire of painting processes and manipulations available to students through the exploration of non-objective, abstract painting. The course begins with monochrome painting, explores stripes, the grid, and abstract mark making. It ends with extended, individually designed final projects, undertaken in consultation with the instructor.",IFINE 2215 Abstract Painting,,,3,College of Art and Design,,IFINE - Fine Arts,
"The goal of this course is to help students gain an understanding of the model, the nature of color, and an expanded knowledge of paint. The tension between the image of the living body and the painted surface is the major focus of investigation.",IFINE 2220 Figure Painting Elective,,,1.5,College of Art and Design,,IFINE - Fine Arts,
"This course offers students the opportunity to address the technical, conceptual, and aesthetic concerns that confront the developing artist who is interested in combining different art media. Special emphasis is placed on the development of an individual approach in subject matter. Students are encouraged to develop their sensitivity to a variety of two and three-dimensional materials. This course continues to address formal issues such as compositional structure and properties of color, while introducing alternative methods to image making.",IFINE 2230 Assemblage/Mixed Media,,,1.5,College of Art and Design,,IFINE - Fine Arts,
"This course offers students the opportunity to address the technical, conceptual and aesthetic concerns that confront the developing artist who is interested in combining different art media. Special emphasis is placed on the development of an individual approach in subject matter. Students are encouraged to develop their sensitivity to a variety of 2 and 3-dimensional materials. This course continues to address formal issues such as compositional structure and properties of color, while introducing alternative methods to image-making. Prerequisite: Foundation or permission of instructor.",IFINE 2231 Assemblage/Mix Media,,,3,College of Art and Design,,IFINE - Fine Arts,
"Through painting from observation and imagination, the basic watercolor techniques of wet-on-wet, dry brush, and glazing are studied. Emphasis is on transparent watercolor methods, but gouache may also be explored.",IFINE 2250 Watercolor,,,1.5,College of Art and Design,,IFINE - Fine Arts,
"The basic concepts and techniques of woodcut and linoleum printmaking are investigated. This class focuses only on black and white relief printing, allowing ample time for development of cutting and printing skills. Historical and contemporary prints are discussed. No previous printmaking is required.",IFINE 2280 Relief Printmaking I,,,1.5,College of Art and Design,,IFINE - Fine Arts,"IFNDN 1615 or IFNDN 1620, or permission of instructor."
"This is an introduction to color relief printing. Both multiple-block and reductive techniques are explored. Emphasis is placed on printing processes, color mixing, and imagery development. Historical and contemporary trends are discussed, especially German Expressionist prints. Care of prints, materials, and shop equipment is stressed.",IFINE 2290 Relief Printmaking: Color,,,1.5,College of Art and Design,,IFINE - Fine Arts,
"Various intaglio techniques are learned, including dry point, etching, and aquatint. Emphasis is on both technical proficiency and on the student's development of personally significant imagery.",IFINE 2300 Printmaking: Intaglio I,,,3,College of Art and Design,,IFINE - Fine Arts,
This course presents a deeper exploration of etching with the introduction of color printing techniques and engraving. The student's development of imagery will continue to be stressed.,IFINE 2310 Printmaking: Intaglio II,,,3,College of Art and Design,,IFINE - Fine Arts,
"This versatile print medium takes a collage approach to creating the printing plate. Thin layers of paper, fabric, tape, gesso, carborundum, etc. are adhered and sealed to heavy mat board or Masonite, and printed intaglio or relief. This course introduces carborundum prints and polyester silk prints, as well as a more painterly approach using gesso, glue and modeling paste. When printing, the emphasis is on color experimentation rather than editioning.",IFINE 2331 Printmaking: Collagraphs,,,1.5,College of Art and Design,,IFINE - Fine Arts,
"Utilizing handwork and photo processes, students will develop a firm understanding of this very versatile medium. Traditional stone and contemporary plate lithography will be taught in both color and black and white. Students will be encouraged to use this medium to develop their personal voice and imagery.",IFINE 2351 Lithography I,,,3,College of Art and Design,,IFINE - Fine Arts,
"This course further develops the techniques and concerns introduced in Lithography I. An emphasis is placed on imagery development and sensitivity and command of the medium. Assignments will be more individually conceived under the supervision of the instructor. Historical context, printing skills, complexity and ambition of the prints will all be emphasized.",IFINE 2352 Lithography II,,,3,College of Art and Design,,IFINE - Fine Arts,
"Monotype techniques are the most direct printmaking media; unique images are drawn and painted directly onto the plate and transferred to paper through the pressure of the etching press. Students learn a variety of methods to develop rich, painterly prints.",IFINE 2370 Monotype I,,,1.5,College of Art and Design,,IFINE - Fine Arts,
